CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北縣,,,0,0,1,123448,8.09,楊泰順,新黨,1,N,T
臺北縣,,,0,0,2,44038,2.88,苗素芳,中國國民黨,2,Y,
臺北縣,,,0,0,3,12333,0.81,邵松雄,無,1,N,
臺北縣,,,0,0,4,2795,0.18,董尚中,無,1,N,
臺北縣,,,0,0,5,91420,5.99,陳照郎,中國國民黨,1,N,T
臺北縣,,,0,0,6,78529,5.14,周鍚瑋,中國國民黨,1,N,T
臺北縣,,,0,0,7,4040,0.26,陳丁茂,無,1,N,
臺北縣,,,0,0,8,104669,6.86,劉炳偉,中國國民黨,1,Y,T
臺北縣,,,0,0,9,139741,9.15,周慧瑛,民主進步黨,2,Y,T
臺北縣,,,0,0,10,7956,0.52,石瓊文,無,1,N,
臺北縣,,,0,0,11,76991,5.04,簡盛義,中國國民黨,1,Y,T
臺北縣,,,0,0,12,23875,1.56,游麗珠,新黨,2,N,
臺北縣,,,0,0,13,90018,5.90,林鍚耀,民主進步黨,1,N,T
臺北縣,,,0,0,14,131712,8.63,王兆釧,民主進步黨,1,N,T
臺北縣,,,0,0,15,51261,3.36,張金策,民主進步黨,1,N,
臺北縣,,,0,0,16,115359,7.56,宋艾克,新黨,1,N,T
臺北縣,,,0,0,17,124792,8.17,羅明旭,中國國民黨,1,N,T
臺北縣,,,0,0,18,48674,3.19,林建榮,中國國民黨,1,N,
臺北縣,,,0,0,19,58019,3.80,劉一德,民主進步黨,1,N,
臺北縣,,,0,0,20,97369,6.38,張清芳,民主進步黨,1,N,T
臺北縣,,,0,0,21,11789,0.77,蕭正用,無,1,N,
臺北縣,,,0,0,22,87816,5.75,江上清,中國國民黨,1,Y,T
宜蘭縣,,,0,0,1,20707,8.91,陳國賢,中國國民黨,1,N,
宜蘭縣,,,0,0,2,116511,50.14,劉守成,民主進步黨,1,Y,T
宜蘭縣,,,0,0,3,90120,38.79,盧逸峰,中國國民黨,1,Y,T
宜蘭縣,,,0,0,4,5012,2.16,廖繼斌,無,1,N,
桃園縣,,,0,0,1,9054,1.29,呂學琳,無,1,N,
桃園縣,,,0,0,2,70640,10.05,彭添富,民主進步黨,1,Y,T
桃園縣,,,0,0,3,46246,6.58,林熺模,民主進步黨,1,N,
桃園縣,,,0,0,4,55965,7.97,藍照慶,無,1,N,
桃園縣,,,0,0,5,71961,10.24,鄭金鈴,中國國民黨,2,N,T
桃園縣,,,0,0,6,70769,10.07,黃木添,無,1,Y,T
桃園縣,,,0,0,7,55559,7.91,吳振寰,中國國民黨,1,N,
桃園縣,,,0,0,8,48112,6.85,許林翠粉,民主進步黨,2,N,
桃園縣,,,0,0,9,75711,10.78,呂進芳,中國國民黨,1,Y,T
桃園縣,,,0,0,10,70231,10.00,邱創良,中國國民黨,1,Y,T
桃園縣,,,0,0,11,64803,9.22,陳進祥,中國國民黨,1,Y,T
桃園縣,,,0,0,12,1452,0.21,郭義輝,無,1,N,
桃園縣,,,0,0,13,58618,8.34,許應舉,民主進步黨,1,N,
桃園縣,,,0,0,14,3436,0.49,姜水浪,無,1,N,
新竹縣,,,0,0,1,1409,0.72,李庭堦,無,1,N,
新竹縣,,,0,0,2,2344,1.19,萬榮河,無,1,N,
