CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,8153974,197832,8351806,10892906,166,75,135,31,59,16,76.67
臺北縣,,,0,0,1526644,42015,1568659,2065188,22,12,19,3,11,1,75.96
宜蘭縣,,,0,0,232350,4129,236479,303029,4,2,4,0,2,0,78.04
桃園縣,,,0,0,702557,17863,720420,919861,14,6,12,2,5,1,78.32
新竹縣,,,0,0,196264,5947,202211,251871,5,2,5,0,2,0,80.28
苗栗縣,,,0,0,285034,6257,291291,365563,10,3,10,0,3,0,79.68
臺中縣,,,0,0,669475,21357,690832,853492,10,6,7,3,5,1,80.94
彰化縣,,,0,0,650195,14701,664896,821077,11,6,8,3,4,2,80.98
南投縣,,,0,0,265140,6278,271418,350917,5,3,5,0,3,0,77.35
雲林縣,,,0,0,357284,7178,364462,513972,7,4,4,3,1,3,70.91
嘉義縣,,,0,0,291825,6855,298680,388786,6,3,6,0,3,0,76.82
臺南縣,,,0,0,534060,10426,544486,720348,10,5,8,2,4,1,75.59
高雄縣,,,0,0,598932,10943,609875,770950,12,5,9,3,4,1,79.11
屏東縣,,,0,0,424904,6468,431372,580043,9,4,6,3,3,1,74.37
臺東縣,,,0,0,76954,1841,78795,122280,4,1,4,0,1,0,64.44
花蓮縣,,,0,0,116202,4878,121080,188597,2,1,2,0,1,0,64.20
澎湖縣,,,0,0,38760,1551,40311,64170,2,1,0,2,0,1,62.82
基隆市,,,0,0,177659,4491,182150,243567,10,2,9,1,1,1,74.78
新竹市,,,0,0,153407,5292,158699,220070,2,1,1,1,0,1,72.11
臺中市,,,0,0,387439,7079,394518,523077,10,4,6,4,2,2,75.42
嘉義市,,,0,0,121670,3618,125288,169913,4,1,4,0,1,0,73.74
臺南市,,,0,0,347219,8665,355884,456135,7,3,6,1,3,0,78.02
臺北縣,板橋市,,0,0,250402,7349,257751,335302,4,1,4,0,1,0,76.87
臺北縣,三重市,,0,0,182877,4687,187564,243252,2,1,2,0,1,0,77.11
臺北縣,中和市,,0,0,191358,5067,196425,257025,4,1,3,1,1,0,76.42
臺北縣,永和市,,0,0,117891,2985,120876,159106,3,1,3,0,1,0,75.97
臺北縣,新莊市,,0,0,140711,4144,144855,190677,4,1,4,0,1,0,75.97
臺北縣,新店市,,0,0,123050,2674,125724,171918,3,1,3,0,1,0,73.13
臺北縣,樹林市,,0,0,56757,1480,58237,76301,4,1,4,0,1,0,76.33
臺北縣,鶯歌鎮,,0,0,31202,1002,32204,41944,2,1,2,0,1,0,76.78
臺北縣,三峽鎮,,0,0,30657,768,31425,42422,4,1,2,2,1,0,74.08
臺北縣,淡水鎮,,0,0,45457,1557,47014,61169,2,1,0,2,0,1,76.86
臺北縣,汐止市,,0,0,52284,1874,54158,73194,3,1,2,1,1,0,73.99
臺北縣,瑞芳鎮,,0,0,25670,809,26479,36502,3,1,3,0,1,0,72.54
臺北縣,土城市,,0,0,74855,1979,76834,101622,3,1,3,0,1,0,75.61
臺北縣,蘆洲市,,0,0,57966,1601,59567,77034,5,1,4,1,0,1,77.33
臺北縣,五股鄉,,0,0,24980,719,25699,33412,2,1,1,1,1,0,76.92
臺北縣,泰山鄉,,0,0,26468,653,27121,34587,2,1,1,1,1,0,78.41
臺北縣,林口鄉,,0,0,17691,582,18273,23939,2,1,1,1,1,0,76.33
臺北縣,深坑鄉,,0,0,7754,249,8003,10313,2,1,1,1,1,0,77.60
臺北縣,石碇鄉,,0,0,4357,79,4436,6004,2,1,1,1,1,0,73.88
臺北縣,坪林鄉,,0,0,3179,75,3254,4697,2,1,1,1,1,0,69.28
臺北縣,三芝鄉,,0,0,9285,355,9640,12344,2,1,1,1,1,0,78.09
臺北縣,石門鄉,,0,0,5140,116,5256,6946,2,1,1,1,1,0,75.67
臺北縣,八里鄉,,0,0,9710,319,10029,13102,2,1,1,1,1,0,76.55
臺北縣,平溪鄉,,0,0,3737,79,3816,5370,2,1,1,1,1,0,71.06
臺北縣,雙溪鄉,,0,0,6265,92,6357,8589,2,1,1,1,1,0,74.01
臺北縣,貢寮鄉,,0,0,7205,150,7355,10351,2,1,1,1,1,0,71.06
臺北縣,金山鄉,,0,0,9359,217,9576,13113,2,1,1,1,1,0,73.03
臺北縣,萬里鄉,,0,0,9317,335,9652,13521,2,1,1,1,1,0,71.39
臺北縣,烏來鄉,,0,0,1060,19,1079,1432,2,1,1,1,1,0,75.35
宜蘭縣,宜蘭市,,0,0,45511,858,46369,58650,2,1,1,1,1,0,79.06
宜蘭縣,羅東鎮,,0,0,33588,657,34245,42576,2,1,1,1,1,0,80.43
宜蘭縣,蘇澳鎮,,0,0,24766,454,25220,33866,2,1,1,1,1,0,74.47
宜蘭縣,頭城鎮,,0,0,17069,219,17288,23103,2,1,1,1,1,0,74.83
宜蘭縣,礁溪鄉,,0,0,19840,309,20149,25766,2,1,1,1,1,0,78.20
宜蘭縣,壯圍鄉,,0,0,13086,205,13291,17382,2,1,1,1,1,0,76.46
宜蘭縣,員山鄉,,0,0,16979,281,17260,22540,2,1,1,1,1,0,76.57
宜蘭縣,冬山鄉,,0,0,27263,545,27808,34598,2,1,1,1,1,0,80.37
宜蘭縣,五結鄉,,0,0,20578,346,20924,25887,2,1,1,1,1,0,80.83
宜蘭縣,三星鄉,,0,0,12411,226,12637,16743,2,1,1,1,1,0,75.48
宜蘭縣,大同鄉,,0,0,667,10,677,957,2,1,1,1,1,0,70.74
宜蘭縣,南澳鄉,,0,0,592,19,611,961,2,1,1,1,1,0,63.58
桃園縣,桃園市,,0,0,118723,3125,121848,158551,2,1,1,1,1,0,76.85
桃園縣,中壢市,,0,0,143652,3233,146885,187020,2,1,1,1,1,0,78.54
桃園縣,大溪鎮,,0,0,38909,989,39898,50345,2,1,1,1,1,0,79.25
桃園縣,楊梅鎮,,0,0,51404,1277,52681,66217,2,1,1,1,1,0,79.56
桃園縣,蘆竹鄉,,0,0,31291,781,32072,40090,2,1,1,1,1,0,80.00
桃園縣,大園鄉,,0,0,32606,671,33277,41202,2,1,1,1,1,0,80.77
桃園縣,龜山鄉,,0,0,44711,1615,46326,63303,2,1,1,1,1,0,73.18
桃園縣,八德市,,0,0,69596,2306,71902,92262,2,1,1,1,1,0,77.93
桃園縣,龍潭鄉,,0,0,42651,1012,43663,54972,2,1,1,1,1,0,79.43
桃園縣,平鎮市,,0,0,76578,1914,78492,99204,2,1,1,1,1,0,79.12
桃園縣,新屋鄉,,0,0,25908,415,26323,32462,2,1,1,1,1,0,81.09
桃園縣,觀音鄉,,0,0,24681,479,25160,31571,2,1,1,1,1,0,79.69
桃園縣,復興鄉,,0,0,1847,46,1893,2662,2,1,1,1,1,0,71.11
新竹縣,竹北市,,0,0,35193,1187,36380,45929,2,1,1,1,1,0,79.21
新竹縣,竹東鎮,,0,0,40121,1352,41473,51540,2,1,1,1,1,0,80.47
新竹縣,新埔鎮,,0,0,18516,632,19148,24179,2,1,1,1,1,0,79.19
新竹縣,關西鎮,,0,0,17897,401,18298,22409,2,1,1,1,1,0,81.65
