CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北市,,,0,0,1,272,12.16,林文治,無,1,N,
臺北市,,,0,0,2,145,6.48,周明國,無,1,N,
臺北市,,,0,0,3,494,22.08,田春枝,無,2,N,
臺北市,,,0,0,4,846,37.82,李銀來,中國國民黨,1,N,T
臺北市,,,0,0,5,257,11.49,黃鈴華,無,2,N,
臺北市,,,0,0,6,145,6.48,宋千德,無,1,N,
臺北市,,,0,0,7,78,3.49,曾英明,民主進步黨,1,N,
高雄市,,,0,0,1,249,9.24,高玉生,無,1,N,
高雄市,,,0,0,2,580,21.53,吳明生,無,1,Y,
高雄市,,,0,0,3,51,1.89,潘阿木,無,1,N,
高雄市,,,0,0,4,354,13.14,張金水,無,1,N,
高雄市,,,0,0,5,725,26.91,吳福祥,中國國民黨,1,N,T
高雄市,,,0,0,6,511,18.97,張美惠,無,2,N,
