CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北市,,,0,1,1,26600,5.83,蔡文安,民主進步黨,1,N,
臺北市,,,0,1,2,41780,9.15,藍世聰,民主進步黨,1,N,T
臺北市,,,0,1,3,35086,7.68,蔡重吉,中國國民黨,1,N,T
臺北市,,,0,1,4,3561,0.78,徐桂峰,無,1,N,
臺北市,,,0,1,5,39783,8.71,曾憲棨,中國國民黨,1,N,T
臺北市,,,0,1,6,39758,8.71,陳碧峰,民主進步黨,1,N,T
臺北市,,,0,1,7,1032,0.23,黃建源,先進黨,1,N,
臺北市,,,0,1,8,34694,7.6,王銘源,民主進步黨,1,N,T
臺北市,,,0,1,9,4753,1.04,廖正國,綠色本土清新黨,1,Y,
臺北市,,,0,1,10,751,0.16,柯賜海,無,1,N,
臺北市,,,0,1,11,58234,12.75,鄭麗文,民主進步黨,2,N,T
臺北市,,,0,1,12,27112,5.94,姜常俊,新黨,1,N,
臺北市,,,0,1,13,30378,6.65,陳萬生,中國國民黨,1,N,
臺北市,,,0,1,14,778,0.17,陳樹霖,無,1,N,
臺北市,,,0,1,15,34226,7.5,潘懷宗,新黨,1,N,T
臺北市,,,0,1,16,47530,10.41,陳建銘,中國國民黨,1,N,T
臺北市,,,0,1,17,30547,6.69,汪志冰,新黨,2,Y,T
臺北市,,,0,2,1,25462,6.38,陳燦鴻,中國國民黨,1,N,T
臺北市,,,0,2,2,27352,6.85,李宗正,中國國民黨,1,N,T
臺北市,,,0,2,3,13042,3.27,官君達,民主進步黨,1,N,
臺北市,,,0,2,4,22055,5.53,田欣,民主進步黨,1,N,
臺北市,,,0,2,5,8685,2.18,楊厚任,無,1,N,
臺北市,,,0,2,6,44944,11.26,蔡正元,中國國民黨,1,N,T
臺北市,,,0,2,7,8292,2.08,黃美英,綠色本土清新黨,2,N,
臺北市,,,0,2,8,45960,11.52,王高成,新黨,1,N,T
臺北市,,,0,2,9,24346,6.1,黃嘉光,民主進步黨,1,N,
臺北市,,,0,2,10,3132,0.78,劉正文,無,1,Y,
臺北市,,,0,2,11,62518,15.67,林重謨,民主進步黨,1,N,T
臺北市,,,0,2,12,27587,6.91,蔡志弘,中國國民黨,1,N,T
臺北市,,,0,2,13,796,0.2,汪立峽,勞動黨,1,N,
臺北市,,,0,2,14,8949,2.24,林美瑢,民主進步黨,2,N,
臺北市,,,0,2,15,32477,8.14,羅怡德,新黨,1,N,T
臺北市,,,0,2,16,43481,10.9,林忠山,新黨,1,N,T
臺北市,,,0,3,1,3544,0.75,王娟萍,勞動黨,2,N,
臺北市,,,0,3,2,44727,9.42,吳茂雄,中國國民黨,1,N,T
臺北市,,,0,3,3,39350,8.28,康耀忠,民主進步黨,1,N,T
