CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,10284454,335176,10619630,13897056,420,228,341,79,185,43,76.42
臺北市,,,0,3,1330739,51646,1382385,1807897,50,27,42,8,23,4,76.46
高雄市,,,0,2,707065,22034,729099,934369,29,15,24,5,12,3,78.03
臺北縣,,,0,7,1572400,56309,1628709,2116627,59,33,49,10,28,5,76.95
宜蘭縣,,,0,2,221424,5220,226644,305335,8,5,5,3,3,2,74.23
桃園縣,,,0,5,723056,24362,747418,953883,28,16,24,4,15,1,78.36
新竹縣,,,0,1,201565,5901,207466,259188,8,5,5,3,3,2,80.04
苗栗縣,,,0,2,279816,9179,288995,368940,13,6,11,2,4,2,78.33
臺中縣,,,0,4,686929,21717,708646,882151,25,14,19,6,10,4,80.33
彰化縣,,,0,4,617662,27829,645491,834434,25,13,20,5,9,4,77.36
南投縣,,,0,2,257562,7709,265271,354246,11,6,9,2,5,1,74.88
雲林縣,,,0,2,349169,12154,361323,517484,16,8,13,3,7,1,69.82
嘉義縣,,,0,2,264888,9535,274423,391771,10,6,6,4,4,2,70.05
臺南縣,,,0,2,537586,15469,553055,735331,18,11,14,4,9,2,75.21
高雄縣,,,0,4,600600,18578,619178,790585,26,12,23,3,10,2,78.32
屏東縣,,,0,2,431385,8393,439778,585772,16,10,14,2,8,2,75.08
臺東縣,,,0,1,77414,1608,79022,122114,5,3,4,1,2,1,64.71
花蓮縣,,,0,1,126809,3850,130659,189412,7,4,7,0,4,0,68.98
澎湖縣,,,0,1,39701,1222,40923,63104,4,2,3,1,2,0,64.85
基隆市,,,0,1,185787,5744,191531,248554,7,4,4,3,3,1,77.06
新竹市,,,0,1,172296,2854,175150,223899,9,4,8,1,4,0,78.23
臺中市,,,0,2,407286,10182,417468,542764,15,9,11,4,8,1,76.92
嘉義市,,,0,1,125865,3002,128867,173063,7,3,6,1,2,1,74.46
臺南市,,,0,2,344586,9983,354569,462166,15,8,12,3,6,2,76.72
金門縣,,,0,1,20275,663,20938,30173,5,2,4,1,2,0,69.39
連江縣,,,0,1,2589,33,2622,3794,4,2,4,0,2,0,69.11
臺北市,,,0,3,456603,18678,475281,618917,17,9,15,2,7,2,76.79
臺北市,,,0,3,399078,15665,414743,534664,16,8,14,2,8,0,77.57
臺北市,,,0,3,475058,17303,492361,654316,17,10,13,4,8,2,75.25
高雄市,,,0,2,387202,11809,399011,508901,15,8,13,2,7,1,78.41
高雄市,,,0,2,319863,10225,330088,425468,14,7,11,3,5,2,77.58
臺北縣,,,0,7,211394,6417,217811,281630,9,5,8,1,4,1,77.34
臺北縣,,,0,7,247908,8755,256663,334033,9,5,7,2,4,1,76.84
臺北縣,,,0,7,255569,9464,265033,341528,9,5,7,2,4,1,77.60
臺北縣,,,0,7,220382,8340,228722,296988,10,5,7,3,4,1,77.01
臺北縣,,,0,7,309071,10591,319662,415093,10,6,9,1,6,0,77.01
臺北縣,,,0,7,143048,4711,147759,196659,5,3,4,1,2,1,75.13
臺北縣,,,0,7,185028,8031,193059,250696,7,4,7,0,4,0,77.01
宜蘭縣,,,0,2,109130,2430,111560,150080,4,2,3,1,2,0,74.33
宜蘭縣,,,0,2,112294,2790,115084,155255,4,3,2,2,1,2,74.13
桃園縣,,,0,5,126028,4751,130779,167178,5,3,5,0,3,0,78.23
桃園縣,,,0,5,145941,4951,150892,192716,6,3,5,1,3,0,78.30
桃園縣,,,0,5,158033,5755,163788,212577,6,4,6,0,4,0,77.05
桃園縣,,,0,5,117069,3422,120491,151683,4,2,3,1,2,0,79.44
桃園縣,,,0,5,175985,5483,181468,229729,7,4,5,2,3,1,78.99
新竹縣,,,0,1,201565,5901,207466,259188,8,5,5,3,3,2,80.04
苗栗縣,,,0,2,176305,6338,182643,235738,9,4,7,2,2,2,77.48
苗栗縣,,,0,2,103511,2841,106352,133202,4,2,4,0,2,0,79.84
臺中縣,,,0,4,236079,6615,242694,303270,7,5,4,3,3,2,80.03
臺中縣,,,0,4,92943,3630,96573,116526,5,2,5,0,2,0,82.88
臺中縣,,,0,4,184299,4894,189193,231606,6,3,4,2,1,2,81.69
臺中縣,,,0,4,173608,6578,180186,230749,7,4,6,1,4,0,78.09
彰化縣,,,0,4,203665,8136,211801,267944,9,4,6,3,1,3,79.05
彰化縣,,,0,4,134977,7896,142873,183770,4,3,3,1,2,1,77.75
彰化縣,,,0,4,151281,6483,157764,200397,7,3,6,1,3,0,78.73
彰化縣,,,0,4,127739,5314,133053,182323,5,3,5,0,3,0,72.98
南投縣,,,0,2,135337,3682,139019,186166,6,3,4,2,2,1,74.67
南投縣,,,0,2,122225,4027,126252,168080,5,3,5,0,3,0,75.11
雲林縣,,,0,2,181485,5678,187163,252339,10,4,7,3,3,1,74.17
雲林縣,,,0,2,167684,6476,174160,265145,6,4,6,0,4,0,65.68
嘉義縣,,,0,2,137635,5368,143003,201919,4,3,2,2,1,2,70.82
嘉義縣,,,0,2,127253,4167,131420,189852,6,3,4,2,3,0,69.22
臺南縣,,,0,2,268705,8008,276713,377034,9,6,8,1,5,1,73.39
臺南縣,,,0,2,268881,7461,276342,358297,9,5,6,3,4,1,77.13
高雄縣,,,0,4,148502,4708,153210,197984,6,3,6,0,3,0,77.39
高雄縣,,,0,4,167168,5094,172262,220535,7,3,6,1,3,0,78.11
高雄縣,,,0,4,201617,7163,208780,259897,9,4,9,0,4,0,80.33
高雄縣,,,0,4,83313,1613,84926,112169,4,2,2,2,0,2,75.71
屏東縣,,,0,2,242762,4641,247403,323957,8,5,7,1,4,1,76.37
屏東縣,,,0,2,188623,3752,192375,261815,8,5,7,1,4,1,73.48
臺東縣,,,0,1,77414,1608,79022,122114,5,3,4,1,2,1,64.71
花蓮縣,,,0,1,126809,3850,130659,189412,7,4,7,0,4,0,68.98
澎湖縣,,,0,1,39701,1222,40923,63104,4,2,3,1,2,0,64.85
基隆市,,,0,1,185787,5744,191531,248554,7,4,4,3,3,1,77.06
新竹市,,,0,1,172296,2854,175150,223899,9,4,8,1,4,0,78.23
臺中市,,,0,2,206364,6173,212537,279711,8,5,5,3,5,0,75.98
臺中市,,,0,2,200922,4009,204931,263053,7,4,6,1,3,1,77.90
嘉義市,,,0,1,125865,3002,128867,173063,7,3,6,1,2,1,74.46
臺南市,,,0,2,189966,5546,195512,256023,6,4,5,1,3,1,76.37
臺南市,,,0,2,154620,4437,159057,206143,9,4,7,2,3,1,77.16
金門縣,,,0,1,20275,663,20938,30173,5,2,4,1,2,0,69.39
連江縣,,,0,1,2589,33,2622,3794,4,2,4,0,2,0,69.11
臺北市,中山區,,0,1,109370,4772,114142,157057,2,1,2,0,1,0,72.68
臺北市,大同區,,0,1,69998,2898,72896,93344,4,1,4,0,1,0,78.09
臺北市,士林區,,0,1,152390,5748,158138,203841,5,1,5,0,1,0,77.58
臺北市,北投區,,0,1,124845,5260,130105,164675,3,1,3,0,1,0,79.01
臺北市,松山區,,0,2,104416,3927,108343,145659,3,1,3,0,1,0,74.38
臺北市,信義區,,0,2,126286,5039,131325,170451,5,1,5,0,1,0,77.05
臺北市,南港區,,0,2,56856,2335,59191,73897,4,1,4,0,1,0,80.10
臺北市,內湖區,,0,2,111520,4364,115884,144657,4,1,4,0,1,0,80.11
臺北市,大安區,,0,3,161611,5946,167557,231876,2,1,2,0,1,0,72.26
臺北市,中正區,,0,3,84595,3087,87682,115892,3,1,3,0,1,0,75.66
臺北市,萬華區,,0,3,111640,4305,115945,150507,3,1,3,0,1,0,77.04
臺北市,文山區,,0,3,117212,3965,121177,156041,5,1,3,2,0,1,77.66
高雄市,鹽埕區,,0,1,17932,509,18441,23626,2,1,2,0,1,0,78.05
高雄市,鼓山區,,0,1,56786,1562,58348,74611,2,1,2,0,1,0,78.20
高雄市,左營區,,0,1,65332,1918,67250,85152,4,1,4,0,1,0,78.98
高雄市,楠梓區,,0,1,68162,2024,70186,87944,2,1,2,0,1,0,79.81
高雄市,三民區,,0,1,162746,5232,167978,215198,2,1,2,0,1,0,78.06
高雄市,旗津區,,0,1,16244,564,16808,22370,2,1,2,0,1,0,75.14
高雄市,新興區,,0,2,33663,1039,34702,44568,3,1,3,0,1,0,77.86
高雄市,前金區,,0,2,19160,541,19701,25572,2,1,2,0,1,0,77.04
高雄市,苓雅區,,0,2,105554,3606,109160,140313,2,1,2,0,1,0,77.80
高雄市,前鎮區,,0,2,98128,3064,101192,130811,2,1,2,0,1,0,77.36
高雄市,小港區,,0,2,63358,1975,65333,84204,2,1,2,0,1,0,77.59
臺北縣,樹林市,,0,1,61217,1690,62907,80359,1,1,1,0,1,0,78.28
臺北縣,鶯歌鎮,,0,1,33155,1053,34208,43184,2,1,2,0,1,0,79.21
臺北縣,三峽鎮,,0,1,33334,1012,34346,44836,2,1,2,0,1,0,76.60
臺北縣,土城市,,0,1,83688,2662,86350,113251,4,1,4,0,1,0,76.25
臺北縣,板橋市,,0,2,247908,8755,256663,334033,3,1,3,0,1,0,76.84
臺北縣,三重市,,0,3,182974,6827,189801,244603,4,1,3,1,1,0,77.60
臺北縣,蘆洲市,,0,3,61727,2223,63950,82555,2,1,1,1,1,0,77.46
臺北縣,八里鄉,,0,3,10868,414,11282,14370,2,1,2,0,1,0,78.51
臺北縣,新莊市,,0,4,147186,5901,153087,200236,4,1,4,0,1,0,76.45
臺北縣,五股鄉,,0,4,26672,713,27385,35196,3,1,3,0,1,0,77.81
臺北縣,泰山鄉,,0,4,27549,938,28487,35857,2,1,2,0,1,0,79.45
臺北縣,林口鄉,,0,4,18975,788,19763,25699,2,1,2,0,1,0,76.90
臺北縣,中和市,,0,5,191374,6829,198203,258114,4,1,3,1,1,0,76.79
臺北縣,永和市,,0,5,117697,3762,121459,156979,1,1,1,0,1,0,77.37
臺北縣,新店市,,0,6,125958,3988,129946,172907,2,1,1,1,1,0,75.15
臺北縣,深坑鄉,,0,6,8739,383,9122,11764,6,1,5,1,1,0,77.54
臺北縣,石碇鄉,,0,6,4305,147,4452,5966,3,1,2,1,0,1,74.62
臺北縣,坪林鄉,,0,6,3026,159,3185,4623,3,1,3,0,1,0,68.89
臺北縣,烏來鄉,,0,6,1020,34,1054,1399,2,1,1,1,1,0,75.34
臺北縣,淡水鎮,,0,7,48091,2823,50914,63957,3,1,3,0,1,0,79.61
臺北縣,汐止市,,0,7,59062,2236,61298,79636,4,1,4,0,1,0,76.97
臺北縣,瑞芳鎮,,0,7,25970,885,26855,36275,2,1,2,0,1,0,74.03
臺北縣,三芝鄉,,0,7,10405,689,11094,12946,2,1,0,2,0,1,85.69
臺北縣,石門鄉,,0,7,5524,210,5734,7053,3,1,3,0,1,0,81.30
臺北縣,平溪鄉,,0,7,3468,125,3593,5100,5,1,4,1,1,0,70.45
臺北縣,雙溪鄉,,0,7,5908,114,6022,8347,3,1,3,0,1,0,72.15
臺北縣,貢寮鄉,,0,7,6826,229,7055,10348,4,1,4,0,1,0,68.18
臺北縣,金山鄉,,0,7,9952,359,10311,13439,5,1,4,1,0,1,76.72
臺北縣,萬里鄉,,0,7,9822,361,10183,13595,4,1,3,1,1,0,74.90
宜蘭縣,宜蘭市,,0,1,44284,1028,45312,59681,2,1,2,0,1,0,75.92
宜蘭縣,頭城鎮,,0,1,16671,330,17001,23171,4,1,4,0,1,0,73.37
宜蘭縣,礁溪鄉,,0,1,18984,382,19366,25838,3,1,3,0,1,0,74.95
