CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北縣,,,0,0,1,543516,38.67,謝深山,中國國民黨,1,N,
臺北縣,,,0,0,2,32373,2.30,周荃,無,2,N,
臺北縣,,,0,0,3,32902,2.34,楊泰順,新黨,1,N,
臺北縣,,,0,0,4,154590,11.00,林志嘉,無,1,N,
臺北縣,,,0,0,5,571658,40.67,蘇貞昌,民主進步黨,1,N,T
臺北縣,,,0,0,6,70619,5.02,廖學廣,無,1,N,
宜蘭縣,,,0,0,1,104744,46.17,廖風德,中國國民黨,1,N,
宜蘭縣,,,0,0,2,122114,53.83,劉守成,民主進步黨,1,N,T
桃園縣,,,0,0,1,375500,56.20,呂秀蓮,民主進步黨,2,Y,T
桃園縣,,,0,0,2,286993,42.96,陳根德,中國國民黨,1,N,
桃園縣,,,0,0,3,5619,0.84,徐運德,社會改革黨,1,N,
新竹縣,,,0,0,1,1424,0.73,徐能安,無,1,N,
新竹縣,,,0,0,2,59393,30.26,邱鏡淳,無,1,N,
新竹縣,,,0,0,3,64551,32.89,鄭永金,中國國民黨,1,N,
新竹縣,,,0,0,4,70879,36.12,林光華,民主進步黨,1,N,T
苗栗縣,,,0,0,1,153528,54.80,傅學鵬,無,1,N,T
苗栗縣,,,0,0,2,99109,35.37,何智輝,中國國民黨,1,Y,
苗栗縣,,,0,0,3,15871,5.66,黃達業,新黨,1,N,
苗栗縣,,,0,0,4,11678,4.17,徐進榮,民主進步黨,1,N,
臺中縣,,,0,0,1,5950,1.00,錢文南,建國黨,1,N,
臺中縣,,,0,0,2,10804,1.82,陳欽隆,無,1,N,
臺中縣,,,0,0,3,173667,29.26,郭榮振,中國國民黨,1,N,
臺中縣,,,0,0,4,144427,24.33,徐中雄,中國國民黨,1,N,
臺中縣,,,0,0,5,35533,5.99,劉銓忠,無,1,N,
臺中縣,,,0,0,6,223222,37.60,廖永來,民主進步黨,1,N,T
彰化縣,,,0,0,1,10443,1.78,張榮昌,無,1,N,
彰化縣,,,0,0,2,290335,49.56,阮剛猛,中國國民黨,1,Y,T
彰化縣,,,0,0,3,285058,48.66,翁金珠,民主進步黨,2,N,
南投縣,,,0,0,1,76689,30.80,林宗男,民主進步黨,1,N,
南投縣,,,0,0,2,74966,30.11,許惠祐,中國國民黨,1,N,
南投縣,,,0,0,3,78690,31.61,彭百顯,無,1,N,T
南投縣,,,0,0,4,18066,7.26,陳振盛,新黨,1,N,
南投縣,,,0,0,5,559,0.22,吳清江,無,1,N,
雲林縣,,,0,0,1,125376,34.93,蘇文雄,中國國民黨,1,N,T
雲林縣,,,0,0,2,6882,1.92,歐明憲,無,1,N,
雲林縣,,,0,0,3,122166,34.04,張榮味,無,1,N,
雲林縣,,,0,0,4,104499,29.11,廖大林,民主進步黨,1,N,
嘉義縣,,,0,0,1,136161,53.26,李雅景,中國國民黨,1,Y,T
嘉義縣,,,0,0,2,119499,46.74,何嘉榮,民主進步黨,1,N,
臺南縣,,,0,0,1,328641,65.73,陳唐山,民主進步黨,1,Y,T
臺南縣,,,0,0,2,171357,34.27,洪玉欽,中國國民黨,1,N,
