CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,2256436,51850,2308286,2858648,205,94,164,41,72,22,80.75
臺北市,,,0,6,1468635,35934,1504569,1859933,108,51,81,27,34,17,80.89
臺北市,,,0,6,306513,7192,313705,379425,24,10,19,5,6,4,82.68
臺北市,,,0,6,192586,4940,197526,237262,13,7,8,5,3,4,83.25
臺北市,,,0,6,251088,6982,258070,322149,20,9,16,4,7,2,80.11
臺北市,,,0,6,196379,4951,201330,252446,16,7,13,3,5,2,79.75
臺北市,,,0,6,211677,4935,216612,269544,16,7,11,5,5,2,80.36
臺北市,,,0,6,310392,6934,317326,399107,19,11,14,5,8,3,79.51
高雄市,,,0,5,787801,15916,803717,998715,97,43,83,14,38,5,80.48
高雄市,,,0,5,98276,2086,100362,124779,10,5,8,2,4,1,80.43
高雄市,,,0,5,156399,2974,159373,196472,18,9,15,3,8,1,81.12
高雄市,,,0,5,183273,3785,187058,233489,25,10,21,4,9,1,80.11
高雄市,,,0,5,165394,3156,168550,212779,18,9,16,2,8,1,79.21
高雄市,,,0,5,184459,3915,188374,231196,26,10,23,3,9,1,81.48
臺北市,士林區,,0,1,167388,4042,171430,208372,1,0,1,3,0,3,82.27
臺北市,北投區,,0,1,139125,3150,142275,171053,2,1,2,0,1,0,83.18
臺北市,南港區,,0,2,62364,1763,64127,76678,6,1,6,0,1,0,83.63
臺北市,內湖區,,0,2,130222,3177,133399,160584,3,1,3,0,1,0,83.07
臺北市,松山區,,0,3,113649,3059,116708,147274,3,1,2,1,1,0,79.25
臺北市,信義區,,0,3,137439,3923,141362,174875,4,1,4,0,1,0,80.84
臺北市,中山區,,0,4,120092,3112,123204,156275,3,1,2,1,0,1,78.84
臺北市,大同區,,0,4,76287,1839,78126,96171,2,1,2,0,1,0,81.24
臺北市,中正區,,0,5,90162,2318,92480,117452,4,1,4,0,1,0,78.74
臺北市,萬華區,,0,5,121515,2617,124132,152092,2,1,2,0,1,0,81.62
臺北市,大安區,,0,6,174609,3885,178494,230013,4,1,3,1,1,0,77.60
臺北市,文山區,,0,6,135783,3049,138832,169094,3,1,3,0,1,0,82.10
高雄市,鹽埕區,,0,1,18624,419,19043,23842,4,1,4,0,1,0,79.87
高雄市,鼓山區,,0,1,61663,1310,62973,78274,3,1,3,0,1,0,80.45
高雄市,旗津區,,0,1,17989,357,18346,22663,4,1,4,0,1,0,80.95
高雄市,左營區,,0,2,77709,1616,79325,99301,2,1,2,0,1,0,79.88
高雄市,楠梓區,,0,2,78690,1358,80048,97171,4,1,2,2,1,0,82.38
高雄市,三民區,,0,3,183273,3785,187058,233489,2,1,0,2,0,1,80.11
高雄市,新興區,,0,4,34815,609,35424,45312,3,1,2,1,1,0,78.18
高雄市,前金區,,0,4,19686,370,20056,25650,3,1,3,0,1,0,78.19
高雄市,苓雅區,,0,4,110893,2177,113070,141817,3,1,3,0,1,0,79.73
高雄市,前鎮區,,0,5,108924,2571,111495,137764,5,1,4,1,0,1,80.93
高雄市,小港區,,0,5,75535,1344,76879,93432,2,1,1,1,1,0,82.28
臺北市,士林區,仁勇里,0,1,3002,65,3067,3663,3,1,3,0,1,0,83.73
臺北市,士林區,義信里,0,1,1913,42,1955,2324,3,1,3,0,1,0,84.12
臺北市,士林區,福林里,0,1,2702,54,2756,3411,7,1,6,1,1,0,80.80
臺北市,士林區,福德里,0,1,2604,47,2651,3247,2,1,2,0,1,0,81.64
臺北市,士林區,福志里,0,1,4880,124,5004,6150,5,1,5,0,1,0,81.37
臺北市,士林區,舊佳里,0,1,4308,90,4398,5329,7,1,6,1,1,0,82.53
臺北市,士林區,福佳里,0,1,4612,103,4715,5704,3,1,3,0,1,0,82.66
臺北市,士林區,後港里,0,1,5004,139,5143,6202,2,1,1,1,1,0,82.92
臺北市,士林區,福中里,0,1,3460,75,3535,4151,4,1,3,1,1,0,85.16
臺北市,士林區,前港里,0,1,2661,58,2719,3195,4,1,3,1,0,1,85.10
臺北市,士林區,百齡里,0,1,4589,94,4683,5575,4,1,4,0,1,0,84.00
臺北市,士林區,承德里,0,1,3152,94,3246,3941,2,1,2,0,1,0,82.36
臺北市,士林區,福華里,0,1,4296,133,4429,5457,2,1,1,1,1,0,81.16
臺北市,士林區,明勝里,0,1,3094,106,3200,3996,2,1,2,0,1,0,80.08
臺北市,士林區,福順里,0,1,3506,104,3610,4364,4,1,4,0,1,0,82.72
臺北市,士林區,富光里,0,1,3763,140,3903,4622,2,1,2,0,1,0,84.44
臺北市,士林區,葫蘆里,0,1,4669,109,4778,5649,3,1,3,0,1,0,84.58
臺北市,士林區,葫東里,0,1,2427,71,2498,2969,2,1,2,0,1,0,84.14
臺北市,士林區,社子里,0,1,4112,93,4205,4924,2,1,1,1,1,0,85.40
臺北市,士林區,社新里,0,1,5193,138,5331,6284,2,1,2,0,1,0,84.83
臺北市,士林區,社園里,0,1,4247,108,4355,5125,1,1,1,0,1,0,84.98
臺北市,士林區,永倫里,0,1,4626,106,4732,5666,3,1,2,1,1,0,83.52
臺北市,士林區,福安里,0,1,3235,70,3305,3795,3,1,2,1,1,0,87.09
臺北市,士林區,富洲里,0,1,3537,78,3615,4215,3,1,3,0,1,0,85.77
臺北市,士林區,岩山里,0,1,2674,72,2746,3487,3,1,3,0,1,0,78.75
臺北市,士林區,名山里,0,1,3937,98,4035,4936,3,1,3,0,1,0,81.75
臺北市,士林區,德行里,0,1,2607,66,2673,3256,2,1,2,0,1,0,82.09
臺北市,士林區,德華里,0,1,3460,91,3551,4345,3,1,3,0,1,0,81.73
臺北市,士林區,聖山里,0,1,3118,63,3181,3859,3,1,3,0,1,0,82.43
臺北市,士林區,忠誠里,0,1,3603,80,3683,4399,2,1,2,0,1,0,83.72
臺北市,士林區,芝山里,0,1,4114,96,4210,5181,2,1,2,0,1,0,81.26
臺北市,士林區,東山里,0,1,3120,74,3194,3840,2,1,2,0,1,0,83.18
臺北市,士林區,三玉里,0,1,3424,79,3503,4240,4,1,4,0,1,0,82.62
臺北市,士林區,蘭雅里,0,1,5236,126,5362,6510,5,1,5,0,1,0,82.37
臺北市,士林區,蘭興里,0,1,3667,61,3728,4584,3,1,3,0,1,0,81.33
臺北市,士林區,天福里,0,1,3949,99,4048,4920,3,1,3,0,1,0,82.28
臺北市,士林區,天祿里,0,1,3129,57,3186,3917,5,1,5,0,1,0,81.34
臺北市,士林區,天壽里,0,1,2707,74,2781,3559,4,1,4,0,1,0,78.14
臺北市,士林區,天和里,0,1,4420,117,4537,5624,4,1,4,0,1,0,80.67
臺北市,士林區,天山里,0,1,4076,83,4159,5268,2,1,2,0,1,0,78.95
臺北市,士林區,天玉里,0,1,4893,92,4985,6268,3,1,3,0,1,0,79.53
臺北市,士林區,天母里,0,1,3833,90,3923,4977,3,1,3,0,1,0,78.82
臺北市,士林區,永福里,0,1,847,24,871,1084,5,1,3,2,0,1,80.35
臺北市,士林區,公館里,0,1,918,10,928,1127,2,1,2,0,1,0,82.34
臺北市,士林區,新安里,0,1,1306,36,1342,1705,2,1,2,0,1,0,78.71
臺北市,士林區,陽明里,0,1,1966,47,2013,2660,4,1,4,0,1,0,75.68
臺北市,士林區,菁山里,0,1,1056,30,1086,1305,2,1,2,0,1,0,83.22
臺北市,士林區,平等里,0,1,984,8,992,1166,2,1,2,0,1,0,85.08
臺北市,士林區,溪山里,0,1,968,21,989,1176,2,1,2,0,1,0,84.10
臺北市,士林區,翠山里,0,1,3784,107,3891,5021,3,1,3,0,1,0,77.49
臺北市,北投區,建民里,0,1,3029,56,3085,3719,2,1,2,0,1,0,82.95
臺北市,北投區,文林里,0,1,2684,57,2741,3269,2,1,2,0,1,0,83.85
臺北市,北投區,石牌里,0,1,3420,70,3490,4189,2,1,2,0,1,0,83.31
臺北市,北投區,福興里,0,1,4052,109,4161,4890,2,1,2,0,1,0,85.09
臺北市,北投區,榮光里,0,1,4366,82,4448,5291,1,1,1,0,1,0,84.07
臺北市,北投區,榮華里,0,1,4311,98,4409,5385,2,1,2,0,1,0,81.88
臺北市,北投區,裕民里,0,1,4121,101,4222,5051,2,1,2,0,1,0,83.59
臺北市,北投區,振華里,0,1,4931,111,5042,6020,4,1,4,0,1,0,83.75
臺北市,北投區,永和里,0,1,4440,115,4555,5630,3,1,3,0,1,0,80.91
臺北市,北投區,永欣里,0,1,3712,85,3797,4738,4,1,3,1,1,0,80.14
臺北市,北投區,永明里,0,1,2719,69,2788,3327,2,1,1,1,1,0,83.80
臺北市,北投區,東華里,0,1,3028,69,3097,3643,2,1,2,0,1,0,85.01
臺北市,北投區,吉利里,0,1,3747,86,3833,4583,4,1,4,0,1,0,83.64
臺北市,北投區,吉慶里,0,1,3164,59,3223,3823,3,1,3,0,1,0,84.31
臺北市,北投區,尊賢里,0,1,2990,66,3056,3655,2,1,2,0,1,0,83.61
臺北市,北投區,立賢里,0,1,3172,77,3249,3877,2,1,2,0,1,0,83.80
臺北市,北投區,立農里,0,1,5114,94,5208,6103,4,1,3,1,1,0,85.34
臺北市,北投區,八仙里,0,1,2751,78,2829,3396,1,1,1,0,1,0,83.30
臺北市,北投區,洲美里,0,1,1084,24,1108,1271,2,1,1,1,1,0,87.18
臺北市,北投區,奇岩里,0,1,5594,137,5731,6876,6,1,5,1,1,0,83.35
臺北市,北投區,清江里,0,1,4923,122,5045,5985,3,1,2,1,0,1,84.29
臺北市,北投區,中央里,0,1,4639,93,4732,5666,3,1,3,0,1,0,83.52
臺北市,北投區,長安里,0,1,3437,80,3517,4261,2,1,1,1,1,0,82.54
臺北市,北投區,大同里,0,1,3509,73,3582,4253,3,1,3,0,1,0,84.22
臺北市,北投區,溫泉里,0,1,3868,83,3951,4779,4,1,4,0,1,0,82.67
臺北市,北投區,林泉里,0,1,2047,50,2097,2679,2,1,2,0,1,0,78.28
臺北市,北投區,中心里,0,1,3257,67,3324,4200,2,1,0,2,0,1,79.14
臺北市,北投區,中庸里,0,1,2758,61,2819,3292,3,1,3,0,1,0,85.63
臺北市,北投區,開明里,0,1,4020,93,4113,5071,5,1,4,1,1,0,81.11
臺北市,北投區,中和里,0,1,3523,79,3602,4381,3,1,3,0,1,0,82.22
臺北市,北投區,智仁里,0,1,3790,72,3862,4722,4,1,4,0,1,0,81.79
臺北市,北投區,秀山里,0,1,2307,58,2365,2936,5,1,4,1,0,1,80.55
臺北市,北投區,文化里,0,1,2612,35,2647,3162,4,1,3,1,1,0,83.71
臺北市,北投區,豐年里,0,1,2698,39,2737,3224,2,1,2,0,1,0,84.89
臺北市,北投區,稻香里,0,1,2837,56,2893,3580,4,1,4,0,1,0,80.81
臺北市,北投區,桃源里,0,1,3253,56,3309,3952,3,1,3,0,1,0,83.73
臺北市,北投區,一德里,0,1,3789,109,3898,4605,2,1,2,0,1,0,84.65
臺北市,北投區,關渡里,0,1,6027,205,6232,7356,4,1,4,0,1,0,84.72
臺北市,北投區,泉源里,0,1,1527,44,1571,1870,3,1,2,1,1,0,84.01
臺北市,北投區,湖山里,0,1,1875,32,1907,2343,3,1,3,0,1,0,81.39
臺北市,南港區,南港里,0,2,3506,106,3612,4373,2,1,1,1,1,0,82.60
臺北市,南港區,中南里,0,2,2687,80,2767,3338,2,1,1,1,1,0,82.89
臺北市,南港區,新富里,0,2,2680,92,2772,3231,2,1,1,1,1,0,85.79
臺北市,南港區,三重里,0,2,2235,59,2294,2696,2,1,1,1,1,0,85.09
臺北市,南港區,東新里,0,2,4179,109,4288,5102,2,1,1,1,1,0,84.05
臺北市,南港區,新光里,0,2,2731,67,2798,3380,2,1,1,1,1,0,82.78
臺北市,南港區,東明里,0,2,2726,75,2801,3468,2,1,1,1,1,0,80.77
臺北市,南港區,西新里,0,2,2836,77,2913,3490,2,1,1,1,1,0,83.47
臺北市,南港區,玉成里,0,2,3019,81,3100,3684,2,1,1,1,1,0,84.15
臺北市,南港區,合成里,0,2,3931,138,4069,4807,2,1,1,1,1,0,84.65
臺北市,南港區,成福里,0,2,5013,126,5139,6227,2,1,1,1,1,0,82.53
臺北市,南港區,萬福里,0,2,2747,85,2832,3363,2,1,1,1,1,0,84.21
臺北市,南港區,鴻福里,0,2,2999,97,3096,3676,2,1,1,1,1,0,84.22
臺北市,南港區,百福里,0,2,3244,108,3352,3984,2,1,1,1,1,0,84.14
臺北市,南港區,聯成里,0,2,3378,86,3464,4073,3,1,3,0,1,0,85.05
臺北市,南港區,舊莊里,0,2,4937,131,5068,6149,3,1,3,0,1,0,82.42
臺北市,南港區,中研里,0,2,5733,150,5883,6973,3,1,3,0,1,0,84.37
臺北市,南港區,九如里,0,2,3783,96,3879,4664,4,1,4,0,1,0,83.17
臺北市,內湖區,西湖里,0,2,4963,119,5082,6046,2,1,2,0,1,0,84.06
臺北市,內湖區,西康里,0,2,4639,149,4788,5715,5,1,5,0,1,0,83.78
臺北市,內湖區,西安里,0,2,3734,97,3831,4582,3,1,3,0,1,0,83.61
臺北市,內湖區,港墘里,0,2,3215,95,3310,3933,4,1,4,0,1,0,84.16
臺北市,內湖區,港都里,0,2,6484,155,6639,7921,4,1,3,1,1,0,83.82
臺北市,內湖區,港富里,0,2,5558,115,5673,6814,2,1,2,0,1,0,83.26
臺北市,內湖區,港華里,0,2,4736,113,4849,5774,2,1,2,0,1,0,83.98
臺北市,內湖區,內湖里,0,2,3123,82,3205,3894,3,1,3,0,1,0,82.31
臺北市,內湖區,湖濱里,0,2,4320,80,4400,5401,3,1,3,0,1,0,81.47
臺北市,內湖區,紫星里,0,2,4939,121,5060,6065,2,1,2,0,1,0,83.43
臺北市,內湖區,大湖里,0,2,6340,158,6498,8056,4,1,4,0,1,0,80.66
臺北市,內湖區,金龍里,0,2,3465,82,3547,4259,3,1,2,1,0,1,83.28
臺北市,內湖區,金瑞里,0,2,3813,97,3910,4708,5,1,5,0,1,0,83.05
臺北市,內湖區,碧山里,0,2,4079,64,4143,5059,2,1,2,0,1,0,81.89
臺北市,內湖區,紫雲里,0,2,3050,100,3150,3780,3,1,3,0,1,0,83.33
臺北市,內湖區,清白里,0,2,3171,77,3248,3967,2,1,2,0,1,0,81.88
臺北市,內湖區,葫洲里,0,2,12583,283,12866,15653,3,1,3,0,1,0,82.20
臺北市,內湖區,紫陽里,0,2,4043,82,4125,4945,2,1,2,0,1,0,83.42
臺北市,內湖區,瑞陽里,0,2,5008,104,5112,6027,3,1,3,0,1,0,84.82
臺北市,內湖區,瑞光里,0,2,2922,71,2993,3532,2,1,1,1,0,1,84.74
臺北市,內湖區,五分里,0,2,4819,130,4949,5940,2,1,1,1,1,0,83.32
臺北市,內湖區,東湖里,0,2,8064,178,8242,9904,4,1,4,0,1,0,83.22
臺北市,內湖區,樂康里,0,2,4208,98,4306,5154,5,1,4,1,1,0,83.55
臺北市,內湖區,內溝里,0,2,4851,113,4964,6028,3,1,2,1,0,1,82.35
臺北市,內湖區,週美里,0,2,2938,75,3013,3555,2,1,2,0,1,0,84.75
臺北市,內湖區,行善里,0,2,2850,93,2943,3552,2,1,2,0,1,0,82.85
臺北市,內湖區,石潭里,0,2,1629,52,1681,2073,3,1,2,1,1,0,81.09
臺北市,內湖區,湖興里,0,2,3983,110,4093,4893,2,1,2,0,1,0,83.65
臺北市,內湖區,湖元里,0,2,2695,84,2779,3354,3,1,3,0,1,0,82.86
臺北市,松山區,莊敬里,0,3,3804,83,3887,4746,4,1,4,0,1,0,81.90
臺北市,松山區,東榮里,0,3,5254,114,5368,6879,5,1,3,2,0,1,78.03
臺北市,松山區,三民里,0,3,4218,117,4335,5475,2,1,2,0,1,0,79.18
臺北市,松山區,新益里,0,3,2970,85,3055,3774,3,1,3,0,1,0,80.95
臺北市,松山區,富錦里,0,3,3297,69,3366,4263,2,1,2,0,1,0,78.96
臺北市,松山區,新東里,0,3,3005,90,3095,3869,5,1,5,0,1,0,79.99
臺北市,松山區,富泰里,0,3,2713,64,2777,3659,1,1,1,0,1,0,75.90
臺北市,松山區,介壽里,0,3,2805,67,2872,3761,4,1,4,0,1,0,76.36
臺北市,松山區,精忠里,0,3,2775,70,2845,3738,3,1,3,0,1,0,76.11
臺北市,松山區,東光里,0,3,4601,114,4715,6104,2,1,2,0,1,0,77.24
臺北市,松山區,龍田里,0,3,3421,69,3490,4530,3,1,3,0,1,0,77.04
臺北市,松山區,東昌里,0,3,2832,68,2900,3692,4,1,4,0,1,0,78.55
臺北市,松山區,東勢里,0,3,2001,53,2054,2620,4,1,3,1,1,0,78.40
臺北市,松山區,中華里,0,3,2988,85,3073,3786,4,1,4,0,1,0,81.17
臺北市,松山區,民有里,0,3,5175,142,5317,6909,2,1,2,0,1,0,76.96
臺北市,松山區,民福里,0,3,4160,122,4282,5315,3,1,3,0,1,0,80.56
臺北市,松山區,慈祐里,0,3,3804,86,3890,4780,3,1,2,1,0,1,81.38
臺北市,松山區,安平里,0,3,5663,185,5848,7063,1,1,1,0,1,0,82.80
臺北市,松山區,鵬程里,0,3,3197,80,3277,3977,2,1,1,1,1,0,82.40
臺北市,松山區,自強里,0,3,4517,88,4605,5786,3,1,2,1,0,1,79.59
臺北市,松山區,吉祥里,0,3,4694,160,4854,6137,4,1,4,0,1,0,79.09
臺北市,松山區,新聚里,0,3,4364,124,4488,5666,2,1,2,0,1,0,79.21
臺北市,松山區,復盛里,0,3,4002,108,4110,5060,4,1,3,1,1,0,81.23
臺北市,松山區,中正里,0,3,4507,155,4662,6052,2,1,2,0,1,0,77.03
臺北市,松山區,中崙里,0,3,2457,77,2534,3126,2,1,2,0,1,0,81.06
臺北市,松山區,美仁里,0,3,2125,47,2172,2667,5,1,5,0,1,0,81.44
臺北市,松山區,吉仁里,0,3,2346,66,2412,3004,4,1,4,0,1,0,80.29
臺北市,松山區,敦化里,0,3,4315,108,4423,5475,4,1,4,0,1,0,80.79
臺北市,松山區,復源里,0,3,1956,53,2009,2522,2,1,2,0,1,0,79.66
臺北市,松山區,復建里,0,3,2209,48,2257,2879,3,1,3,0,1,0,78.40
臺北市,松山區,復勢里,0,3,3693,104,3797,4797,2,1,2,0,1,0,79.15
臺北市,松山區,福成里,0,3,1553,59,1612,2173,3,1,3,0,1,0,74.18
臺北市,松山區,松基里,0,3,2228,99,2327,2990,2,1,2,0,1,0,77.83
臺北市,信義區,西村里,0,3,3053,66,3119,3905,2,1,2,0,1,0,79.87
臺北市,信義區,正和里,0,3,2961,105,3066,3958,2,1,1,1,0,1,77.46
臺北市,信義區,興隆里,0,3,1828,55,1883,2510,2,1,2,0,1,0,75.02
臺北市,信義區,中興里,0,3,1621,55,1676,2269,2,1,1,1,1,0,73.87
臺北市,信義區,新仁里,0,3,2584,71,2655,3483,2,1,2,0,1,0,76.23
臺北市,信義區,興雅里,0,3,3796,108,3904,4951,3,1,3,0,1,0,78.85
臺北市,信義區,敦厚里,0,3,2856,96,2952,3741,2,1,2,0,1,0,78.91
臺北市,信義區,廣居里,0,3,3791,80,3871,4866,2,1,2,0,1,0,79.55
臺北市,信義區,安康里,0,3,4592,101,4693,5932,2,1,2,0,1,0,79.11
臺北市,信義區,六藝里,0,3,2244,65,2309,2819,2,1,2,0,1,0,81.91
臺北市,信義區,雅祥里,0,3,2972,55,3027,3695,3,1,3,0,1,0,81.92
臺北市,信義區,五常里,0,3,2375,77,2452,2982,3,1,2,1,1,0,82.23
臺北市,信義區,五全里,0,3,3322,115,3437,4141,3,1,3,0,1,0,83.00
臺北市,信義區,永吉里,0,3,3034,94,3128,3772,2,1,2,0,1,0,82.93
臺北市,信義區,長春里,0,3,2949,90,3039,3705,2,1,2,0,1,0,82.02
臺北市,信義區,四育里,0,3,3693,102,3795,4495,1,1,1,0,1,0,84.43
臺北市,信義區,四維里,0,3,3647,84,3731,4602,3,1,3,0,1,0,81.07
臺北市,信義區,永春里,0,3,3609,86,3695,4471,1,1,1,0,1,0,82.64
臺北市,信義區,富台里,0,3,2484,56,2540,3158,2,1,2,0,1,0,80.43
臺北市,信義區,國業里,0,3,4250,105,4355,5368,2,1,2,0,1,0,81.13
臺北市,信義區,松隆里,0,3,1844,57,1901,2365,2,1,2,0,1,0,80.38
臺北市,信義區,松友里,0,3,3992,127,4119,5001,4,1,4,0,1,0,82.36
臺北市,信義區,松光里,0,3,3623,72,3695,4549,6,1,6,0,1,0,81.23
臺北市,信義區,中坡里,0,3,3036,76,3112,3747,3,1,2,1,0,1,83.05
臺北市,信義區,中行里,0,3,5060,154,5214,6239,6,1,6,0,1,0,83.57
臺北市,信義區,大道里,0,3,4157,131,4288,5237,2,1,2,0,1,0,81.88
臺北市,信義區,大仁里,0,3,3796,186,3982,4927,1,1,1,0,1,0,80.82
臺北市,信義區,景新里,0,3,3100,73,3173,3974,4,1,4,0,1,0,79.84
臺北市,信義區,惠安里,0,3,4434,122,4556,5504,2,1,2,0,1,0,82.78
臺北市,信義區,三張里,0,3,5721,146,5867,7318,2,1,2,0,1,0,80.17
臺北市,信義區,三犁里,0,3,3052,79,3131,3953,4,1,2,2,0,1,79.21
臺北市,信義區,六合里,0,3,4015,90,4105,5189,2,1,2,0,1,0,79.11
臺北市,信義區,泰和里,0,3,5172,152,5324,6614,3,1,2,1,1,0,80.50
臺北市,信義區,景聯里,0,3,3100,99,3199,3956,2,1,2,0,1,0,80.86
臺北市,信義區,景勤里,0,3,3098,77,3175,3907,1,1,1,0,1,0,81.26
臺北市,信義區,雙和里,0,3,4365,97,4462,5478,2,1,2,0,1,0,81.45
臺北市,信義區,嘉興里,0,3,2122,66,2188,2666,1,1,1,0,1,0,82.07
臺北市,信義區,黎順里,0,3,2751,80,2831,3563,3,1,3,0,1,0,79.46
臺北市,信義區,黎平里,0,3,4407,177,4584,5588,1,1,1,0,1,0,82.03
臺北市,信義區,黎忠里,0,3,3031,125,3156,3804,2,1,2,0,1,0,82.97
臺北市,信義區,黎安里,0,3,1902,71,1973,2473,2,1,2,0,1,0,79.78
臺北市,中山區,正守里,0,4,1915,55,1970,2509,2,1,2,0,1,0,78.52
臺北市,中山區,正義里,0,4,2541,92,2633,3524,3,1,3,0,1,0,74.72
臺北市,中山區,正得里,0,4,1821,43,1864,2562,1,1,1,0,1,0,72.76
臺北市,中山區,民安里,0,4,3053,72,3125,4105,2,1,2,0,1,0,76.13
臺北市,中山區,康樂里,0,4,1247,53,1300,1888,2,1,2,0,1,0,68.86
臺北市,中山區,中山里,0,4,2869,88,2957,3938,3,1,3,0,1,0,75.09
臺北市,中山區,聚盛里,0,4,1989,54,2043,2782,1,1,1,0,1,0,73.44
臺北市,中山區,集英里,0,4,3508,102,3610,4553,7,1,7,0,1,0,79.29
臺北市,中山區,聚葉里,0,4,2210,70,2280,3001,2,1,2,0,1,0,75.97
臺北市,中山區,恆安里,0,4,1738,60,1798,2474,4,1,3,1,1,0,72.68
臺北市,中山區,晴光里,0,4,2274,63,2337,3254,5,1,4,1,1,0,71.82
臺北市,中山區,圓山里,0,4,2729,102,2831,3721,3,1,3,0,1,0,76.08
臺北市,中山區,劍潭里,0,4,1843,38,1881,2354,2,1,2,0,1,0,79.91
臺北市,中山區,大直里,0,4,6201,129,6330,7756,3,1,3,0,1,0,81.61
臺北市,中山區,成功里,0,4,3356,101,3457,4130,4,1,3,1,0,1,83.70
臺北市,中山區,永安里,0,4,4270,97,4367,5250,2,1,2,0,1,0,83.18
臺北市,中山區,大佳里,0,4,727,23,750,909,3,1,3,0,1,0,82.51
臺北市,中山區,新喜里,0,4,3160,83,3243,3950,2,1,2,0,1,0,82.10
臺北市,中山區,新庄里,0,4,3034,66,3100,3902,2,1,2,0,1,0,79.45
臺北市,中山區,新福里,0,4,3144,94,3238,4098,3,1,3,0,1,0,79.01
臺北市,中山區,松江里,0,4,3939,70,4009,5052,2,1,2,0,1,0,79.35
臺北市,中山區,新生里,0,4,3012,78,3090,3910,2,1,2,0,1,0,79.03
臺北市,中山區,中庄里,0,4,3488,96,3584,4567,2,1,2,0,1,0,78.48
臺北市,中山區,行政里,0,4,3212,99,3311,4156,1,1,1,0,1,0,79.67
臺北市,中山區,行仁里,0,4,5220,131,5351,6468,2,1,2,0,1,0,82.73
臺北市,中山區,行孝里,0,4,2418,63,2481,3042,3,1,3,0,1,0,81.56
臺北市,中山區,下埤里,0,4,4455,117,4572,5568,3,1,2,1,1,0,82.11
臺北市,中山區,江寧里,0,4,4013,102,4115,5157,4,1,4,0,1,0,79.79
臺北市,中山區,江山里,0,4,4659,115,4774,5840,4,1,4,0,1,0,81.75
臺北市,中山區,中吉里,0,4,3176,61,3237,4206,2,1,2,0,1,0,76.96
臺北市,中山區,中原里,0,4,2862,76,2938,3809,3,1,3,0,1,0,77.13
臺北市,中山區,興亞里,0,4,3070,68,3138,4166,2,1,2,0,1,0,75.32
臺北市,中山區,中央里,0,4,2194,51,2245,2871,2,1,2,0,1,0,78.20
臺北市,中山區,朱馥里,0,4,3868,106,3974,5005,3,1,3,0,1,0,79.40
臺北市,中山區,龍洲里,0,4,3437,71,3508,4296,2,1,2,0,1,0,81.66
臺北市,中山區,朱園里,0,4,2642,68,2710,3414,3,1,3,0,1,0,79.38
臺北市,中山區,埤頭里,0,4,2655,56,2711,3424,5,1,5,0,1,0,79.18
臺北市,中山區,朱崙里,0,4,2034,56,2090,2631,3,1,3,0,1,0,79.44
臺北市,中山區,力行里,0,4,3825,83,3908,5026,4,1,4,0,1,0,77.76
臺北市,中山區,復華里,0,4,2284,60,2344,3007,2,1,2,0,1,0,77.95
臺北市,大同區,玉泉里,0,4,2433,75,2508,3259,3,1,3,0,1,0,76.96
臺北市,大同區,建明里,0,4,2365,55,2420,3093,2,1,2,0,1,0,78.24
臺北市,大同區,建功里,0,4,2552,65,2617,3240,4,1,3,1,1,0,80.77
臺北市,大同區,建泰里,0,4,2182,59,2241,2879,2,1,2,0,1,0,77.84
臺北市,大同區,永樂里,0,4,3220,66,3286,4135,4,1,4,0,1,0,79.47
臺北市,大同區,朝陽里,0,4,2337,47,2384,2972,2,1,2,0,1,0,80.22
臺北市,大同區,星明里,0,4,2844,73,2917,3583,3,1,3,0,1,0,81.41
臺北市,大同區,光能里,0,4,3427,101,3528,4259,3,1,3,0,1,0,82.84
臺北市,大同區,大有里,0,4,3278,64,3342,4052,2,1,1,1,1,0,82.48
臺北市,大同區,延平里,0,4,2398,70,2468,3141,3,1,2,1,0,1,78.57
臺北市,大同區,雙連里,0,4,5727,159,5886,7228,2,1,2,0,1,0,81.43
臺北市,大同區,南芳里,0,4,2560,61,2621,3268,2,1,2,0,1,0,80.20
臺北市,大同區,民權里,0,4,4136,118,4254,5347,5,1,5,0,1,0,79.56
臺北市,大同區,景星里,0,4,1942,56,1998,2451,2,1,2,0,1,0,81.52
臺北市,大同區,隆和里,0,4,2160,38,2198,2678,3,1,3,0,1,0,82.08
