CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北縣,,,0,1,1,10908,6.63,黃忠信,無,1,Y,T
臺北縣,,,0,1,2,9794,5.95,黃瑞燦,無,1,Y,T
臺北縣,,,0,1,3,942,0.57,潘金宗,無,1,N,
臺北縣,,,0,1,4,10943,6.65,王淑慧,民主進步黨,2,Y,T
臺北縣,,,0,1,5,3352,2.04,黃梓榮,中國國民黨,1,N,
臺北縣,,,0,1,6,7124,4.33,湯明達,新黨,1,Y,
臺北縣,,,0,1,7,6603,4.01,趙燕昭,中國國民黨,1,N,
臺北縣,,,0,1,8,9565,5.81,賴金波,中國國民黨,1,Y,T
臺北縣,,,0,1,9,5664,3.44,黃炳煌,民主進步黨,1,N,
臺北縣,,,0,1,10,8525,5.18,王景源,中國國民黨,1,N,T
臺北縣,,,0,1,11,5988,3.64,廖裕德,無,1,Y,
臺北縣,,,0,1,12,208,0.13,謝清海,無,1,N,
臺北縣,,,0,1,13,7502,4.56,周勝考,中國國民黨,1,N,T
臺北縣,,,0,1,14,5640,3.43,林媽開,民主進步黨,1,N,
臺北縣,,,0,1,15,5348,3.25,何培才,中國國民黨,1,N,
臺北縣,,,0,1,16,3202,1.95,張宏銘,中國國民黨,1,N,
臺北縣,,,0,1,17,8811,5.35,劉姿鴻,無,2,N,T
臺北縣,,,0,1,18,6130,3.73,李淑華,新黨,2,N,
臺北縣,,,0,1,19,5505,3.35,王溪鬪,民主進步黨,1,N,
臺北縣,,,0,1,20,12538,7.62,曾文振,無,1,Y,T
臺北縣,,,0,1,21,1689,1.03,周朝陽,建國黨,1,N,
臺北縣,,,0,1,22,131,0.08,張慶堂,無,1,N,
臺北縣,,,0,1,23,752,0.46,林璽美,綠色本土清新黨,2,N,
臺北縣,,,0,1,24,12826,7.79,徐秀廷,無,1,Y,T
臺北縣,,,0,1,25,4791,2.91,李偉群,無,1,N,
臺北縣,,,0,1,26,10068,6.12,王淑惠,中國國民黨,2,N,T
臺北縣,,,0,2,1,4049,3.38,李睦勤,無,2,N,
臺北縣,,,0,2,2,6869,5.73,王順發,中國國民黨,1,N,
臺北縣,,,0,2,3,11400,9.50,朱佩瑛,中國國民黨,2,N,T
臺北縣,,,0,2,4,8359,6.97,林秀惠,民主進步黨,2,N,
臺北縣,,,0,2,5,9030,7.53,游文煌,新黨,1,N,T
臺北縣,,,0,2,6,10438,8.70,游輝廷,中國國民黨,1,Y,T
臺北縣,,,0,2,7,14662,12.22,邱垂益,中國國民黨,1,Y,T
臺北縣,,,0,2,8,7627,6.36,徐秉賢,民主進步黨,1,N,
臺北縣,,,0,2,9,7186,5.99,張瑞山,民主進步黨,1,N,
臺北縣,,,0,2,10,10485,8.74,簡文劉,中國國民黨,1,N,T
臺北縣,,,0,2,11,8643,7.21,游詩源,中國國民黨,1,Y,T
臺北縣,,,0,2,12,15429,12.86,陳錦錠,中國國民黨,2,Y,T
臺北縣,,,0,2,13,1198,1.00,陳光宇,綠色本土清新黨,2,N,
臺北縣,,,0,2,14,4580,3.82,侯國華,新黨,1,N,
臺北縣,,,0,3,1,10728,15.94,林雪琴,民主進步黨,2,Y,T
臺北縣,,,0,3,2,8032,11.93,劉君驥,新黨,1,N,
臺北縣,,,0,3,3,14425,21.43,陳鴻源,中國國民黨,1,N,T
臺北縣,,,0,3,4,2610,3.88,石筑翎,中國國民黨,2,N,
臺北縣,,,0,3,5,4074,6.05,孫和連,無,1,N,
臺北縣,,,0,3,6,2454,3.65,劉枝發,無,1,N,
臺北縣,,,0,3,7,9179,13.64,金介壽,新黨,1,Y,T
臺北縣,,,0,3,8,580,0.86,萬世忠,無,1,N,
臺北縣,,,0,3,9,642,0.95,果春暉,無,1,N,
臺北縣,,,0,3,10,14578,21.66,蘇貴碧,中國國民黨,2,Y,T
臺北縣,,,0,4,1,11625,7.99,呂進福,中國國民黨,1,Y,T
臺北縣,,,0,4,2,5515,3.79,蔡黃隆,新黨,1,N,
臺北縣,,,0,4,3,441,0.30,林宗賢,無,1,N,
臺北縣,,,0,4,4,14642,10.07,蘇有仁,中國國民黨,1,Y,T
臺北縣,,,0,4,5,117,0.08,李震東,無,1,N,
臺北縣,,,0,4,6,9026,6.21,高敏慧,民主進步黨,2,N,T
臺北縣,,,0,4,7,8880,6.11,朱子孟,中國國民黨,1,N,T
臺北縣,,,0,4,8,12270,8.44,林阿坤,民主進步黨,1,Y,T
臺北縣,,,0,4,9,12914,8.88,王明麗,中國國民黨,2,Y,T
臺北縣,,,0,4,10,3791,2.61,簡長文,民主進步黨,1,N,
