CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,56363,1246,57609,106061,69,23,60,9,20,3,54.75
臺北縣,,,0,11,3983,103,4086,10170,3,1,3,0,1,0,40.18
桃園縣,,,0,13,4001,130,4131,7990,6,2,5,1,1,1,51.70
苗栗縣,,,0,7,1242,37,1279,2047,2,1,2,0,1,0,62.48
臺中縣,,,0,8,1070,37,1107,1879,2,1,2,0,1,0,58.91
高雄縣,,,0,9,722,20,742,1121,7,1,5,2,1,0,66.19
屏東縣,,,0,8,1180,45,1225,1637,2,1,2,0,1,0,74.83
臺東縣,,,0,9,22544,397,22941,41260,23,8,20,3,7,1,55.60
花蓮縣,,,0,7,19856,458,20314,36886,22,7,19,3,6,1,55.07
基隆市,,,0,8,1765,19,1784,3071,2,1,2,0,1,0,58.09
臺北縣,,,0,11,3983,103,4086,10170,3,1,3,0,1,0,40.18
桃園縣,,,0,13,4001,130,4131,7990,6,2,5,1,1,1,51.70
苗栗縣,,,0,7,1242,37,1279,2047,2,1,2,0,1,0,62.48
臺中縣,,,0,8,1070,37,1107,1879,2,1,2,0,1,0,58.91
高雄縣,,,0,9,722,20,742,1121,7,1,5,2,1,0,66.19
屏東縣,,,0,8,1180,45,1225,1637,2,1,2,0,1,0,74.83
臺東縣,,,0,9,6084,124,6208,10458,6,2,5,1,2,0,59.36
臺東縣,,,0,9,5425,117,5542,8998,6,2,6,0,2,0,61.59
臺東縣,,,0,9,2687,50,2737,4991,3,1,3,0,1,0,54.84
臺東縣,,,0,9,8348,106,8454,16813,8,3,6,2,2,1,50.28
花蓮縣,,,0,7,6328,162,6490,11852,6,2,5,1,1,1,54.76
花蓮縣,,,0,7,8273,144,8417,14496,9,3,9,0,3,0,58.06
花蓮縣,,,0,7,5255,152,5407,10538,7,2,5,2,2,0,51.31
基隆市,,,0,8,1765,19,1784,3071,2,1,2,0,1,0,58.09
臺北縣,板橋市,,0,11,220,5,225,684,11,4,7,4,3,1,32.89
臺北縣,三重市,,0,11,92,2,94,284,23,9,18,5,6,3,33.10
臺北縣,中和市,,0,11,182,10,192,504,18,10,14,4,8,2,38.10
臺北縣,永和市,,0,11,53,2,55,141,33,10,27,6,8,2,39.01
臺北縣,新莊市,,0,11,310,9,319,1003,7,3,6,1,3,0,31.80
臺北縣,新店市,,0,11,242,7,249,643,12,4,9,3,3,1,38.72
臺北縣,樹林市,,0,11,607,13,620,1359,2,1,2,0,1,0,45.62
臺北縣,鶯歌鎮,,0,11,119,4,123,362,11,5,8,3,4,1,33.98
臺北縣,三峽鎮,,0,11,116,3,119,329,11,6,8,3,5,1,36.17
臺北縣,淡水鎮,,0,11,69,0,69,226,3,2,1,2,1,1,30.53
臺北縣,汐止市,,0,11,586,9,595,1376,5,3,5,0,3,0,43.24
臺北縣,瑞芳鎮,,0,11,273,6,279,508,5,2,3,2,2,0,54.92
臺北縣,土城市,,0,11,521,12,533,1309,4,2,4,0,2,0,40.72
臺北縣,蘆洲市,,0,11,160,5,165,436,9,5,7,2,4,1,37.84
臺北縣,五股鄉,,0,11,86,1,87,237,7,3,6,1,3,0,36.71
臺北縣,泰山鄉,,0,11,88,2,90,193,8,4,4,4,3,1,46.63
臺北縣,林口鄉,,0,11,100,7,107,237,3,2,3,0,2,0,45.15
臺北縣,深坑鄉,,0,11,13,1,14,33,5,3,4,1,3,0,42.42
臺北縣,石碇鄉,,0,11,1,0,1,3,32,11,27,5,8,3,33.33
臺北縣,坪林鄉,,0,11,1,1,2,3,9,4,6,3,3,1,66.67
臺北縣,三芝鄉,,0,11,13,1,14,46,18,5,16,2,3,2,30.43
臺北縣,石門鄉,,0,11,4,0,4,11,6,3,5,1,3,0,36.36
臺北縣,八里鄉,,0,11,27,1,28,77,6,2,5,1,2,0,36.36
臺北縣,平溪鄉,,0,11,11,0,11,13,10,3,9,1,3,0,84.62
臺北縣,雙溪鄉,,0,11,3,1,4,4,30,10,26,4,8,2,100.00
臺北縣,貢寮鄉,,0,11,4,0,4,10,21,6,17,4,4,2,40.00
臺北縣,金山鄉,,0,11,8,1,9,14,13,4,8,5,3,1,64.29
臺北縣,萬里鄉,,0,11,49,0,49,88,6,3,5,1,2,1,55.68
臺北縣,烏來鄉,,0,11,25,0,25,37,5,2,5,0,2,0,67.57
桃園縣,桃園市,,0,13,298,8,306,721,5,2,5,0,2,0,42.44
桃園縣,中壢市,,0,13,340,8,348,767,15,7,13,2,5,2,45.37
桃園縣,大溪鎮,,0,13,784,23,807,1302,11,5,7,4,3,2,61.98
桃園縣,楊梅鎮,,0,13,115,4,119,315,9,4,5,4,3,1,37.78
桃園縣,蘆竹鄉,,0,13,151,8,159,383,3,2,3,0,2,0,41.51
桃園縣,大園鄉,,0,13,356,12,368,653,6,3,6,0,3,0,56.36
桃園縣,龜山鄉,,0,13,567,19,586,1139,1,1,1,0,1,0,51.45
桃園縣,八德市,,0,13,697,20,717,1299,6,2,6,0,2,0,55.20
桃園縣,龍潭鄉,,0,13,219,9,228,436,21,7,18,3,6,1,52.29
桃園縣,平鎮市,,0,13,379,15,394,796,3,1,3,0,1,0,49.50
桃園縣,新屋鄉,,0,13,31,0,31,56,24,9,19,5,7,2,55.36
桃園縣,觀音鄉,,0,13,26,2,28,59,7,3,7,0,3,0,47.46
