CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,2295086,24545,2319631,2873732,7,2,7,0,2,0,80.72
臺北市,,,0,0,1498901,12734,1511635,1868860,3,1,3,0,1,0,80.89
高雄市,,,0,0,796185,11811,807996,1004872,4,1,4,0,1,0,80.41
臺北市,松山區,,0,0,116351,816,117167,147885,3,1,2,1,0,1,79.23
臺北市,信義區,,0,0,140736,1224,141960,175658,3,1,2,1,0,1,80.82
臺北市,大安區,,0,0,178075,1233,179308,230918,3,1,2,1,0,1,77.65
臺北市,中山區,,0,0,122516,1346,123862,157069,3,1,2,1,0,1,78.86
臺北市,中正區,,0,0,92149,741,92890,117916,3,1,2,1,0,1,78.78
臺北市,大同區,,0,0,77609,770,78379,96510,3,1,2,1,0,1,81.21
臺北市,萬華區,,0,0,123367,1120,124487,152583,2,1,2,0,1,0,81.59
臺北市,文山區,,0,0,138453,1049,139502,169965,4,1,4,0,1,0,82.08
臺北市,南港區,,0,0,64226,593,64819,77586,2,1,2,0,1,0,83.54
臺北市,內湖區,,0,0,133373,1131,134504,161962,4,1,3,1,1,0,83.05
臺北市,士林區,,0,0,170555,1386,171941,209080,3,1,3,0,1,0,82.24
臺北市,北投區,,0,0,141491,1325,142816,171728,4,1,4,0,1,0,83.16
高雄市,鹽埕區,,0,0,18843,252,19095,23913,3,1,3,0,1,0,79.85
高雄市,鼓山區,,0,0,62394,868,63262,78675,4,1,4,0,1,0,80.41
高雄市,左營區,,0,0,78751,1111,79862,100139,2,1,2,0,1,0,79.75
高雄市,楠梓區,,0,0,79294,1168,80462,97700,4,1,2,2,1,0,82.36
高雄市,三民區,,0,0,184945,2663,187608,234413,2,1,0,2,0,1,80.03
高雄市,新興區,,0,0,35072,452,35524,45447,3,1,2,1,1,0,78.17
高雄市,前金區,,0,0,19849,255,20104,25735,3,1,3,0,1,0,78.12
高雄市,苓雅區,,0,0,111788,1629,113417,142341,3,1,3,0,1,0,79.68
高雄市,前鎮區,,0,0,110646,1820,112466,139074,5,1,4,1,0,1,80.87
高雄市,旗津區,,0,0,18040,372,18412,22750,2,1,1,1,1,0,80.93
高雄市,小港區,,0,0,76563,1221,77784,94685,3,1,3,0,1,0,82.15
臺北市,松山區,莊敬里,0,0,3871,24,3895,4757,3,1,3,0,1,0,81.88
臺北市,松山區,東榮里,0,0,5359,26,5385,6900,7,1,6,1,1,0,78.04
臺北市,松山區,三民里,0,0,4318,34,4352,5503,2,1,2,0,1,0,79.08
臺北市,松山區,新益里,0,0,3041,20,3061,3790,5,1,5,0,1,0,80.77
臺北市,松山區,富錦里,0,0,3371,11,3382,4282,7,1,6,1,1,0,78.98
臺北市,松山區,新東里,0,0,3083,24,3107,3885,3,1,3,0,1,0,79.97
臺北市,松山區,富泰里,0,0,2780,8,2788,3676,2,1,1,1,1,0,75.84
臺北市,松山區,介壽里,0,0,2859,20,2879,3769,4,1,3,1,1,0,76.39
臺北市,松山區,精忠里,0,0,2834,18,2852,3746,4,1,3,1,0,1,76.13
臺北市,松山區,東光里,0,0,4702,41,4743,6138,4,1,4,0,1,0,77.27
臺北市,松山區,龍田里,0,0,3493,16,3509,4552,2,1,2,0,1,0,77.09
臺北市,松山區,東昌里,0,0,2893,14,2907,3699,2,1,1,1,1,0,78.59
臺北市,松山區,東勢里,0,0,2047,14,2061,2628,2,1,2,0,1,0,78.42
臺北市,松山區,中華里,0,0,3053,28,3081,3794,4,1,4,0,1,0,81.21
臺北市,松山區,民有里,0,0,5298,42,5340,6936,2,1,2,0,1,0,76.99
臺北市,松山區,民福里,0,0,4261,36,4297,5335,3,1,3,0,1,0,80.54
臺北市,松山區,慈祐里,0,0,3877,25,3902,4798,2,1,2,0,1,0,81.33
臺北市,松山區,安平里,0,0,5805,62,5867,7086,2,1,1,1,1,0,82.80
臺北市,松山區,鵬程里,0,0,3281,14,3295,4003,2,1,2,0,1,0,82.31
臺北市,松山區,自強里,0,0,4592,34,4626,5813,1,1,1,0,1,0,79.58
臺北市,松山區,吉祥里,0,0,4837,35,4872,6157,3,1,2,1,1,0,79.13
臺北市,松山區,新聚里,0,0,4469,39,4508,5691,3,1,2,1,1,0,79.21
臺北市,松山區,復盛里,0,0,4091,27,4118,5073,3,1,3,0,1,0,81.17
臺北市,松山區,中正里,0,0,4661,29,4690,6089,3,1,3,0,1,0,77.02
臺北市,松山區,中崙里,0,0,2526,21,2547,3142,3,1,3,0,1,0,81.06
