CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,6255321,192061,6447382,10069401,827,319,760,67,301,18,64.03
臺北縣,,,0,0,1044573,26733,1071306,2236468,74,29,65,9,26,3,47.90
宜蘭縣,,,0,0,204436,4734,209170,314541,31,12,25,6,11,1,66.50
桃園縣,,,0,0,547139,16009,563148,1034243,39,13,36,3,13,0,54.45
新竹縣,,,0,0,187047,5175,192222,278052,35,13,34,1,13,0,69.13
苗栗縣,,,0,0,247254,7157,254411,378337,48,18,39,9,15,3,67.24
臺中縣,,,0,0,604815,20510,625325,927456,65,21,61,4,20,1,67.42
彰化縣,,,0,0,628004,24509,652513,857455,69,26,65,4,24,2,76.10
南投縣,,,0,0,244611,11202,255813,373237,39,13,34,5,12,1,68.54
雲林縣,,,0,0,387653,11161,398814,524496,45,20,44,1,19,1,76.04
嘉義縣,,,0,0,287320,9144,296464,401418,44,18,40,4,16,2,73.85
臺南縣,,,0,0,517393,13975,531368,755552,88,31,79,9,31,0,70.33
高雄縣,,,0,0,587729,18506,606235,834697,67,27,63,4,25,2,72.63
屏東縣,,,0,0,444507,8355,452862,629047,83,33,81,2,33,0,71.99
臺東縣,,,0,0,107649,4259,111908,175688,37,16,36,1,16,0,63.70
花蓮縣,,,0,0,139340,7500,146840,245324,31,13,27,4,12,1,59.86
澎湖縣,,,0,0,45450,2174,47624,64234,10,6,9,1,5,1,74.14
金門縣,,,0,0,25897,774,26671,33010,15,6,15,0,6,0,80.80
連江縣,,,0,0,4504,184,4688,6146,7,4,7,0,4,0,76.28
臺北縣,板橋市,,0,0,162594,4775,167369,338061,2,1,2,0,1,0,49.51
臺北縣,三重市,,0,0,117335,3608,120943,248841,2,1,2,0,1,0,48.60
臺北縣,中和市,,0,0,119150,2440,121590,262443,3,1,3,0,1,0,46.33
臺北縣,永和市,,0,0,66434,2032,68466,156991,2,1,2,0,1,0,43.61
臺北縣,新莊市,,0,0,88461,2188,90649,215932,3,1,1,2,0,1,41.98
