CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,8394104,135543,8529647,12835467,88,23,78,10,21,2,66.45
臺北縣,,,0,0,1704188,19336,1723524,2531827,4,1,4,0,1,0,68.07
宜蘭縣,,,0,0,208950,2254,211204,330826,4,1,4,0,1,0,63.84
桃園縣,,,0,0,799904,10819,810723,1186731,3,1,3,0,1,0,68.32
新竹縣,,,0,0,210015,3968,213983,304018,2,1,2,0,1,0,70.38
苗栗縣,,,0,0,262157,4181,266338,396038,4,1,4,0,1,0,67.25
臺中縣,,,0,0,657034,19333,676367,1020695,3,1,3,0,1,0,66.27
彰化縣,,,0,0,613297,11316,624613,916615,5,1,1,4,0,1,68.14
南投縣,,,0,0,257243,3259,260502,386973,7,1,7,0,1,0,67.32
雲林縣,,,0,0,333975,9582,343557,541963,2,1,2,0,1,0,63.39
嘉義縣,,,0,0,264177,4119,268296,414289,5,1,5,0,1,0,64.76
臺南縣,,,0,0,532235,7392,539627,802135,3,1,3,0,1,0,67.27
高雄縣,,,0,0,579873,10613,590486,889534,3,1,3,0,1,0,66.38
屏東縣,,,0,0,432393,5386,437779,655232,3,1,3,0,1,0,66.81
臺東縣,,,0,0,99515,1851,101366,176884,4,1,4,0,1,0,57.31
花蓮縣,,,0,0,151719,2518,154237,254081,5,1,4,1,1,0,60.70
澎湖縣,,,0,0,39935,770,40705,67252,3,1,2,1,1,0,60.53
基隆市,,,0,0,172282,4650,176932,280531,2,1,2,0,1,0,63.07
新竹市,,,0,0,161717,2844,164561,257470,4,1,3,1,1,0,63.91
臺中市,,,0,0,435722,4476,440198,666557,3,1,2,1,1,0,66.04
嘉義市,,,0,0,119894,1702,121596,186851,5,1,3,2,0,1,65.08
臺南市,,,0,0,328121,4537,332658,522744,6,1,6,0,1,0,63.64
金門縣,,,0,0,25190,526,25716,39991,6,1,6,0,1,0,64.30
連江縣,,,0,0,4568,111,4679,6230,2,1,2,0,1,0,75.10
臺北縣,板橋市,,0,0,256081,2969,259050,375629,5,1,4,1,0,1,68.96
臺北縣,三重市,,0,0,181803,2163,183966,271773,2,1,1,1,1,0,67.69
臺北縣,中和市,,0,0,203560,2333,205893,294347,3,1,3,0,1,0,69.95
臺北縣,永和市,,0,0,116481,1121,117602,167375,3,1,3,0,1,0,70.26
臺北縣,新莊市,,0,0,164592,1922,166514,250660,7,1,6,1,1,0,66.43
臺北縣,新店市,,0,0,138046,1182,139228,200737,2,1,2,0,1,0,69.36
臺北縣,樹林市,,0,0,69246,905,70151,103629,5,1,5,0,1,0,67.69
臺北縣,鶯歌鎮,,0,0,37071,449,37520,54294,7,1,6,1,1,0,69.11
臺北縣,三峽鎮,,0,0,38088,493,38581,56015,3,1,3,0,1,0,68.88
臺北縣,淡水鎮,,0,0,55198,647,55845,84936,2,1,1,1,1,0,65.75
臺北縣,汐止市,,0,0,77779,789,78568,120772,4,1,3,1,1,0,65.05
臺北縣,瑞芳鎮,,0,0,22885,295,23180,34500,4,1,3,1,0,1,67.19
臺北縣,土城市,,0,0,103907,1302,105209,154180,4,1,4,0,1,0,68.24
臺北縣,蘆洲市,,0,0,71805,811,72616,111084,2,1,2,0,1,0,65.37
臺北縣,五股鄉,,0,0,31741,353,32094,47654,2,1,1,1,1,0,67.35
臺北縣,泰山鄉,,0,0,29272,340,29612,42464,2,1,2,0,1,0,69.73
臺北縣,林口鄉,,0,0,23371,237,23608,34575,4,1,4,0,1,0,68.28
臺北縣,深坑鄉,,0,0,9701,94,9795,14722,2,1,2,0,1,0,66.53
臺北縣,石碇鄉,,0,0,3972,48,4020,5920,3,1,3,0,1,0,67.91
臺北縣,坪林鄉,,0,0,3145,32,3177,4893,2,1,2,0,1,0,64.93
臺北縣,三芝鄉,,0,0,10650,165,10815,16358,2,1,1,1,1,0,66.11
臺北縣,石門鄉,,0,0,5456,66,5522,8208,2,1,2,0,1,0,67.28
臺北縣,八里鄉,,0,0,13735,216,13951,20351,1,1,1,0,1,0,68.55
臺北縣,平溪鄉,,0,0,3292,40,3332,5085,3,1,2,1,1,0,65.53
臺北縣,雙溪鄉,,0,0,5552,54,5606,8408,3,1,2,1,1,0,66.67
臺北縣,貢寮鄉,,0,0,6723,81,6804,10721,3,1,3,0,1,0,63.46
臺北縣,金山鄉,,0,0,9936,97,10033,15280,3,1,3,0,1,0,65.66
臺北縣,萬里鄉,,0,0,8916,108,9024,14091,3,1,3,0,1,0,64.04
臺北縣,烏來鄉,,0,0,2184,24,2208,3166,2,1,2,0,1,0,69.74
宜蘭縣,宜蘭市,,0,0,40455,419,40874,63866,3,1,3,0,1,0,64.00
宜蘭縣,羅東鎮,,0,0,30155,320,30475,48033,3,1,3,0,1,0,63.45
宜蘭縣,蘇澳鎮,,0,0,20773,216,20989,33868,2,1,2,0,1,0,61.97
宜蘭縣,頭城鎮,,0,0,15094,145,15239,23707,2,1,2,0,1,0,64.28
宜蘭縣,礁溪鄉,,0,0,17498,195,17693,27354,2,1,2,0,1,0,64.68
宜蘭縣,壯圍鄉,,0,0,12319,146,12465,19449,4,1,4,0,1,0,64.09
宜蘭縣,員山鄉,,0,0,15042,173,15215,24556,5,1,5,0,1,0,61.96
宜蘭縣,冬山鄉,,0,0,24137,258,24395,37057,3,1,3,0,1,0,65.83
宜蘭縣,五結鄉,,0,0,18078,161,18239,28341,3,1,3,0,1,0,64.36
宜蘭縣,三星鄉,,0,0,10367,126,10493,16671,5,1,5,0,1,0,62.94
宜蘭縣,大同鄉,,0,0,2597,43,2640,4036,4,1,4,0,1,0,65.41
宜蘭縣,南澳鄉,,0,0,2435,52,2487,3888,4,1,4,0,1,0,63.97
桃園縣,桃園市,,0,0,148875,1640,150515,224673,2,1,2,0,1,0,66.99
桃園縣,中壢市,,0,0,154377,1908,156285,224748,3,1,3,0,1,0,69.54
桃園縣,大溪鎮,,0,0,39321,538,39859,57654,3,1,3,0,1,0,69.13
