CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
全國,,,0,0,1,11311,16.55,章仁香,中國國民黨,2,N,T
全國,,,0,0,2,7007,10.26,莊金生,中國國民黨,1,N,
全國,,,0,0,3,476,0.7,李泰康,無,1,N,
全國,,,0,0,4,9501,13.91,楊仁福,中國國民黨,1,N,T
全國,,,0,0,5,13385,19.59,林正二,親民黨,1,N,T
全國,,,0,0,6,7152,10.47,楊德金,親民黨,1,N,
全國,,,0,0,7,4368,6.39,楊仁煌,台灣團結聯盟,1,N,
全國,,,0,0,8,9645,14.12,廖國棟,中國國民黨,1,N,T
全國,,,0,0,9,5481,8.02,陳義信,民主進步黨,1,N,
臺北縣,,,0,0,1,1204,16.66,章仁香,中國國民黨,2,N,T
宜蘭縣,,,0,0,1,79,21.24,章仁香,中國國民黨,2,N,T
桃園縣,,,0,0,1,831,13.44,章仁香,中國國民黨,2,N,T
新竹縣,,,0,0,1,47,12.84,章仁香,中國國民黨,2,N,T
苗栗縣,,,0,0,1,249,22.15,章仁香,中國國民黨,2,N,T
臺中縣,,,0,0,1,184,14.58,章仁香,中國國民黨,2,N,T
彰化縣,,,0,0,1,76,17.35,章仁香,中國國民黨,2,N,T
南投縣,,,0,0,1,45,15.57,章仁香,中國國民黨,2,N,T
雲林縣,,,0,0,1,16,17.20,章仁香,中國國民黨,2,N,T
嘉義縣,,,0,0,1,14,12.28,章仁香,中國國民黨,2,N,T
臺南縣,,,0,0,1,58,21.72,章仁香,中國國民黨,2,N,T
高雄縣,,,0,0,1,91,14.44,章仁香,中國國民黨,2,N,T
屏東縣,,,0,0,1,148,15.64,章仁香,中國國民黨,2,N,T
臺東縣,,,0,0,1,6179,28.85,章仁香,中國國民黨,2,N,T
花蓮縣,,,0,0,1,1157,5.38,章仁香,中國國民黨,2,N,T
澎湖縣,,,0,0,1,0,0.00,章仁香,中國國民黨,2,N,T
基隆市,,,0,0,1,338,16.78,章仁香,中國國民黨,2,N,T
新竹市,,,0,0,1,24,14.63,章仁香,中國國民黨,2,N,T
臺中市,,,0,0,1,53,11.18,章仁香,中國國民黨,2,N,T
嘉義市,,,0,0,1,2,6.06,章仁香,中國國民黨,2,N,T
臺南市,,,0,0,1,38,29.23,章仁香,中國國民黨,2,N,T
金門縣,,,0,0,1,2,12.50,章仁香,中國國民黨,2,N,T
連江縣,,,0,0,1,0,0.00,章仁香,中國國民黨,2,N,T
臺北市,,,0,0,1,275,15.42,章仁香,中國國民黨,2,N,T
高雄市,,,0,0,1,201,13.75,章仁香,中國國民黨,2,N,T
臺北縣,,,0,0,2,531,7.35,莊金生,中國國民黨,1,N,
