CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北縣,,,0,12,1,708,27.24,多烈-尤幹,親民黨,1,N,
臺北縣,,,0,12,2,904,34.78,張雲龍,中國國民黨,1,N,T
臺北縣,,,0,12,3,215,8.27,黃建平,無,1,N,
臺北縣,,,0,12,4,397,15.28,楊清榮,親民黨,1,N,
臺北縣,,,0,12,5,375,14.43,尤永福,親民黨,1,N,
宜蘭縣,,,0,11,1,985,36.88,李玉蕙,中國國民黨,2,N,
宜蘭縣,,,0,11,2,1105,41.37,方浩次,親民黨,1,N,T
宜蘭縣,,,0,11,3,581,21.75,李文達,無,1,N,
宜蘭縣,,,0,12,1,1540,56.49,江明順,無,1,Y,T
宜蘭縣,,,0,12,2,1186,43.51,陳銘福,親民黨,1,N,
桃園縣,,,0,14,1,740,13.79,高春生,無,1,N,
桃園縣,,,0,14,2,815,15.18,呂政霖,親民黨,1,N,
桃園縣,,,0,14,3,1513,28.19,林信義,親民黨,1,N,T
桃園縣,,,0,14,4,482,8.98,楊崇德,中國國民黨,1,N,
桃園縣,,,0,14,5,423,7.88,高揚威,無,1,N,
桃園縣,,,0,14,6,412,7.68,曾志湘,中國國民黨,1,N,
桃園縣,,,0,14,7,983,18.31,陳昭耀,中國國民黨,1,N,
新竹縣,,,0,10,1,1212,31.56,阿棟．優帕司,無,1,N,T
新竹縣,,,0,10,2,1068,27.81,彭國楨,中國國民黨,1,N,
新竹縣,,,0,10,3,1087,28.31,江瑞乾,中國國民黨,1,N,
新竹縣,,,0,10,4,473,12.32,高崇賜,親民黨,1,N,
新竹縣,,,0,11,1,774,25.76,朱禮沐,無,1,N,
新竹縣,,,0,11,2,494,16.44,趙金榮,無,1,N,
新竹縣,,,0,11,3,904,30.08,林煌春,中國國民黨,1,N,T
新竹縣,,,0,11,4,833,27.72,林祥馨,無,1,N,
苗栗縣,,,0,8,1,1215,44.75,黃月娥,中國國民黨,2,N,T
苗栗縣,,,0,8,2,421,15.51,郭春蘭,中國國民黨,2,N,
苗栗縣,,,0,8,3,1079,39.74,柯添盛,無,1,N,
臺中縣,,,0,10,1,502,16.21,劉金生,無,1,N,
臺中縣,,,0,10,2,805,26,王忠信,無,1,N,
臺中縣,,,0,10,3,654,21.12,白青山,無,1,N,
臺中縣,,,0,10,4,838,27.07,林建堂,無,1,N,T
臺中縣,,,0,10,5,297,9.59,張瑞紘,無,1,N,
南投縣,,,0,6,1,1433,34.27,田振明,無,1,N,
南投縣,,,0,6,2,1737,41.55,松秋明,中國國民黨,1,N,T
南投縣,,,0,6,3,1011,24.18,松新春,無,1,N,
南投縣,,,0,7,1,3115,48.2,陳世光,中國國民黨,1,N,
南投縣,,,0,7,2,3347,51.8,謝汪汕,親民黨,1,N,T
嘉義縣,,,0,7,1,762,40.62,湯進賢,中國國民黨,1,Y,T
嘉義縣,,,0,7,2,398,21.22,莊慶輝,無,1,N,
嘉義縣,,,0,7,3,716,38.17,汪志敏,中國國民黨,1,N,
高雄縣,,,0,8,1,588,39.17,蔡文弟,中國國民黨,1,Y,
高雄縣,,,0,8,2,230,15.32,洪柳治,親民黨,1,N,
高雄縣,,,0,8,3,683,45.5,呂一平,無,1,N,T
高雄縣,,,0,9,1,1098,42.38,謝垂耀,中國國民黨,1,N,T
高雄縣,,,0,9,2,921,35.55,林瑞金,中國國民黨,2,N,
高雄縣,,,0,9,3,572,22.08,謝英雄,無,1,N,
高雄縣,,,0,10,1,768,47.7,林民傑,中國國民黨,1,N,T
高雄縣,,,0,10,2,333,20.68,顏順政,中國國民黨,1,N,
高雄縣,,,0,10,3,509,31.61,李玉章,無,1,Y,
屏東縣,,,0,9,1,3399,100,包金蓮,中國國民黨,2,N,T
屏東縣,,,0,10,1,2443,58.81,林玉如,中國國民黨,2,Y,T
屏東縣,,,0,10,2,1711,41.19,陸月嬌,無,2,N,
