CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,63241,713,63954,144646,9,4,8,1,3,1,44.21
臺北市,,,0,0,1688,19,1707,4580,9,4,8,1,3,1,37.27
高雄市,,,0,0,1332,10,1342,3875,9,4,8,1,3,1,34.63
臺北縣,,,0,0,6582,86,6668,16750,9,4,8,1,3,1,39.81
宜蘭縣,,,0,0,335,5,340,891,9,4,8,1,3,1,38.16
桃園縣,,,0,0,6023,71,6094,14483,9,4,8,1,3,1,42.08
新竹縣,,,0,0,295,10,305,946,9,4,8,1,3,1,32.24
苗栗縣,,,0,0,887,14,901,2456,9,4,8,1,3,1,36.69
臺中縣,,,0,0,1334,27,1361,3357,9,4,8,1,3,1,40.54
彰化縣,,,0,0,523,6,529,1116,9,4,8,1,3,1,47.40
南投縣,,,0,0,304,5,309,701,9,4,8,1,3,1,44.08
雲林縣,,,0,0,121,6,127,331,9,4,8,1,3,1,38.37
嘉義縣,,,0,0,112,1,113,309,9,4,8,1,3,1,36.57
臺南縣,,,0,0,280,8,288,764,9,4,8,1,3,1,37.70
高雄縣,,,0,0,611,15,626,1647,9,4,8,1,3,1,38.01
屏東縣,,,0,0,975,19,994,2209,9,4,8,1,3,1,45.00
臺東縣,,,0,0,20505,192,20697,43312,9,4,8,1,3,1,47.79
花蓮縣,,,0,0,18694,184,18878,40149,9,4,8,1,3,1,47.02
澎湖縣,,,0,0,28,1,29,72,9,4,8,1,3,1,40.28
基隆市,,,0,0,1800,22,1822,4266,9,4,8,1,3,1,42.71
新竹市,,,0,0,158,3,161,522,9,4,8,1,3,1,30.84
臺中市,,,0,0,415,6,421,1321,9,4,8,1,3,1,31.87
嘉義市,,,0,0,37,1,38,117,9,4,8,1,3,1,32.48
臺南市,,,0,0,159,2,161,376,9,4,8,1,3,1,42.82
金門縣,,,0,0,31,0,31,76,9,4,8,1,3,1,40.79
連江縣,,,0,0,12,0,12,20,9,4,8,1,3,1,60.00
臺北市,北投區,,0,0,151,3,154,404,3,1,3,0,1,0,38.12
臺北市,士林區,,0,0,119,2,121,372,3,1,3,0,1,0,32.53
臺北市,內湖區,,0,0,107,1,108,336,3,1,3,0,1,0,32.14
臺北市,南港區,,0,0,46,0,46,135,3,1,3,0,1,0,34.07
臺北市,松山區,,0,0,68,0,68,206,3,1,3,0,1,0,33.01
臺北市,信義區,,0,0,96,1,97,297,3,1,3,0,1,0,32.66
臺北市,中山區,,0,0,258,3,261,669,3,1,3,0,1,0,39.01
臺北市,大同區,,0,0,376,3,379,922,3,1,3,0,1,0,41.11
臺北市,中正區,,0,0,113,2,115,285,3,1,3,0,1,0,40.35
臺北市,萬華區,,0,0,53,1,54,170,3,1,3,0,1,0,31.76
臺北市,大安區,,0,0,79,0,79,248,3,1,3,0,1,0,31.85
臺北市,文山區,,0,0,222,3,225,536,3,1,3,0,1,0,41.98
高雄市,鹽埕區,,0,0,8,0,8,20,3,1,3,0,1,0,40.00
高雄市,鼓山區,,0,0,37,0,37,144,3,1,3,0,1,0,25.69
高雄市,旗津區,,0,0,3,0,3,13,3,1,3,0,1,0,23.08
高雄市,左營區,,0,0,124,2,126,389,3,1,3,0,1,0,32.39
高雄市,楠梓區,,0,0,142,2,144,386,3,1,3,0,1,0,37.31
高雄市,三民區,,0,0,75,0,75,324,3,1,3,0,1,0,23.15
高雄市,新興區,,0,0,9,0,9,36,3,1,3,0,1,0,25.00
高雄市,前金區,,0,0,2,0,2,15,3,1,3,0,1,0,13.33
高雄市,苓雅區,,0,0,56,1,57,182,3,1,3,0,1,0,31.32
高雄市,前鎮區,,0,0,401,1,402,1073,3,1,3,0,1,0,37.47
高雄市,小港區,,0,0,475,4,479,1293,3,1,3,0,1,0,37.05
臺北縣,板橋市,,0,0,442,8,450,1217,3,1,3,0,1,0,36.98
臺北縣,土城市,,0,0,736,6,742,1963,3,1,3,0,1,0,37.80
臺北縣,樹林市,,0,0,987,12,999,2274,3,1,3,0,1,0,43.93
臺北縣,鶯歌鎮,,0,0,265,2,267,765,3,1,3,0,1,0,34.90
臺北縣,三峽鎮,,0,0,210,3,213,612,3,1,3,0,1,0,34.80
臺北縣,三重市,,0,0,188,7,195,509,3,1,3,0,1,0,38.31
臺北縣,蘆洲市,,0,0,303,1,304,728,3,1,3,0,1,0,41.76
臺北縣,新莊市,,0,0,587,7,594,1519,3,1,3,0,1,0,39.10
臺北縣,五股鄉,,0,0,138,3,141,452,3,1,3,0,1,0,31.19
臺北縣,泰山鄉,,0,0,142,2,144,339,3,1,3,0,1,0,42.48
臺北縣,林口鄉,,0,0,157,2,159,418,3,1,3,0,1,0,38.04
臺北縣,淡水鎮,,0,0,137,0,137,388,3,1,3,0,1,0,35.31
臺北縣,八里鄉,,0,0,83,1,84,196,3,1,3,0,1,0,42.86
臺北縣,三芝鄉,,0,0,30,3,33,90,3,1,3,0,1,0,36.67
臺北縣,石門鄉,,0,0,5,0,5,16,3,1,3,0,1,0,31.25
臺北縣,金山鄉,,0,0,12,0,12,26,3,1,3,0,1,0,46.15
臺北縣,萬里鄉,,0,0,32,0,32,115,3,1,3,0,1,0,27.83
臺北縣,中和市,,0,0,327,1,328,856,3,1,3,0,1,0,38.32
臺北縣,永和市,,0,0,85,0,85,214,3,1,3,0,1,0,39.72
臺北縣,新店市,,0,0,440,10,450,1102,3,1,3,0,1,0,40.83
臺北縣,深坑鄉,,0,0,38,0,38,73,3,1,3,0,1,0,52.05
臺北縣,石碇鄉,,0,0,0,0,0,1,3,1,3,0,1,0,0.00
臺北縣,坪林鄉,,0,0,2,0,2,2,3,1,3,0,1,0,100.00
臺北縣,烏來鄉,,0,0,29,1,30,80,3,1,3,0,1,0,37.50
臺北縣,汐止市,,0,0,902,8,910,1983,3,1,3,0,1,0,45.89
臺北縣,瑞芳鎮,,0,0,288,9,297,768,3,1,3,0,1,0,38.67
臺北縣,平溪鄉,,0,0,5,0,5,14,3,1,3,0,1,0,35.71
臺北縣,雙溪鄉,,0,0,3,0,3,8,3,1,3,0,1,0,37.50
臺北縣,貢寮鄉,,0,0,9,0,9,22,3,1,3,0,1,0,40.91
宜蘭縣,宜蘭市,,0,0,33,0,33,107,3,1,3,0,1,0,30.84
宜蘭縣,羅東鎮,,0,0,24,0,24,75,3,1,3,0,1,0,32.00
宜蘭縣,蘇澳鎮,,0,0,79,1,80,237,3,1,3,0,1,0,33.76
宜蘭縣,頭城鎮,,0,0,28,2,30,60,3,1,3,0,1,0,50.00
