CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北縣,,,0,11,1,954,10.84,張天明,無,1,N,
臺北縣,,,0,11,2,1792,20.37,田春枝,民主進步黨,2,Y,T
臺北縣,,,0,11,3,2424,27.55,林忠仁,無,1,N,
臺北縣,,,0,11,4,3629,41.24,宋進財,中國國民黨,1,Y,
桃園縣,,,0,13,1,3502,55.40,洪國治,中國國民黨,1,Y,
桃園縣,,,0,13,2,2819,44.60,吳春芳,中國國民黨,2,Y,
新竹縣,,,0,10,1,556,100.00,林光榮,無,1,N,T
苗栗縣,,,0,7,1,453,30.06,潘秋榮,無,1,N,T
苗栗縣,,,0,7,2,1054,69.94,楊文昌,無,1,Y,
臺中縣,,,0,9,1,689,37.30,潘居雄,中國國民黨,1,N,
臺中縣,,,0,9,2,1158,62.70,洪金福,親民黨,1,Y,
彰化縣,,,0,9,1,48,5.37,李金水,親民黨,1,N,T
彰化縣,,,0,9,2,416,46.53,張新男,中國國民黨,1,Y,
彰化縣,,,0,9,3,198,22.15,孫子茜,無黨團結聯盟,2,N,
彰化縣,,,0,9,4,27,3.02,高福炎,無,1,N,T
彰化縣,,,0,9,5,205,22.93,卡照．撒都,民主進步黨,1,N,
高雄縣,,,0,7,1,150,1.45,石天賜,無,1,N,
高雄縣,,,0,7,2,287,2.78,洪天盛,無,1,N,
高雄縣,,,0,7,3,103,1.00,陳明清,無,1,N,
高雄縣,,,0,7,4,322,3.12,詹金福,親民黨,1,Y,T
高雄縣,,,0,7,5,115,1.11,高文化,無,1,N,
屏東縣,,,0,8,1,1430,100.00,潘裕隆,中國國民黨,1,Y,
臺東縣,,,0,6,1,1453,22.71,陳‧藍姆洛,台灣團結聯盟,1,N,T
臺東縣,,,0,6,2,1473,23.02,洪玫璉,中國國民黨,2,Y,
臺東縣,,,0,6,3,1473,23.02,王清堅,無,1,Y,
臺東縣,,,0,6,4,1069,16.71,陳來福,中國國民黨,1,N,
臺東縣,,,0,6,5,931,14.55,田賢生,中國國民黨,1,N,T
臺東縣,,,0,7,1,895,14.31,余明德,中國國民黨,1,N,
臺東縣,,,0,7,2,276,4.41,林光義,中國國民黨,1,N,
臺東縣,,,0,7,3,561,8.97,許秋清,中國國民黨,1,N,T
臺東縣,,,0,7,4,1339,21.40,林秀芳,中國國民黨,2,N,
臺東縣,,,0,7,5,1663,26.58,蔡義勇,無,1,Y,T
臺東縣,,,0,7,6,1522,24.33,江堅壽,中國國民黨,1,Y,
臺東縣,,,0,8,1,1650,60.80,林錦章,中國國民黨,1,N,
臺東縣,,,0,8,2,1064,39.20,林光雄,中國國民黨,1,Y,
臺東縣,,,0,9,1,1276,17.42,陳幸民,中國國民黨,1,N,T
臺東縣,,,0,9,2,1019,13.91,曾金福,中國國民黨,1,Y,
臺東縣,,,0,9,3,1084,14.80,劉純歌,中國國民黨,2,N,T
臺東縣,,,0,9,4,1884,25.72,嚴亞美,中國國民黨,2,Y,
臺東縣,,,0,9,5,1401,19.13,林富雄,無,1,Y,T
臺東縣,,,0,9,6,660,9.01,余文博,中國國民黨,1,N,
花蓮縣,,,0,5,1,1530,19.04,曾玉霞,親民黨,2,Y,
花蓮縣,,,0,5,2,1188,14.78,林銘興,中國國民黨,1,N,
