CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,7009,201,7210,13758,6,2,3,3,2,0,52.41
臺北市,,,0,0,3684,137,3821,7569,2,1,1,1,1,0,50.48
高雄市,,,0,0,3325,64,3389,6189,4,1,2,2,1,0,54.78
臺北市,北投區,,0,0,346,17,363,710,2,1,2,0,1,0,51.13
臺北市,士林區,,0,0,310,9,319,639,6,1,6,0,1,0,49.92
臺北市,內湖區,,0,0,675,24,699,1304,3,1,3,0,1,0,53.6
臺北市,南港區,,0,0,407,16,423,866,3,1,2,1,1,0,48.85
臺北市,松山區,,0,0,180,11,191,378,4,1,4,0,1,0,50.53
臺北市,信義區,,0,0,244,5,249,487,3,1,2,1,0,1,51.13
臺北市,中山區,,0,0,300,10,310,673,2,1,2,0,1,0,46.06
臺北市,大同區,,0,0,116,4,120,260,4,1,4,0,1,0,46.15
臺北市,中正區,,0,0,133,2,135,281,2,1,2,0,1,0,48.04
臺北市,萬華區,,0,0,248,15,263,524,4,1,3,1,1,0,50.19
臺北市,大安區,,0,0,268,10,278,531,3,1,3,0,1,0,52.35
臺北市,文山區,,0,0,457,14,471,916,4,1,4,0,1,0,51.42
高雄市,鹽埕區,,0,0,32,0,32,56,3,1,3,0,1,0,57.14
高雄市,鼓山區,,0,0,163,3,166,321,4,1,4,0,1,0,51.71
高雄市,旗津區,,0,0,35,0,35,77,2,1,2,0,1,0,45.45
高雄市,左營區,,0,0,509,11,520,871,4,1,2,2,1,0,59.7
高雄市,楠梓區,,0,0,425,6,431,803,2,1,0,2,0,1,53.67
高雄市,三民區,,0,0,295,4,299,595,3,1,2,1,1,0,50.25
高雄市,新興區,,0,0,36,1,37,80,3,1,3,0,1,0,46.25
高雄市,前金區,,0,0,14,0,14,32,3,1,3,0,1,0,43.75
高雄市,苓雅區,,0,0,166,2,168,334,5,1,4,1,0,1,50.3
高雄市,前鎮區,,0,0,686,16,702,1264,2,1,1,1,1,0,55.54
高雄市,小港區,,0,0,964,21,985,1754,3,1,3,0,1,0,56.16
