CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
南投縣,,,0,0,119284,3956,123240,185818,2,1,1,1,0,1,66.32
南投縣,埔里鎮,,0,1,38989,1405,40394,63846,2,1,1,1,0,1,63.27
南投縣,草屯鎮,,0,1,50875,1533,52408,75503,2,1,1,1,0,1,69.41
南投縣,中寮鄉,,0,1,9733,338,10071,13379,2,1,1,1,0,1,75.27
南投縣,魚池鄉,,0,1,8317,314,8631,13571,2,1,1,1,0,1,63.60
南投縣,國姓鄉,,0,1,9767,317,10084,16767,2,1,1,1,0,1,60.14
南投縣,仁愛鄉,,0,1,1603,49,1652,2752,2,1,1,1,0,1,60.03
南投縣,埔里鎮,東門里,0,1,1672,69,1741,2757,2,1,1,1,1,0,63.15
南投縣,埔里鎮,杷城里,0,1,1511,57,1568,2383,2,1,1,1,1,0,65.80
南投縣,埔里鎮,枇杷里,0,1,3696,146,3842,6328,2,1,1,1,1,0,60.71
南投縣,埔里鎮,水頭里,0,1,1910,69,1979,3221,2,1,1,1,1,0,61.44
南投縣,埔里鎮,麒麟里,0,1,622,14,636,1012,2,1,1,1,1,0,62.85
南投縣,埔里鎮,珠格里,0,1,614,22,636,1016,2,1,1,1,1,0,62.60
南投縣,埔里鎮,溪南里,0,1,647,19,666,967,2,1,1,1,1,0,68.87
南投縣,埔里鎮,西門里,0,1,1833,84,1917,3056,2,1,1,1,1,0,62.73
南投縣,埔里鎮,南門里,0,1,590,30,620,927,2,1,1,1,1,0,66.88
南投縣,埔里鎮,北門里,0,1,1373,59,1432,2355,2,1,1,1,1,0,60.81
南投縣,埔里鎮,北安里,0,1,1833,69,1902,3006,2,1,1,1,1,0,63.27
南投縣,埔里鎮,北梅里,0,1,1544,55,1599,2554,2,1,1,1,1,0,62.61
南投縣,埔里鎮,泰安里,0,1,1222,39,1261,1965,2,1,1,1,1,0,64.17
南投縣,埔里鎮,大湳里,0,1,762,27,789,1268,2,1,1,1,1,0,62.22
南投縣,埔里鎮,蜈蚣里,0,1,1400,54,1454,2433,2,1,1,1,1,0,59.76
南投縣,埔里鎮,同聲里,0,1,1370,63,1433,2253,2,1,1,1,1,0,63.60
南投縣,埔里鎮,清新里,0,1,2066,85,2151,3441,2,1,1,1,1,0,62.51
