CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
臺北市,,,0,0,94186,297,94483,241498,7,1,7,0,1,0,39.12
臺北市,大安區,,0,6,94186,297,94483,241498,7,1,7,0,1,0,39.12
臺北市,大安區,德安里,0,6,1829,4,1833,4746,7,1,7,0,1,0,38.62
臺北市,大安區,仁慈里,0,6,1591,3,1594,4130,7,1,7,0,1,0,38.60
臺北市,大安區,和安里,0,6,2057,5,2062,5320,7,1,7,0,1,0,38.76
臺北市,大安區,民炤里,0,6,2505,8,2513,6455,7,1,7,0,1,0,38.93
臺北市,大安區,仁愛里,0,6,1623,5,1628,4663,7,1,7,0,1,0,34.91
臺北市,大安區,義村里,0,6,2195,11,2206,5355,7,1,7,0,1,0,41.20
臺北市,大安區,民輝里,0,6,2166,4,2170,5703,7,1,7,0,1,0,38.05
臺北市,大安區,昌隆里,0,6,1111,6,1117,2724,7,1,7,0,1,0,41.01
臺北市,大安區,誠安里,0,6,1570,6,1576,3656,7,1,7,0,1,0,43.11
臺北市,大安區,光武里,0,6,2354,6,2360,6613,7,1,7,0,1,0,35.69
臺北市,大安區,龍坡里,0,6,1928,5,1933,4810,7,1,7,0,1,0,40.19
臺北市,大安區,龍泉里,0,6,1525,5,1530,3719,7,1,7,0,1,0,41.14
臺北市,大安區,古風里,0,6,1324,8,1332,3473,7,1,7,0,1,0,38.35
臺北市,大安區,古莊里,0,6,2033,6,2039,5469,7,1,7,0,1,0,37.28
臺北市,大安區,龍安里,0,6,1856,5,1861,5731,7,1,7,0,1,0,32.47
臺北市,大安區,錦安里,0,6,1805,11,1816,4318,7,1,7,0,1,0,42.06
臺北市,大安區,福住里,0,6,1769,7,1776,4639,7,1,7,0,1,0,38.28
臺北市,大安區,永康里,0,6,1113,0,1113,2757,7,1,7,0,1,0,40.37
臺北市,大安區,光明里,0,6,1188,3,1191,2937,7,1,7,0,1,0,40.55
臺北市,大安區,錦泰里,0,6,1546,2,1548,3817,7,1,7,0,1,0,40.56
臺北市,大安區,錦華里,0,6,1831,3,1834,4205,7,1,7,0,1,0,43.61
臺北市,大安區,龍圖里,0,6,2103,12,2115,5433,7,1,7,0,1,0,38.93
臺北市,大安區,新龍里,0,6,2283,3,2286,5329,7,1,7,0,1,0,42.90
