CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
苗栗縣,,,0,1,1,41696,50.98,康世儒,無,1,N,T
苗栗縣,,,0,1,2,40096,49.02,陳鑾英,中國國民黨,2,N,
苗栗縣,竹南鎮,,0,1,1,19549,75.84,康世儒,無,1,N,T
苗栗縣,造橋鄉,,0,1,1,1850,38.49,康世儒,無,1,N,T
苗栗縣,後龍鎮,,0,1,1,3694,31.35,康世儒,無,1,N,T
苗栗縣,西湖鄉,,0,1,1,842,30.56,康世儒,無,1,N,T
苗栗縣,通霄鎮,,0,1,1,5404,43.69,康世儒,無,1,N,T
苗栗縣,銅鑼鄉,,0,1,1,1795,32.58,康世儒,無,1,N,T
苗栗縣,苑裡鎮,,0,1,1,6726,50.21,康世儒,無,1,N,T
苗栗縣,三義鄉,,0,1,1,1836,34.02,康世儒,無,1,N,T
苗栗縣,竹南鎮,,0,1,2,6227,24.16,陳鑾英,中國國民黨,2,N,
苗栗縣,造橋鄉,,0,1,2,2957,61.51,陳鑾英,中國國民黨,2,N,
苗栗縣,後龍鎮,,0,1,2,8089,68.65,陳鑾英,中國國民黨,2,N,
苗栗縣,西湖鄉,,0,1,2,1913,69.44,陳鑾英,中國國民黨,2,N,
苗栗縣,通霄鎮,,0,1,2,6964,56.31,陳鑾英,中國國民黨,2,N,
苗栗縣,銅鑼鄉,,0,1,2,3714,67.42,陳鑾英,中國國民黨,2,N,
苗栗縣,苑裡鎮,,0,1,2,6671,49.79,陳鑾英,中國國民黨,2,N,
苗栗縣,三義鄉,,0,1,2,3561,65.98,陳鑾英,中國國民黨,2,N,
苗栗縣,竹南鎮,竹南里,0,1,1,644,74.88,康世儒,無,1,N,T
苗栗縣,竹南鎮,照南里,0,1,1,1036,81.06,康世儒,無,1,N,T
苗栗縣,竹南鎮,正南里,0,1,1,899,79.42,康世儒,無,1,N,T
苗栗縣,竹南鎮,新南里,0,1,1,1078,72.79,康世儒,無,1,N,T
苗栗縣,竹南鎮,大厝里,0,1,1,1433,82.12,康世儒,無,1,N,T
苗栗縣,竹南鎮,營盤里,0,1,1,1019,77.49,康世儒,無,1,N,T
