CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
苗栗縣,,,0,0,81792,1140,82932,196932,2,1,1,1,1,0,42.11
苗栗縣,竹南鎮,,0,1,25776,339,26115,54991,2,1,1,1,1,0,47.49
苗栗縣,造橋鄉,,0,1,4807,70,4877,10526,2,1,1,1,1,0,46.33
苗栗縣,後龍鎮,,0,1,11783,185,11968,30404,2,1,1,1,1,0,39.36
苗栗縣,西湖鄉,,0,1,2755,23,2778,6409,2,1,1,1,1,0,43.35
苗栗縣,通霄鎮,,0,1,12368,176,12544,29913,2,1,1,1,1,0,41.93
苗栗縣,銅鑼鄉,,0,1,5509,77,5586,14995,2,1,1,1,1,0,37.25
苗栗縣,苑裡鎮,,0,1,13397,176,13573,36485,2,1,1,1,1,0,37.20
苗栗縣,三義鄉,,0,1,5397,94,5491,13209,2,1,1,1,1,0,41.57
苗栗縣,竹南鎮,竹南里,0,1,860,14,874,1897,2,1,1,1,1,0,46.07
苗栗縣,竹南鎮,照南里,0,1,1278,22,1300,2446,2,1,1,1,1,0,53.15
苗栗縣,竹南鎮,正南里,0,1,1132,10,1142,2406,2,1,1,1,1,0,47.46
苗栗縣,竹南鎮,新南里,0,1,1481,8,1489,3195,2,1,1,1,1,0,46.60
苗栗縣,竹南鎮,大厝里,0,1,1745,23,1768,3473,2,1,1,1,1,0,50.91
苗栗縣,竹南鎮,營盤里,0,1,1315,19,1334,2847,2,1,1,1,1,0,46.86
苗栗縣,竹南鎮,聖福里,0,1,1343,30,1373,2863,2,1,1,1,1,0,47.96
苗栗縣,竹南鎮,竹興里,0,1,1426,25,1451,2853,2,1,1,1,1,0,50.86
苗栗縣,竹南鎮,龍鳳里,0,1,2399,16,2415,5069,2,1,1,1,1,0,47.64
苗栗縣,竹南鎮,山佳里,0,1,1341,10,1351,3316,2,1,1,1,1,0,40.74
苗栗縣,竹南鎮,佳興里,0,1,1172,12,1184,2482,2,1,1,1,1,0,47.70
苗栗縣,竹南鎮,中港里,0,1,518,9,527,991,2,1,1,1,1,0,53.18
苗栗縣,竹南鎮,中華里,0,1,1191,10,1201,2418,2,1,1,1,1,0,49.67
苗栗縣,竹南鎮,中英里,0,1,651,7,658,1358,2,1,1,1,1,0,48.45
苗栗縣,竹南鎮,中美里,0,1,945,17,962,1777,2,1,1,1,1,0,54.14
苗栗縣,竹南鎮,開元里,0,1,342,4,346,622,2,1,1,1,1,0,55.63
苗栗縣,竹南鎮,海口里,0,1,1241,17,1258,2844,2,1,1,1,1,0,44.23
苗栗縣,竹南鎮,港墘里,0,1,1026,10,1036,1660,2,1,1,1,1,0,62.41
苗栗縣,竹南鎮,公館里,0,1,531,3,534,1164,2,1,1,1,1,0,45.88
苗栗縣,竹南鎮,大埔里,0,1,1426,36,1462,3218,2,1,1,1,1,0,45.43
苗栗縣,竹南鎮,頂埔里,0,1,874,9,883,2062,2,1,1,1,1,0,42.82
苗栗縣,竹南鎮,崎頂里,0,1,1108,21,1129,3068,2,1,1,1,1,0,36.80
苗栗縣,竹南鎮,公義里,0,1,431,7,438,962,2,1,1,1,1,0,45.53
苗栗縣,造橋鄉,造橋村,0,1,717,10,727,1894,2,1,1,1,1,0,38.38
苗栗縣,造橋鄉,平興村,0,1,227,4,231,442,2,1,1,1,1,0,52.26
苗栗縣,造橋鄉,豐湖村,0,1,393,3,396,973,2,1,1,1,1,0,40.70
苗栗縣,造橋鄉,大西村,0,1,1417,20,1437,3199,2,1,1,1,1,0,44.92
苗栗縣,造橋鄉,錦水村,0,1,273,7,280,506,2,1,1,1,1,0,55.34
苗栗縣,造橋鄉,大龍村,0,1,268,4,272,496,2,1,1,1,1,0,54.84
苗栗縣,造橋鄉,朝陽村,0,1,647,11,658,1334,2,1,1,1,1,0,49.33
苗栗縣,造橋鄉,談文村,0,1,397,3,400,707,2,1,1,1,1,0,56.58
苗栗縣,造橋鄉,龍昇村,0,1,468,8,476,975,2,1,1,1,1,0,48.82
苗栗縣,後龍鎮,南龍里,0,1,548,7,555,1380,2,1,1,1,1,0,40.22
苗栗縣,後龍鎮,中龍里,0,1,359,8,367,885,2,1,1,1,1,0,41.47
苗栗縣,後龍鎮,北龍里,0,1,586,10,596,1412,2,1,1,1,1,0,42.21
苗栗縣,後龍鎮,大庄里,0,1,1234,10,1244,3735,2,1,1,1,1,0,33.31
苗栗縣,後龍鎮,溪洲里,0,1,827,13,840,2236,2,1,1,1,1,0,37.57
苗栗縣,後龍鎮,豐富里,0,1,485,8,493,1207,2,1,1,1,1,0,40.85
苗栗縣,後龍鎮,校椅里,0,1,386,10,396,995,2,1,1,1,1,0,39.80
苗栗縣,後龍鎮,埔頂里,0,1,1005,10,1015,2507,2,1,1,1,1,0,40.49
苗栗縣,後龍鎮,新民里,0,1,551,6,557,1390,2,1,1,1,1,0,40.07
苗栗縣,後龍鎮,復興里,0,1,336,4,340,648,2,1,1,1,1,0,52.47
苗栗縣,後龍鎮,東明里,0,1,675,10,685,1366,2,1,1,1,1,0,50.15
苗栗縣,後龍鎮,大山里,0,1,591,9,600,1521,2,1,1,1,1,0,39.45
苗栗縣,後龍鎮,灣寶里,0,1,478,10,488,1267,2,1,1,1,1,0,38.52
苗栗縣,後龍鎮,海寶里,0,1,386,6,392,967,2,1,1,1,1,0,40.54
苗栗縣,後龍鎮,外埔里,0,1,410,8,418,1081,2,1,1,1,1,0,38.67
苗栗縣,後龍鎮,海埔里,0,1,339,6,345,993,2,1,1,1,1,0,34.74
苗栗縣,後龍鎮,秀水里,0,1,299,4,303,712,2,1,1,1,1,0,42.56
苗栗縣,後龍鎮,水尾里,0,1,417,13,430,1074,2,1,1,1,1,0,40.04
苗栗縣,後龍鎮,龍津里,0,1,231,5,236,590,2,1,1,1,1,0,40.00
苗栗縣,後龍鎮,龍坑里,0,1,405,10,415,1252,2,1,1,1,1,0,33.15
苗栗縣,後龍鎮,福寧里,0,1,353,5,358,785,2,1,1,1,1,0,45.61
苗栗縣,後龍鎮,中和里,0,1,421,6,427,1145,2,1,1,1,1,0,37.29
苗栗縣,後龍鎮,南港里,0,1,461,7,468,1256,2,1,1,1,1,0,37.26
苗栗縣,西湖鄉,高埔村,0,1,217,1,218,576,2,1,1,1,1,0,37.85
苗栗縣,西湖鄉,下埔村,0,1,254,4,258,579,2,1,1,1,1,0,44.56
苗栗縣,西湖鄉,五湖村,0,1,406,3,409,861,2,1,1,1,1,0,47.50
苗栗縣,西湖鄉,四湖村,0,1,304,1,305,629,2,1,1,1,1,0,48.49
苗栗縣,西湖鄉,三湖村,0,1,404,3,407,927,2,1,1,1,1,0,43.91
苗栗縣,西湖鄉,龍洞村,0,1,224,2,226,474,2,1,1,1,1,0,47.68
苗栗縣,西湖鄉,金獅村,0,1,236,4,240,536,2,1,1,1,1,0,44.78
苗栗縣,西湖鄉,湖東村,0,1,418,2,420,1126,2,1,1,1,1,0,37.30
苗栗縣,西湖鄉,二湖村,0,1,292,3,295,701,2,1,1,1,1,0,42.08
苗栗縣,通霄鎮,通東里,0,1,479,10,489,1224,2,1,1,1,1,0,39.95
苗栗縣,通霄鎮,通西里,0,1,795,10,805,2055,2,1,1,1,1,0,39.17
苗栗縣,通霄鎮,平元里,0,1,727,6,733,1810,2,1,1,1,1,0,40.50
苗栗縣,通霄鎮,平安里,0,1,727,7,734,2026,2,1,1,1,1,0,36.23
苗栗縣,通霄鎮,圳頭里,0,1,375,3,378,740,2,1,1,1,1,0,51.08
苗栗縣,通霄鎮,梅南里,0,1,608,6,614,1475,2,1,1,1,1,0,41.63
苗栗縣,通霄鎮,通南里,0,1,1011,9,1020,2600,2,1,1,1,1,0,39.23
