CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
雲林縣,,,0,0,126297,1186,127483,279854,3,1,3,0,1,0,45.55
雲林縣,崙背鄉,,0,2,8857,99,8956,21863,3,1,3,0,1,0,42.30
雲林縣,二崙鄉,,0,2,11074,85,11159,23732,3,1,3,0,1,0,41.86
雲林縣,西螺鎮,,0,2,16570,147,16717,36663,3,1,3,0,1,0,39.86
雲林縣,莿桐鄉,,0,2,12388,132,12520,23786,3,1,3,0,1,0,38.09
雲林縣,林內鄉,,0,2,7788,75,7863,15487,3,1,3,0,1,0,39.75
雲林縣,斗六市,,0,2,35285,317,35602,78565,3,1,3,0,1,0,37.54
雲林縣,大埤鄉,,0,2,7114,69,7183,16944,3,1,3,0,1,0,34.15
雲林縣,斗南鎮,,0,2,15578,156,15734,36139,3,1,3,0,1,0,37.21
雲林縣,古坑鄉,,0,2,11643,106,11749,26675,3,1,3,0,1,0,32.19
雲林縣,崙背鄉,東明村,0,2,551,11,562,1277,3,1,3,0,1,0,44.01
雲林縣,崙背鄉,西榮村,0,2,579,4,583,1413,3,1,3,0,1,0,41.26
雲林縣,崙背鄉,南陽村,0,2,970,8,538,2316,3,1,3,0,1,0,42.33
雲林縣,崙背鄉,崙前村,0,2,816,8,363,2039,3,1,3,0,1,0,37.50
雲林縣,崙背鄉,羅厝村,0,2,858,12,468,2061,3,1,3,0,1,0,42.86
雲林縣,崙背鄉,港尾村,0,2,565,7,572,1340,3,1,3,0,1,0,42.69
雲林縣,崙背鄉,阿勸村,0,2,803,8,449,2045,3,1,3,0,1,0,44.81
雲林縣,崙背鄉,五魁村,0,2,376,2,378,890,3,1,3,0,1,0,42.47
雲林縣,崙背鄉,大有村,0,2,652,6,369,1691,3,1,3,0,1,0,40.46
雲林縣,崙背鄉,豐榮村,0,2,812,6,362,1956,3,1,3,0,1,0,36.02
雲林縣,崙背鄉,草湖村,0,2,515,8,523,1494,3,1,3,0,1,0,35.01
雲林縣,崙背鄉,舊庄村,0,2,449,4,453,1209,3,1,3,0,1,0,37.47
雲林縣,崙背鄉,水尾村,0,2,570,10,580,1283,3,1,3,0,1,0,45.21
雲林縣,崙背鄉,枋南村,0,2,341,5,346,849,3,1,3,0,1,0,40.75
雲林縣,二崙鄉,崙東村,0,2,651,9,660,1404,3,1,3,0,1,0,47.01
雲林縣,二崙鄉,崙西村,0,2,740,4,744,1629,3,1,3,0,1,0,45.67
雲林縣,二崙鄉,來惠村,0,2,791,4,472,1692,3,1,3,0,1,0,46.37
雲林縣,二崙鄉,三和村,0,2,679,6,434,1608,3,1,3,0,1,0,39.03
