CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北市,北投區,建民里,1,8,1,1,33.33,高金建華,無,1,N,
臺北市,北投區,建民里,1,8,2,0,0,高正尚,無,1,N,
臺北市,北投區,建民里,1,8,3,1,33.33,黃鶴敏,無,1,N,
臺北市,北投區,建民里,1,8,4,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,建民里,1,8,5,1,33.33,李傅中武,中國國民黨,1,N,T
臺北市,北投區,建民里,2,8,1,0,0,高金建華,無,1,N,
臺北市,北投區,建民里,2,8,2,0,0,高正尚,無,1,N,
臺北市,北投區,建民里,2,8,3,0,0,黃鶴敏,無,1,N,
臺北市,北投區,建民里,2,8,4,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,建民里,2,8,5,0,0,李傅中武,中國國民黨,1,N,T
臺北市,北投區,文林里,3,8,1,0,0,高金建華,無,1,N,
臺北市,北投區,文林里,3,8,2,1,33.33,高正尚,無,1,N,
臺北市,北投區,文林里,3,8,3,0,0,黃鶴敏,無,1,N,
臺北市,北投區,文林里,3,8,4,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,文林里,3,8,5,2,66.66,李傅中武,中國國民黨,1,N,T
臺北市,北投區,文林里,4,8,1,0,0,高金建華,無,1,N,
臺北市,北投區,文林里,4,8,2,0,0,高正尚,無,1,N,
臺北市,北投區,文林里,4,8,3,0,0,黃鶴敏,無,1,N,
臺北市,北投區,文林里,4,8,4,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,文林里,4,8,5,0,0,李傅中武,中國國民黨,1,N,T
臺北市,北投區,文林里,5,8,1,0,0,高金建華,無,1,N,
臺北市,北投區,文林里,5,8,2,0,0,高正尚,無,1,N,
臺北市,北投區,文林里,5,8,3,0,0,黃鶴敏,無,1,N,
臺北市,北投區,文林里,5,8,4,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,文林里,5,8,5,0,0,李傅中武,中國國民黨,1,N,T
臺北市,北投區,石牌里,6,8,1,0,0,高金建華,無,1,N,
臺北市,北投區,石牌里,6,8,2,0,0,高正尚,無,1,N,
臺北市,北投區,石牌里,6,8,3,0,0,黃鶴敏,無,1,N,
臺北市,北投區,石牌里,6,8,4,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,石牌里,6,8,5,0,0,李傅中武,中國國民黨,1,N,T
臺北市,北投區,石牌里,7,8,1,0,0,高金建華,無,1,N,
臺北市,北投區,石牌里,7,8,2,0,0,高正尚,無,1,N,
臺北市,北投區,石牌里,7,8,3,0,0,黃鶴敏,無,1,N,
臺北市,北投區,石牌里,7,8,4,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,石牌里,7,8,5,1,100,李傅中武,中國國民黨,1,N,T
臺北市,北投區,石牌里,8,8,1,0,0,高金建華,無,1,N,
臺北市,北投區,石牌里,8,8,2,0,0,高正尚,無,1,N,
臺北市,北投區,石牌里,8,8,3,0,0,黃鶴敏,無,1,N,
