CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
宜蘭縣,宜蘭市,南門里,0,0,1,145,55.34,林承蔡,無,1,N,T
宜蘭縣,宜蘭市,南門里,0,0,2,117,44.66,陳淵明,無,1,N,
宜蘭縣,宜蘭市,負郭里,0,0,1,318,30.23,黃萬枝,無,1,N,
宜蘭縣,宜蘭市,負郭里,0,0,2,734,69.77,劉正田,無,1,Y,T
宜蘭縣,宜蘭市,民族里,0,0,1,478,45.44,游泳林,無,1,N,T
宜蘭縣,宜蘭市,民族里,0,0,2,313,29.75,陳耀同,無,1,N,
宜蘭縣,宜蘭市,民族里,0,0,3,261,24.81,陳光亮,中國國民黨,1,N,
宜蘭縣,宜蘭市,建軍里,0,0,1,360,36.51,謝明璋,無,1,N,
宜蘭縣,宜蘭市,建軍里,0,0,2,626,63.49,潘茂申,無,1,Y,T
宜蘭縣,宜蘭市,復興里,0,0,1,684,58.36,謝瓊玉,中國國民黨,2,Y,T
宜蘭縣,宜蘭市,復興里,0,0,2,488,41.64,蕭壽金,無,1,N,
宜蘭縣,宜蘭市,思源里,0,0,1,1457,57.11,曾南國,無,1,N,T
宜蘭縣,宜蘭市,思源里,0,0,2,1094,42.89,吳秉喆,無,1,N,
宜蘭縣,宜蘭市,文化里,0,0,1,457,38.40,林金發,無,1,Y,
宜蘭縣,宜蘭市,文化里,0,0,2,733,61.60,陳志鴻,無,1,N,T
宜蘭縣,宜蘭市,神農里,0,0,1,212,100.00,賴春旺,無,1,Y,T
宜蘭縣,宜蘭市,民生里,0,0,1,199,62.19,張佑阡,無,2,N,T
宜蘭縣,宜蘭市,民生里,0,0,2,121,37.81,陳文彬,無,1,Y,
宜蘭縣,宜蘭市,昇平里,0,0,1,320,100.00,黃茂林,無,1,Y,T
宜蘭縣,宜蘭市,大東里,0,0,1,91,24.27,趙秉河,無,1,N,
宜蘭縣,宜蘭市,大東里,0,0,2,284,75.73,侯佩婷,無,2,Y,T
宜蘭縣,宜蘭市,新興里,0,0,1,159,41.51,王百祿,無,1,N,
宜蘭縣,宜蘭市,新興里,0,0,2,224,58.49,方美珠,無,2,Y,T
宜蘭縣,宜蘭市,和睦里,0,0,1,282,35.97,郭寶簧,無,2,N,
宜蘭縣,宜蘭市,和睦里,0,0,2,317,40.43,黃文龍,無,1,N,T
宜蘭縣,宜蘭市,和睦里,0,0,3,185,23.60,曾瑞章,無,1,N,
宜蘭縣,宜蘭市,民權里,0,0,1,514,100.00,尤榮淋,無,1,Y,T
宜蘭縣,宜蘭市,進士里,0,0,1,1438,70.87,陳正達,中國國民黨,1,Y,T
宜蘭縣,宜蘭市,進士里,0,0,2,392,19.32,楊琦發,無,1,N,
宜蘭縣,宜蘭市,進士里,0,0,3,199,9.81,林立智,無,1,N,
宜蘭縣,宜蘭市,南橋里,0,0,1,331,58.90,林慶雲,無,1,N,T
宜蘭縣,宜蘭市,南橋里,0,0,2,231,41.10,謝文章,無,1,N,
宜蘭縣,宜蘭市,建業里,0,0,1,527,100.00,李永,中國國民黨,1,Y,T
宜蘭縣,宜蘭市,南津里,0,0,1,282,41.84,李武雄,無,1,N,
宜蘭縣,宜蘭市,南津里,0,0,2,392,58.16,林聰明,無,1,N,T
宜蘭縣,宜蘭市,凱旋里,0,0,1,538,100.00,林松永,無,1,Y,T
