CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,3741958,136621,3878579,7029578,8300,4074,7331,969,3658,416,55.18
宜蘭縣,,,0,0,201181,7918,209099,350480,459,235,418,41,217,18,59.66
桃園縣,,,0,0,618232,21585,639817,1432871,963,482,801,162,400,82,44.65
新竹縣,,,0,0,197236,7812,205048,370160,391,187,349,42,174,13,55.39
苗栗縣,,,0,0,263474,9026,272500,425265,586,274,541,45,258,16,64.08
彰化縣,,,0,0,591052,25554,616606,989345,1160,589,1058,102,536,53,62.32
南投縣,,,0,0,234801,8338,243139,406951,563,261,510,53,240,21,59.75
雲林縣,,,0,0,349046,14124,363170,557389,749,386,680,69,360,26,65.16
嘉義縣,,,0,0,277597,10465,288062,426630,704,356,646,58,330,26,67.52
屏東縣,,,0,0,408321,14944,423265,679482,958,464,833,125,416,48,62.29
臺東縣,,,0,0,103182,3807,106989,177801,343,147,301,42,130,17,60.17
花蓮縣,,,0,0,125160,5275,130435,258904,414,177,345,69,142,35,50.38
澎湖縣,,,0,0,43134,2637,45771,75632,181,96,165,16,86,10,60.52
基隆市,,,0,0,117283,1513,118796,297625,296,157,233,63,137,20,41.35
新竹市,,,0,0,94366,1302,95668,297872,214,120,195,19,111,9,42.75
嘉義市,,,0,0,82140,836,82976,200688,200,84,150,50,69,15,66.75
金門縣,,,0,0,30734,1296,32030,74681,83,37,78,5,36,1,42.89
連江縣,,,0,0,5019,189,5208,7802,36,22,28,8,16,6,66.75
宜蘭縣,宜蘭市,,0,0,32612,1583,34195,70246,70,40,64,6,36,4,48.68
宜蘭縣,羅東鎮,,0,0,22243,1074,23317,52306,42,23,35,7,20,3,44.58
宜蘭縣,蘇澳鎮,,0,0,22117,593,22710,34120,57,26,53,4,25,1,66.56
宜蘭縣,頭城鎮,,0,0,17287,820,18107,24128,46,24,44,2,23,1,75.05
宜蘭縣,礁溪鄉,,0,0,18683,1005,19688,27958,33,18,31,2,17,1,70.42
宜蘭縣,壯圍鄉,,0,0,14300,435,14735,19661,27,14,24,3,13,1,74.95
宜蘭縣,員山鄉,,0,0,15066,512,15578,25224,33,16,31,2,16,0,61.76
宜蘭縣,冬山鄉,,0,0,22170,906,23076,40338,44,24,41,3,23,1,57.21
宜蘭縣,五結鄉,,0,0,18733,485,19218,30587,30,15,27,3,13,2,62.83
宜蘭縣,三星鄉,,0,0,10735,410,11145,17279,36,18,33,3,16,2,64.50
宜蘭縣,大同鄉,,0,0,3697,49,3746,4407,23,10,18,5,8,2,85.00
宜蘭縣,南澳鄉,,0,0,3538,46,3584,4226,18,7,17,1,7,0,84.81
桃園縣,桃園市,,0,0,92540,3468,96008,286636,158,76,124,34,57,19,33.49
桃園縣,龜山鄉,,0,0,39182,1635,40817,100654,51,30,42,9,26,4,40.55
桃園縣,八德市,,0,0,60096,2214,62310,130299,91,48,77,14,44,4,47.82
桃園縣,蘆竹鄉,,0,0,41928,1193,43121,96446,52,26,52,0,26,0,44.71
桃園縣,大園鄉,,0,0,34346,1378,35724,58800,33,18,32,1,18,0,60.76
桃園縣,大溪鎮,,0,0,35503,1253,36756,67426,64,27,54,10,23,4,54.51
桃園縣,復興鄉,,0,0,5896,164,6060,8047,23,10,19,4,8,2,75.31
桃園縣,中壢市,,0,0,109923,3801,113724,264745,164,84,139,25,71,13,42.96
桃園縣,平鎮市,,0,0,61994,2744,64738,149217,76,46,54,22,33,13,43.39
桃園縣,楊梅鎮,,0,0,51468,1255,52723,106097,98,41,79,19,30,11,49.69
桃園縣,龍潭鄉,,0,0,35665,1549,37214,83472,50,30,39,11,23,7,44.58
桃園縣,新屋鄉,,0,0,24268,535,24803,36959,52,23,46,6,20,3,67.11
桃園縣,觀音鄉,,0,0,25423,396,25819,44073,51,23,44,7,21,2,58.58
新竹縣,竹北市,,0,0,35454,1465,36919,94829,47,26,43,4,25,1,38.93
新竹縣,竹東鎮,,0,0,33078,1514,34592,69109,52,25,49,3,24,1,50.05
新竹縣,新埔鎮,,0,0,15884,482,16366,27899,39,19,36,3,17,2,58.66
新竹縣,關西鎮,,0,0,16726,571,17297,24849,44,21,39,5,19,2,69.61
新竹縣,湖口鄉,,0,0,31166,1252,32418,54655,47,20,36,11,16,4,59.31
新竹縣,新豐鄉,,0,0,20945,956,21901,37727,41,17,36,5,16,1,58.05
新竹縣,芎林鄉,,0,0,10920,284,11204,15991,24,12,23,1,12,0,70.06
新竹縣,橫山鄉,,0,0,8866,222,9088,11575,21,11,19,2,11,0,78.51
新竹縣,北埔鄉,,0,0,5390,437,5827,8017,13,9,13,0,9,0,72.68
新竹縣,寶山鄉,,0,0,6993,286,7279,10806,19,10,15,4,9,1,67.36
新竹縣,峨眉鄉,,0,0,4008,198,4206,5007,13,6,13,0,6,0,84.00
新竹縣,尖石鄉,,0,0,4692,84,4776,5991,20,7,20,0,7,0,79.72
新竹縣,五峰鄉,,0,0,3114,61,3175,3705,11,4,7,4,3,1,85.70
苗栗縣,苗栗市,,0,0,34961,1309,36270,68651,56,28,53,3,25,3,52.83
苗栗縣,苑裡鎮,,0,0,24386,577,24963,36824,50,25,49,1,25,0,67.79
苗栗縣,通霄鎮,,0,0,20141,393,20534,30064,52,24,49,3,23,1,68.30
苗栗縣,竹南鎮,,0,0,32121,1455,33576,56315,60,25,52,8,23,2,59.62
苗栗縣,頭份鎮,,0,0,37139,1051,38190,70401,70,32,63,7,30,2,54.25
苗栗縣,後龍鎮,,0,0,20565,821,21386,30456,43,23,35,8,20,3,70.22
苗栗縣,卓蘭鎮,,0,0,10205,439,10644,14681,18,11,18,0,11,0,72.50
苗栗縣,大湖鄉,,0,0,9410,333,9743,12591,28,12,27,1,11,1,77.38
苗栗縣,公館鄉,,0,0,16461,490,16951,26310,40,19,37,3,18,1,64.43
苗栗縣,銅鑼鄉,,0,0,10235,410,10645,15212,20,10,20,0,10,0,69.98
苗栗縣,南庄鄉,,0,0,6028,226,6254,8919,21,9,18,3,9,0,70.12
苗栗縣,頭屋鄉,,0,0,7075,214,7289,9275,19,8,19,0,8,0,78.59
苗栗縣,三義鄉,,0,0,9517,503,10020,13521,17,7,15,2,6,1,74.11
苗栗縣,西湖鄉,,0,0,5129,253,5382,6469,21,9,21,0,9,0,83.20
苗栗縣,造橋鄉,,0,0,8232,195,8427,10731,19,9,17,2,8,1,78.53
苗栗縣,三灣鄉,,0,0,4409,132,4541,5897,17,8,15,2,7,1,77.01
苗栗縣,獅潭鄉,,0,0,3276,177,3453,4257,12,7,12,0,7,0,81.11
苗栗縣,泰安鄉,,0,0,4184,48,4232,4691,23,8,21,2,8,0,90.22
彰化縣,彰化市,,0,0,84130,3284,87414,174671,150,73,135,15,67,6,50.04
彰化縣,花壇鄉,,0,0,20649,908,21557,35152,42,18,38,4,16,2,61.33
彰化縣,芬園鄉,,0,0,15013,609,15622,19625,36,15,33,3,13,2,79.60
彰化縣,鹿港鎮,,0,0,35647,1732,37379,63355,43,29,39,4,26,3,59.00
彰化縣,福興鄉,,0,0,23460,1179,24639,36785,40,22,38,2,20,2,66.98
彰化縣,秀水鄉,,0,0,18197,888,19085,28783,31,14,28,3,13,1,66.31
彰化縣,和美鎮,,0,0,36334,1704,38038,67249,62,32,52,10,28,4,56.56
彰化縣,線西鄉,,0,0,8842,348,9190,12955,15,8,14,1,8,0,70.94
彰化縣,伸港鄉,,0,0,16366,772,17138,26603,22,14,20,2,12,2,64.42
彰化縣,員林鎮,,0,0,48541,1785,50326,93177,86,41,72,14,32,9,54.01
彰化縣,大村鄉,,0,0,18685,446,19131,28042,34,16,33,1,15,1,68.22
彰化縣,永靖鄉,,0,0,20175,619,20794,30055,57,24,56,1,23,1,69.19
彰化縣,溪湖鎮,,0,0,28176,1209,29385,41412,50,25,46,4,22,3,70.96
彰化縣,埔鹽鄉,,0,0,19125,609,19734,26637,45,22,42,3,22,0,74.08
彰化縣,埔心鄉,,0,0,17516,728,18244,27304,37,20,34,3,19,1,66.82
彰化縣,田中鎮,,0,0,19209,1064,20273,34205,47,22,40,7,17,5,59.27
彰化縣,社頭鄉,,0,0,20098,897,20995,34116,48,24,44,4,22,2,61.54
彰化縣,二水鄉,,0,0,9947,398,10345,13554,39,17,34,5,15,2,76.32
彰化縣,北斗鎮,,0,0,15098,665,15763,25274,25,15,23,2,14,1,62.37
