CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
新竹縣,,,0,0,127967,1210,129177,358854,2,1,2,0,1,0,36.00
新竹縣,竹北市,,0,0,30023,214,30237,94512,2,1,2,0,1,0,31.99
新竹縣,竹東鎮,,0,0,24379,243,24622,67484,2,1,2,0,1,0,36.49
新竹縣,新埔鎮,,0,0,11319,103,11422,28017,2,1,2,0,1,0,40.77
新竹縣,關西鎮,,0,0,9788,107,9895,24567,2,1,2,0,1,0,40.28
新竹縣,湖口鄉,,0,0,18831,204,19035,54169,2,1,2,0,1,0,35.14
新竹縣,新豐鄉,,0,0,12991,119,13110,37538,2,1,2,0,1,0,34.92
新竹縣,芎林鄉,,0,0,6603,59,6662,15900,2,1,2,0,1,0,41.90
新竹縣,橫山鄉,,0,0,4507,75,4582,11497,2,1,2,0,1,0,39.85
新竹縣,北埔鄉,,0,0,3150,34,3184,8007,2,1,2,0,1,0,39.77
新竹縣,寶山鄉,,0,0,3888,27,3915,10689,2,1,2,0,1,0,36.63
新竹縣,峨眉鄉,,0,0,2053,18,2071,5023,2,1,2,0,1,0,41.23
新竹縣,尖石鄉,,0,0,319,7,326,1043,2,1,2,0,1,0,31.26
新竹縣,五峰鄉,,0,0,116,0,116,408,2,1,2,0,1,0,28.43
新竹縣,竹北市,鹿場里,0,0,1102,10,1112,3859,2,1,2,0,1,0,28.82
新竹縣,竹北市,東平里,0,0,876,3,879,3668,2,1,2,0,1,0,23.96
新竹縣,竹北市,中興里,0,0,1026,7,1033,3354,2,1,2,0,1,0,30.80
新竹縣,竹北市,隘口里,0,0,305,6,311,799,2,1,2,0,1,0,38.92
新竹縣,竹北市,東海里,0,0,1018,7,1025,2992,2,1,2,0,1,0,34.26
新竹縣,竹北市,十興里,0,0,3924,23,3947,14269,2,1,2,0,1,0,27.66
新竹縣,竹北市,斗崙里,0,0,2220,11,2231,6631,2,1,2,0,1,0,33.65
新竹縣,竹北市,北崙里,0,0,1106,5,1111,3189,2,1,2,0,1,0,34.84
新竹縣,竹北市,新崙里,0,0,1528,14,1542,4387,2,1,2,0,1,0,35.15
新竹縣,竹北市,竹北里,0,0,1393,11,1404,4753,2,1,2,0,1,0,29.54
新竹縣,竹北市,竹仁里,0,0,1488,9,1497,4962,2,1,2,0,1,0,30.17
新竹縣,竹北市,竹北里,0,0,427,7,434,1322,2,1,2,0,1,0,32.83
新竹縣,竹北市,竹仁里,0,0,529,4,533,1317,2,1,2,0,1,0,40.47
新竹縣,竹北市,福德里,0,0,1233,8,1241,3052,2,1,2,0,1,0,40.66
新竹縣,竹北市,竹義里,0,0,1404,6,1410,4482,2,1,2,0,1,0,31.46
新竹縣,竹北市,泰和里,0,0,1394,6,1400,4319,2,1,2,0,1,0,32.41
新竹縣,竹北市,新社里,0,0,1716,8,1724,5806,2,1,2,0,1,0,29.69
新竹縣,竹北市,新國里,0,0,1271,8,1279,4023,2,1,2,0,1,0,31.79
新竹縣,竹北市,聯興里,0,0,1216,12,1228,3680,2,1,2,0,1,0,33.37
新竹縣,竹北市,麻園里,0,0,549,4,553,1530,2,1,2,0,1,0,36.14
新竹縣,竹北市,溪州里,0,0,721,10,731,1998,2,1,2,0,1,0,36.59
新竹縣,竹北市,新庄里,0,0,271,5,276,930,2,1,2,0,1,0,29.68
新竹縣,竹北市,白地里,0,0,625,5,630,1866,2,1,2,0,1,0,33.76
新竹縣,竹北市,新港里,0,0,421,5,426,1097,2,1,2,0,1,0,38.83
新竹縣,竹北市,大眉里,0,0,481,7,488,1537,2,1,2,0,1,0,31.75
新竹縣,竹北市,大義里,0,0,565,6,571,1493,2,1,2,0,1,0,38.25
新竹縣,竹北市,尚義里,0,0,561,3,564,1431,2,1,2,0,1,0,39.41
新竹縣,竹北市,崇義里,0,0,653,4,657,1766,2,1,2,0,1,0,37.20
新竹縣,竹東鎮,上坪里,0,0,139,0,139,334,2,1,2,0,1,0,41.62
新竹縣,竹東鎮,瑞峰里,0,0,142,0,142,400,2,1,2,0,1,0,35.50
新竹縣,竹東鎮,軟橋里,0,0,167,3,170,366,2,1,2,0,1,0,46.45
新竹縣,竹東鎮,員崠里,0,0,690,2,692,1987,2,1,2,0,1,0,34.83
新竹縣,竹東鎮,上里,0,0,2285,16,2301,7272,2,1,2,0,1,0,31.64
新竹縣,竹東鎮,東寧里,0,0,1106,9,1115,2805,2,1,2,0,1,0,39.75
新竹縣,竹東鎮,中正里,0,0,661,4,665,1625,2,1,2,0,1,0,40.92
新竹縣,竹東鎮,大鄉里,0,0,1318,14,1332,3982,2,1,2,0,1,0,33.45
新竹縣,竹東鎮,中山里,0,0,724,7,731,1674,2,1,2,0,1,0,43.67
新竹縣,竹東鎮,南華里,0,0,535,7,542,1097,2,1,2,0,1,0,49.41
新竹縣,竹東鎮,東華里,0,0,348,2,350,780,2,1,2,0,1,0,44.87
新竹縣,竹東鎮,商華里,0,0,942,16,958,2526,2,1,2,0,1,0,37.93
新竹縣,竹東鎮,林里,0,0,1222,14,1236,3326,2,1,2,0,1,0,37.16
新竹縣,竹東鎮,仁愛里,0,0,1177,16,1193,2933,2,1,2,0,1,0,40.68
新竹縣,竹東鎮,竹東里,0,0,677,5,682,1368,2,1,2,0,1,0,49.85
新竹縣,竹東鎮,忠孝里,0,0,619,3,622,1489,2,1,2,0,1,0,41.77
新竹縣,竹東鎮,榮樂里,0,0,624,9,633,1375,2,1,2,0,1,0,46.04
新竹縣,竹東鎮,榮華里,0,0,2266,23,2289,6052,2,1,2,0,1,0,37.82
新竹縣,竹東鎮,五豐里,0,0,1854,27,1881,6140,2,1,2,0,1,0,30.64
新竹縣,竹東鎮,陸豐里,0,0,238,1,239,562,2,1,2,0,1,0,42.53
新竹縣,竹東鎮,三重里,0,0,1771,13,1784,5162,2,1,2,0,1,0,34.56
新竹縣,竹東鎮,二重里,0,0,2589,26,2615,7989,2,1,2,0,1,0,32.73
新竹縣,竹東鎮,頭重里,0,0,1310,10,1320,3858,2,1,2,0,1,0,34.21
新竹縣,竹東鎮,員山里,0,0,690,13,703,1724,2,1,2,0,1,0,40.78
新竹縣,竹東鎮,柯湖里,0,0,285,3,288,658,2,1,2,0,1,0,43.77
新竹縣,新埔鎮,新埔里,0,0,450,4,454,1020,2,1,2,0,1,0,44.51
新竹縣,新埔鎮,新生里,0,0,304,1,305,636,2,1,2,0,1,0,47.96
新竹縣,新埔鎮,新民里,0,0,500,3,503,1134,2,1,2,0,1,0,44.36
新竹縣,新埔鎮,田新里,0,0,972,10,982,2436,2,1,2,0,1,0,40.31
新竹縣,新埔鎮,旱坑里,0,0,633,8,641,1815,2,1,2,0,1,0,35.32
新竹縣,新埔鎮,五埔里,0,0,690,7,697,1873,2,1,2,0,1,0,37.21
新竹縣,新埔鎮,四座里,0,0,1254,16,1270,3217,2,1,2,0,1,0,39.48
新竹縣,新埔鎮,照門里,0,0,645,5,650,1424,2,1,2,0,1,0,45.65
新竹縣,新埔鎮,清水里,0,0,229,1,230,439,2,1,2,0,1,0,52.39
新竹縣,新埔鎮,鹿鳴里,0,0,349,2,351,747,2,1,2,0,1,0,46.99
新竹縣,新埔鎮,新北里,0,0,295,1,296,631,2,1,2,0,1,0,46.91
新竹縣,新埔鎮,巨埔里,0,0,490,5,495,1101,2,1,2,0,1,0,44.96
新竹縣,新埔鎮,內立里,0,0,469,5,474,1139,2,1,2,0,1,0,41.62
新竹縣,新埔鎮,寶石里,0,0,366,3,369,856,2,1,2,0,1,0,43.11
新竹縣,新埔鎮,文山里,0,0,1452,8,1460,3967,2,1,2,0,1,0,36.80
新竹縣,新埔鎮,上寮里,0,0,649,4,653,1784,2,1,2,0,1,0,36.60
新竹縣,新埔鎮,下寮里,0,0,795,8,803,2093,2,1,2,0,1,0,38.37
新竹縣,新埔鎮,南平里,0,0,474,9,483,1014,2,1,2,0,1,0,47.63
新竹縣,新埔鎮,北平里,0,0,303,3,306,691,2,1,2,0,1,0,44.28
新竹縣,關西鎮,東興里,0,0,288,3,291,545,2,1,2,0,1,0,53.39
新竹縣,關西鎮,西安里,0,0,671,5,676,1830,2,1,2,0,1,0,36.94
新竹縣,關西鎮,南雄里,0,0,321,5,326,749,2,1,2,0,1,0,43.52
新竹縣,關西鎮,北斗里,0,0,1410,16,1426,3626,2,1,2,0,1,0,39.33
新竹縣,關西鎮,北山里,0,0,334,4,338,788,2,1,2,0,1,0,42.89
新竹縣,關西鎮,仁安里,0,0,442,1,443,1134,2,1,2,0,1,0,39.07
新竹縣,關西鎮,南山里,0,0,362,2,364,1064,2,1,2,0,1,0,34.21
新竹縣,關西鎮,東安里,0,0,1107,12,1119,3233,2,1,2,0,1,0,34.61
新竹縣,關西鎮,東山里,0,0,338,4,342,857,2,1,2,0,1,0,39.91
新竹縣,關西鎮,東光里,0,0,520,2,522,1219,2,1,2,0,1,0,42.82
新竹縣,關西鎮,南新里,0,0,388,6,394,990,2,1,2,0,1,0,39.80
新竹縣,關西鎮,新富里,0,0,243,1,244,633,2,1,2,0,1,0,38.55
新竹縣,關西鎮,玉山里,0,0,201,3,204,513,2,1,2,0,1,0,39.77
新竹縣,關西鎮,金山里,0,0,243,6,249,653,2,1,2,0,1,0,38.13
新竹縣,關西鎮,錦山里,0,0,323,2,325,852,2,1,2,0,1,0,38.15
新竹縣,關西鎮,大同里,0,0,407,4,411,793,2,1,2,0,1,0,51.83
新竹縣,關西鎮,石光里,0,0,733,8,741,1814,2,1,2,0,1,0,40.85
新竹縣,關西鎮,東平里,0,0,470,7,477,997,2,1,2,0,1,0,47.84
新竹縣,關西鎮,上林里,0,0,347,6,353,860,2,1,2,0,1,0,41.05
新竹縣,關西鎮,新力里,0,0,276,2,278,582,2,1,2,0,1,0,47.77
新竹縣,關西鎮,南和里,0,0,364,8,372,835,2,1,2,0,1,0,44.55
新竹縣,湖口鄉,和興村,0,0,1043,4,1047,2588,2,1,2,0,1,0,40.46
新竹縣,湖口鄉,東興村,0,0,1164,10,1174,3401,2,1,2,0,1,0,34.52
新竹縣,湖口鄉,德盛村,0,0,1340,8,1348,3946,2,1,2,0,1,0,34.16
新竹縣,湖口鄉,愛勢村,0,0,1419,17,1436,3914,2,1,2,0,1,0,36.69
新竹縣,湖口鄉,仁勢村,0,0,353,4,357,841,2,1,2,0,1,0,42.45
新竹縣,湖口鄉,孝勢村,0,0,565,5,570,1341,2,1,2,0,1,0,42.51
新竹縣,湖口鄉,中勢村,0,0,921,14,935,2474,2,1,2,0,1,0,37.79
新竹縣,湖口鄉,中正村,0,0,964,14,978,2161,2,1,2,0,1,0,45.26
新竹縣,湖口鄉,信勢村,0,0,1413,17,1430,4073,2,1,2,0,1,0,35.11
新竹縣,湖口鄉,信義村,0,0,807,5,812,2469,2,1,2,0,1,0,32.89
新竹縣,湖口鄉,波羅村,0,0,508,5,513,1868,2,1,2,0,1,0,27.46
新竹縣,湖口鄉,長嶺村,0,0,983,12,995,2705,2,1,2,0,1,0,36.78
新竹縣,湖口鄉,長安村,0,0,391,6,397,1028,2,1,2,0,1,0,38.62
新竹縣,湖口鄉,湖口村,0,0,881,7,888,2490,2,1,2,0,1,0,35.66
新竹縣,湖口鄉,湖鏡村,0,0,876,12,888,2301,2,1,2,0,1,0,38.59
新竹縣,湖口鄉,湖南村,0,0,523,8,531,1469,2,1,2,0,1,0,36.15
新竹縣,湖口鄉,中興村,0,0,1473,15,1488,4723,2,1,2,0,1,0,31.51
新竹縣,湖口鄉,鳳凰村,0,0,1238,9,1247,4324,2,1,2,0,1,0,28.84
新竹縣,湖口鄉,勝利村,0,0,987,15,1002,3210,2,1,2,0,1,0,31.21
新竹縣,湖口鄉,鳳山村,0,0,982,17,999,2843,2,1,2,0,1,0,35.14
新竹縣,新豐鄉,福興村,0,0,393,4,397,986,2,1,2,0,1,0,40.26
新竹縣,新豐鄉,青埔村,0,0,561,7,568,1485,2,1,2,0,1,0,38.25
新竹縣,新豐鄉,後湖村,0,0,662,9,671,1751,2,1,2,0,1,0,38.32
新竹縣,新豐鄉,瑞興村,0,0,504,3,507,1496,2,1,2,0,1,0,33.89
新竹縣,新豐鄉,坡頭村,0,0,316,1,317,821,2,1,2,0,1,0,38.61
新竹縣,新豐鄉,埔和村,0,0,892,7,899,2578,2,1,2,0,1,0,34.87
新竹縣,新豐鄉,新豐村,0,0,862,7,869,2111,2,1,2,0,1,0,41.17
新竹縣,新豐鄉,員山村,0,0,554,9,563,1757,2,1,2,0,1,0,32.04
新竹縣,新豐鄉,忠孝村,0,0,826,5,831,2694,2,1,2,0,1,0,30.85
新竹縣,新豐鄉,山崎村,0,0,1352,12,1364,3717,2,1,2,0,1,0,36.70
新竹縣,新豐鄉,中崙村,0,0,921,3,924,2653,2,1,2,0,1,0,34.83
新竹縣,新豐鄉,上坑村,0,0,474,4,478,1340,2,1,2,0,1,0,35.67
新竹縣,新豐鄉,鳳坑村,0,0,422,4,426,1025,2,1,2,0,1,0,41.56
新竹縣,新豐鄉,重興村,0,0,1443,14,1457,4206,2,1,2,0,1,0,34.64
新竹縣,新豐鄉,崎頂村,0,0,768,6,774,2358,2,1,2,0,1,0,32.82
新竹縣,新豐鄉,松林村,0,0,1178,10,1188,3630,2,1,2,0,1,0,32.73
新竹縣,新豐鄉,松柏村,0,0,863,14,877,2930,2,1,2,0,1,0,29.93
新竹縣,芎林鄉,華龍村,0,0,196,1,197,448,2,1,2,0,1,0,43.97
新竹縣,芎林鄉,五龍村,0,0,240,3,243,507,2,1,2,0,1,0,47.93
新竹縣,芎林鄉,秀湖村,0,0,366,2,368,899,2,1,2,0,1,0,40.93
新竹縣,芎林鄉,永興村,0,0,163,1,164,420,2,1,2,0,1,0,39.05
新竹縣,芎林鄉,石潭村,0,0,1007,7,1014,2497,2,1,2,0,1,0,40.61
新竹縣,芎林鄉,新鳳村,0,0,666,7,673,1498,2,1,2,0,1,0,44.93
新竹縣,芎林鄉,中坑村,0,0,244,3,247,575,2,1,2,0,1,0,42.96
新竹縣,芎林鄉,水坑村,0,0,268,1,269,663,2,1,2,0,1,0,40.57
新竹縣,芎林鄉,文林村,0,0,908,7,915,2252,2,1,2,0,1,0,40.63
新竹縣,芎林鄉,芎林村,0,0,701,10,711,1519,2,1,2,0,1,0,46.81
新竹縣,芎林鄉,上山村,0,0,1349,10,1359,3515,2,1,2,0,1,0,38.66
新竹縣,芎林鄉,下山村,0,0,495,7,502,1107,2,1,2,0,1,0,45.35
新竹縣,橫山鄉,橫山村,0,0,1197,14,1211,3303,2,1,2,0,1,0,36.66
新竹縣,橫山鄉,田寮村,0,0,384,5,389,895,2,1,2,0,1,0,43.46
新竹縣,橫山鄉,南昌村,0,0,93,3,96,233,2,1,2,0,1,0,41.20
新竹縣,橫山鄉,豐鄉村,0,0,96,4,100,305,2,1,2,0,1,0,32.79
新竹縣,橫山鄉,豐田村,0,0,158,8,166,355,2,1,2,0,1,0,46.76
新竹縣,橫山鄉,內灣村,0,0,398,2,400,1013,2,1,2,0,1,0,39.49
新竹縣,橫山鄉,力行村,0,0,385,8,393,849,2,1,2,0,1,0,46.29
新竹縣,橫山鄉,福興村,0,0,202,3,205,485,2,1,2,0,1,0,42.27
新竹縣,橫山鄉,沙坑村,0,0,455,8,463,1032,2,1,2,0,1,0,44.86
新竹縣,橫山鄉,新興村,0,0,616,11,627,1592,2,1,2,0,1,0,39.38
新竹縣,橫山鄉,大肚村,0,0,523,9,532,1435,2,1,2,0,1,0,37.07
新竹縣,北埔鄉,北埔村,0,0,414,1,415,1134,2,1,2,0,1,0,36.60
新竹縣,北埔鄉,南興村,0,0,454,7,461,1260,2,1,2,0,1,0,36.59
新竹縣,北埔鄉,大湖村,0,0,238,4,242,573,2,1,2,0,1,0,42.23
新竹縣,北埔鄉,埔尾村,0,0,965,10,975,2444,2,1,2,0,1,0,39.89
新竹縣,北埔鄉,水村,0,0,310,2,312,798,2,1,2,0,1,0,39.10
新竹縣,北埔鄉,南埔村,0,0,179,1,180,408,2,1,2,0,1,0,44.12
新竹縣,北埔鄉,大林村,0,0,320,8,328,714,2,1,2,0,1,0,45.94
新竹縣,北埔鄉,南坑村,0,0,146,1,147,370,2,1,2,0,1,0,39.73
新竹縣,北埔鄉,外坪村,0,0,124,0,124,306,2,1,2,0,1,0,40.52
新竹縣,寶山鄉,雙溪村,0,0,665,3,668,1940,2,1,2,0,1,0,34.43
新竹縣,寶山鄉,雙新村,0,0,668,3,671,2205,2,1,2,0,1,0,30.43
新竹縣,寶山鄉,大崎村,0,0,435,3,438,1257,2,1,2,0,1,0,34.84
新竹縣,寶山鄉,三峰村,0,0,337,3,340,975,2,1,2,0,1,0,34.87
新竹縣,寶山鄉,新城村,0,0,408,4,412,1125,2,1,2,0,1,0,36.62
新竹縣,寶山鄉,寶斗村,0,0,289,1,290,664,2,1,2,0,1,0,43.67
新竹縣,寶山鄉,深井村,0,0,333,1,334,716,2,1,2,0,1,0,46.65
新竹縣,寶山鄉,寶山村,0,0,321,5,326,717,2,1,2,0,1,0,45.47
新竹縣,寶山鄉,油田村,0,0,246,1,247,597,2,1,2,0,1,0,41.37
新竹縣,寶山鄉,山湖村,0,0,186,3,189,493,2,1,2,0,1,0,38.34
新竹縣,峨眉鄉,峨眉村,0,0,400,4,404,870,2,1,2,0,1,0,46.44
新竹縣,峨眉鄉,中盛村,0,0,308,4,312,714,2,1,2,0,1,0,43.70
新竹縣,峨眉鄉,石井村,0,0,265,1,266,651,2,1,2,0,1,0,40.86
新竹縣,峨眉鄉,七星村,0,0,264,3,267,629,2,1,2,0,1,0,42.45
新竹縣,峨眉鄉,富興村,0,0,439,6,445,1252,2,1,2,0,1,0,35.54
新竹縣,峨眉鄉,湖光村,0,0,377,0,377,907,2,1,2,0,1,0,41.57
新竹縣,尖石鄉,嘉樂村,0,0,130,5,135,379,2,1,2,0,1,0,35.62
新竹縣,尖石鄉,義興村,0,0,72,0,72,226,2,1,2,0,1,0,31.86
新竹縣,尖石鄉,新樂村,0,0,61,1,62,189,2,1,2,0,1,0,32.80
新竹縣,尖石鄉,錦屏村,0,0,36,1,37,124,2,1,2,0,1,0,29.84
新竹縣,尖石鄉,梅花村,0,0,10,0,10,44,2,1,2,0,1,0,22.73
新竹縣,尖石鄉,玉峰村,0,0,3,0,3,32,2,1,2,0,1,0,9.38
新竹縣,尖石鄉,秀巒村,0,0,7,0,7,49,2,1,2,0,1,0,14.29
新竹縣,五峰鄉,大隘村,0,0,37,0,37,117,2,1,2,0,1,0,31.62
新竹縣,五峰鄉,桃山村,0,0,53,0,53,205,2,1,2,0,1,0,25.85
新竹縣,五峰鄉,花園村,0,0,20,0,20,61,2,1,2,0,1,0,32.79
新竹縣,五峰鄉,竹林村,0,0,6,0,6,25,2,1,2,0,1,0,24.00
新竹縣,竹北市,鹿場里,1,0,313,2,315,1358,2,1,2,0,1,0,23.20
新竹縣,竹北市,鹿場里,2,0,362,6,368,1316,2,1,2,0,1,0,27.96
新竹縣,竹北市,鹿場里,3,0,427,2,429,1185,2,1,2,0,1,0,36.20
新竹縣,竹北市,東平里,4,0,469,2,471,1911,2,1,2,0,1,0,24.65
新竹縣,竹北市,東平里,5,0,407,1,408,1757,2,1,2,0,1,0,23.22
新竹縣,竹北市,中興里,6,0,481,3,484,1498,2,1,2,0,1,0,32.31
新竹縣,竹北市,中興里,7,0,545,4,549,1856,2,1,2,0,1,0,29.58
新竹縣,竹北市,隘口里,8,0,305,6,311,799,2,1,2,0,1,0,38.92
新竹縣,竹北市,東海里,9,0,473,2,475,1504,2,1,2,0,1,0,31.58
新竹縣,竹北市,東海里,10,0,545,5,550,1488,2,1,2,0,1,0,36.96
新竹縣,竹北市,十興里,11,0,391,3,394,1343,2,1,2,0,1,0,29.34
新竹縣,竹北市,十興里,12,0,399,2,401,1328,2,1,2,0,1,0,30.20
新竹縣,竹北市,十興里,13,0,649,2,651,2976,2,1,2,0,1,0,21.88
新竹縣,竹北市,十興里,14,0,348,1,349,1166,2,1,2,0,1,0,29.93
新竹縣,竹北市,十興里,15,0,237,2,239,945,2,1,2,0,1,0,25.29
新竹縣,竹北市,十興里,16,0,394,0,394,1612,2,1,2,0,1,0,24.44
新竹縣,竹北市,十興里,17,0,376,1,377,1345,2,1,2,0,1,0,28.03
新竹縣,竹北市,十興里,18,0,322,4,326,1124,2,1,2,0,1,0,29.00
新竹縣,竹北市,十興里,19,0,355,3,358,1140,2,1,2,0,1,0,31.40
新竹縣,竹北市,十興里,20,0,453,5,458,1290,2,1,2,0,1,0,35.50
新竹縣,竹北市,斗崙里,21,0,359,3,362,1175,2,1,2,0,1,0,30.81
新竹縣,竹北市,斗崙里,22,0,371,3,374,1086,2,1,2,0,1,0,34.44
新竹縣,竹北市,斗崙里,23,0,296,1,297,1035,2,1,2,0,1,0,28.70
新竹縣,竹北市,斗崙里,24,0,388,0,388,1083,2,1,2,0,1,0,35.83
新竹縣,竹北市,斗崙里,25,0,455,4,459,1188,2,1,2,0,1,0,38.64
新竹縣,竹北市,斗崙里,26,0,351,0,351,1064,2,1,2,0,1,0,32.99
新竹縣,竹北市,北崙里,27,0,328,1,329,1059,2,1,2,0,1,0,31.07
新竹縣,竹北市,北崙里,28,0,389,2,391,1020,2,1,2,0,1,0,38.33
新竹縣,竹北市,北崙里,29,0,389,2,391,1110,2,1,2,0,1,0,35.23
新竹縣,竹北市,新崙里,30,0,458,5,463,1473,2,1,2,0,1,0,31.43
新竹縣,竹北市,新崙里,31,0,485,2,487,1364,2,1,2,0,1,0,35.70
新竹縣,竹北市,新崙里,32,0,585,7,592,1550,2,1,2,0,1,0,38.19
新竹縣,竹北市,竹北里,33,0,377,5,382,1247,2,1,2,0,1,0,30.63
新竹縣,竹北市,竹北里,34,0,333,1,334,1137,2,1,2,0,1,0,29.38
新竹縣,竹北市,竹北里,35,0,393,2,395,1118,2,1,2,0,1,0,35.33
新竹縣,竹北市,竹北里,36,0,290,3,293,1251,2,1,2,0,1,0,23.42
