CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
桃園縣,,,0,2,1,36989,40.04,陳麗玲,中國國民黨,2,N,
桃園縣,,,0,2,2,1760,1.90,彭添富,無,1,N,
桃園縣,,,0,2,3,53633,58.06,郭榮宗,民主進步黨,1,N,T
桃園縣,大園鄉,,0,2,1,7836,35.71,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,,0,2,1,5626,32.76,陳麗玲,中國國民黨,2,N,
桃園縣,新屋鄉,,0,2,1,5699,35.87,陳麗玲,中國國民黨,2,N,
桃園縣,楊梅鎮,,0,2,1,17828,47.70,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,,0,2,2,264,1.20,彭添富,無,1,N,
桃園縣,觀音鄉,,0,2,2,508,2.96,彭添富,無,1,N,
桃園縣,新屋鄉,,0,2,2,431,2.71,彭添富,無,1,N,
桃園縣,楊梅鎮,,0,2,2,557,1.49,彭添富,無,1,N,
桃園縣,大園鄉,,0,2,3,13844,63.09,郭榮宗,民主進步黨,1,N,T
桃園縣,觀音鄉,,0,2,3,11040,64.28,郭榮宗,民主進步黨,1,N,T
桃園縣,新屋鄉,,0,2,3,9759,61.42,郭榮宗,民主進步黨,1,N,T
桃園縣,楊梅鎮,,0,2,3,18990,50.81,郭榮宗,民主進步黨,1,N,T
桃園縣,大園鄉,大園村,0,2,1,908,39.17,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,田心村,0,2,1,668,36.64,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,溪海村,0,2,1,368,31.67,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,和平村,0,2,1,156,24.53,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,橫峰村,0,2,1,730,35.58,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,五權村,0,2,1,403,24.83,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,埔心村,0,2,1,604,31.61,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,大海村,0,2,1,292,42.88,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,三石村,0,2,1,387,33.45,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,菓林村,0,2,1,650,36.01,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,竹圍村,0,2,1,513,48.44,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,海口村,0,2,1,295,49.33,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,沙崙村,0,2,1,409,43.19,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,後厝村,0,2,1,317,38.56,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,圳頭村,0,2,1,308,34.96,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,內海村,0,2,1,233,30.90,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,北港村,0,2,1,267,31.26,陳麗玲,中國國民黨,2,N,
桃園縣,大園鄉,南港村,0,2,1,328,38.10,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,觀音村,0,2,1,457,46.54,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,白玉村,0,2,1,236,44.70,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,廣興村,0,2,1,199,35.28,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,大潭村,0,2,1,201,42.58,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,保生村,0,2,1,217,34.55,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,武威村,0,2,1,165,44.72,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,三和村,0,2,1,120,33.15,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,新興村,0,2,1,81,25.63,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,坑尾村,0,2,1,199,40.28,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,金湖村,0,2,1,294,38.43,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,藍埔村,0,2,1,289,33.22,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,大同村,0,2,1,278,33.66,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,大堀村,0,2,1,125,26.15,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,崙坪村,0,2,1,440,31.54,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,富源村,0,2,1,274,30.38,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,上大村,0,2,1,210,29.09,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,新坡村,0,2,1,281,27.18,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,廣福村,0,2,1,203,24.76,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,塔腳村,0,2,1,143,33.18,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,保障村,0,2,1,199,25.25,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,草漯村,0,2,1,523,28.67,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,樹林村,0,2,1,282,31.97,陳麗玲,中國國民黨,2,N,
桃園縣,觀音鄉,富林村,0,2,1,210,29.09,陳麗玲,中國國民黨,2,N,
桃園縣,新屋鄉,新屋村,0,2,1,510,45.09,陳麗玲,中國國民黨,2,N,
桃園縣,新屋鄉,新生村,0,2,1,652,46.64,陳麗玲,中國國民黨,2,N,
桃園縣,新屋鄉,後湖村,0,2,1,224,39.79,陳麗玲,中國國民黨,2,N,
桃園縣,新屋鄉,清華村,0,2,1,453,36.44,陳麗玲,中國國民黨,2,N,
桃園縣,新屋鄉,石磊村,0,2,1,233,30.86,陳麗玲,中國國民黨,2,N,
桃園縣,新屋鄉,東明村,0,2,1,233,42.06,陳麗玲,中國國民黨,2,N,
桃園縣,新屋鄉,社子村,0,2,1,192,31.89,陳麗玲,中國國民黨,2,N,
