CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
高雄市,,,0,4,1,23409,30.31,徐慶煌,中國國民黨,1,N,
高雄市,,,0,4,2,53833,69.69,林岱樺,民主進步黨,2,N,T
高雄市,仁武區,,0,4,1,4186,24.24,徐慶煌,中國國民黨,1,N,
高雄市,鳥松區,,0,4,1,3288,29.03,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,,0,4,1,9608,31.98,徐慶煌,中國國民黨,1,N,
高雄市,林園區,,0,4,1,6327,34.02,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,,0,4,2,13084,75.76,林岱樺,民主進步黨,2,N,T
高雄市,鳥松區,,0,4,2,8039,70.97,林岱樺,民主進步黨,2,N,T
高雄市,大寮區,,0,4,2,20440,68.02,林岱樺,民主進步黨,2,N,T
高雄市,林園區,,0,4,2,12270,65.98,林岱樺,民主進步黨,2,N,T
高雄市,仁武區,大灣里,0,4,1,154,18.97,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,灣內里,0,4,1,262,19.12,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,考潭里,0,4,1,300,33.41,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,烏林里,0,4,1,378,34.43,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,仁福里,0,4,1,43,17.99,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,仁武里,0,4,1,311,19.85,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,文武里,0,4,1,445,20.79,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,竹後里,0,4,1,147,16.41,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,八卦里,0,4,1,804,28.23,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,高楠里,0,4,1,159,25.73,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,後安里,0,4,1,154,19.77,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,中華里,0,4,1,186,34.83,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,五和里,0,4,1,219,25.67,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,仁和里,0,4,1,195,22.21,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,赤山里,0,4,1,269,22.95,徐慶煌,中國國民黨,1,N,
高雄市,仁武區,仁慈里,0,4,1,160,28.17,徐慶煌,中國國民黨,1,N,
高雄市,鳥松區,鳥松里,0,4,1,813,31.14,徐慶煌,中國國民黨,1,N,
高雄市,鳥松區,夢裡里,0,4,1,354,29.57,徐慶煌,中國國民黨,1,N,
高雄市,鳥松區,大華里,0,4,1,845,31.75,徐慶煌,中國國民黨,1,N,
高雄市,鳥松區,埔里,0,4,1,268,22.98,徐慶煌,中國國民黨,1,N,
高雄市,鳥松區,仁美里,0,4,1,514,24.53,徐慶煌,中國國民黨,1,N,
高雄市,鳥松區,大竹里,0,4,1,79,26.33,徐慶煌,中國國民黨,1,N,
高雄市,鳥松區,華美里,0,4,1,415,32,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,拷潭里,0,4,1,82,15.05,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,內坑里,0,4,1,432,30.4,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,大寮里,0,4,1,798,38.48,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,上寮里,0,4,1,214,25.36,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,三隆里,0,4,1,396,24.91,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,琉球里,0,4,1,346,24.56,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,翁園里,0,4,1,192,15.25,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,前庄里,0,4,1,228,29.34,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,中庄里,0,4,1,700,24.78,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,後庄里,0,4,1,578,29.96,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,義仁里,0,4,1,227,34.19,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,新厝里,0,4,1,139,29.08,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,過溪里,0,4,1,256,33.86,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,潮寮里,0,4,1,212,19.59,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,會結里,0,4,1,142,28.98,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,會社里,0,4,1,722,39.74,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,山頂里,0,4,1,1000,44.74,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,忠義里,0,4,1,182,68.68,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,永芳里,0,4,1,633,30.43,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,義和里,0,4,1,151,18.71,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,溪寮里,0,4,1,112,21.05,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,江山里,0,4,1,121,20.34,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,昭明里,0,4,1,252,21.84,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,光武里,0,4,1,107,81.68,徐慶煌,中國國民黨,1,N,
高雄市,大寮區,中興里,0,4,1,1386,60.55,徐慶煌,中國國民黨,1,N,
高雄市,林園區,東林里,0,4,1,278,34.66,徐慶煌,中國國民黨,1,N,
高雄市,林園區,林園里,0,4,1,362,35.21,徐慶煌,中國國民黨,1,N,
高雄市,林園區,溪州里,0,4,1,416,32.7,徐慶煌,中國國民黨,1,N,
高雄市,林園區,潭頭里,0,4,1,345,41.42,徐慶煌,中國國民黨,1,N,
高雄市,林園區,中厝里,0,4,1,399,40.22,徐慶煌,中國國民黨,1,N,
高雄市,林園區,中門里,0,4,1,230,30.22,徐慶煌,中國國民黨,1,N,
高雄市,林園區,頂厝里,0,4,1,444,32.55,徐慶煌,中國國民黨,1,N,
