CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
苗栗縣,南庄鄉,東村,408,4,39,1,40,50,4,2,3,1,2,0,80
苗栗縣,南庄鄉,西村,409,4,37,0,37,49,4,2,3,1,2,0,75.51
苗栗縣,南庄鄉,南江村,410,4,203,2,205,291,4,2,3,1,2,0,70.45
苗栗縣,南庄鄉,蓬萊村,411,4,253,5,258,366,4,2,3,1,2,0,70.49
苗栗縣,南庄鄉,東河村,412,4,467,10,477,653,4,2,3,1,2,0,73.05
苗栗縣,南庄鄉,田美村,413,4,7,1,8,9,4,2,3,1,2,0,88.89
苗栗縣,南庄鄉,獅山村,414,4,13,0,13,15,4,2,3,1,2,0,86.67
苗栗縣,南庄鄉,南富村,415,4,4,0,4,5,4,2,3,1,2,0,80
苗栗縣,南庄鄉,員林村,416,4,3,0,3,3,4,2,3,1,2,0,100
屏東縣,滿州鄉,滿州村,606,4,155,21,176,215,1,1,1,0,1,0,81.86
屏東縣,滿州鄉,里德村,607,4,93,14,107,123,1,1,1,0,1,0,86.99
屏東縣,滿州鄉,响林村,608,4,27,6,33,42,1,1,1,0,1,0,78.57
屏東縣,滿州鄉,永靖村,609,4,170,60,230,305,1,1,1,0,1,0,75.41
屏東縣,滿州鄉,港口村,610,4,107,17,124,145,1,1,1,0,1,0,85.52
屏東縣,滿州鄉,長樂村,611,4,104,30,134,174,1,1,1,0,1,0,77.01
屏東縣,滿州鄉,九棚村,612,4,15,6,21,26,1,1,1,0,1,0,80.77
屏東縣,滿州鄉,港仔村,613,4,16,3,19,23,1,1,1,0,1,0,82.61
花蓮縣,豐濱鄉,靜浦村,227,2,399,6,405,595,8,5,6,2,3,2,68.07
花蓮縣,豐濱鄉,港口村,228,2,450,9,459,610,8,5,6,2,3,2,75.25
花蓮縣,豐濱鄉,豐濱村,229,2,271,6,277,392,8,5,6,2,3,2,70.66
花蓮縣,豐濱鄉,豐濱村,230,2,373,10,383,519,8,5,6,2,3,2,73.8
花蓮縣,豐濱鄉,豐濱村,231,2,166,4,170,326,8,5,6,2,3,2,52.15
花蓮縣,豐濱鄉,新社村,232,2,319,10,329,521,8,5,6,2,3,2,63.15
花蓮縣,豐濱鄉,磯崎村,233,2,221,2,223,264,8,5,6,2,3,2,84.47
花蓮縣,光復鄉,大華村,210,3,208,8,216,336,5,3,5,0,3,0,64.29
花蓮縣,光復鄉,大安村,211,3,34,2,36,63,5,3,5,0,3,0,57.14
花蓮縣,光復鄉,大平村,212,3,390,11,401,647,5,3,5,0,3,0,61.98
花蓮縣,光復鄉,大馬村,213,3,399,12,411,642,5,3,5,0,3,0,64.02
花蓮縣,光復鄉,大同村,214,3,202,4,206,368,5,3,5,0,3,0,55.98
花蓮縣,光復鄉,大進村,221,3,54,5,59,80,5,3,5,0,3,0,73.75
花蓮縣,光復鄉,大全村,222,3,128,5,133,240,5,3,5,0,3,0,55.42
花蓮縣,光復鄉,大全村,223,3,4,0,4,5,5,3,5,0,3,0,80
花蓮縣,光復鄉,大興村,224,3,140,4,144,186,5,3,5,0,3,0,77.42
花蓮縣,光復鄉,大富村,225,3,18,0,18,31,5,3,5,0,3,0,58.06
花蓮縣,光復鄉,大豐村,226,3,16,0,16,24,5,3,5,0,3,0,66.67
花蓮縣,瑞穗鄉,瑞穗村,241,3,30,0,30,49,11,4,7,4,3,1,61.22
花蓮縣,瑞穗鄉,瑞穗村,242,3,76,0,76,131,11,4,7,4,3,1,58.02
花蓮縣,瑞穗鄉,瑞美村,243,3,35,2,37,64,11,4,7,4,3,1,57.81
花蓮縣,瑞穗鄉,瑞美村,244,3,147,3,150,244,11,4,7,4,3,1,61.48
花蓮縣,瑞穗鄉,瑞良村,245,3,113,4,117,168,11,4,7,4,3,1,69.64
花蓮縣,瑞穗鄉,瑞祥村,246,3,101,2,103,172,11,4,7,4,3,1,59.88
花蓮縣,瑞穗鄉,瑞北村,247,3,134,4,138,216,11,4,7,4,3,1,63.89
花蓮縣,瑞穗鄉,舞鶴村,248,3,327,10,337,468,11,4,7,4,3,1,72.01
花蓮縣,瑞穗鄉,鶴岡村,249,3,420,5,425,595,11,4,7,4,3,1,71.43
花蓮縣,瑞穗鄉,奇美村,250,3,149,2,151,206,11,4,7,4,3,1,73.3
花蓮縣,瑞穗鄉,富源村,251,3,138,9,147,262,11,4,7,4,3,1,56.11
花蓮縣,瑞穗鄉,富民村,252,3,363,8,371,603,11,4,7,4,3,1,61.53
花蓮縣,瑞穗鄉,富興村,253,3,137,4,141,214,11,4,7,4,3,1,65.89
花蓮縣,玉里鎮,中城里,254,3,60,8,68,119,2,1,1,1,1,0,57.14
花蓮縣,玉里鎮,中城里,255,3,30,3,33,74,2,1,1,1,1,0,44.59
花蓮縣,玉里鎮,中城里,256,3,50,4,54,105,2,1,1,1,1,0,51.43
花蓮縣,玉里鎮,中城里,257,3,17,3,20,37,2,1,1,1,1,0,54.05
花蓮縣,玉里鎮,中城里,258,3,18,2,20,33,2,1,1,1,1,0,60.61
花蓮縣,玉里鎮,國武里,259,3,22,0,22,37,2,1,1,1,1,0,59.46
花蓮縣,玉里鎮,啟模里,260,3,34,1,35,71,2,1,1,1,1,0,49.3
花蓮縣,玉里鎮,啟模里,261,3,37,2,39,73,2,1,1,1,1,0,53.42
花蓮縣,玉里鎮,泰昌里,262,3,9,0,9,20,2,1,1,1,1,0,45
花蓮縣,玉里鎮,泰昌里,263,3,46,1,47,89,2,1,1,1,1,0,52.81
花蓮縣,玉里鎮,永昌里,264,3,88,7,95,175,2,1,1,1,1,0,54.29
花蓮縣,玉里鎮,源城里,265,3,134,4,138,216,2,1,1,1,1,0,63.89
花蓮縣,玉里鎮,長良里,266,3,142,5,147,246,2,1,1,1,1,0,59.76
