CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
新北市,烏來區,忠治里,2161,0,1152,46,1198,1412,5,1,5,0,1,0,84.84
新北市,烏來區,烏來里,2162,0,869,29,898,1118,5,1,5,0,1,0,80.32
新北市,烏來區,烏來里,2163,0,778,17,795,987,5,1,5,0,1,0,80.55
新北市,烏來區,孝義里,2164,0,194,10,204,231,5,1,5,0,1,0,88.31
新北市,烏來區,信賢里,2165,0,330,10,340,484,5,1,5,0,1,0,70.25
新北市,烏來區,福山里,2166,0,452,13,465,521,5,1,5,0,1,0,89.25
桃園市,復興區,三民里,551,0,1370,40,1410,1784,4,1,3,1,1,0,79.04
桃園市,復興區,澤仁里,552,0,908,37,945,1228,4,1,3,1,1,0,76.95
桃園市,復興區,霞雲里,553,0,350,15,365,487,4,1,3,1,1,0,74.95
桃園市,復興區,義盛里,554,0,443,13,456,600,4,1,3,1,1,0,76
桃園市,復興區,羅浮里,555,0,647,12,659,871,4,1,3,1,1,0,75.66
桃園市,復興區,長興里,556,0,410,18,428,556,4,1,3,1,1,0,76.98
桃園市,復興區,奎輝里,557,0,428,9,437,571,4,1,3,1,1,0,76.53
桃園市,復興區,高義里,558,0,485,10,495,635,4,1,3,1,1,0,77.95
桃園市,復興區,三光里,559,0,436,10,446,536,4,1,3,1,1,0,83.21
桃園市,復興區,華陵里,560,0,735,17,752,1062,4,1,3,1,1,0,70.81
臺中市,和平區,南勢里,1521,0,717,25,742,909,3,1,3,0,1,0,81.63
臺中市,和平區,南勢里,1522,0,695,21,716,872,3,1,3,0,1,0,82.11
臺中市,和平區,天輪里,1523,0,296,12,308,429,3,1,3,0,1,0,71.79
臺中市,和平區,博愛里,1524,0,752,17,769,953,3,1,3,0,1,0,80.69
臺中市,和平區,博愛里,1525,0,447,9,456,586,3,1,3,0,1,0,77.82
臺中市,和平區,自由里,1526,0,211,5,216,241,3,1,3,0,1,0,89.63
臺中市,和平區,自由里,1527,0,346,1,347,412,3,1,3,0,1,0,84.22
臺中市,和平區,自由里,1528,0,256,5,261,316,3,1,3,0,1,0,82.59
臺中市,和平區,達觀里,1529,0,577,24,601,700,3,1,3,0,1,0,85.86
臺中市,和平區,達觀里,1530,0,264,6,270,316,3,1,3,0,1,0,85.44
臺中市,和平區,中坑里,1531,0,354,7,361,417,3,1,3,0,1,0,86.57
臺中市,和平區,梨山里,1532,0,244,12,256,341,3,1,3,0,1,0,75.07
臺中市,和平區,梨山里,1533,0,843,34,877,1244,3,1,3,0,1,0,70.5
臺中市,和平區,梨山里,1534,0,187,7,194,242,3,1,3,0,1,0,80.17
臺中市,和平區,平等里,1535,0,108,2,110,150,3,1,3,0,1,0,73.33
臺中市,和平區,平等里,1536,0,552,16,568,658,3,1,3,0,1,0,86.32
高雄市,桃源區,梅山里,1,0,209,1,210,245,3,1,3,0,1,0,85.71
高雄市,桃源區,拉芙蘭里,2,0,196,4,200,231,3,1,3,0,1,0,86.58
高雄市,桃源區,復興里,3,0,222,4,226,265,3,1,3,0,1,0,85.28
高雄市,桃源區,勤和里,4,0,185,2,187,203,3,1,3,0,1,0,92.12
高雄市,桃源區,桃源里,5,0,564,12,576,706,3,1,3,0,1,0,81.59
高雄市,桃源區,高中里,6,0,443,9,452,555,3,1,3,0,1,0,81.44
高雄市,桃源區,建山里,7,0,449,10,459,570,3,1,3,0,1,0,80.53
高雄市,桃源區,寶山里,8,0,343,12,355,446,3,1,3,0,1,0,79.6
高雄市,那瑪夏區,達卡努瓦里,9,0,612,15,627,698,2,1,2,0,1,0,89.83
高雄市,那瑪夏區,達卡努瓦里,10,0,456,8,464,539,2,1,2,0,1,0,86.09
高雄市,那瑪夏區,瑪雅里,11,0,478,13,491,565,2,1,2,0,1,0,86.9
高雄市,那瑪夏區,南沙魯里,12,0,426,7,433,509,2,1,2,0,1,0,85.07
高雄市,茂林區,多納里,127,0,400,5,405,445,3,1,3,0,1,0,91.01
高雄市,茂林區,萬山里,128,0,304,8,312,342,3,1,3,0,1,0,91.23
高雄市,茂林區,茂林里,129,0,591,15,606,662,3,1,3,0,1,0,91.54
高雄市,茂林區,茂林里,0,0,591,15,606,662,3,1,3,0,1,0,91.54
高雄市,茂林區,萬山里,0,0,304,8,312,342,3,1,3,0,1,0,91.23
高雄市,茂林區,多納里,0,0,400,5,405,445,3,1,3,0,1,0,91.01
高雄市,桃源區,桃源里,0,0,564,12,576,706,3,1,3,0,1,0,81.59
高雄市,桃源區,寶山里,0,0,343,12,355,446,3,1,3,0,1,0,79.6
高雄市,桃源區,建山里,0,0,449,10,459,570,3,1,3,0,1,0,80.53
高雄市,桃源區,高中里,0,0,443,9,452,555,3,1,3,0,1,0,81.44
高雄市,桃源區,勤和里,0,0,185,2,187,203,3,1,3,0,1,0,92.12
高雄市,桃源區,復興里,0,0,222,4,226,265,3,1,3,0,1,0,85.28
高雄市,桃源區,拉芙蘭里,0,0,196,4,200,231,3,1,3,0,1,0,86.58
高雄市,桃源區,梅山里,0,0,209,1,210,245,3,1,3,0,1,0,85.71
高雄市,那瑪夏區,達卡努瓦里,0,0,1068,23,1091,1237,2,1,2,0,1,0,88.2
高雄市,那瑪夏區,瑪雅里,0,0,478,13,491,565,2,1,2,0,1,0,86.9
