CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
屏東縣,,,0,0,65256,312,65568,202129,4,1,3,1,1,0,32.44
屏東縣,新園鄉,,0,3,17368,60,17428,57368,4,1,3,1,1,0,30.38
屏東縣,崁頂鄉,,0,3,7577,36,7613,21824,4,1,3,1,1,0,34.88
屏東縣,南州鄉,,0,3,7030,34,7064,18079,4,1,3,1,1,0,39.07
屏東縣,新埤鄉,,0,3,5871,34,5905,16241,4,1,3,1,1,0,36.36
屏東縣,來義鄉,,0,3,26,0,26,299,4,1,3,1,1,0,8.70
屏東縣,東港鎮,,0,3,23336,78,23414,74424,4,1,3,1,1,0,31.46
屏東縣,林邊鄉,,0,3,11101,55,11156,30582,4,1,3,1,1,0,36.48
屏東縣,佳冬鄉,,0,3,11158,65,11223,31313,4,1,3,1,1,0,35.84
屏東縣,枋寮鄉,,0,3,13973,64,14037,41088,4,1,3,1,1,0,34.16
屏東縣,春日鄉,,0,3,38,0,38,200,4,1,3,1,1,0,19.00
屏東縣,枋山鄉,,0,3,3213,19,3232,8278,4,1,3,1,1,0,39.04
屏東縣,獅子鄉,,0,3,35,0,35,203,4,1,3,1,1,0,17.24
屏東縣,牡丹鄉,,0,3,106,2,108,542,4,1,3,1,1,0,19.93
屏東縣,車城鄉,,0,3,5794,35,5829,14410,4,1,3,1,1,0,40.45
屏東縣,滿州鄉,,0,3,2912,12,2924,10030,4,1,3,1,1,0,29.15
屏東縣,恆春鎮,,0,3,12507,76,12583,46027,4,1,3,1,1,0,27.34
屏東縣,琉球鄉,,0,3,4050,27,4077,19668,4,1,3,1,1,0,20.73
屏東縣,新園鄉,瓦磘村,0,3,534,0,534,1612,4,1,3,1,1,0,33.13
屏東縣,新園鄉,仙吉村,0,3,658,2,660,2435,4,1,3,1,1,0,27.10
屏東縣,新園鄉,田洋村,0,3,623,2,625,2057,4,1,3,1,1,0,30.38
屏東縣,新園鄉,港墘村,0,3,257,1,258,804,4,1,3,1,1,0,32.09
屏東縣,新園鄉,內庄村,0,3,292,2,294,805,4,1,3,1,1,0,36.52
屏東縣,新園鄉,新東村,0,3,666,3,669,2228,4,1,3,1,1,0,30.03
