CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
彰化縣,,,0,0,96831,766,97597,259816,4,1,2,2,0,1,37.56
彰化縣,員林鎮,,0,4,34450,251,34701,96062,4,1,2,2,0,1,36.12
彰化縣,大村鄉,,0,4,10579,65,10644,29335,4,1,2,2,0,1,36.28
彰化縣,永靖鄉,,0,4,11885,93,11978,30207,4,1,2,2,0,1,39.65
彰化縣,田中鎮,,0,4,14116,137,14253,34221,4,1,2,2,0,1,41.65
彰化縣,社頭鄉,,0,4,12731,99,12830,34686,4,1,2,2,0,1,36.99
彰化縣,二水鄉,,0,4,5215,37,5252,13201,4,1,2,2,0,1,39.78
彰化縣,田尾鄉,,0,4,7855,84,7939,22104,4,1,2,2,0,1,35.92
彰化縣,員林鎮,崙雅里,0,4,892,16,908,2330,4,1,2,2,0,1,38.97
彰化縣,員林鎮,振興里,0,4,798,5,803,2511,4,1,2,2,0,1,31.98
彰化縣,員林鎮,林厝里,0,4,904,7,911,2616,4,1,2,2,0,1,34.82
彰化縣,員林鎮,出水里,0,4,576,3,579,1676,4,1,2,2,0,1,34.55
彰化縣,員林鎮,湖水里,0,4,413,1,414,1186,4,1,2,2,0,1,34.91
彰化縣,員林鎮,大峯里,0,4,258,0,258,709,4,1,2,2,0,1,36.39
彰化縣,員林鎮,鎮興里,0,4,681,3,684,1902,4,1,2,2,0,1,35.96
彰化縣,員林鎮,浮圳里,0,4,748,1,749,2104,4,1,2,2,0,1,35.60
彰化縣,員林鎮,西東里,0,4,733,4,737,1872,4,1,2,2,0,1,39.37
彰化縣,員林鎮,南東里,0,4,581,12,593,1727,4,1,2,2,0,1,34.34
彰化縣,員林鎮,中東里,0,4,504,6,510,1668,4,1,2,2,0,1,30.58
彰化縣,員林鎮,東北里,0,4,782,5,787,2282,4,1,2,2,0,1,34.49
彰化縣,員林鎮,東和里,0,4,375,0,375,1056,4,1,2,2,0,1,35.51
彰化縣,員林鎮,民生里,0,4,904,5,909,2670,4,1,2,2,0,1,34.04
彰化縣,員林鎮,黎明里,0,4,645,5,650,1779,4,1,2,2,0,1,36.54
彰化縣,員林鎮,惠來里,0,4,1969,10,1979,5229,4,1,2,2,0,1,37.85
彰化縣,員林鎮,中央里,0,4,675,2,677,1839,4,1,2,2,0,1,36.81
彰化縣,員林鎮,溝皂里,0,4,880,6,886,2079,4,1,2,2,0,1,42.62
彰化縣,員林鎮,大饒里,0,4,1129,5,1134,2871,4,1,2,2,0,1,39.50
彰化縣,員林鎮,大明里,0,4,826,5,831,2301,4,1,2,2,0,1,36.11
彰化縣,員林鎮,萬年里,0,4,1176,10,1186,3319,4,1,2,2,0,1,35.73
彰化縣,員林鎮,中正里,0,4,1103,4,1107,3082,4,1,2,2,0,1,35.92
彰化縣,員林鎮,仁美里,0,4,882,6,888,2558,4,1,2,2,0,1,34.71
彰化縣,員林鎮,新興里,0,4,291,3,294,724,4,1,2,2,0,1,40.61
彰化縣,員林鎮,和平里,0,4,961,11,972,2733,4,1,2,2,0,1,35.57
彰化縣,員林鎮,光明里,0,4,362,5,367,847,4,1,2,2,0,1,43.33
彰化縣,員林鎮,中山里,0,4,294,2,296,621,4,1,2,2,0,1,47.67
彰化縣,員林鎮,三條里,0,4,790,8,798,2354,4,1,2,2,0,1,33.90
彰化縣,員林鎮,忠孝里,0,4,754,7,761,2092,4,1,2,2,0,1,36.38
彰化縣,員林鎮,仁愛里,0,4,508,5,513,1330,4,1,2,2,0,1,38.57
彰化縣,員林鎮,三和里,0,4,1856,12,1868,5811,4,1,2,2,0,1,32.15
彰化縣,員林鎮,三橋里,0,4,1016,11,1027,2696,4,1,2,2,0,1,38.09
彰化縣,員林鎮,三愛里,0,4,1005,8,1013,2691,4,1,2,2,0,1,37.64
彰化縣,員林鎮,三信里,0,4,768,4,772,2082,4,1,2,2,0,1,37.08
彰化縣,員林鎮,三多里,0,4,775,2,777,2177,4,1,2,2,0,1,35.69
彰化縣,員林鎮,三義里,0,4,809,7,816,2381,4,1,2,2,0,1,34.27
彰化縣,員林鎮,新生里,0,4,1510,11,1521,3902,4,1,2,2,0,1,38.98
彰化縣,員林鎮,南平里,0,4,1502,9,1511,4398,4,1,2,2,0,1,34.36
彰化縣,員林鎮,南興里,0,4,1502,12,1514,4262,4,1,2,2,0,1,35.52
彰化縣,員林鎮,源潭里,0,4,582,6,588,1579,4,1,2,2,0,1,37.24
彰化縣,員林鎮,大埔里,0,4,731,7,738,2016,4,1,2,2,0,1,36.61
彰化縣,大村鄉,大村村,0,4,1017,8,1025,2803,4,1,2,2,0,1,36.57
彰化縣,大村鄉,茄苳村,0,4,550,5,555,1489,4,1,2,2,0,1,37.27
彰化縣,大村鄉,田洋村,0,4,400,1,401,1028,4,1,2,2,0,1,39.01
彰化縣,大村鄉,貢旗村,0,4,581,2,583,1403,4,1,2,2,0,1,41.55
彰化縣,大村鄉,南勢村,0,4,442,1,443,1290,4,1,2,2,0,1,34.34
彰化縣,大村鄉,大橋村,0,4,675,5,680,1916,4,1,2,2,0,1,35.49
彰化縣,大村鄉,加錫村,0,4,493,5,498,1383,4,1,2,2,0,1,36.01
彰化縣,大村鄉,大崙村,0,4,556,6,562,1478,4,1,2,2,0,1,38.02
彰化縣,大村鄉,新興村,0,4,444,3,447,1119,4,1,2,2,0,1,39.95
彰化縣,大村鄉,擺塘村,0,4,894,6,900,2409,4,1,2,2,0,1,37.36
彰化縣,大村鄉,過溝村,0,4,863,5,868,2467,4,1,2,2,0,1,35.18
彰化縣,大村鄉,村上村,0,4,526,4,530,1325,4,1,2,2,0,1,40.00
彰化縣,大村鄉,美港村,0,4,1148,5,1153,2905,4,1,2,2,0,1,39.69
彰化縣,大村鄉,黃厝村,0,4,665,1,666,2026,4,1,2,2,0,1,32.87
彰化縣,大村鄉,福興村,0,4,585,2,587,1941,4,1,2,2,0,1,30.24
彰化縣,大村鄉,平和村,0,4,740,6,746,2353,4,1,2,2,0,1,31.70
彰化縣,永靖鄉,浮圳村,0,4,403,3,406,1184,4,1,2,2,0,1,34.29
彰化縣,永靖鄉,東寧村,0,4,641,3,644,1830,4,1,2,2,0,1,35.19
彰化縣,永靖鄉,光雲村,0,4,605,7,612,1565,4,1,2,2,0,1,39.11
彰化縣,永靖鄉,五汴村,0,4,544,4,548,1388,4,1,2,2,0,1,39.48
彰化縣,永靖鄉,永興村,0,4,641,12,653,1540,4,1,2,2,0,1,42.40
彰化縣,永靖鄉,崙子村,0,4,532,9,541,1342,4,1,2,2,0,1,40.31
彰化縣,永靖鄉,永東村,0,4,369,4,373,767,4,1,2,2,0,1,48.63
彰化縣,永靖鄉,永西村,0,4,607,3,610,1466,4,1,2,2,0,1,41.61
彰化縣,永靖鄉,永南村,0,4,742,2,744,1835,4,1,2,2,0,1,40.54
彰化縣,永靖鄉,永北村,0,4,828,2,830,1989,4,1,2,2,0,1,41.73
彰化縣,永靖鄉,港西村,0,4,682,6,688,1710,4,1,2,2,0,1,40.23
彰化縣,永靖鄉,五福村,0,4,486,2,488,1404,4,1,2,2,0,1,34.76
彰化縣,永靖鄉,湳港村,0,4,391,5,396,1010,4,1,2,2,0,1,39.21
彰化縣,永靖鄉,新莊村,0,4,348,2,350,962,4,1,2,2,0,1,36.38
彰化縣,永靖鄉,瑚璉村,0,4,961,7,968,2451,4,1,2,2,0,1,39.49
彰化縣,永靖鄉,獨鰲村,0,4,329,2,331,854,4,1,2,2,0,1,38.76
彰化縣,永靖鄉,敦厚村,0,4,230,3,233,690,4,1,2,2,0,1,33.77
彰化縣,永靖鄉,崙美村,0,4,313,2,315,758,4,1,2,2,0,1,41.56
彰化縣,永靖鄉,同安村,0,4,287,4,291,662,4,1,2,2,0,1,43.96
彰化縣,永靖鄉,同仁村,0,4,326,4,330,854,4,1,2,2,0,1,38.64
彰化縣,永靖鄉,湳墘村,0,4,353,3,356,839,4,1,2,2,0,1,42.43
彰化縣,永靖鄉,四芳村,0,4,320,1,321,661,4,1,2,2,0,1,48.56
彰化縣,永靖鄉,福興村,0,4,447,2,449,1104,4,1,2,2,0,1,40.67
彰化縣,永靖鄉,竹子村,0,4,500,1,501,1342,4,1,2,2,0,1,37.33
彰化縣,田中鎮,香山里,0,4,319,2,321,816,4,1,2,2,0,1,39.34
彰化縣,田中鎮,碧峰里,0,4,484,7,491,1243,4,1,2,2,0,1,39.50
彰化縣,田中鎮,東源里,0,4,247,4,251,686,4,1,2,2,0,1,36.59
彰化縣,田中鎮,復興里,0,4,676,5,681,1544,4,1,2,2,0,1,44.11
彰化縣,田中鎮,平和里,0,4,575,5,580,1483,4,1,2,2,0,1,39.11
彰化縣,田中鎮,頂潭里,0,4,542,12,554,1286,4,1,2,2,0,1,43.08
彰化縣,田中鎮,新庄里,0,4,906,7,913,2213,4,1,2,2,0,1,41.26
彰化縣,田中鎮,中潭里,0,4,631,3,634,1743,4,1,2,2,0,1,36.37
彰化縣,田中鎮,龍潭里,0,4,266,2,268,603,4,1,2,2,0,1,44.44
彰化縣,田中鎮,北路里,0,4,1280,19,1299,3173,4,1,2,2,0,1,40.94
彰化縣,田中鎮,西路里,0,4,949,5,954,2253,4,1,2,2,0,1,42.34
彰化縣,田中鎮,東路里,0,4,476,7,483,1027,4,1,2,2,0,1,47.03
彰化縣,田中鎮,南路里,0,4,540,1,541,1173,4,1,2,2,0,1,46.12
彰化縣,田中鎮,中路里,0,4,868,11,879,1920,4,1,2,2,0,1,45.78
彰化縣,田中鎮,梅州里,0,4,486,2,488,1242,4,1,2,2,0,1,39.29
彰化縣,田中鎮,三安里,0,4,714,7,721,1615,4,1,2,2,0,1,44.64
彰化縣,田中鎮,大崙里,0,4,531,5,536,1293,4,1,2,2,0,1,41.45
彰化縣,田中鎮,沙崙里,0,4,680,15,695,1703,4,1,2,2,0,1,40.81
彰化縣,田中鎮,新民里,0,4,1618,13,1631,3940,4,1,2,2,0,1,41.40
彰化縣,田中鎮,三民里,0,4,600,3,603,1514,4,1,2,2,0,1,39.83
彰化縣,田中鎮,三光里,0,4,382,2,384,889,4,1,2,2,0,1,43.19
彰化縣,田中鎮,大社里,0,4,346,0,346,862,4,1,2,2,0,1,40.14
彰化縣,社頭鄉,社頭村,0,4,996,2,998,2695,4,1,2,2,0,1,37.03
彰化縣,社頭鄉,廣興村,0,4,1508,8,1516,4274,4,1,2,2,0,1,35.47
彰化縣,社頭鄉,東興村,0,4,519,4,523,1422,4,1,2,2,0,1,36.78
彰化縣,社頭鄉,松竹村,0,4,369,2,371,1030,4,1,2,2,0,1,36.02
彰化縣,社頭鄉,舊社村,0,4,520,3,523,1480,4,1,2,2,0,1,35.34
彰化縣,社頭鄉,廣福村,0,4,301,3,304,891,4,1,2,2,0,1,34.12
彰化縣,社頭鄉,橋頭村,0,4,753,5,758,1938,4,1,2,2,0,1,39.11
彰化縣,社頭鄉,新厝村,0,4,526,4,530,1362,4,1,2,2,0,1,38.91
彰化縣,社頭鄉,張厝村,0,4,498,6,504,1227,4,1,2,2,0,1,41.08
彰化縣,社頭鄉,湳底村,0,4,564,5,569,1554,4,1,2,2,0,1,36.62
彰化縣,社頭鄉,仁雅村,0,4,1009,10,1019,2603,4,1,2,2,0,1,39.15
彰化縣,社頭鄉,里仁村,0,4,358,6,364,974,4,1,2,2,0,1,37.37
彰化縣,社頭鄉,美雅村,0,4,434,1,435,1136,4,1,2,2,0,1,38.29
彰化縣,社頭鄉,崙雅村,0,4,301,4,305,848,4,1,2,2,0,1,35.97
彰化縣,社頭鄉,清水村,0,4,432,3,435,1181,4,1,2,2,0,1,36.83
彰化縣,社頭鄉,山湖村,0,4,445,1,446,1137,4,1,2,2,0,1,39.23
彰化縣,社頭鄉,埤斗村,0,4,363,4,367,968,4,1,2,2,0,1,37.91
彰化縣,社頭鄉,仁和村,0,4,241,4,245,674,4,1,2,2,0,1,36.35
彰化縣,社頭鄉,平和村,0,4,338,4,342,970,4,1,2,2,0,1,35.26
彰化縣,社頭鄉,協和村,0,4,743,4,747,2079,4,1,2,2,0,1,35.93
彰化縣,社頭鄉,泰安村,0,4,359,4,363,927,4,1,2,2,0,1,39.16
彰化縣,社頭鄉,朝興村,0,4,336,2,338,1055,4,1,2,2,0,1,32.04
彰化縣,社頭鄉,龍井村,0,4,308,2,310,832,4,1,2,2,0,1,37.26
彰化縣,社頭鄉,湳雅村,0,4,510,8,518,1429,4,1,2,2,0,1,36.25
彰化縣,二水鄉,復興村,0,4,433,5,438,1017,4,1,2,2,0,1,43.07
彰化縣,二水鄉,十五村,0,4,273,1,274,684,4,1,2,2,0,1,40.06
彰化縣,二水鄉,合和村,0,4,340,4,344,824,4,1,2,2,0,1,41.75
彰化縣,二水鄉,上豊村,0,4,379,3,382,965,4,1,2,2,0,1,39.59
彰化縣,二水鄉,過圳村,0,4,210,2,212,624,4,1,2,2,0,1,33.97
彰化縣,二水鄉,五伯村,0,4,252,1,253,638,4,1,2,2,0,1,39.66
彰化縣,二水鄉,文化村,0,4,395,1,396,967,4,1,2,2,0,1,40.95
彰化縣,二水鄉,光化村,0,4,383,2,385,937,4,1,2,2,0,1,41.09
彰化縣,二水鄉,聖化村,0,4,222,2,224,457,4,1,2,2,0,1,49.02
彰化縣,二水鄉,二水村,0,4,323,2,325,837,4,1,2,2,0,1,38.83
彰化縣,二水鄉,惠民村,0,4,338,2,340,831,4,1,2,2,0,1,40.91
彰化縣,二水鄉,裕民村,0,4,322,4,326,998,4,1,2,2,0,1,32.67
彰化縣,二水鄉,大園村,0,4,312,4,316,782,4,1,2,2,0,1,40.41
彰化縣,二水鄉,修仁村,0,4,316,2,318,773,4,1,2,2,0,1,41.14
彰化縣,二水鄉,合興村,0,4,225,0,225,684,4,1,2,2,0,1,32.89
彰化縣,二水鄉,源泉村,0,4,266,1,267,619,4,1,2,2,0,1,43.13
