CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
苗栗縣,,,0,0,80922,508,81430,231684,3,1,1,2,1,0,35.15
苗栗縣,頭份鎮,,0,2,22435,130,22565,77154,3,1,1,2,1,0,29.25
苗栗縣,三灣鄉,,0,2,2387,17,2404,5906,3,1,1,2,1,0,40.70
苗栗縣,南庄鄉,,0,2,2577,16,2593,7181,3,1,1,2,1,0,36.11
苗栗縣,苗栗市,,0,2,25545,152,25697,71344,3,1,1,2,1,0,36.02
苗栗縣,頭屋鄉,,0,2,3807,31,3838,9424,3,1,1,2,1,0,40.73
苗栗縣,獅潭鄉,,0,2,1632,12,1644,3984,3,1,1,2,1,0,41.27
苗栗縣,公館鄉,,0,2,11716,84,11800,27498,3,1,1,2,1,0,42.91
苗栗縣,大湖鄉,,0,2,4719,31,4750,12651,3,1,1,2,1,0,37.55
苗栗縣,泰安鄉,,0,2,558,3,561,1643,3,1,1,2,1,0,34.14
苗栗縣,卓蘭鎮,,0,2,5546,32,5578,14899,3,1,1,2,1,0,37.44
苗栗縣,頭份鎮,流東里,0,2,614,4,618,2136,3,1,1,2,1,0,28.93
苗栗縣,頭份鎮,珊湖里,0,2,637,7,644,1706,3,1,1,2,1,0,37.75
苗栗縣,頭份鎮,斗煥里,0,2,944,3,947,2897,3,1,1,2,1,0,32.69
苗栗縣,頭份鎮,新華里,0,2,1118,5,1123,3572,3,1,1,2,1,0,31.44
苗栗縣,頭份鎮,興隆里,0,2,1086,4,1090,3863,3,1,1,2,1,0,28.22
苗栗縣,頭份鎮,上埔里,0,2,760,8,768,2447,3,1,1,2,1,0,31.39
苗栗縣,頭份鎮,土牛里,0,2,290,2,292,819,3,1,1,2,1,0,35.65
苗栗縣,頭份鎮,頭份里,0,2,866,6,872,3078,3,1,1,2,1,0,28.33
苗栗縣,頭份鎮,忠孝里,0,2,938,2,940,3000,3,1,1,2,1,0,31.33
苗栗縣,頭份鎮,自強里,0,2,507,5,512,1939,3,1,1,2,1,0,26.41
苗栗縣,頭份鎮,信義里,0,2,226,0,226,899,3,1,1,2,1,0,25.14
苗栗縣,頭份鎮,仁愛里,0,2,436,2,438,1492,3,1,1,2,1,0,29.36
苗栗縣,頭份鎮,上興里,0,2,426,0,426,1729,3,1,1,2,1,0,24.64
苗栗縣,頭份鎮,下興里,0,2,740,3,743,2361,3,1,1,2,1,0,31.47
苗栗縣,頭份鎮,和平里,0,2,414,2,416,1018,3,1,1,2,1,0,40.86
苗栗縣,頭份鎮,山下里,0,2,1019,3,1022,3417,3,1,1,2,1,0,29.91
苗栗縣,頭份鎮,後庄里,0,2,941,5,946,3415,3,1,1,2,1,0,27.70
苗栗縣,頭份鎮,合興里,0,2,579,4,583,2334,3,1,1,2,1,0,24.98
苗栗縣,頭份鎮,文化里,0,2,783,6,789,2882,3,1,1,2,1,0,27.38
苗栗縣,頭份鎮,蟠桃里,0,2,1107,5,1112,4837,3,1,1,2,1,0,22.99
苗栗縣,頭份鎮,建國里,0,2,852,4,856,3279,3,1,1,2,1,0,26.11
苗栗縣,頭份鎮,成功里,0,2,870,3,873,3424,3,1,1,2,1,0,25.50
苗栗縣,頭份鎮,民族里,0,2,558,8,566,1887,3,1,1,2,1,0,29.99
苗栗縣,頭份鎮,民權里,0,2,585,6,591,1850,3,1,1,2,1,0,31.95
苗栗縣,頭份鎮,東庄里,0,2,778,3,781,2915,3,1,1,2,1,0,26.79
苗栗縣,頭份鎮,田寮里,0,2,915,5,920,3539,3,1,1,2,1,0,26.00
苗栗縣,頭份鎮,民生里,0,2,563,5,568,2161,3,1,1,2,1,0,26.28
苗栗縣,頭份鎮,蘆竹里,0,2,515,0,515,1353,3,1,1,2,1,0,38.06
苗栗縣,頭份鎮,尖山里,0,2,459,4,463,1366,3,1,1,2,1,0,33.89
苗栗縣,頭份鎮,廣興里,0,2,337,3,340,880,3,1,1,2,1,0,38.64
苗栗縣,頭份鎮,尖下里,0,2,863,10,873,2564,3,1,1,2,1,0,34.05
苗栗縣,頭份鎮,濫坑里,0,2,709,3,712,2095,3,1,1,2,1,0,33.99
苗栗縣,三灣鄉,三灣村,0,2,781,5,786,2166,3,1,1,2,1,0,36.29
