CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,2144440,28881,2173321,2743304,9,2,9,0,2,0,79.22
臺北市,,,0,0,1408554,18298,1426852,1816986,4,1,4,0,1,0,78.53
高雄市,,,0,0,735886,10583,746469,926318,5,1,5,0,1,0,80.58
臺北市,松山區,,0,0,110041,1164,111205,146272,3,1,2,1,0,1,76.03
臺北市,信義區,,0,0,135365,1880,137245,173215,3,1,2,1,0,1,79.23
臺北市,大安區,,0,0,172247,1811,174058,236751,3,1,2,1,0,1,73.52
臺北市,中山區,,0,0,115696,1630,117326,160490,3,1,2,1,0,1,73.10
臺北市,中正區,,0,0,90224,1065,91289,119486,3,1,2,1,0,1,76.40
臺北市,大同區,,0,0,74934,1006,75940,95306,3,1,2,1,0,1,79.68
臺北市,萬華區,,0,0,119543,1811,121354,151304,2,1,2,0,1,0,80.21
臺北市,文山區,,0,0,120970,1592,122562,152583,4,1,4,0,1,0,80.32
臺北市,南港區,,0,0,61163,904,62067,74762,2,1,2,0,1,0,83.02
臺北市,內湖區,,0,0,114411,1399,115810,140296,4,1,3,1,1,0,82.55
臺北市,士林區,,0,0,162111,2224,164335,202981,3,1,3,0,1,0,80.96
臺北市,北投區,,0,0,131849,1812,133661,163540,4,1,4,0,1,0,81.73
臺北市,松山區,莊敬里,0,0,3864,54,3918,4918,3,1,3,0,1,0,79.67
臺北市,松山區,東榮里,0,0,5133,39,5172,6944,4,1,4,0,1,0,74.48
臺北市,松山區,三民里,0,0,4047,38,4085,5507,2,1,2,0,1,0,74.18
臺北市,松山區,新益里,0,0,2942,32,2974,3831,4,1,2,2,1,0,77.63
臺北市,松山區,富錦里,0,0,3237,30,3267,4324,2,1,0,2,0,1,75.56
臺北市,松山區,新東里,0,0,2907,24,2931,3745,3,1,2,1,1,0,78.26
臺北市,松山區,富泰里,0,0,2563,17,2580,3497,3,1,3,0,1,0,73.78
臺北市,松山區,介壽里,0,0,2813,22,2835,3924,3,1,3,0,1,0,72.25
臺北市,松山區,精忠里,0,0,2662,23,2685,3701,5,1,4,1,0,1,72.55
