CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺灣省,,,0,0,1,37256,0.44,蔡正治,無,1,N,
臺灣省,,,0,0,2,362377,4.31,朱高正,新黨,1,N,
臺灣省,,,0,0,3,4726012,56.22,宋楚瑜,中國國民黨,1,Y,T
臺灣省,,,0,0,4,25398,0.30,吳梓,無,1,N,
臺灣省,,,0,0,5,3254887,38.72,陳定南,民主進步黨,1,N,
宜蘭縣,,,0,0,1,455,0.19,蔡正治,無,1,N,
花蓮縣,,,0,0,1,721,0.49,蔡正治,無,1,N,
南投縣,,,0,0,1,2373,0.85,蔡正治,無,1,N,
屏東縣,,,0,0,1,3552,0.79,蔡正治,無,1,N,
苗栗縣,,,0,0,1,1737,0.60,蔡正治,無,1,N,
桃園縣,,,0,0,1,2110,0.29,蔡正治,無,1,N,
高雄縣,,,0,0,1,1849,0.30,蔡正治,無,1,N,
基隆市,,,0,0,1,819,0.45,蔡正治,無,1,N,
雲林縣,,,0,0,1,1391,0.39,蔡正治,無,1,N,
新竹市,,,0,0,1,572,0.36,蔡正治,無,1,N,
新竹縣,,,0,0,1,615,0.30,蔡正治,無,1,N,
嘉義市,,,0,0,1,563,0.45,蔡正治,無,1,N,
嘉義縣,,,0,0,1,1157,0.39,蔡正治,無,1,N,
彰化縣,,,0,0,1,3477,0.53,蔡正治,無,1,N,
臺中市,,,0,0,1,1343,0.34,蔡正治,無,1,N,
臺中縣,,,0,0,1,5483,0.80,蔡正治,無,1,N,
臺北縣,,,0,0,1,4355,0.28,蔡正治,無,1,N,
臺東縣,,,0,0,1,1360,1.30,蔡正治,無,1,N,
臺南市,,,0,0,1,1562,0.44,蔡正治,無,1,N,
臺南縣,,,0,0,1,1553,0.29,蔡正治,無,1,N,
澎湖縣,,,0,0,1,209,0.52,蔡正治,無,1,N,
宜蘭縣,,,0,0,2,3609,1.51,朱高正,新黨,1,N,
花蓮縣,,,0,0,2,6031,4.08,朱高正,新黨,1,N,
南投縣,,,0,0,2,9477,3.41,朱高正,新黨,1,N,
屏東縣,,,0,0,2,8827,1.97,朱高正,新黨,1,N,
苗栗縣,,,0,0,2,10211,3.51,朱高正,新黨,1,N,
桃園縣,,,0,0,2,46686,6.47,朱高正,新黨,1,N,
高雄縣,,,0,0,2,17331,2.85,朱高正,新黨,1,N,
基隆市,,,0,0,2,12133,6.65,朱高正,新黨,1,N,
雲林縣,,,0,0,2,17079,4.74,朱高正,新黨,1,N,
新竹市,,,0,0,2,11123,7.05,朱高正,新黨,1,N,
新竹縣,,,0,0,2,8304,4.04,朱高正,新黨,1,N,
嘉義市,,,0,0,2,4642,3.71,朱高正,新黨,1,N,
嘉義縣,,,0,0,2,8644,2.91,朱高正,新黨,1,N,
彰化縣,,,0,0,2,15161,2.31,朱高正,新黨,1,N,
臺中市,,,0,0,2,22692,5.75,朱高正,新黨,1,N,
臺中縣,,,0,0,2,24898,3.62,朱高正,新黨,1,N,
臺北縣,,,0,0,2,106487,6.81,朱高正,新黨,1,N,
臺東縣,,,0,0,2,3100,2.97,朱高正,新黨,1,N,
臺南市,,,0,0,2,12342,3.49,朱高正,新黨,1,N,
臺南縣,,,0,0,2,12664,2.34,朱高正,新黨,1,N,
澎湖縣,,,0,0,2,936,2.35,朱高正,新黨,1,N,
宜蘭縣,,,0,0,3,97561,40.74,宋楚瑜,中國國民黨,1,Y,T
花蓮縣,,,0,0,3,102946,69.63,宋楚瑜,中國國民黨,1,Y,T
南投縣,,,0,0,3,156942,56.48,宋楚瑜,中國國民黨,1,Y,T
屏東縣,,,0,0,3,245501,54.76,宋楚瑜,中國國民黨,1,Y,T
