CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
臺灣省,,,0,0,8405930,111194,8517124,11184258,5,1,5,0,1,0,76.15
宜蘭縣,,,0,0,239463,1954,241417,310481,108,51,81,27,34,17,77.76
花蓮縣,,,0,0,147846,2687,150533,243630,24,10,19,5,6,4,61.79
南投縣,,,0,0,277874,3887,281761,367402,13,7,8,5,3,4,76.69
屏東縣,,,0,0,448330,6194,454524,614781,20,9,16,4,7,2,73.93
苗栗縣,,,0,0,290954,4082,295036,372225,16,7,13,3,5,2,79.26
桃園縣,,,0,0,721574,10809,732383,941329,16,7,11,5,5,2,77.80
高雄縣,,,0,0,608550,7416,615966,781129,19,11,14,5,8,3,78.86
基隆市,,,0,0,182549,1890,184439,247734,97,43,83,14,38,5,74.45
雲林縣,,,0,0,360517,4953,365470,516572,10,5,8,2,4,1,70.75
新竹市,,,0,0,157739,2091,159830,222224,18,9,15,3,8,1,71.92
新竹縣,,,0,0,205702,3078,208780,262520,25,10,21,4,9,1,79.53
嘉義市,,,0,0,125008,1256,126264,171785,18,9,16,2,8,1,73.50
嘉義縣,,,0,0,297336,4604,301940,394284,26,10,23,3,9,1,76.58
彰化縣,,,0,0,656590,10632,667222,825654,1,0,1,3,0,3,80.81
臺中市,,,0,0,394439,4603,399042,531713,2,1,2,0,1,0,75.05
臺中縣,,,0,0,687670,10546,698216,866514,6,1,6,0,1,0,80.58
臺北縣,,,0,0,1564031,17572,1581603,2087813,3,1,3,0,1,0,75.75
臺東縣,,,0,0,104461,2148,106609,175468,3,1,2,1,1,0,60.76
臺南市,,,0,0,353764,4344,358108,460259,4,1,4,0,1,0,77.81
臺南縣,,,0,0,541626,5950,547576,726309,3,1,2,1,0,1,75.39
澎湖縣,,,0,0,39907,498,40405,64432,2,1,2,0,1,0,62.71
宜蘭縣,三星鄉,,0,0,12570,139,12709,16887,4,1,4,0,1,0,75.26
宜蘭縣,大同鄉,,0,0,2508,33,2541,3666,2,1,2,0,1,0,69.31
宜蘭縣,五結鄉,,0,0,20836,171,21007,26033,4,1,3,1,1,0,80.69
宜蘭縣,冬山鄉,,0,0,27611,260,27871,34724,3,1,3,0,1,0,80.26
宜蘭縣,壯圍鄉,,0,0,13215,115,13330,17466,4,1,4,0,1,0,76.32
宜蘭縣,宜蘭市,,0,0,46306,317,46623,59082,3,1,3,0,1,0,78.91
宜蘭縣,南澳鄉,,0,0,2605,50,2655,3795,4,1,4,0,1,0,69.96
宜蘭縣,員山鄉,,0,0,17168,148,17316,22648,2,1,2,0,1,0,76.46
宜蘭縣,頭城鎮,,0,0,17213,136,17349,23234,4,1,2,2,1,0,74.67
宜蘭縣,礁溪鄉,,0,0,20078,155,20233,25917,2,1,0,2,0,1,78.07
宜蘭縣,羅東鎮,,0,0,34173,238,34411,42850,3,1,2,1,1,0,80.31
宜蘭縣,蘇澳鎮,,0,0,25180,192,25372,34179,3,1,3,0,1,0,74.23
花蓮縣,玉里鎮,,0,0,13192,469,13661,25191,3,1,3,0,1,0,54.23
花蓮縣,光復鄉,,0,0,7235,129,7364,13002,5,1,4,1,0,1,56.64
花蓮縣,吉安鄉,,0,0,29431,447,29878,45805,2,1,1,1,1,0,65.23
花蓮縣,秀林鄉,,0,0,5416,136,5552,9485,3,1,3,0,1,0,58.53
花蓮縣,卓溪鄉,,0,0,2413,75,2488,4918,3,1,3,0,1,0,50.59
花蓮縣,花蓮市,,0,0,47352,585,47937,71249,7,1,6,1,1,0,67.28
花蓮縣,富里鄉,,0,0,6098,186,6284,11712,2,1,2,0,1,0,53.65
花蓮縣,新城鄉,,0,0,8954,146,9100,13813,5,1,5,0,1,0,65.88
花蓮縣,瑞穗鄉,,0,0,6297,123,6420,11511,7,1,6,1,1,0,55.77
花蓮縣,萬榮鄉,,0,0,2465,75,2540,4718,3,1,3,0,1,0,53.84
花蓮縣,壽豐鄉,,0,0,9437,173,9610,15638,2,1,1,1,1,0,61.45
花蓮縣,鳳林鎮,,0,0,7165,109,7274,11425,4,1,3,1,1,0,63.67
花蓮縣,豐濱鄉,,0,0,2391,34,2425,5163,4,1,3,1,0,1,46.97
南投縣,中寮鄉,,0,0,10836,186,11022,14198,4,1,4,0,1,0,77.63
南投縣,仁愛鄉,,0,0,6611,103,6714,10247,2,1,2,0,1,0,65.52
南投縣,水里鄉,,0,0,12658,190,12848,17469,2,1,1,1,1,0,73.55
南投縣,名間鄉,,0,0,23007,362,23369,29324,2,1,2,0,1,0,79.69
南投縣,竹山鎮,,0,0,31994,377,32371,42461,4,1,4,0,1,0,76.24
南投縣,信義鄉,,0,0,7858,161,8019,11618,2,1,2,0,1,0,69.02
南投縣,南投市,,0,0,52106,668,52774,65995,3,1,3,0,1,0,79.97
南投縣,埔里鎮,,0,0,43553,615,44168,58521,2,1,2,0,1,0,75.47
南投縣,草屯鎮,,0,0,48298,634,48932,61087,2,1,1,1,1,0,80.10
南投縣,國姓鄉,,0,0,13106,216,13322,18429,2,1,2,0,1,0,72.29
南投縣,魚池鄉,,0,0,9284,121,9405,13399,1,1,1,0,1,0,70.19
南投縣,鹿谷鄉,,0,0,11738,155,11893,15545,3,1,2,1,1,0,76.51
南投縣,集集鎮,,0,0,6825,99,6924,9109,3,1,2,1,1,0,76.01
屏東縣,九如鄉,,0,0,11665,156,11821,14809,3,1,3,0,1,0,79.82
屏東縣,三地門鄉,,0,0,3149,84,3233,4763,3,1,3,0,1,0,67.88
屏東縣,內埔鄉,,0,0,31965,423,32388,43509,3,1,3,0,1,0,74.44
屏東縣,竹田鄉,,0,0,10823,134,10957,14146,2,1,2,0,1,0,77.46
屏東縣,牡丹鄉,,0,0,2283,54,2337,3806,3,1,3,0,1,0,61.40
屏東縣,車城鄉,,0,0,5365,112,5477,8739,3,1,3,0,1,0,62.67
屏東縣,里港鄉,,0,0,14207,206,14413,18477,2,1,2,0,1,0,78.01
屏東縣,佳冬鄉,,0,0,12981,219,13200,17465,2,1,2,0,1,0,75.58
屏東縣,來義鄉,,0,0,3774,79,3853,5185,2,1,2,0,1,0,74.31
屏東縣,枋山鄉,,0,0,3239,74,3313,5151,4,1,4,0,1,0,64.32
屏東縣,枋寮鄉,,0,0,15016,210,15226,21408,5,1,5,0,1,0,71.12
屏東縣,東港鎮,,0,0,22030,283,22313,30743,3,1,3,0,1,0,72.58
屏東縣,林邊鄉,,0,0,12125,129,12254,16205,3,1,3,0,1,0,75.62
屏東縣,長治鄉,,0,0,15037,217,15254,19896,5,1,5,0,1,0,76.67
屏東縣,南州鄉,,0,0,7072,100,7172,9703,4,1,4,0,1,0,73.92
屏東縣,屏東市,,0,0,106033,1048,107081,141265,4,1,4,0,1,0,75.80
屏東縣,恆春鎮,,0,0,13601,258,13859,22151,2,1,2,0,1,0,62.57
屏東縣,春日鄉,,0,0,2340,79,2419,3457,3,1,3,0,1,0,69.97
屏東縣,崁頂鄉,,0,0,7242,108,7350,9547,3,1,3,0,1,0,76.99
屏東縣,泰武鄉,,0,0,2160,57,2217,3173,5,1,3,2,0,1,69.87
屏東縣,琉球鄉,,0,0,4547,93,4640,8628,2,1,2,0,1,0,53.78
屏東縣,高樹鄉,,0,0,15917,282,16199,22705,2,1,2,0,1,0,71.35
屏東縣,新埤鄉,,0,0,6333,68,6401,9123,4,1,4,0,1,0,70.16
屏東縣,新園鄉,,0,0,20107,268,20375,27359,2,1,2,0,1,0,74.47
屏東縣,獅子鄉,,0,0,2286,54,2340,3607,2,1,2,0,1,0,64.87
屏東縣,萬丹鄉,,0,0,27386,341,27727,34400,2,1,2,0,1,0,80.60
屏東縣,萬巒鄉,,0,0,12893,182,13075,17713,3,1,3,0,1,0,73.82
屏東縣,滿州鄉,,0,0,3904,83,3987,6855,2,1,2,0,1,0,58.16
屏東縣,瑪家鄉,,0,0,2845,41,2886,4254,2,1,2,0,1,0,67.84
屏東縣,潮州鎮,,0,0,26745,291,27036,37129,2,1,2,0,1,0,72.82
屏東縣,霧臺鄉,,0,0,1622,23,1645,2252,2,1,2,0,1,0,73.05
屏東縣,麟洛鄉,,0,0,6459,69,6528,7989,1,1,1,0,1,0,81.71
屏東縣,鹽埔鄉,,0,0,15179,369,15548,19169,2,1,2,0,1,0,81.11
苗栗縣,三義鄉,,0,0,9474,139,9613,11920,2,1,2,0,1,0,80.65
苗栗縣,三灣鄉,,0,0,4858,58,4916,6041,4,1,4,0,1,0,81.38
苗栗縣,大湖鄉,,0,0,10166,151,10317,13248,3,1,3,0,1,0,77.88
苗栗縣,公館鄉,,0,0,18462,287,18749,23013,4,1,3,1,1,0,81.47
苗栗縣,竹南鎮,,0,0,33774,434,34208,41250,2,1,1,1,1,0,82.93
苗栗縣,西湖鄉,,0,0,5278,84,5362,7081,2,1,2,0,1,0,75.72
苗栗縣,卓蘭鎮,,0,0,11334,150,11484,13902,4,1,4,0,1,0,82.61
苗栗縣,南庄鄉,,0,0,7278,91,7369,10093,3,1,3,0,1,0,73.01
苗栗縣,後龍鎮,,0,0,22078,406,22484,30041,2,1,2,0,1,0,74.84
苗栗縣,苗栗市,,0,0,46389,600,46989,59326,2,1,2,0,1,0,79.20
