CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北縣,,,0,11,1,2506,62.92,宋進財,中國國民黨,1,Y,T
臺北縣,,,0,11,2,475,11.93,張天明,無,1,N,
臺北縣,,,0,11,3,1002,25.16,豐祥瑞,無,1,N,
桃園縣,,,0,13,1,910,22.74,洪國治,中國國民黨,1,N,T
桃園縣,,,0,13,2,1271,31.77,吳春芳,中國國民黨,2,N,T
桃園縣,,,0,13,3,906,22.64,林明德,中國國民黨,1,Y,
桃園縣,,,0,13,4,239,5.97,林致百,民主進步黨,1,N,
桃園縣,,,0,13,5,198,4.95,伍捻田,無,1,N,
桃園縣,,,0,13,6,477,11.92,莊林福,中國國民黨,1,N,
苗栗縣,,,0,7,1,436,35.10,打赫史.達印.改擺刨,無,1,N,
苗栗縣,,,0,7,2,806,64.90,章運金,中國國民黨,1,Y,T
臺中縣,,,0,8,1,497,46.45,洪金福,無,1,N,
臺中縣,,,0,8,2,573,53.55,陳文書,中國國民黨,1,Y,T
高雄縣,,,0,9,1,54,7.48,柳冠賢,中國國民黨,1,N,
高雄縣,,,0,9,2,90,12.47,石天賜,無,1,N,
高雄縣,,,0,9,3,157,21.75,陳萬義,中國國民黨,1,N,
高雄縣,,,0,9,4,49,6.79,張美惠,中國國民黨,2,N,
高雄縣,,,0,9,5,168,23.27,洪天盛,中國國民黨,1,N,T
高雄縣,,,0,9,6,64,8.86,曾月娥,中國國民黨,2,N,
高雄縣,,,0,9,7,140,19.39,詹金福,中國國民黨,1,N,
屏東縣,,,0,8,1,538,45.59,潘坤福,無,1,N,
屏東縣,,,0,8,2,642,54.41,潘健一,中國國民黨,1,Y,T
臺東縣,,,0,6,1,1440,23.67,高清峰,中國國民黨,1,N,T
臺東縣,,,0,6,2,301,4.95,周蘭妹,無,2,N,
臺東縣,,,0,6,3,1485,24.41,王清堅,中國國民黨,1,N,T
臺東縣,,,0,6,4,981,16.12,陳藍姆洛,無,1,N,
臺東縣,,,0,6,5,825,13.56,郭玉明,中國國民黨,1,Y,
臺東縣,,,0,6,6,1052,17.29,江登輝,中國國民黨,1,N,
臺東縣,,,0,7,1,1004,18.51,謝進福,中國國民黨,1,Y,
臺東縣,,,0,7,2,1222,22.53,蔡義勇,中國國民黨,1,N,T
臺東縣,,,0,7,3,865,15.94,尤勇成,中國國民黨,1,N,
臺東縣,,,0,7,4,791,14.58,王福源,中國國民黨,1,Y,
臺東縣,,,0,7,5,509,9.38,余明德,中國國民黨,1,N,
臺東縣,,,0,7,6,1034,19.06,潘村雲,中國國民黨,1,N,T
臺東縣,,,0,8,1,900,33.49,林錦章,無,1,N,
臺東縣,,,0,8,2,353,13.14,高源治,無,1,N,
臺東縣,,,0,8,3,1434,53.37,林光雄,中國國民黨,1,Y,T
臺東縣,,,0,9,1,1757,21.05,莊基文,中國國民黨,1,N,T
臺東縣,,,0,9,2,1049,12.57,林富雄,中國國民黨,1,N,T
臺東縣,,,0,9,3,1005,12.04,吳天福,中國國民黨,1,Y,
臺東縣,,,0,9,4,1194,14.30,楊繡穗,中國國民黨,2,Y,T
臺東縣,,,0,9,5,564,6.76,余文博,中國國民黨,1,N,
臺東縣,,,0,9,6,708,8.48,溫美倫,無,2,N,
臺東縣,,,0,9,7,1040,12.46,唐武傳,中國國民黨,1,N,
臺東縣,,,0,9,8,1031,12.35,蘇冠銘,中國國民黨,1,N,
花蓮縣,,,0,5,1,802,12.67,高仁昌,中國國民黨,1,N,
花蓮縣,,,0,5,2,1143,18.06,向福來,中國國民黨,1,N,
花蓮縣,,,0,5,3,1068,16.88,周金正,中國國民黨,1,N,
花蓮縣,,,0,5,4,586,9.26,王清山,中國國民黨,1,N,
花蓮縣,,,0,5,5,1481,23.40,周利根,中國國民黨,1,N,T
花蓮縣,,,0,5,6,1248,19.72,曾玉霞,中國國民黨,2,Y,T
花蓮縣,,,0,6,1,499,6.03,林榮元,民主進步黨,1,N,
花蓮縣,,,0,6,2,1557,18.82,林勝智,中國國民黨,1,N,T
花蓮縣,,,0,6,3,937,11.33,高金萬,中國國民黨,1,N,
花蓮縣,,,0,6,4,796,9.62,黃清喜,中國國民黨,1,N,
花蓮縣,,,0,6,5,835,10.09,黃新福,無,1,N,
花蓮縣,,,0,6,6,773,9.34,高文成,中國國民黨,1,N,
花蓮縣,,,0,6,7,1356,16.39,楊德金,中國國民黨,1,Y,T
花蓮縣,,,0,6,8,330,3.99,溫錦泉,中國台灣原住民黨,1,N,
花蓮縣,,,0,6,9,1190,14.38,孫永昌,中國國民黨,1,Y,T
花蓮縣,,,0,7,1,1179,22.44,陳慶富,中國國民黨,1,Y,T
花蓮縣,,,0,7,2,1326,25.23,葉志生,中國國民黨,1,Y,T
花蓮縣,,,0,7,3,494,9.40,都元俊,中國國民黨,1,N,
花蓮縣,,,0,7,4,796,15.15,黃寬亮,中國國民黨,1,N,
花蓮縣,,,0,7,5,112,2.13,游菊妹,民主進步黨,2,N,
花蓮縣,,,0,7,6,734,13.97,陳英妹,中國國民黨,2,N,
花蓮縣,,,0,7,7,614,11.68,林文治,中國國民黨,1,N,
基隆市,,,0,8,1,965,54.67,馬賢生,中國國民黨,1,Y,T
基隆市,,,0,8,2,800,45.33,陳明建,無,1,N,
臺北縣,板橋市,,0,11,1,116,52.73,宋進財,中國國民黨,1,Y,T
臺北縣,板橋市,,0,11,2,23,10.45,張天明,無,1,N,
臺北縣,板橋市,,0,11,3,81,36.82,豐祥瑞,無,1,N,
臺北縣,三重市,,0,11,1,47,51.09,宋進財,中國國民黨,1,Y,T
臺北縣,三重市,,0,11,2,12,13.04,張天明,無,1,N,
臺北縣,三重市,,0,11,3,33,35.87,豐祥瑞,無,1,N,
臺北縣,中和市,,0,11,1,98,53.85,宋進財,中國國民黨,1,Y,T
臺北縣,中和市,,0,11,2,33,18.13,張天明,無,1,N,
臺北縣,中和市,,0,11,3,51,28.02,豐祥瑞,無,1,N,
臺北縣,永和市,,0,11,1,13,24.53,宋進財,中國國民黨,1,Y,T
臺北縣,永和市,,0,11,2,27,50.94,張天明,無,1,N,
臺北縣,永和市,,0,11,3,13,24.53,豐祥瑞,無,1,N,
臺北縣,新莊市,,0,11,1,192,61.94,宋進財,中國國民黨,1,Y,T
臺北縣,新莊市,,0,11,2,28,9.03,張天明,無,1,N,
臺北縣,新莊市,,0,11,3,90,29.03,豐祥瑞,無,1,N,
臺北縣,新店市,,0,11,1,150,61.98,宋進財,中國國民黨,1,Y,T
臺北縣,新店市,,0,11,2,37,15.29,張天明,無,1,N,
臺北縣,新店市,,0,11,3,55,22.73,豐祥瑞,無,1,N,
臺北縣,樹林市,,0,11,1,410,67.55,宋進財,中國國民黨,1,Y,T
臺北縣,樹林市,,0,11,2,53,8.73,張天明,無,1,N,
臺北縣,樹林市,,0,11,3,144,23.72,豐祥瑞,無,1,N,
臺北縣,鶯歌鎮,,0,11,1,69,57.98,宋進財,中國國民黨,1,Y,T
臺北縣,鶯歌鎮,,0,11,2,12,10.08,張天明,無,1,N,
臺北縣,鶯歌鎮,,0,11,3,38,31.93,豐祥瑞,無,1,N,
臺北縣,三峽鎮,,0,11,1,62,53.45,宋進財,中國國民黨,1,Y,T
臺北縣,三峽鎮,,0,11,2,23,19.83,張天明,無,1,N,
臺北縣,三峽鎮,,0,11,3,31,26.72,豐祥瑞,無,1,N,
臺北縣,淡水鎮,,0,11,1,46,66.67,宋進財,中國國民黨,1,Y,T
臺北縣,淡水鎮,,0,11,2,16,23.19,張天明,無,1,N,
臺北縣,淡水鎮,,0,11,3,7,10.14,豐祥瑞,無,1,N,
臺北縣,汐止市,,0,11,1,420,71.67,宋進財,中國國民黨,1,Y,T
臺北縣,汐止市,,0,11,2,30,5.12,張天明,無,1,N,
臺北縣,汐止市,,0,11,3,136,23.21,豐祥瑞,無,1,N,
臺北縣,瑞芳鎮,,0,11,1,220,80.59,宋進財,中國國民黨,1,Y,T
臺北縣,瑞芳鎮,,0,11,2,16,5.86,張天明,無,1,N,
臺北縣,瑞芳鎮,,0,11,3,37,13.55,豐祥瑞,無,1,N,
臺北縣,土城市,,0,11,1,291,55.85,宋進財,中國國民黨,1,Y,T
臺北縣,土城市,,0,11,2,104,19.96,張天明,無,1,N,
臺北縣,土城市,,0,11,3,126,24.18,豐祥瑞,無,1,N,
臺北縣,蘆洲市,,0,11,1,106,66.25,宋進財,中國國民黨,1,Y,T
臺北縣,蘆洲市,,0,11,2,13,8.13,張天明,無,1,N,
臺北縣,蘆洲市,,0,11,3,41,25.63,豐祥瑞,無,1,N,
臺北縣,五股鄉,,0,11,1,52,60.47,宋進財,中國國民黨,1,Y,T
臺北縣,五股鄉,,0,11,2,6,6.98,張天明,無,1,N,
臺北縣,五股鄉,,0,11,3,28,32.56,豐祥瑞,無,1,N,
臺北縣,泰山鄉,,0,11,1,66,75.00,宋進財,中國國民黨,1,Y,T
臺北縣,泰山鄉,,0,11,2,5,5.68,張天明,無,1,N,
臺北縣,泰山鄉,,0,11,3,17,19.32,豐祥瑞,無,1,N,
臺北縣,林口鄉,,0,11,1,54,54.00,宋進財,中國國民黨,1,Y,T
臺北縣,林口鄉,,0,11,2,7,7.00,張天明,無,1,N,
臺北縣,林口鄉,,0,11,3,39,39.00,豐祥瑞,無,1,N,
臺北縣,深坑鄉,,0,11,1,4,30.77,宋進財,中國國民黨,1,Y,T
臺北縣,深坑鄉,,0,11,2,4,30.77,張天明,無,1,N,
臺北縣,深坑鄉,,0,11,3,5,38.46,豐祥瑞,無,1,N,
臺北縣,石碇鄉,,0,11,1,1,100.00,宋進財,中國國民黨,1,Y,T
臺北縣,石碇鄉,,0,11,2,0,0.00,張天明,無,1,N,
臺北縣,石碇鄉,,0,11,3,0,0.00,豐祥瑞,無,1,N,
臺北縣,坪林鄉,,0,11,1,1,100.00,宋進財,中國國民黨,1,Y,T
臺北縣,坪林鄉,,0,11,2,0,0.00,張天明,無,1,N,
臺北縣,坪林鄉,,0,11,3,0,0.00,豐祥瑞,無,1,N,
臺北縣,三芝鄉,,0,11,1,10,76.92,宋進財,中國國民黨,1,Y,T
臺北縣,三芝鄉,,0,11,2,2,15.38,張天明,無,1,N,
臺北縣,三芝鄉,,0,11,3,1,7.69,豐祥瑞,無,1,N,
臺北縣,石門鄉,,0,11,1,3,75.00,宋進財,中國國民黨,1,Y,T
臺北縣,石門鄉,,0,11,2,1,25.00,張天明,無,1,N,
臺北縣,石門鄉,,0,11,3,0,0.00,豐祥瑞,無,1,N,
臺北縣,八里鄉,,0,11,1,12,44.44,宋進財,中國國民黨,1,Y,T
臺北縣,八里鄉,,0,11,2,9,33.33,張天明,無,1,N,
臺北縣,八里鄉,,0,11,3,6,22.22,豐祥瑞,無,1,N,
臺北縣,平溪鄉,,0,11,1,7,63.64,宋進財,中國國民黨,1,Y,T
臺北縣,平溪鄉,,0,11,2,0,0.00,張天明,無,1,N,
臺北縣,平溪鄉,,0,11,3,4,36.36,豐祥瑞,無,1,N,
臺北縣,雙溪鄉,,0,11,1,1,33.33,宋進財,中國國民黨,1,Y,T
臺北縣,雙溪鄉,,0,11,2,1,33.33,張天明,無,1,N,
臺北縣,雙溪鄉,,0,11,3,1,33.33,豐祥瑞,無,1,N,
臺北縣,貢寮鄉,,0,11,1,2,50.00,宋進財,中國國民黨,1,Y,T
臺北縣,貢寮鄉,,0,11,2,0,0.00,張天明,無,1,N,
臺北縣,貢寮鄉,,0,11,3,2,50.00,豐祥瑞,無,1,N,
臺北縣,金山鄉,,0,11,1,5,62.50,宋進財,中國國民黨,1,Y,T
臺北縣,金山鄉,,0,11,2,1,12.50,張天明,無,1,N,
臺北縣,金山鄉,,0,11,3,2,25.00,豐祥瑞,無,1,N,
臺北縣,萬里鄉,,0,11,1,34,69.39,宋進財,中國國民黨,1,Y,T
臺北縣,萬里鄉,,0,11,2,9,18.37,張天明,無,1,N,
臺北縣,萬里鄉,,0,11,3,6,12.24,豐祥瑞,無,1,N,
臺北縣,烏來鄉,,0,11,1,14,56.00,宋進財,中國國民黨,1,Y,T
臺北縣,烏來鄉,,0,11,2,3,12.00,張天明,無,1,N,
臺北縣,烏來鄉,,0,11,3,8,32.00,豐祥瑞,無,1,N,
桃園縣,桃園市,,0,13,1,58,19.46,洪國治,中國國民黨,1,N,T
桃園縣,桃園市,,0,13,2,144,48.32,吳春芳,中國國民黨,2,N,T
桃園縣,桃園市,,0,13,3,48,16.11,林明德,中國國民黨,1,Y,
桃園縣,桃園市,,0,13,4,16,5.37,林致百,民主進步黨,1,N,
桃園縣,桃園市,,0,13,5,9,3.02,伍捻田,無,1,N,
桃園縣,桃園市,,0,13,6,23,7.72,莊林福,中國國民黨,1,N,
桃園縣,中壢市,,0,13,1,54,15.88,洪國治,中國國民黨,1,N,T
桃園縣,中壢市,,0,13,2,103,30.29,吳春芳,中國國民黨,2,N,T
桃園縣,中壢市,,0,13,3,42,12.35,林明德,中國國民黨,1,Y,
桃園縣,中壢市,,0,13,4,37,10.88,林致百,民主進步黨,1,N,
桃園縣,中壢市,,0,13,5,14,4.12,伍捻田,無,1,N,
桃園縣,中壢市,,0,13,6,90,26.47,莊林福,中國國民黨,1,N,
桃園縣,大溪鎮,,0,13,1,377,48.09,洪國治,中國國民黨,1,N,T
桃園縣,大溪鎮,,0,13,2,135,17.22,吳春芳,中國國民黨,2,N,T
桃園縣,大溪鎮,,0,13,3,191,24.36,林明德,中國國民黨,1,Y,
桃園縣,大溪鎮,,0,13,4,35,4.46,林致百,民主進步黨,1,N,
桃園縣,大溪鎮,,0,13,5,26,3.32,伍捻田,無,1,N,
桃園縣,大溪鎮,,0,13,6,20,2.55,莊林福,中國國民黨,1,N,
桃園縣,楊梅鎮,,0,13,1,25,21.74,洪國治,中國國民黨,1,N,T
桃園縣,楊梅鎮,,0,13,2,44,38.26,吳春芳,中國國民黨,2,N,T
桃園縣,楊梅鎮,,0,13,3,23,20.00,林明德,中國國民黨,1,Y,
桃園縣,楊梅鎮,,0,13,4,2,1.74,林致百,民主進步黨,1,N,
桃園縣,楊梅鎮,,0,13,5,3,2.61,伍捻田,無,1,N,
桃園縣,楊梅鎮,,0,13,6,18,15.65,莊林福,中國國民黨,1,N,
桃園縣,蘆竹鄉,,0,13,1,20,13.25,洪國治,中國國民黨,1,N,T
桃園縣,蘆竹鄉,,0,13,2,67,44.37,吳春芳,中國國民黨,2,N,T
桃園縣,蘆竹鄉,,0,13,3,22,14.57,林明德,中國國民黨,1,Y,
桃園縣,蘆竹鄉,,0,13,4,10,6.62,林致百,民主進步黨,1,N,
桃園縣,蘆竹鄉,,0,13,5,13,8.61,伍捻田,無,1,N,
桃園縣,蘆竹鄉,,0,13,6,19,12.58,莊林福,中國國民黨,1,N,
桃園縣,大園鄉,,0,13,1,36,10.11,洪國治,中國國民黨,1,N,T
桃園縣,大園鄉,,0,13,2,132,37.08,吳春芳,中國國民黨,2,N,T
桃園縣,大園鄉,,0,13,3,71,19.94,林明德,中國國民黨,1,Y,
桃園縣,大園鄉,,0,13,4,33,9.27,林致百,民主進步黨,1,N,
桃園縣,大園鄉,,0,13,5,7,1.97,伍捻田,無,1,N,
桃園縣,大園鄉,,0,13,6,77,21.63,莊林福,中國國民黨,1,N,
桃園縣,龜山鄉,,0,13,1,52,9.17,洪國治,中國國民黨,1,N,T
桃園縣,龜山鄉,,0,13,2,236,41.62,吳春芳,中國國民黨,2,N,T
桃園縣,龜山鄉,,0,13,3,123,21.69,林明德,中國國民黨,1,Y,
桃園縣,龜山鄉,,0,13,4,13,2.29,林致百,民主進步黨,1,N,
桃園縣,龜山鄉,,0,13,5,26,4.59,伍捻田,無,1,N,
桃園縣,龜山鄉,,0,13,6,117,20.63,莊林福,中國國民黨,1,N,
桃園縣,八德市,,0,13,1,124,17.79,洪國治,中國國民黨,1,N,T
桃園縣,八德市,,0,13,2,159,22.81,吳春芳,中國國民黨,2,N,T
桃園縣,八德市,,0,13,3,253,36.30,林明德,中國國民黨,1,Y,
