CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北縣,板橋市,,0,0,1,50686,31.17,吳炎成,民主進步黨,1,N,
臺北縣,板橋市,,0,0,2,111908,68.83,林鴻池,中國國民黨,1,N,T
臺北縣,三重市,,0,0,1,57147,48.70,陳茂男,民主進步黨,1,N,
臺北縣,三重市,,0,0,2,60188,51.30,朱清發,中國國民黨,1,N,T
臺北縣,中和市,,0,0,1,28681,24.07,鍾小平,新黨,1,N,
臺北縣,中和市,,0,0,2,58820,49.37,呂芳煙,中國國民黨,1,N,T
臺北縣,中和市,,0,0,3,31649,26.56,黃政瑞,民主進步黨,1,N,
臺北縣,永和市,,0,0,1,23992,36.11,洪一平,無,1,N,
臺北縣,永和市,,0,0,2,42442,63.89,林德福,中國國民黨,1,Y,T
臺北縣,新莊市,,0,0,1,52576,59.43,黃林玲玲,中國國民黨,2,N,T
臺北縣,新莊市,,0,0,2,25209,28.50,張孟哲,民主進步黨,1,N,
臺北縣,新莊市,,0,0,3,10676,12.07,關爾嘉,無,2,N,
臺北縣,新店市,,0,0,1,24347,32.83,吳善九,新黨,1,N,
臺北縣,新店市,,0,0,2,13939,18.80,陳正忠,民主進步黨,1,N,
臺北縣,新店市,,0,0,3,35870,48.37,曾正和,中國國民黨,1,N,T
臺北縣,樹林市,,0,0,1,22045,51.34,廖本煙,民主進步黨,1,Y,T
臺北縣,樹林市,,0,0,2,20894,48.66,石進隆,中國國民黨,1,N,
臺北縣,鶯歌鎮,,0,0,1,19367,100.00,許元和,中國國民黨,1,Y,T
臺北縣,三峽鎮,,0,0,1,8523,33.87,洪見文,中國國民黨,1,Y,
臺北縣,三峽鎮,,0,0,2,1522,6.05,林幼,無,2,N,
臺北縣,三峽鎮,,0,0,3,8862,35.22,邱郎,無,1,N,T
臺北縣,三峽鎮,,0,0,4,6258,24.87,陳佳烜,民主進步黨,1,N,
臺北縣,淡水鎮,,0,0,1,15712,50.63,郭哲道,民主進步黨,1,N,T
臺北縣,淡水鎮,,0,0,2,15323,49.37,陳盛,中國國民黨,1,N,
臺北縣,汐止市,,0,0,1,15436,39.91,周麗美,無,2,N,T
臺北縣,汐止市,,0,0,2,13985,36.16,周雅淑,民主進步黨,2,Y,
臺北縣,汐止市,,0,0,3,9252,23.92,高繁松,中國國民黨,1,N,
臺北縣,瑞芳鎮,,0,0,1,13782,58.02,廖秀雄,中國國民黨,1,Y,T
臺北縣,瑞芳鎮,,0,0,2,9971,41.98,周清龍,無,1,N,
臺北縣,土城市,,0,0,1,22771,39.78,盧國雄,民主進步黨,1,N,
臺北縣,土城市,,0,0,2,34476,60.22,劉朝金,中國國民黨,1,Y,T
臺北縣,蘆洲市,,0,0,1,17423,37.48,黃劍輝,民主進步黨,1,N,T
臺北縣,蘆洲市,,0,0,2,13932,29.97,李翁月娥,無,2,N,
臺北縣,蘆洲市,,0,0,3,6589,14.17,許秀雄,無,1,N,
臺北縣,蘆洲市,,0,0,4,8541,18.37,張福利,中國國民黨,1,N,
臺北縣,五股鄉,,0,0,1,8957,43.85,鄭漢騰,中國國民黨,1,N,T
臺北縣,五股鄉,,0,0,2,3379,16.54,林啟光,無,1,N,
臺北縣,五股鄉,,0,0,3,6755,33.07,陳儀章,民主進步黨,1,N,
臺北縣,五股鄉,,0,0,4,1335,6.54,戴老全,無,1,N,
臺北縣,泰山鄉,,0,0,1,5992,29.66,李進發,民主進步黨,1,N,
臺北縣,泰山鄉,,0,0,2,13398,66.32,李國書,中國國民黨,1,N,T
臺北縣,泰山鄉,,0,0,3,813,4.02,蔡正欽,無,1,N,
臺北縣,林口鄉,,0,0,1,8485,52.84,蔡宗一,中國國民黨,1,Y,T
臺北縣,林口鄉,,0,0,2,7572,47.16,陳建財,無,1,N,
臺北縣,深坑鄉,,0,0,1,1657,27.00,陳順益,無,1,N,
臺北縣,深坑鄉,,0,0,2,2191,35.71,呂玉環,中國國民黨,2,N,T
臺北縣,深坑鄉,,0,0,3,2063,33.62,葉銘浪,無,1,N,
臺北縣,深坑鄉,,0,0,4,225,3.67,林晏竹,無,1,N,
臺北縣,石碇鄉,,0,0,1,2745,68.33,魏良道,無,1,Y,T
臺北縣,石碇鄉,,0,0,2,1272,31.67,黃奕榮,無,1,N,
臺北縣,坪林鄉,,0,0,1,1808,46.37,黃銘豐,無,1,Y,
臺北縣,坪林鄉,,0,0,2,42,1.08,鄭清池,無,1,N,
臺北縣,坪林鄉,,0,0,3,17,0.44,黃吉雄,中國國民黨,1,N,
臺北縣,坪林鄉,,0,0,4,2023,51.89,梁金生,無,1,N,T
臺北縣,坪林鄉,,0,0,5,9,0.23,鄭李美霞,無,2,N,
臺北縣,三芝鄉,,0,0,1,6277,70.34,李明燦,中國國民黨,1,N,T
臺北縣,三芝鄉,,0,0,2,2647,29.66,盧慶忠,無,1,N,
臺北縣,石門鄉,,0,0,1,2011,37.86,鄭庚和,無,1,N,T
臺北縣,石門鄉,,0,0,2,1970,37.09,蔡潘賢藏,中國國民黨,1,N,
臺北縣,石門鄉,,0,0,3,1330,25.04,劉國烈,無,1,N,
臺北縣,八里鄉,,0,0,1,6791,100.00,張恆,中國國民黨,1,Y,T
臺北縣,平溪鄉,,0,0,1,1319,37.07,胡正吉,無,1,N,
臺北縣,平溪鄉,,0,0,2,1416,39.80,廖德弘,中國國民黨,1,N,T
臺北縣,平溪鄉,,0,0,3,823,23.13,胡憲章,民主進步黨,1,N,
臺北縣,雙溪鄉,,0,0,1,2455,37.75,林慶麒,無,1,N,
臺北縣,雙溪鄉,,0,0,2,4049,62.25,簡華祥,中國國民黨,1,Y,T
臺北縣,貢寮鄉,,0,0,1,4938,64.00,趙國棟,中國國民黨,1,Y,T
臺北縣,貢寮鄉,,0,0,2,2778,36.00,邱進昌,民主進步黨,1,N,
臺北縣,金山鄉,,0,0,1,7238,66.72,許春財,無,1,Y,T
臺北縣,金山鄉,,0,0,2,3610,33.28,何嬌,中國國民黨,2,N,
臺北縣,萬里鄉,,0,0,1,5207,54.71,唐有吉,中國國民黨,1,Y,T
臺北縣,萬里鄉,,0,0,2,4311,45.29,蔡蒼明,無,1,N,
臺北縣,烏來鄉,,0,0,1,787,42.06,簡福源,民主進步黨,1,N,
臺北縣,烏來鄉,,0,0,2,1084,57.94,米腊.瓦旦,中國國民黨,1,N,T
宜蘭縣,宜蘭市,,0,0,1,18651,47.69,郭時南,民主進步黨,1,Y,
宜蘭縣,宜蘭市,,0,0,2,20455,52.31,呂國華,中國國民黨,1,N,T
宜蘭縣,羅東鎮,,0,0,1,14069,57.97,游榮華,民主進步黨,1,Y,T
宜蘭縣,羅東鎮,,0,0,2,10199,42.03,黃壁楨,中國國民黨,1,N,
宜蘭縣,蘇澳鎮,,0,0,1,6797,30.29,吳文發,中國國民黨,1,N,
宜蘭縣,蘇澳鎮,,0,0,2,4259,18.98,洪秀璪,無,2,N,
宜蘭縣,蘇澳鎮,,0,0,3,11385,50.73,李坤山,中國國民黨,1,N,T
宜蘭縣,頭城鎮,,0,0,1,9424,59.12,陳忠茂,無,1,Y,T
宜蘭縣,頭城鎮,,0,0,2,6517,40.88,林月霞,中國國民黨,2,N,
宜蘭縣,礁溪鄉,,0,0,1,9248,49.93,吳坤鐘,中國國民黨,1,N,
宜蘭縣,礁溪鄉,,0,0,2,9273,50.07,吳宏謀,無,1,N,T
宜蘭縣,壯圍鄉,,0,0,1,3363,24.21,李春福,民主進步黨,1,N,
宜蘭縣,壯圍鄉,,0,0,2,3643,26.23,邱耀祖,無,1,N,T
宜蘭縣,壯圍鄉,,0,0,3,3562,25.64,林榮二,中國國民黨,1,N,
宜蘭縣,壯圍鄉,,0,0,4,3323,23.92,王明,中國國民黨,1,N,
宜蘭縣,員山鄉,,0,0,1,5575,36.83,林秀雲,民主進步黨,2,N,
宜蘭縣,員山鄉,,0,0,2,9561,63.17,廖明灶,中國國民黨,1,Y,T
宜蘭縣,冬山鄉,,0,0,1,14453,64.84,林定國,無,1,Y,T
宜蘭縣,冬山鄉,,0,0,2,7838,35.16,蔡美英,中國國民黨,2,N,
宜蘭縣,五結鄉,,0,0,1,8256,50.54,沈德茂,民主進步黨,1,Y,T
宜蘭縣,五結鄉,,0,0,2,8078,49.46,林義剛,中國國民黨,1,N,
宜蘭縣,三星鄉,,0,0,1,5519,50.19,魏榮勝,民主進步黨,1,N,T
宜蘭縣,三星鄉,,0,0,2,5478,49.81,陳吳焜,中國國民黨,1,N,
宜蘭縣,大同鄉,,0,0,1,637,23.27,何傳正,中國國民黨,1,N,
宜蘭縣,大同鄉,,0,0,2,999,36.50,李文達,中國國民黨,1,N,
宜蘭縣,大同鄉,,0,0,3,1101,40.23,李玉蕙,中國國民黨,2,N,T
宜蘭縣,南澳鄉,,0,0,1,625,22.54,林長輝,中國國民黨,1,N,
宜蘭縣,南澳鄉,,0,0,2,631,22.76,黃成忠,中國國民黨,1,N,
宜蘭縣,南澳鄉,,0,0,3,307,11.07,平朝福,中國國民黨,1,N,
宜蘭縣,南澳鄉,,0,0,4,318,11.47,周江秀美,中國國民黨,2,N,
宜蘭縣,南澳鄉,,0,0,5,892,32.17,陳英明,中國國民黨,1,N,T
桃園縣,桃園市,,0,0,1,24475,27.77,呂玉麟,中國國民黨,1,N,
桃園縣,桃園市,,0,0,2,25410,28.83,楊春風,無,1,N,
桃園縣,桃園市,,0,0,3,38249,43.40,陳宗義,民主進步黨,1,N,T
桃園縣,中壢市,,0,0,1,8783,8.19,劉得印,無,1,N,
桃園縣,中壢市,,0,0,2,30673,28.62,張兆路,民主進步黨,1,N,
桃園縣,中壢市,,0,0,3,44657,41.67,張昌財,中國國民黨,1,N,T
桃園縣,中壢市,,0,0,4,23068,21.52,黃仁杼,無,1,N,
桃園縣,大溪鎮,,0,0,1,2757,9.05,劉帥雷,新黨,1,N,
桃園縣,大溪鎮,,0,0,2,16778,55.06,曾榮鑑,中國國民黨,1,N,T
桃園縣,大溪鎮,,0,0,3,10937,35.89,藍勝民,無,1,N,
桃園縣,楊梅鎮,,0,0,1,6292,15.74,彭基原,中國國民黨,1,N,
桃園縣,楊梅鎮,,0,0,2,12203,30.53,羅煥鑪,無,1,N,T
桃園縣,楊梅鎮,,0,0,3,7740,19.36,吳春勇,民主進步黨,1,N,
桃園縣,楊梅鎮,,0,0,4,4722,11.81,劉錦菊,中國國民黨,2,N,
桃園縣,楊梅鎮,,0,0,5,9013,22.55,傅鑫福,中國國民黨,1,N,
桃園縣,蘆竹鄉,,0,0,1,13047,49.18,邱垂境,中國國民黨,1,N,
桃園縣,蘆竹鄉,,0,0,2,13482,50.82,李清彰,民主進步黨,1,N,T
桃園縣,大園鄉,,0,0,1,8379,28.36,許林翠粉,民主進步黨,2,N,
桃園縣,大園鄉,,0,0,2,11477,38.84,劉春生,中國國民黨,1,Y,T
桃園縣,大園鄉,,0,0,3,9690,32.80,游象芳,中國國民黨,1,N,
桃園縣,龜山鄉,,0,0,1,13140,38.98,卓慶東,民主進步黨,1,N,
