CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
全國,,,0,0,1,1171,1.54,吳文明,中國台灣原住民黨,1,N,
全國,,,0,0,2,12175,15.99,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
全國,,,0,0,3,229,0.30,羅法尼耀學海,無,1,N,
全國,,,0,0,4,9703,12.74,全文盛,中國國民黨,1,Y,
全國,,,0,0,5,5742,7.54,尤哈尼‧伊斯卡卡夫特,民主進步黨,1,N,
全國,,,0,0,6,6600,8.67,葉神保,民主聯盟,1,N,
全國,,,0,0,7,12932,16.99,高揚昇,中國國民黨,1,Y,T
全國,,,0,0,8,15818,20.78,曾華德,中國國民黨,1,N,T
全國,,,0,0,9,11764,15.45,林春德,中國國民黨,1,N,T
臺北縣,,,0,0,1,272,7.10,吳文明,中國台灣原住民黨,1,N,
宜蘭縣,,,0,0,1,109,1.68,吳文明,中國台灣原住民黨,1,N,
桃園縣,,,0,0,1,91,1.02,吳文明,中國台灣原住民黨,1,N,
新竹縣,,,0,0,1,68,0.77,吳文明,中國台灣原住民黨,1,N,
苗栗縣,,,0,0,1,14,0.44,吳文明,中國台灣原住民黨,1,N,
臺中縣,,,0,0,1,23,0.53,吳文明,中國台灣原住民黨,1,N,
彰化縣,,,0,0,1,5,0.96,吳文明,中國台灣原住民黨,1,N,
南投縣,,,0,0,1,17,0.12,吳文明,中國台灣原住民黨,1,N,
雲林縣,,,0,0,1,3,1.59,吳文明,中國台灣原住民黨,1,N,
嘉義縣,,,0,0,1,2,0.07,吳文明,中國台灣原住民黨,1,N,
臺南縣,,,0,0,1,5,1.09,吳文明,中國台灣原住民黨,1,N,
高雄縣,,,0,0,1,13,0.19,吳文明,中國台灣原住民黨,1,N,
屏東縣,,,0,0,1,64,0.20,吳文明,中國台灣原住民黨,1,N,
臺東縣,,,0,0,1,52,0.42,吳文明,中國台灣原住民黨,1,N,
花蓮縣,,,0,0,1,332,1.73,吳文明,中國台灣原住民黨,1,N,
澎湖縣,,,0,0,1,2,6.25,吳文明,中國台灣原住民黨,1,N,
基隆市,,,0,0,1,4,1.31,吳文明,中國台灣原住民黨,1,N,
新竹市,,,0,0,1,3,0.81,吳文明,中國台灣原住民黨,1,N,
臺中市,,,0,0,1,4,0.43,吳文明,中國台灣原住民黨,1,N,
嘉義市,,,0,0,1,0,0.00,吳文明,中國台灣原住民黨,1,N,
臺南市,,,0,0,1,1,0.38,吳文明,中國台灣原住民黨,1,N,
金門縣,,,0,0,1,0,0.00,吳文明,中國台灣原住民黨,1,N,
連江縣,,,0,0,1,1,11.11,吳文明,中國台灣原住民黨,1,N,
臺北市,,,0,0,1,60,4.03,吳文明,中國台灣原住民黨,1,N,
高雄市,,,0,0,1,26,2.23,吳文明,中國台灣原住民黨,1,N,
臺北縣,,,0,0,2,266,6.95,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
宜蘭縣,,,0,0,2,356,5.49,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
桃園縣,,,0,0,2,493,5.54,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
新竹縣,,,0,0,2,411,4.68,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
苗栗縣,,,0,0,2,429,13.34,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
臺中縣,,,0,0,2,509,11.63,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
彰化縣,,,0,0,2,31,5.94,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
南投縣,,,0,0,2,3037,20.85,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
雲林縣,,,0,0,2,6,3.17,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
嘉義縣,,,0,0,2,171,5.93,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
臺南縣,,,0,0,2,36,7.83,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
高雄縣,,,0,0,2,533,7.89,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
屏東縣,,,0,0,2,2304,7.03,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
臺東縣,,,0,0,2,1046,8.35,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
花蓮縣,,,0,0,2,2072,10.77,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
澎湖縣,,,0,0,2,3,9.38,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
基隆市,,,0,0,2,22,7.19,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
新竹市,,,0,0,2,18,4.86,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
臺中市,,,0,0,2,90,9.72,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
嘉義市,,,0,0,2,9,5.42,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
臺南市,,,0,0,2,12,4.60,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
金門縣,,,0,0,2,0,0.00,瓦歷斯‧貝林,全國民主非政黨聯盟,1,Y,T
