CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,76134,1226,77360,130217,9,4,9,0,4,0,59.41
臺北市,,,0,0,1038,47,1085,1487,9,4,8,1,3,1,72.97
高雄市,,,0,0,838,25,863,1165,9,4,8,1,3,1,74.08
臺北縣,,,0,0,1721,46,1767,3829,9,4,8,1,3,1,46.15
宜蘭縣,,,0,0,3684,56,3740,6479,9,4,8,1,3,1,57.72
桃園縣,,,0,0,4476,94,4570,8904,9,4,8,1,3,1,51.33
新竹縣,,,0,0,4965,139,5104,8780,9,4,8,1,3,1,58.13
苗栗縣,,,0,0,2056,18,2074,3216,9,4,8,1,3,1,64.49
臺中縣,,,0,0,2601,39,2640,4377,9,4,8,1,3,1,60.32
彰化縣,,,0,0,240,13,253,522,9,4,8,1,3,1,48.47
南投縣,,,0,0,9681,101,9782,14566,9,4,8,1,3,1,67.16
雲林縣,,,0,0,87,4,91,189,9,4,8,1,3,1,48.15
嘉義縣,,,0,0,1683,22,1705,2883,9,4,8,1,3,1,59.14
臺南縣,,,0,0,204,5,209,460,9,4,8,1,3,1,45.43
高雄縣,,,0,0,4110,51,4161,6757,9,4,8,1,3,1,61.58
屏東縣,,,0,0,20928,214,21142,32757,9,4,8,1,3,1,64.54
臺東縣,,,0,0,6957,108,7065,12525,9,4,8,1,3,1,56.41
花蓮縣,,,0,0,10049,222,10271,19236,9,4,8,1,3,1,53.39
澎湖縣,,,0,0,19,0,19,32,9,4,8,1,3,1,59.38
基隆市,,,0,0,113,6,119,306,9,4,8,1,3,1,38.89
新竹市,,,0,0,116,7,123,370,9,4,8,1,3,1,33.24
臺中市,,,0,0,402,5,407,926,9,4,8,1,3,1,43.95
嘉義市,,,0,0,62,1,63,166,9,4,8,1,3,1,37.95
臺南市,,,0,0,96,3,99,261,9,4,8,1,3,1,37.93
金門縣,,,0,0,6,0,6,15,9,4,8,1,3,1,40.00
連江縣,,,0,0,2,0,2,9,9,4,8,1,3,1,22.22
臺北縣,板橋市,,0,0,82,2,84,213,3,1,3,0,1,0,39.44
臺北縣,三重市,,0,0,67,7,74,183,3,1,3,0,1,0,40.44
臺北縣,中和市,,0,0,82,5,87,195,3,1,3,0,1,0,44.62
臺北縣,永和市,,0,0,26,0,26,89,3,1,3,0,1,0,29.21
臺北縣,新莊市,,0,0,94,4,98,295,3,1,3,0,1,0,33.22
臺北縣,新店市,,0,0,128,2,130,304,3,1,3,0,1,0,42.76
臺北縣,樹林市,,0,0,91,2,93,248,3,1,3,0,1,0,37.50
臺北縣,鶯歌鎮,,0,0,47,3,50,137,3,1,3,0,1,0,36.50
臺北縣,三峽鎮,,0,0,47,1,48,110,3,1,3,0,1,0,43.64
臺北縣,淡水鎮,,0,0,57,0,57,133,3,1,3,0,1,0,42.86
臺北縣,汐止市,,0,0,41,2,43,119,3,1,3,0,1,0,36.13
臺北縣,瑞芳鎮,,0,0,14,0,14,32,3,1,3,0,1,0,43.75
臺北縣,土城市,,0,0,109,4,113,227,3,1,3,0,1,0,49.78
臺北縣,蘆洲市,,0,0,36,1,37,110,3,1,3,0,1,0,33.64
臺北縣,五股鄉,,0,0,42,2,44,103,3,1,3,0,1,0,42.72
臺北縣,泰山鄉,,0,0,28,0,28,69,3,1,3,0,1,0,40.58
臺北縣,林口鄉,,0,0,9,0,9,43,3,1,3,0,1,0,20.93
臺北縣,深坑鄉,,0,0,4,0,4,18,3,1,3,0,1,0,22.22
臺北縣,石碇鄉,,0,0,4,0,4,5,3,1,3,0,1,0,80.00
臺北縣,坪林鄉,,0,0,1,0,1,3,3,1,3,0,1,0,33.33
臺北縣,三芝鄉,,0,0,9,0,9,31,3,1,3,0,1,0,29.03
臺北縣,石門鄉,,0,0,0,0,0,5,3,1,3,0,1,0,0.00
臺北縣,八里鄉,,0,0,9,1,10,35,3,1,3,0,1,0,28.57
臺北縣,平溪鄉,,0,0,0,0,0,0,3,1,3,0,1,0,0.00
臺北縣,雙溪鄉,,0,0,0,0,0,0,3,1,3,0,1,0,0.00
臺北縣,貢寮鄉,,0,0,5,0,5,10,3,1,3,0,1,0,50.00
臺北縣,金山鄉,,0,0,6,0,6,12,3,1,3,0,1,0,50.00
臺北縣,萬里鄉,,0,0,15,0,15,25,3,1,3,0,1,0,60.00
臺北縣,烏來鄉,,0,0,668,10,678,1075,3,1,3,0,1,0,63.07
宜蘭縣,宜蘭市,,0,0,108,0,108,246,3,1,3,0,1,0,43.90
