CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北縣,,,0,0,1,820808,48.16,王建煊,新黨,1,N,
臺北縣,,,0,0,2,3972,0.23,邵建興,無,1,N,
臺北縣,,,0,0,3,4913,0.29,石翊靖,無,1,N,
臺北縣,,,0,0,4,874495,51.31,蘇貞昌,民主進步黨,1,Y,T
宜蘭縣,,,0,0,1,1885,0.90,朱振東,無,1,N,
宜蘭縣,,,0,0,2,106313,50.88,劉守成,民主進步黨,1,Y,T
宜蘭縣,,,0,0,3,2178,1.04,林錦坤,無,1,N,
宜蘭縣,,,0,0,4,98574,47.18,呂國華,中國國民黨,1,N,
桃園縣,,,0,0,1,353568,44.20,彭紹瑾,民主進步黨,1,N,
桃園縣,,,0,0,2,441827,55.24,朱立倫,中國國民黨,1,N,T
桃園縣,,,0,0,3,4509,0.56,莊志忠,無,1,N,
新竹縣,,,0,0,1,97420,46.39,林光華,民主進步黨,1,Y,
新竹縣,,,0,0,2,112595,53.61,鄭永金,中國國民黨,1,N,T
苗栗縣,,,0,0,1,61742,23.55,魏早炳,民主進步黨,1,N,
苗栗縣,,,0,0,2,135786,51.80,傅學鵬,無,1,Y,T
苗栗縣,,,0,0,3,2016,0.77,李佳穆,無,1,N,
苗栗縣,,,0,0,4,62613,23.88,徐享崑,中國國民黨,1,N,
臺中縣,,,0,0,1,62369,9.49,林敏霖,無,1,N,
臺中縣,,,0,0,2,325117,49.48,黃仲生,中國國民黨,1,N,T
臺中縣,,,0,0,3,269548,41.02,廖永來,民主進步黨,1,Y,
彰化縣,,,0,0,1,39056,6.37,鄭秀珠,親民黨,2,N,
彰化縣,,,0,0,2,257504,41.99,葉金鳳,中國國民黨,2,N,
彰化縣,,,0,0,3,301584,49.17,翁金珠,民主進步黨,2,N,T
彰化縣,,,0,0,4,8219,1.34,洪參民,無,1,N,
彰化縣,,,0,0,5,6934,1.13,陳婉貞,無,2,N,
南投縣,,,0,0,1,915,0.36,姜君佩,無,1,N,
南投縣,,,0,0,2,7475,2.91,張明雄,中國國民黨,1,N,
南投縣,,,0,0,3,2500,0.97,陳胘富,無,1,N,
南投縣,,,0,0,4,94631,36.79,林宗男,民主進步黨,1,N,T
南投縣,,,0,0,5,48268,18.76,林明溱,中國國民黨,1,N,
南投縣,,,0,0,6,63042,24.51,陳振盛,親民黨,1,N,
南投縣,,,0,0,7,40412,15.71,彭百顯,無,1,Y,
雲林縣,,,0,0,1,205500,61.53,張榮味,中國國民黨,1,Y,T
雲林縣,,,0,0,2,128475,38.47,林樹山,民主進步黨,1,N,
嘉義縣,,,0,0,1,9454,3.58,陳勝三,無,1,N,
嘉義縣,,,0,0,2,124757,47.22,陳明文,民主進步黨,1,N,T
