CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,68326,1664,69990,130629,9,4,8,1,3,1,53.58
臺北市,,,0,0,1783,32,1815,3835,9,4,8,1,3,1,47.33
高雄市,,,0,0,1462,31,1493,3129,9,4,8,1,3,1,47.71
臺北縣,,,0,0,7228,225,7453,13852,9,4,8,1,3,1,53.80
宜蘭縣,,,0,0,372,12,384,780,9,4,8,1,3,1,49.23
桃園縣,,,0,0,6183,164,6347,11453,9,4,8,1,3,1,55.42
新竹縣,,,0,0,366,19,385,745,9,4,8,1,3,1,51.68
苗栗縣,,,0,0,1124,31,1155,2271,9,4,8,1,3,1,50.86
臺中縣,,,0,0,1262,35,1297,2690,9,4,8,1,3,1,48.22
彰化縣,,,0,0,438,10,448,864,9,4,8,1,3,1,51.85
南投縣,,,0,0,289,9,298,588,9,4,8,1,3,1,50.68
雲林縣,,,0,0,93,2,95,225,9,4,8,1,3,1,42.22
嘉義縣,,,0,0,114,3,117,265,9,4,8,1,3,1,44.15
臺南縣,,,0,0,267,9,276,584,9,4,8,1,3,1,47.26
高雄縣,,,0,0,630,12,642,1461,9,4,8,1,3,1,43.94
屏東縣,,,0,0,946,35,981,1884,9,4,8,1,3,1,52.07
臺東縣,,,0,0,21418,517,21935,41933,9,4,8,1,3,1,52.31
花蓮縣,,,0,0,21494,468,21962,38245,9,4,8,1,3,1,57.42
澎湖縣,,,0,0,23,2,25,57,9,4,8,1,3,1,43.86
基隆市,,,0,0,2014,30,2044,3785,9,4,8,1,3,1,54.00
新竹市,,,0,0,164,2,166,393,9,4,8,1,3,1,42.24
臺中市,,,0,0,474,10,484,1159,9,4,8,1,3,1,41.76
嘉義市,,,0,0,33,0,33,99,9,4,8,1,3,1,33.33
臺南市,,,0,0,130,2,132,281,9,4,8,1,3,1,46.98
金門縣,,,0,0,16,2,18,39,9,4,8,1,3,1,46.15
連江縣,,,0,0,3,2,5,12,9,4,8,1,3,1,41.67
臺北縣,板橋市,,0,0,482,13,495,963,3,1,3,0,1,0,51.40
臺北縣,三重市,,0,0,200,6,206,410,3,1,3,0,1,0,50.24
臺北縣,中和市,,0,0,332,7,339,660,3,1,3,0,1,0,51.36
臺北縣,永和市,,0,0,110,5,115,190,3,1,3,0,1,0,60.53
臺北縣,新莊市,,0,0,673,17,690,1257,3,1,3,0,1,0,54.89
臺北縣,新店市,,0,0,485,17,502,893,3,1,3,0,1,0,56.22
臺北縣,樹林市,,0,0,1010,36,1046,1809,3,1,3,0,1,0,57.82
臺北縣,鶯歌鎮,,0,0,272,10,282,570,3,1,3,0,1,0,49.47
臺北縣,三峽鎮,,0,0,237,10,247,490,3,1,3,0,1,0,50.41
臺北縣,淡水鎮,,0,0,158,3,161,322,3,1,3,0,1,0,50.00
臺北縣,汐止市,,0,0,1070,26,1096,1824,3,1,3,0,1,0,60.09
臺北縣,瑞芳鎮,,0,0,324,15,339,690,3,1,3,0,1,0,49.13
臺北縣,土城市,,0,0,846,26,872,1734,3,1,3,0,1,0,50.29
臺北縣,蘆洲市,,0,0,299,9,308,600,3,1,3,0,1,0,51.33
臺北縣,五股鄉,,0,0,177,7,184,364,3,1,3,0,1,0,50.55
臺北縣,泰山鄉,,0,0,132,6,138,256,3,1,3,0,1,0,53.91
臺北縣,林口鄉,,0,0,160,7,167,341,3,1,3,0,1,0,48.97
臺北縣,深坑鄉,,0,0,39,0,39,57,3,1,3,0,1,0,68.42
臺北縣,石碇鄉,,0,0,1,0,1,3,3,1,3,0,1,0,33.33
臺北縣,坪林鄉,,0,0,2,0,2,2,3,1,3,0,1,0,100.00
臺北縣,三芝鄉,,0,0,39,1,40,72,3,1,3,0,1,0,55.56
臺北縣,石門鄉,,0,0,6,0,6,7,3,1,3,0,1,0,85.71
臺北縣,八里鄉,,0,0,63,3,66,134,3,1,3,0,1,0,49.25
臺北縣,平溪鄉,,0,0,3,0,3,11,3,1,3,0,1,0,27.27
臺北縣,雙溪鄉,,0,0,4,0,4,7,3,1,3,0,1,0,57.14
臺北縣,貢寮鄉,,0,0,9,1,10,16,3,1,3,0,1,0,62.50
臺北縣,金山鄉,,0,0,6,0,6,17,3,1,3,0,1,0,35.29
臺北縣,萬里鄉,,0,0,51,0,51,91,3,1,3,0,1,0,56.04
臺北縣,烏來鄉,,0,0,38,0,38,62,3,1,3,0,1,0,61.29
宜蘭縣,宜蘭市,,0,0,26,1,27,73,3,1,3,0,1,0,36.99
宜蘭縣,羅東鎮,,0,0,29,0,29,50,3,1,3,0,1,0,58.00
宜蘭縣,蘇澳鎮,,0,0,96,4,100,207,3,1,3,0,1,0,48.31
宜蘭縣,頭城鎮,,0,0,30,1,31,69,3,1,3,0,1,0,44.93
宜蘭縣,礁溪鄉,,0,0,25,0,25,58,3,1,3,0,1,0,43.10
宜蘭縣,壯圍鄉,,0,0,7,0,7,12,3,1,3,0,1,0,58.33
宜蘭縣,員山鄉,,0,0,10,0,10,20,3,1,3,0,1,0,50.00
宜蘭縣,冬山鄉,,0,0,23,1,24,50,3,1,3,0,1,0,48.00
宜蘭縣,五結鄉,,0,0,19,1,20,51,3,1,3,0,1,0,39.22
宜蘭縣,三星鄉,,0,0,41,0,41,67,3,1,3,0,1,0,61.19
宜蘭縣,大同鄉,,0,0,28,2,30,55,3,1,3,0,1,0,54.55
宜蘭縣,南澳鄉,,0,0,38,2,40,68,3,1,3,0,1,0,58.82
桃園縣,桃園市,,0,0,618,14,632,1224,3,1,3,0,1,0,51.63
桃園縣,中壢市,,0,0,599,13,612,1227,3,1,3,0,1,0,49.88
桃園縣,大溪鎮,,0,0,964,20,984,1619,3,1,3,0,1,0,60.78
桃園縣,楊梅鎮,,0,0,266,10,276,518,3,1,3,0,1,0,53.28
桃園縣,蘆竹鄉,,0,0,390,13,403,737,3,1,3,0,1,0,54.68
桃園縣,大園鄉,,0,0,533,15,548,937,3,1,3,0,1,0,58.48
桃園縣,龜山鄉,,0,0,773,28,801,1508,3,1,3,0,1,0,53.12
桃園縣,八德市,,0,0,909,26,935,1641,3,1,3,0,1,0,56.98
桃園縣,龍潭鄉,,0,0,331,6,337,653,3,1,3,0,1,0,51.61
桃園縣,平鎮市,,0,0,644,15,659,1100,3,1,3,0,1,0,59.91
桃園縣,新屋鄉,,0,0,62,1,63,100,3,1,3,0,1,0,63.00
桃園縣,觀音鄉,,0,0,62,3,65,135,3,1,3,0,1,0,48.15
桃園縣,復興鄉,,0,0,32,0,32,54,3,1,3,0,1,0,59.26
新竹縣,竹北市,,0,0,29,2,31,67,3,1,3,0,1,0,46.27
新竹縣,竹東鎮,,0,0,66,4,70,128,3,1,3,0,1,0,54.69
新竹縣,新埔鎮,,0,0,12,0,12,25,3,1,3,0,1,0,48.00
新竹縣,關西鎮,,0,0,94,2,96,182,3,1,3,0,1,0,52.75
新竹縣,湖口鄉,,0,0,47,3,50,105,3,1,3,0,1,0,47.62
新竹縣,新豐鄉,,0,0,34,3,37,63,3,1,3,0,1,0,58.73
新竹縣,芎林鄉,,0,0,14,0,14,23,3,1,3,0,1,0,60.87
新竹縣,橫山鄉,,0,0,15,2,17,38,3,1,3,0,1,0,44.74
