CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,59697,1009,60706,118940,67,26,60,7,21,5,51.04
臺北縣,,,0,11,5584,122,5706,13722,6,2,5,1,1,1,41.58
桃園縣,,,0,13,5102,98,5200,11385,4,2,3,1,1,1,45.67
苗栗縣,,,0,7,1404,22,1426,2269,2,1,2,0,1,0,62.85
臺中縣,,,0,9,1388,35,1423,2666,4,1,4,0,1,0,53.38
彰化縣,,,0,9,534,11,545,858,3,1,3,0,1,0,63.52
高雄縣,,,0,7,710,26,736,1427,2,1,2,0,1,0,51.58
屏東縣,,,0,8,1427,15,1442,1876,2,1,2,0,1,0,76.87
臺東縣,,,0,9,21624,317,21941,41790,20,8,17,3,6,2,52.50
花蓮縣,,,0,7,19212,344,19556,38096,16,7,14,2,6,1,51.33
基隆市,,,0,8,2190,14,2204,3739,2,1,2,0,1,0,58.95
臺中市,,,0,7,522,5,527,1112,6,1,6,0,1,0,47.39
臺北縣,,,0,11,5584,122,5706,13722,6,2,5,1,1,1,41.58
桃園縣,,,0,13,5102,98,5200,11385,4,2,3,1,1,1,45.67
苗栗縣,,,0,7,1404,22,1426,2269,2,1,2,0,1,0,62.85
臺中縣,,,0,9,1388,35,1423,2666,4,1,4,0,1,0,53.38
彰化縣,,,0,9,534,11,545,858,3,1,3,0,1,0,63.52
高雄縣,,,0,7,710,26,736,1427,2,1,2,0,1,0,51.58
屏東縣,,,0,8,1427,15,1442,1876,2,1,2,0,1,0,76.87
臺東縣,,,0,9,5572,82,5654,11012,6,2,5,1,1,1,51.34
臺東縣,,,0,9,5522,90,5612,9503,5,2,5,0,2,0,59.06
臺東縣,,,0,9,2714,54,2768,4983,3,1,3,0,1,0,55.55
臺東縣,,,0,9,7816,91,7907,16292,6,3,4,2,2,1,48.53
花蓮縣,,,0,7,6015,103,6118,13267,6,2,4,2,1,1,46.11
花蓮縣,,,0,7,8006,124,8130,14372,6,3,6,0,3,0,56.57
花蓮縣,,,0,7,5191,117,5308,10457,4,2,4,0,2,0,50.76
基隆市,,,0,8,2190,14,2204,3739,2,1,2,0,1,0,58.95
臺中市,,,0,7,522,5,527,1112,6,1,6,0,1,0,47.39
臺北縣,板橋市,,0,11,288,7,295,943,6,1,6,0,1,0,31.28
臺北縣,三重市,,0,11,120,4,124,400,6,1,6,0,1,0,31.00
臺北縣,中和市,,0,11,226,6,232,661,6,1,6,0,1,0,35.10
臺北縣,永和市,,0,11,65,2,67,190,6,1,6,0,1,0,35.26
臺北縣,新莊市,,0,11,446,8,454,1255,6,1,6,0,1,0,36.18
臺北縣,新店市,,0,11,336,7,343,880,6,1,6,0,1,0,38.98
臺北縣,樹林市,,0,11,885,23,908,1808,6,1,6,0,1,0,50.22
臺北縣,鶯歌鎮,,0,11,198,4,202,566,6,1,6,0,1,0,35.69
臺北縣,三峽鎮,,0,11,191,7,198,493,6,1,6,0,1,0,40.16
臺北縣,淡水鎮,,0,11,99,1,100,317,6,1,6,0,1,0,31.55
臺北縣,汐止市,,0,11,831,5,836,1799,6,1,6,0,1,0,46.47
臺北縣,瑞芳鎮,,0,11,320,12,332,680,6,1,6,0,1,0,48.82
臺北縣,土城市,,0,11,712,13,725,1712,6,1,6,0,1,0,42.35
臺北縣,蘆洲市,,0,11,218,6,224,593,6,1,6,0,1,0,37.77
臺北縣,五股鄉,,0,11,129,8,137,364,6,1,6,0,1,0,37.64
臺北縣,泰山鄉,,0,11,129,1,130,246,6,1,6,0,1,0,52.85
臺北縣,林口鄉,,0,11,157,4,161,337,6,1,6,0,1,0,47.77
臺北縣,深坑鄉,,0,11,26,1,27,57,6,1,6,0,1,0,47.37
臺北縣,石碇鄉,,0,11,0,0,0,3,6,1,6,0,1,0,0.00
臺北縣,坪林鄉,,0,11,2,0,2,2,6,1,6,0,1,0,100.00
臺北縣,三芝鄉,,0,11,34,1,35,72,6,1,6,0,1,0,48.61
臺北縣,石門鄉,,0,11,3,0,3,7,6,1,6,0,1,0,42.86
臺北縣,八里鄉,,0,11,72,0,72,131,6,1,6,0,1,0,54.96
臺北縣,平溪鄉,,0,11,5,0,5,9,6,1,6,0,1,0,55.56
臺北縣,雙溪鄉,,0,11,4,1,5,7,6,1,6,0,1,0,71.43
臺北縣,貢寮鄉,,0,11,10,0,10,18,6,1,6,0,1,0,55.56
