CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,6072262,148036,6220298,10899572,881,319,815,66,300,19,57.07
臺北縣,,,0,0,1077075,17519,1094594,2527329,90,29,78,12,26,3,43.31
宜蘭縣,,,0,0,199704,3416,203120,328118,33,12,31,2,12,0,61.90
桃園縣,,,0,0,577356,12738,590094,1184648,45,13,43,2,12,1,49.81
新竹縣,,,0,0,182951,6018,188969,304025,29,13,29,0,13,0,62.16
苗栗縣,,,0,0,249731,5909,255640,395592,51,18,42,9,16,2,64.62
臺中縣,,,0,0,582460,12976,595436,1019199,70,21,65,5,20,1,58.42
彰化縣,,,0,0,573876,17878,591754,915274,75,26,68,7,23,3,64.65
南投縣,,,0,0,251742,5901,257643,386620,42,13,39,3,12,1,66.64
雲林縣,,,0,0,356513,12194,368707,541243,57,20,53,4,18,2,68.12
嘉義縣,,,0,0,263655,7150,270805,413038,39,18,36,3,17,1,65.56
臺南縣,,,0,0,476864,14805,491669,800059,80,31,76,4,29,2,61.45
高雄縣,,,0,0,532340,11886,544226,887213,72,27,68,4,26,1,61.34
屏東縣,,,0,0,440100,8966,449066,654213,88,33,85,3,32,1,68.64
臺東縣,,,0,0,102043,2864,104907,176363,32,16,31,1,16,0,59.48
花蓮縣,,,0,0,131589,2746,134335,252596,34,13,29,5,12,1,53.18
澎湖縣,,,0,0,44426,3724,48150,67311,14,6,13,1,6,0,71.53
金門縣,,,0,0,25818,1178,26996,40180,22,6,21,1,6,0,67.19
連江縣,,,0,0,4019,168,4187,6551,8,4,8,0,4,0,63.91
臺北縣,板橋市,,0,0,149101,2880,151981,374974,2,1,2,0,1,0,40.53
臺北縣,三重市,,0,0,119875,1561,121436,271542,4,1,4,0,1,0,44.72
臺北縣,中和市,,0,0,114132,2947,117079,293544,2,1,1,1,1,0,39.88
臺北縣,永和市,,0,0,61424,846,62270,166765,3,1,3,0,1,0,37.34
臺北縣,新莊市,,0,0,105486,1575,107061,250426,3,1,2,1,0,1,42.75
臺北縣,新店市,,0,0,75813,671,76484,200886,3,1,2,1,1,0,38.07
臺北縣,樹林市,,0,0,46409,585,46994,103285,5,1,4,1,0,1,45.50
臺北縣,鶯歌鎮,,0,0,27871,521,28392,54302,2,1,1,1,1,0,52.29
臺北縣,三峽鎮,,0,0,27868,422,28290,55746,3,1,3,0,1,0,50.75
臺北縣,淡水鎮,,0,0,33221,819,34040,85075,3,1,3,0,1,0,40.01
臺北縣,汐止市,,0,0,43183,442,43625,120859,7,1,6,1,1,0,36.10
臺北縣,瑞芳鎮,,0,0,21319,358,21677,34362,2,1,2,0,1,0,63.08
臺北縣,土城市,,0,0,59569,819,60388,153621,5,1,5,0,1,0,39.31
臺北縣,蘆洲市,,0,0,47396,539,47935,110814,7,1,6,1,1,0,43.26
臺北縣,五股鄉,,0,0,23904,396,24300,47423,3,1,3,0,1,0,51.24
臺北縣,泰山鄉,,0,0,21339,484,21823,42316,2,1,1,1,1,0,51.57
臺北縣,林口鄉,,0,0,18005,246,18251,34536,4,1,3,1,1,0,52.85
臺北縣,深坑鄉,,0,0,6907,142,7049,14703,4,1,3,1,0,1,47.94
臺北縣,石碇鄉,,0,0,4412,48,4460,5877,4,1,4,0,1,0,75.89
臺北縣,坪林鄉,,0,0,4331,45,4376,4899,2,1,2,0,1,0,89.32
臺北縣,三芝鄉,,0,0,9572,155,9727,16276,2,1,1,1,1,0,59.76
臺北縣,石門鄉,,0,0,6052,74,6126,8231,2,1,2,0,1,0,74.43
臺北縣,八里鄉,,0,0,10740,196,10936,20310,4,1,4,0,1,0,53.85
臺北縣,平溪鄉,,0,0,3733,54,3787,5094,2,1,2,0,1,0,74.34
臺北縣,雙溪鄉,,0,0,6632,78,6710,8408,3,1,3,0,1,0,79.80
臺北縣,貢寮鄉,,0,0,8452,136,8588,10688,2,1,2,0,1,0,80.35
臺北縣,金山鄉,,0,0,10510,166,10676,15272,2,1,1,1,1,0,69.91
臺北縣,萬里鄉,,0,0,8080,155,8235,13940,2,1,2,0,1,0,59.07
臺北縣,烏來鄉,,0,0,1739,159,1898,3155,1,1,1,0,1,0,60.16
宜蘭縣,宜蘭市,,0,0,36254,415,36669,63619,3,1,2,1,1,0,57.64
宜蘭縣,羅東鎮,,0,0,26020,427,26447,47659,3,1,2,1,1,0,55.49
宜蘭縣,蘇澳鎮,,0,0,21065,284,21349,33596,3,1,3,0,1,0,63.55
宜蘭縣,頭城鎮,,0,0,16097,273,16370,23551,3,1,3,0,1,0,69.51
宜蘭縣,礁溪鄉,,0,0,18059,404,18463,27109,3,1,3,0,1,0,68.11
宜蘭縣,壯圍鄉,,0,0,13143,471,13614,19257,2,1,2,0,1,0,70.70
宜蘭縣,員山鄉,,0,0,14623,187,14810,24249,3,1,3,0,1,0,61.07
宜蘭縣,冬山鄉,,0,0,22267,538,22805,36723,3,1,3,0,1,0,62.10
宜蘭縣,五結鄉,,0,0,16119,210,16329,28068,2,1,2,0,1,0,58.18
宜蘭縣,三星鄉,,0,0,10043,142,10185,16437,2,1,2,0,1,0,61.96
宜蘭縣,大同鄉,,0,0,3056,32,3088,3994,2,1,2,0,1,0,77.32
宜蘭縣,南澳鄉,,0,0,2958,33,2991,3856,4,1,4,0,1,0,77.57
桃園縣,桃園市,,0,0,99052,1539,100591,224921,5,1,5,0,1,0,44.72
桃園縣,中壢市,,0,0,105758,2832,108590,224528,3,1,3,0,1,0,48.36
桃園縣,大溪鎮,,0,0,30911,698,31609,57340,3,1,3,0,1,0,55.13
桃園縣,楊梅鎮,,0,0,42167,899,43066,87709,5,1,5,0,1,0,49.10
桃園縣,蘆竹鄉,,0,0,33399,490,33889,66591,4,1,4,0,1,0,50.89
桃園縣,大園鄉,,0,0,31432,572,32004,51562,4,1,4,0,1,0,62.07
桃園縣,龜山鄉,,0,0,31521,847,32368,79481,2,1,2,0,1,0,40.72
桃園縣,八德市,,0,0,54357,1506,55863,113106,3,1,3,0,1,0,49.39
桃園縣,龍潭鄉,,0,0,34413,930,35343,71793,3,1,3,0,1,0,49.23
桃園縣,平鎮市,,0,0,61513,1154,62667,128539,5,1,3,2,0,1,48.75
