CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
全國,,,0,0,1,14706,23.25,楊仁福,中國國民黨,1,Y,T
全國,,,0,0,2,7015,11.09,宋進財,無黨團結聯盟,1,N,
全國,,,0,0,3,472,0.75,章賢生,無,1,N,
全國,,,0,0,4,8364,13.23,陳瑩,民主進步黨,2,N,T
全國,,,0,0,5,4982,7.88,王清堅,無黨團結聯盟,1,N,
全國,,,0,0,6,13304,21.04,廖國棟,中國國民黨,1,Y,T
全國,,,0,0,7,1061,1.68,楊仁煌,台灣團結聯盟,1,N,
全國,,,0,0,8,5292,8.37,蔡中涵,親民黨,1,Y,
全國,,,0,0,9,8045,12.72,林正二,親民黨,1,Y,T
臺北市,,,0,0,1,371,21.98,楊仁福,中國國民黨,1,Y,T
高雄市,,,0,0,1,145,10.89,楊仁福,中國國民黨,1,Y,T
臺北縣,,,0,0,1,1353,20.56,楊仁福,中國國民黨,1,Y,T
宜蘭縣,,,0,0,1,70,20.90,楊仁福,中國國民黨,1,Y,T
桃園縣,,,0,0,1,1003,16.65,楊仁福,中國國民黨,1,Y,T
新竹縣,,,0,0,1,97,32.88,楊仁福,中國國民黨,1,Y,T
苗栗縣,,,0,0,1,147,16.57,楊仁福,中國國民黨,1,Y,T
臺中縣,,,0,0,1,267,20.01,楊仁福,中國國民黨,1,Y,T
彰化縣,,,0,0,1,125,23.90,楊仁福,中國國民黨,1,Y,T
南投縣,,,0,0,1,50,16.45,楊仁福,中國國民黨,1,Y,T
雲林縣,,,0,0,1,28,23.14,楊仁福,中國國民黨,1,Y,T
嘉義縣,,,0,0,1,25,22.32,楊仁福,中國國民黨,1,Y,T
臺南縣,,,0,0,1,71,25.36,楊仁福,中國國民黨,1,Y,T
高雄縣,,,0,0,1,110,18.00,楊仁福,中國國民黨,1,Y,T
屏東縣,,,0,0,1,103,10.56,楊仁福,中國國民黨,1,Y,T
臺東縣,,,0,0,1,391,1.91,楊仁福,中國國民黨,1,Y,T
花蓮縣,,,0,0,1,9831,52.59,楊仁福,中國國民黨,1,Y,T
澎湖縣,,,0,0,1,4,14.29,楊仁福,中國國民黨,1,Y,T
基隆市,,,0,0,1,349,19.39,楊仁福,中國國民黨,1,Y,T
新竹市,,,0,0,1,34,21.52,楊仁福,中國國民黨,1,Y,T
臺中市,,,0,0,1,87,20.96,楊仁福,中國國民黨,1,Y,T
嘉義市,,,0,0,1,11,29.73,楊仁福,中國國民黨,1,Y,T
臺南市,,,0,0,1,18,11.32,楊仁福,中國國民黨,1,Y,T
金門縣,,,0,0,1,10,32.26,楊仁福,中國國民黨,1,Y,T
連江縣,,,0,0,1,6,50.00,楊仁福,中國國民黨,1,Y,T
臺北市,,,0,0,2,160,9.48,宋進財,無黨團結聯盟,1,N,
高雄市,,,0,0,2,37,2.78,宋進財,無黨團結聯盟,1,N,
臺北縣,,,0,0,2,1505,22.87,宋進財,無黨團結聯盟,1,N,
宜蘭縣,,,0,0,2,21,6.27,宋進財,無黨團結聯盟,1,N,
桃園縣,,,0,0,2,864,14.35,宋進財,無黨團結聯盟,1,N,
新竹縣,,,0,0,2,17,5.76,宋進財,無黨團結聯盟,1,N,
苗栗縣,,,0,0,2,160,18.04,宋進財,無黨團結聯盟,1,N,
臺中縣,,,0,0,2,73,5.47,宋進財,無黨團結聯盟,1,N,
彰化縣,,,0,0,2,38,7.27,宋進財,無黨團結聯盟,1,N,
南投縣,,,0,0,2,48,15.79,宋進財,無黨團結聯盟,1,N,
雲林縣,,,0,0,2,5,4.13,宋進財,無黨團結聯盟,1,N,
嘉義縣,,,0,0,2,10,8.93,宋進財,無黨團結聯盟,1,N,
臺南縣,,,0,0,2,24,8.57,宋進財,無黨團結聯盟,1,N,
高雄縣,,,0,0,2,26,4.26,宋進財,無黨團結聯盟,1,N,
屏東縣,,,0,0,2,17,1.74,宋進財,無黨團結聯盟,1,N,
臺東縣,,,0,0,2,353,1.72,宋進財,無黨團結聯盟,1,N,
花蓮縣,,,0,0,2,3436,18.38,宋進財,無黨團結聯盟,1,N,
澎湖縣,,,0,0,2,3,10.71,宋進財,無黨團結聯盟,1,N,
基隆市,,,0,0,2,188,10.44,宋進財,無黨團結聯盟,1,N,
新竹市,,,0,0,2,7,4.43,宋進財,無黨團結聯盟,1,N,
臺中市,,,0,0,2,9,2.17,宋進財,無黨團結聯盟,1,N,
嘉義市,,,0,0,2,3,8.11,宋進財,無黨團結聯盟,1,N,
臺南市,,,0,0,2,5,3.14,宋進財,無黨團結聯盟,1,N,
金門縣,,,0,0,2,6,19.35,宋進財,無黨團結聯盟,1,N,
連江縣,,,0,0,2,0,0.00,宋進財,無黨團結聯盟,1,N,
臺北市,,,0,0,3,32,1.90,章賢生,無,1,N,
高雄市,,,0,0,3,3,0.23,章賢生,無,1,N,
臺北縣,,,0,0,3,71,1.08,章賢生,無,1,N,
宜蘭縣,,,0,0,3,1,0.30,章賢生,無,1,N,
桃園縣,,,0,0,3,57,0.95,章賢生,無,1,N,
新竹縣,,,0,0,3,2,0.68,章賢生,無,1,N,
苗栗縣,,,0,0,3,4,0.45,章賢生,無,1,N,
臺中縣,,,0,0,3,11,0.82,章賢生,無,1,N,
彰化縣,,,0,0,3,7,1.34,章賢生,無,1,N,
南投縣,,,0,0,3,3,0.99,章賢生,無,1,N,
雲林縣,,,0,0,3,0,0.00,章賢生,無,1,N,
嘉義縣,,,0,0,3,0,0.00,章賢生,無,1,N,
臺南縣,,,0,0,3,0,0.00,章賢生,無,1,N,
高雄縣,,,0,0,3,1,0.16,章賢生,無,1,N,
屏東縣,,,0,0,3,0,0.00,章賢生,無,1,N,
臺東縣,,,0,0,3,208,1.01,章賢生,無,1,N,
花蓮縣,,,0,0,3,55,0.29,章賢生,無,1,N,
澎湖縣,,,0,0,3,0,0.00,章賢生,無,1,N,
基隆市,,,0,0,3,11,0.61,章賢生,無,1,N,
新竹市,,,0,0,3,1,0.63,章賢生,無,1,N,
臺中市,,,0,0,3,3,0.72,章賢生,無,1,N,
嘉義市,,,0,0,3,0,0.00,章賢生,無,1,N,
臺南市,,,0,0,3,2,1.26,章賢生,無,1,N,
金門縣,,,0,0,3,0,0.00,章賢生,無,1,N,
連江縣,,,0,0,3,0,0.00,章賢生,無,1,N,
臺北市,,,0,0,4,259,15.34,陳瑩,民主進步黨,2,N,T
高雄市,,,0,0,4,192,14.41,陳瑩,民主進步黨,2,N,T
臺北縣,,,0,0,4,806,12.25,陳瑩,民主進步黨,2,N,T
宜蘭縣,,,0,0,4,58,17.31,陳瑩,民主進步黨,2,N,T
桃園縣,,,0,0,4,616,10.23,陳瑩,民主進步黨,2,N,T
新竹縣,,,0,0,4,44,14.92,陳瑩,民主進步黨,2,N,T
苗栗縣,,,0,0,4,101,11.39,陳瑩,民主進步黨,2,N,T
臺中縣,,,0,0,4,144,10.79,陳瑩,民主進步黨,2,N,T
彰化縣,,,0,0,4,89,17.02,陳瑩,民主進步黨,2,N,T
南投縣,,,0,0,4,55,18.09,陳瑩,民主進步黨,2,N,T
雲林縣,,,0,0,4,39,32.23,陳瑩,民主進步黨,2,N,T
嘉義縣,,,0,0,4,17,15.18,陳瑩,民主進步黨,2,N,T
