CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北縣,,,0,12,1,1164,30.61,陳金明,無,1,N,
臺北縣,,,0,12,2,1612,42.39,王建章,中國國民黨,1,N,T
臺北縣,,,0,12,3,1027,27.00,多烈．尤幹,民主進步黨,1,N,
宜蘭縣,,,0,11,1,1281,46.30,潘清池,無,1,N,
宜蘭縣,,,0,11,2,1486,53.70,簡海樹,中國國民黨,1,N,
宜蘭縣,,,0,12,1,680,22.64,陳波勇,親民黨,1,N,
宜蘭縣,,,0,12,2,346,11.52,陳英明,中國國民黨,1,N,
宜蘭縣,,,0,12,3,1031,34.33,陳銘福,中國國民黨,1,N,
宜蘭縣,,,0,12,4,946,31.50,林長輝,中國國民黨,1,N,
桃園縣,,,0,14,1,3580,54.01,張廷晟,無,1,N,
桃園縣,,,0,14,2,3049,45.99,林誠榮,中國國民黨,1,N,T
新竹縣,,,0,11,1,2058,51.76,謝應隆,無,1,N,T
新竹縣,,,0,11,2,1918,48.24,江瑞乾,中國國民黨,1,N,
新竹縣,,,0,12,1,1065,31.82,林煌春,中國國民黨,1,Y,
新竹縣,,,0,12,2,1074,32.09,葉賢民,中國國民黨,1,N,
新竹縣,,,0,12,3,1208,36.09,張益瑞,中國國民黨,1,N,T
苗栗縣,,,0,8,1,1417,49.63,黃月娥,中國國民黨,2,Y,
苗栗縣,,,0,8,2,1438,50.37,高榮盛,中國國民黨,1,N,
臺中縣,,,0,10,1,915,24.50,黃永光,工教聯盟,1,N,T
臺中縣,,,0,10,2,1171,31.35,劉金生,無,1,N,
臺中縣,,,0,10,3,1649,44.15,林建堂,無,1,Y,
南投縣,,,0,6,1,2817,100.00,松秋明,中國國民黨,1,Y,
南投縣,,,0,7,1,3535,36.09,謝汪汕,無,1,Y,
南投縣,,,0,7,2,2748,27.76,張國華,中國國民黨,1,N,T
南投縣,,,0,7,3,980,9.59,卓上龍,無,1,N,
嘉義縣,,,0,7,1,808,7.82,鄭義信,中國國民黨,1,N,
嘉義縣,,,0,7,2,873,8.45,汪志敏,無,1,N,T
嘉義縣,,,0,7,3,414,4.01,莊立德,無,1,N,
高雄縣,,,0,8,1,817,43.50,宋能正,中國國民黨,1,N,
高雄縣,,,0,8,2,1061,56.50,孫慶龍,中國國民黨,1,N,
高雄縣,,,0,9,1,340,11.73,宋玉清,無,1,N,T
高雄縣,,,0,9,2,1445,49.86,謝貴來,中國國民黨,1,N,
高雄縣,,,0,9,3,1113,38.41,曾信義,中國國民黨,1,N,
高雄縣,,,0,10,1,1700,100.00,李德康,親民黨,1,N,T
屏東縣,,,0,9,1,2117,49.26,江菊妹,中國國民黨,2,N,
屏東縣,,,0,9,2,2181,50.74,許阿桃,中國國民黨,2,N,T
屏東縣,,,0,10,1,2784,54.11,林玉如,中國國民黨,2,Y,
屏東縣,,,0,10,2,2361,45.89,陸月嬌,無,2,N,
屏東縣,,,0,11,1,3041,100.00,潘明利,中國國民黨,1,Y,
屏東縣,,,0,12,1,4198,100.00,連正勝,中國國民黨,1,Y,T
屏東縣,,,0,13,1,1425,49.04,沈秋花,中國國民黨,2,N,
屏東縣,,,0,13,2,1481,50.96,林輝雄,中國國民黨,1,N,T
屏東縣,,,0,14,1,2428,100.00,簡東明,中國國民黨,1,Y,
屏東縣,,,0,15,1,856,28.10,陳英銘,無,1,N,T
屏東縣,,,0,15,2,570,18.71,林明德,無,1,N,
屏東縣,,,0,15,3,988,32.44,黃順發,中國國民黨,1,Y,
屏東縣,,,0,15,4,632,20.75,王新發,無,1,N,
臺東縣,,,0,10,1,786,42.58,蔡清德,中國國民黨,1,N,T
臺東縣,,,0,10,2,1060,57.42,胡秋金,中國國民黨,1,N,
臺東縣,,,0,11,1,569,29.87,余秀芳,中國國民黨,2,N,
臺東縣,,,0,11,2,423,22.20,邱強永,中國國民黨,1,N,
臺東縣,,,0,11,3,718,37.69,余忠義,無,1,N,T
臺東縣,,,0,11,4,195,10.24,胡文仁,無,1,N,
臺東縣,,,0,12,1,1652,100.00,宋賢一,無,1,Y,
臺東縣,,,0,13,1,763,38.99,林文川,無,1,N,T
臺東縣,,,0,13,2,424,21.67,張正雄,無,1,N,
臺東縣,,,0,13,3,770,39.35,朱連濟,中國國民黨,2,Y,
臺東縣,,,0,14,1,886,54.83,江多利,親民黨,1,Y,T
臺東縣,,,0,14,2,730,45.17,鍾趖波,中國國民黨,1,N,
花蓮縣,,,0,8,1,3245,43.75,黃輝寶,親民黨,1,N,
花蓮縣,,,0,8,2,4172,56.25,李春風,中國國民黨,2,N,
花蓮縣,,,0,9,1,1361,42.23,林振輝,中國國民黨,1,Y,T
花蓮縣,,,0,9,2,1862,57.77,林榮輝,中國國民黨,1,N,
花蓮縣,,,0,10,1,1139,37.83,石進燕,中國國民黨,1,N,
花蓮縣,,,0,10,2,1872,62.17,呂必賢,無,1,N,
臺北縣,板橋市,,0,12,1,55,26.07,陳金明,無,1,N,
臺北縣,板橋市,,0,12,2,94,44.55,王建章,中國國民黨,1,N,T
臺北縣,板橋市,,0,12,3,62,29.38,多烈．尤幹,民主進步黨,1,N,
臺北縣,三重市,,0,12,1,50,25.77,陳金明,無,1,N,
臺北縣,三重市,,0,12,2,83,42.78,王建章,中國國民黨,1,N,T
臺北縣,三重市,,0,12,3,61,31.44,多烈．尤幹,民主進步黨,1,N,
臺北縣,中和市,,0,12,1,24,26.97,陳金明,無,1,N,
臺北縣,中和市,,0,12,2,37,41.57,王建章,中國國民黨,1,N,T
臺北縣,中和市,,0,12,3,28,31.46,多烈．尤幹,民主進步黨,1,N,
臺北縣,永和市,,0,12,1,65,30.95,陳金明,無,1,N,
臺北縣,永和市,,0,12,2,72,34.29,王建章,中國國民黨,1,N,T
臺北縣,永和市,,0,12,3,73,34.76,多烈．尤幹,民主進步黨,1,N,
臺北縣,新莊市,,0,12,1,71,31.14,陳金明,無,1,N,
臺北縣,新莊市,,0,12,2,77,33.77,王建章,中國國民黨,1,N,T
臺北縣,新莊市,,0,12,3,80,35.09,多烈．尤幹,民主進步黨,1,N,
臺北縣,新店市,,0,12,1,50,31.85,陳金明,無,1,N,
臺北縣,新店市,,0,12,2,69,43.95,王建章,中國國民黨,1,N,T
臺北縣,新店市,,0,12,3,38,24.20,多烈．尤幹,民主進步黨,1,N,
臺北縣,土城市,,0,12,1,13,13.83,陳金明,無,1,N,
臺北縣,土城市,,0,12,2,47,50.00,王建章,中國國民黨,1,N,T
臺北縣,土城市,,0,12,3,34,36.17,多烈．尤幹,民主進步黨,1,N,
臺北縣,蘆洲市,,0,12,1,29,22.48,陳金明,無,1,N,
臺北縣,蘆洲市,,0,12,2,49,37.98,王建章,中國國民黨,1,N,T
臺北縣,蘆洲市,,0,12,3,51,39.53,多烈．尤幹,民主進步黨,1,N,
臺北縣,汐止市,,0,12,1,42,45.16,陳金明,無,1,N,
臺北縣,汐止市,,0,12,2,22,23.66,王建章,中國國民黨,1,N,T
臺北縣,汐止市,,0,12,3,29,31.18,多烈．尤幹,民主進步黨,1,N,
臺北縣,樹林市,,0,12,1,88,37.29,陳金明,無,1,N,
臺北縣,樹林市,,0,12,2,97,41.10,王建章,中國國民黨,1,N,T
臺北縣,樹林市,,0,12,3,51,21.61,多烈．尤幹,民主進步黨,1,N,
臺北縣,鶯歌鎮,,0,12,1,25,27.17,陳金明,無,1,N,
臺北縣,鶯歌鎮,,0,12,2,32,34.78,王建章,中國國民黨,1,N,T
臺北縣,鶯歌鎮,,0,12,3,35,38.04,多烈．尤幹,民主進步黨,1,N,
臺北縣,三峽鎮,,0,12,1,51,41.80,陳金明,無,1,N,
臺北縣,三峽鎮,,0,12,2,47,38.52,王建章,中國國民黨,1,N,T
臺北縣,三峽鎮,,0,12,3,24,19.67,多烈．尤幹,民主進步黨,1,N,
臺北縣,淡水鎮,,0,12,1,14,27.45,陳金明,無,1,N,
臺北縣,淡水鎮,,0,12,2,20,39.22,王建章,中國國民黨,1,N,T
臺北縣,淡水鎮,,0,12,3,17,33.33,多烈．尤幹,民主進步黨,1,N,
臺北縣,瑞芳鎮,,0,12,1,55,46.22,陳金明,無,1,N,
臺北縣,瑞芳鎮,,0,12,2,46,38.66,王建章,中國國民黨,1,N,T
臺北縣,瑞芳鎮,,0,12,3,18,15.13,多烈．尤幹,民主進步黨,1,N,
臺北縣,五股鄉,,0,12,1,12,27.91,陳金明,無,1,N,
臺北縣,五股鄉,,0,12,2,21,48.84,王建章,中國國民黨,1,N,T
臺北縣,五股鄉,,0,12,3,10,23.26,多烈．尤幹,民主進步黨,1,N,
臺北縣,泰山鄉,,0,12,1,8,36.36,陳金明,無,1,N,
臺北縣,泰山鄉,,0,12,2,11,50.00,王建章,中國國民黨,1,N,T
臺北縣,泰山鄉,,0,12,3,3,13.64,多烈．尤幹,民主進步黨,1,N,
臺北縣,林口鄉,,0,12,1,0,0.00,陳金明,無,1,N,
臺北縣,林口鄉,,0,12,2,6,75.00,王建章,中國國民黨,1,N,T
臺北縣,林口鄉,,0,12,3,2,25.00,多烈．尤幹,民主進步黨,1,N,
臺北縣,深坑鄉,,0,12,1,28,23.93,陳金明,無,1,N,
臺北縣,深坑鄉,,0,12,2,59,50.43,王建章,中國國民黨,1,N,T
臺北縣,深坑鄉,,0,12,3,30,25.64,多烈．尤幹,民主進步黨,1,N,
臺北縣,石碇鄉,,0,12,1,5,50.00,陳金明,無,1,N,
臺北縣,石碇鄉,,0,12,2,1,10.00,王建章,中國國民黨,1,N,T
