CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,98249,3441,101690,147145,66,30,57,9,26,4,69.11
臺北縣,,,0,12,3803,113,3916,6409,3,1,3,0,1,0,61.10
宜蘭縣,,,0,12,5770,98,5868,7743,6,2,6,0,2,0,75.78
桃園縣,,,0,14,6629,245,6874,12740,2,1,2,0,1,0,53.96
新竹縣,,,0,12,7323,194,7517,10129,5,2,5,0,2,0,74.21
苗栗縣,,,0,8,2855,63,2918,3692,2,1,1,1,1,0,79.04
臺中縣,,,0,10,3735,110,3845,6053,3,1,3,0,1,0,63.52
南投縣,,,0,7,10080,584,10664,16538,4,2,4,0,2,0,64.48
嘉義縣,,,0,7,2095,36,2131,3175,3,1,3,0,1,0,67.12
高雄縣,,,0,10,6476,226,6702,8436,6,3,6,0,3,0,79.45
屏東縣,,,0,16,26856,998,27854,36489,14,8,9,5,6,2,76.34
臺東縣,,,0,14,8976,367,9343,14133,12,5,10,2,4,1,66.11
花蓮縣,,,0,10,13651,407,14058,21608,6,3,5,1,2,1,65.06
臺北縣,,,0,12,3803,113,3916,6409,3,1,3,0,1,0,61.10
宜蘭縣,,,0,12,2767,49,2816,3733,2,1,2,0,1,0,75.44
宜蘭縣,,,0,12,3003,49,3052,4010,4,1,4,0,1,0,76.11
桃園縣,,,0,14,6629,245,6874,12740,2,1,2,0,1,0,53.96
新竹縣,,,0,12,3976,108,4084,5407,2,1,2,0,1,0,75.53
新竹縣,,,0,12,3347,86,3433,4722,3,1,3,0,1,0,72.70
苗栗縣,,,0,8,2855,63,2918,3692,2,1,1,1,1,0,79.04
臺中縣,,,0,10,3735,110,3845,6053,3,1,3,0,1,0,63.52
南投縣,,,0,7,2817,435,3252,6339,1,1,1,0,1,0,51.30
南投縣,,,0,7,7263,149,7412,10199,3,1,3,0,1,0,72.67
嘉義縣,,,0,7,2095,36,2131,3175,3,1,3,0,1,0,67.12
高雄縣,,,0,10,1878,30,1908,2480,2,1,2,0,1,0,76.94
高雄縣,,,0,10,2898,68,2966,3758,3,1,3,0,1,0,78.92
高雄縣,,,0,10,1700,128,1828,2198,1,1,1,0,1,0,83.17
屏東縣,,,0,16,4298,66,4364,5278,2,1,0,2,0,1,82.68
屏東縣,,,0,16,5145,76,5221,7111,2,1,0,2,0,1,73.42
屏東縣,,,0,16,3041,131,3172,4009,1,1,1,0,1,0,79.12
屏東縣,,,0,16,4198,384,4582,6369,1,1,1,0,1,0,71.94
屏東縣,,,0,16,2906,75,2981,3666,2,1,1,1,1,0,81.31
屏東縣,,,0,16,2428,77,2505,3495,1,1,1,0,1,0,71.67
屏東縣,,,0,16,3046,56,3102,4302,4,1,4,0,1,0,72.11
屏東縣,,,0,16,1794,133,1927,2259,1,1,1,0,1,0,85.30
臺東縣,,,0,14,1846,35,1881,2817,2,1,2,0,1,0,66.77
臺東縣,,,0,14,1905,67,1972,3062,4,1,3,1,1,0,64.40
臺東縣,,,0,14,1652,128,1780,2430,1,1,1,0,1,0,73.25
臺東縣,,,0,14,1957,40,1997,2847,3,1,2,1,0,1,70.14
臺東縣,,,0,14,1616,97,1713,2977,2,1,2,0,1,0,57.54
花蓮縣,,,0,10,7417,251,7668,11666,2,1,1,1,0,1,65.73
花蓮縣,,,0,10,3223,71,3294,5091,2,1,2,0,1,0,64.70
花蓮縣,,,0,10,3011,85,3096,4851,2,1,2,0,1,0,63.82
臺北縣,板橋市,,0,12,211,13,224,435,2,1,2,0,1,0,51.49
臺北縣,三重市,,0,12,129,7,136,255,5,1,4,1,0,1,53.33
臺北縣,中和市,,0,12,194,7,201,377,2,1,1,1,0,1,53.32
臺北縣,永和市,,0,12,89,7,96,164,2,1,2,0,1,0,58.54
臺北縣,新莊市,,0,12,236,4,240,530,2,1,2,0,1,0,45.28
臺北縣,新店市,,0,12,294,10,304,521,2,1,2,0,1,0,58.35
臺北縣,土城市,,0,12,210,10,220,370,3,1,3,0,1,0,59.46
臺北縣,蘆洲市,,0,12,93,4,97,204,2,1,1,1,1,0,47.55
臺北縣,汐止市,,0,12,117,5,122,243,4,1,4,0,1,0,50.21
臺北縣,樹林市,,0,12,228,8,236,441,3,1,2,1,0,1,53.51
臺北縣,鶯歌鎮,,0,12,157,7,164,304,1,1,1,0,1,0,53.95
臺北縣,三峽鎮,,0,12,94,3,97,179,3,1,3,0,1,0,54.19
臺北縣,淡水鎮,,0,12,119,2,121,225,3,1,3,0,1,0,53.78
臺北縣,瑞芳鎮,,0,12,14,0,14,35,2,1,2,0,1,0,40.00
臺北縣,五股鄉,,0,12,122,6,128,202,2,1,2,0,1,0,63.37
臺北縣,泰山鄉,,0,12,92,1,93,161,3,1,3,0,1,0,57.76
臺北縣,林口鄉,,0,12,51,1,52,116,2,1,2,0,1,0,44.83
臺北縣,深坑鄉,,0,12,19,1,20,30,2,1,1,1,1,0,66.67
臺北縣,石碇鄉,,0,12,2,0,2,4,3,1,2,1,1,0,50.00
臺北縣,坪林鄉,,0,12,3,0,3,4,3,1,3,0,1,0,75.00
臺北縣,三芝鄉,,0,12,22,0,22,40,3,1,3,0,1,0,55.00
臺北縣,石門鄉,,0,12,8,0,8,12,3,1,3,0,1,0,66.67
臺北縣,八里鄉,,0,12,43,2,45,81,2,1,2,0,1,0,55.56
臺北縣,平溪鄉,,0,12,1,0,1,1,3,1,2,1,1,0,100.00
臺北縣,雙溪鄉,,0,12,1,0,1,3,2,1,2,0,1,0,33.33
臺北縣,貢寮鄉,,0,12,11,0,11,13,4,1,4,0,1,0,84.62
臺北縣,金山鄉,,0,12,10,4,14,17,3,1,2,1,1,0,82.35
臺北縣,萬里鄉,,0,12,12,2,14,22,2,1,2,0,1,0,63.64
臺北縣,烏來鄉,,0,12,1221,9,1230,1420,2,1,2,0,1,0,86.62
宜蘭縣,宜蘭市,,0,11,207,5,212,350,2,1,2,0,1,0,60.57
宜蘭縣,頭城鎮,,0,11,17,1,18,26,2,1,2,0,1,0,69.23
宜蘭縣,礁溪鄉,,0,11,13,4,17,36,2,1,2,0,1,0,47.22
宜蘭縣,壯圍鄉,,0,11,29,1,30,37,2,1,2,0,1,0,81.08
宜蘭縣,員山鄉,,0,11,68,6,74,103,2,1,2,0,1,0,71.84
宜蘭縣,三星鄉,,0,11,56,2,58,87,2,1,2,0,1,0,66.67
宜蘭縣,大同鄉,,0,11,2377,30,2407,3094,2,1,2,0,1,0,77.80
宜蘭縣,羅東鎮,,0,12,264,7,271,417,2,1,2,0,1,0,64.99
宜蘭縣,蘇澳鎮,,0,12,77,2,79,117,2,1,2,0,1,0,67.52
宜蘭縣,冬山鄉,,0,12,80,1,81,141,2,1,2,0,1,0,57.45
宜蘭縣,五結鄉,,0,12,34,2,36,63,2,1,2,0,1,0,57.14
宜蘭縣,南澳鄉,,0,12,2548,37,2585,3272,5,1,4,1,1,0,79.00
桃園縣,桃園市,,0,14,343,13,356,845,2,1,2,0,1,0,42.13
桃園縣,龜山鄉,,0,14,197,16,213,528,2,1,1,1,0,1,40.34
桃園縣,八德市,,0,14,370,19,389,800,2,1,2,0,1,0,48.62
桃園縣,蘆竹鄉,,0,14,156,8,164,383,3,1,3,0,1,0,42.82
桃園縣,大園鄉,,0,14,91,2,93,243,2,1,2,0,1,0,38.27
桃園縣,大溪鎮,,0,14,652,13,665,1332,3,1,3,0,1,0,49.92
桃園縣,復興鄉,,0,14,3343,91,3434,5121,2,1,2,0,1,0,67.06
桃園縣,中壢市,,0,14,458,23,481,1139,2,1,2,0,1,0,42.23
桃園縣,平鎮市,,0,14,433,23,456,968,2,1,2,0,1,0,47.11
桃園縣,楊梅鎮,,0,14,198,9,207,456,3,1,3,0,1,0,45.39
