CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北市,,,0,6,1,36465,38.72,周柏雅,民主進步黨,1,N,
臺北市,,,0,6,2,645,0.68,劉義鈞,無,1,N,
臺北市,,,0,6,3,46065,48.91,蔣乃辛,中國國民黨,1,N,T
臺北市,,,0,6,4,39,0.04,陳源奇,無,1,N,
臺北市,,,0,6,5,9868,10.48,姚立明,無,1,N,
臺北市,,,0,6,6,1058,1.12,溫炳原,綠黨,1,N,
臺北市,,,0,6,7,46,0.05,趙衍慶,無,1,N,
臺北市,大安區,,0,6,1,36465,38.72,周柏雅,民主進步黨,1,N,
臺北市,大安區,,0,6,2,645,0.68,劉義鈞,無,1,N,
臺北市,大安區,,0,6,3,46065,48.91,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,,0,6,4,39,0.04,陳源奇,無,1,N,
臺北市,大安區,,0,6,5,9868,10.48,姚立明,無,1,N,
臺北市,大安區,,0,6,6,1058,1.12,溫炳原,綠黨,1,N,
臺北市,大安區,,0,6,7,46,0.05,趙衍慶,無,1,N,
臺北市,大安區,德安里,0,6,1,695,38.00,周柏雅,民主進步黨,1,N,
臺北市,大安區,仁慈里,0,6,1,679,42.68,周柏雅,民主進步黨,1,N,
臺北市,大安區,和安里,0,6,1,735,35.73,周柏雅,民主進步黨,1,N,
臺北市,大安區,民炤里,0,6,1,1165,46.51,周柏雅,民主進步黨,1,N,
臺北市,大安區,仁愛里,0,6,1,697,42.95,周柏雅,民主進步黨,1,N,
臺北市,大安區,義村里,0,6,1,552,25.15,周柏雅,民主進步黨,1,N,
臺北市,大安區,民輝里,0,6,1,967,44.64,周柏雅,民主進步黨,1,N,
臺北市,大安區,昌隆里,0,6,1,551,49.59,周柏雅,民主進步黨,1,N,
臺北市,大安區,誠安里,0,6,1,701,44.65,周柏雅,民主進步黨,1,N,
臺北市,大安區,光武里,0,6,1,1040,44.18,周柏雅,民主進步黨,1,N,
臺北市,大安區,龍坡里,0,6,1,699,36.26,周柏雅,民主進步黨,1,N,
臺北市,大安區,龍泉里,0,6,1,674,44.20,周柏雅,民主進步黨,1,N,
臺北市,大安區,古風里,0,6,1,550,41.54,周柏雅,民主進步黨,1,N,
臺北市,大安區,古莊里,0,6,1,846,41.61,周柏雅,民主進步黨,1,N,
臺北市,大安區,龍安里,0,6,1,741,39.92,周柏雅,民主進步黨,1,N,
臺北市,大安區,錦安里,0,6,1,685,37.95,周柏雅,民主進步黨,1,N,
臺北市,大安區,福住里,0,6,1,683,38.61,周柏雅,民主進步黨,1,N,
臺北市,大安區,永康里,0,6,1,428,38.45,周柏雅,民主進步黨,1,N,
臺北市,大安區,光明里,0,6,1,428,36.03,周柏雅,民主進步黨,1,N,
臺北市,大安區,錦泰里,0,6,1,490,31.69,周柏雅,民主進步黨,1,N,
臺北市,大安區,錦華里,0,6,1,648,35.39,周柏雅,民主進步黨,1,N,
臺北市,大安區,龍圖里,0,6,1,779,37.04,周柏雅,民主進步黨,1,N,
臺北市,大安區,新龍里,0,6,1,560,24.53,周柏雅,民主進步黨,1,N,
臺北市,大安區,龍陣里,0,6,1,482,39.25,周柏雅,民主進步黨,1,N,
臺北市,大安區,龍雲里,0,6,1,693,42.65,周柏雅,民主進步黨,1,N,
臺北市,大安區,龍生里,0,6,1,719,34.53,周柏雅,民主進步黨,1,N,
臺北市,大安區,住安里,0,6,1,696,41.33,周柏雅,民主進步黨,1,N,
臺北市,大安區,義安里,0,6,1,653,36.10,周柏雅,民主進步黨,1,N,
臺北市,大安區,通化里,0,6,1,1007,53.59,周柏雅,民主進步黨,1,N,
臺北市,大安區,通安里,0,6,1,826,42.08,周柏雅,民主進步黨,1,N,
臺北市,大安區,臨江里,0,6,1,553,39.11,周柏雅,民主進步黨,1,N,
臺北市,大安區,法治里,0,6,1,505,34.80,周柏雅,民主進步黨,1,N,
臺北市,大安區,全安里,0,6,1,530,36.35,周柏雅,民主進步黨,1,N,
臺北市,大安區,群賢里,0,6,1,669,32.86,周柏雅,民主進步黨,1,N,
臺北市,大安區,群英里,0,6,1,459,17.42,周柏雅,民主進步黨,1,N,
臺北市,大安區,虎嘯里,0,6,1,440,35.89,周柏雅,民主進步黨,1,N,
臺北市,大安區,臥龍里,0,6,1,197,29.45,周柏雅,民主進步黨,1,N,
臺北市,大安區,龍淵里,0,6,1,1195,39.49,周柏雅,民主進步黨,1,N,
臺北市,大安區,龍門里,0,6,1,562,42.32,周柏雅,民主進步黨,1,N,
臺北市,大安區,大學里,0,6,1,1043,40.47,周柏雅,民主進步黨,1,N,
臺北市,大安區,芳和里,0,6,1,801,38.33,周柏雅,民主進步黨,1,N,
臺北市,大安區,黎元里,0,6,1,729,41.14,周柏雅,民主進步黨,1,N,
臺北市,大安區,黎孝里,0,6,1,999,38.19,周柏雅,民主進步黨,1,N,
臺北市,大安區,黎和里,0,6,1,533,33.76,周柏雅,民主進步黨,1,N,
臺北市,大安區,建安里,0,6,1,570,38.15,周柏雅,民主進步黨,1,N,
臺北市,大安區,建倫里,0,6,1,713,42.31,周柏雅,民主進步黨,1,N,
臺北市,大安區,敦安里,0,6,1,821,47.93,周柏雅,民主進步黨,1,N,
臺北市,大安區,正聲里,0,6,1,539,39.14,周柏雅,民主進步黨,1,N,
臺北市,大安區,敦煌里,0,6,1,758,42.51,周柏雅,民主進步黨,1,N,
臺北市,大安區,華聲里,0,6,1,494,40.63,周柏雅,民主進步黨,1,N,
臺北市,大安區,車層里,0,6,1,863,47.29,周柏雅,民主進步黨,1,N,
臺北市,大安區,光信里,0,6,1,1042,42.70,周柏雅,民主進步黨,1,N,
臺北市,大安區,學府里,0,6,1,381,31.72,周柏雅,民主進步黨,1,N,
臺北市,大安區,德安里,0,6,2,11,0.60,劉義鈞,無,1,N,
臺北市,大安區,仁慈里,0,6,2,19,1.19,劉義鈞,無,1,N,
臺北市,大安區,和安里,0,6,2,23,1.12,劉義鈞,無,1,N,
臺北市,大安區,民炤里,0,6,2,22,0.88,劉義鈞,無,1,N,
臺北市,大安區,仁愛里,0,6,2,11,0.68,劉義鈞,無,1,N,
臺北市,大安區,義村里,0,6,2,11,0.50,劉義鈞,無,1,N,
臺北市,大安區,民輝里,0,6,2,12,0.55,劉義鈞,無,1,N,
臺北市,大安區,昌隆里,0,6,2,7,0.63,劉義鈞,無,1,N,
臺北市,大安區,誠安里,0,6,2,9,0.57,劉義鈞,無,1,N,
臺北市,大安區,光武里,0,6,2,16,0.68,劉義鈞,無,1,N,
臺北市,大安區,龍坡里,0,6,2,14,0.73,劉義鈞,無,1,N,
臺北市,大安區,龍泉里,0,6,2,10,0.66,劉義鈞,無,1,N,
臺北市,大安區,古風里,0,6,2,14,1.06,劉義鈞,無,1,N,
臺北市,大安區,古莊里,0,6,2,10,0.49,劉義鈞,無,1,N,
臺北市,大安區,龍安里,0,6,2,14,0.75,劉義鈞,無,1,N,
臺北市,大安區,錦安里,0,6,2,13,0.72,劉義鈞,無,1,N,
臺北市,大安區,福住里,0,6,2,13,0.73,劉義鈞,無,1,N,
臺北市,大安區,永康里,0,6,2,3,0.27,劉義鈞,無,1,N,
臺北市,大安區,光明里,0,6,2,10,0.84,劉義鈞,無,1,N,
臺北市,大安區,錦泰里,0,6,2,7,0.45,劉義鈞,無,1,N,
臺北市,大安區,錦華里,0,6,2,16,0.87,劉義鈞,無,1,N,
臺北市,大安區,龍圖里,0,6,2,11,0.52,劉義鈞,無,1,N,
臺北市,大安區,新龍里,0,6,2,23,1.01,劉義鈞,無,1,N,
臺北市,大安區,龍陣里,0,6,2,15,1.22,劉義鈞,無,1,N,
臺北市,大安區,龍雲里,0,6,2,18,1.11,劉義鈞,無,1,N,
臺北市,大安區,龍生里,0,6,2,15,0.72,劉義鈞,無,1,N,
臺北市,大安區,住安里,0,6,2,10,0.59,劉義鈞,無,1,N,
臺北市,大安區,義安里,0,6,2,14,0.77,劉義鈞,無,1,N,
臺北市,大安區,通化里,0,6,2,7,0.37,劉義鈞,無,1,N,
臺北市,大安區,通安里,0,6,2,14,0.71,劉義鈞,無,1,N,
臺北市,大安區,臨江里,0,6,2,9,0.64,劉義鈞,無,1,N,
臺北市,大安區,法治里,0,6,2,12,0.83,劉義鈞,無,1,N,
臺北市,大安區,全安里,0,6,2,14,0.96,劉義鈞,無,1,N,
臺北市,大安區,群賢里,0,6,2,13,0.64,劉義鈞,無,1,N,
臺北市,大安區,群英里,0,6,2,25,0.95,劉義鈞,無,1,N,
臺北市,大安區,虎嘯里,0,6,2,6,0.49,劉義鈞,無,1,N,
臺北市,大安區,臥龍里,0,6,2,3,0.45,劉義鈞,無,1,N,
臺北市,大安區,龍淵里,0,6,2,21,0.69,劉義鈞,無,1,N,
臺北市,大安區,龍門里,0,6,2,9,0.68,劉義鈞,無,1,N,
臺北市,大安區,大學里,0,6,2,26,1.01,劉義鈞,無,1,N,
臺北市,大安區,芳和里,0,6,2,9,0.43,劉義鈞,無,1,N,
臺北市,大安區,黎元里,0,6,2,13,0.73,劉義鈞,無,1,N,
臺北市,大安區,黎孝里,0,6,2,17,0.65,劉義鈞,無,1,N,
臺北市,大安區,黎和里,0,6,2,2,0.13,劉義鈞,無,1,N,
臺北市,大安區,建安里,0,6,2,9,0.60,劉義鈞,無,1,N,
臺北市,大安區,建倫里,0,6,2,8,0.47,劉義鈞,無,1,N,
臺北市,大安區,敦安里,0,6,2,8,0.47,劉義鈞,無,1,N,
臺北市,大安區,正聲里,0,6,2,7,0.51,劉義鈞,無,1,N,
臺北市,大安區,敦煌里,0,6,2,9,0.50,劉義鈞,無,1,N,
臺北市,大安區,華聲里,0,6,2,5,0.41,劉義鈞,無,1,N,
臺北市,大安區,車層里,0,6,2,12,0.66,劉義鈞,無,1,N,
臺北市,大安區,光信里,0,6,2,16,0.66,劉義鈞,無,1,N,
臺北市,大安區,學府里,0,6,2,0,0.00,劉義鈞,無,1,N,
臺北市,大安區,德安里,0,6,3,863,47.18,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,仁慈里,0,6,3,720,45.25,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,和安里,0,6,3,1068,51.92,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,民炤里,0,6,3,1053,42.04,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,仁愛里,0,6,3,753,46.40,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,義村里,0,6,3,1256,57.22,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,民輝里,0,6,3,925,42.71,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,昌隆里,0,6,3,448,40.32,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,誠安里,0,6,3,690,43.95,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,光武里,0,6,3,1036,44.01,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,龍坡里,0,6,3,937,48.60,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,龍泉里,0,6,3,710,46.56,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,古風里,0,6,3,628,47.43,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,古莊里,0,6,3,955,46.97,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,龍安里,0,6,3,880,47.41,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,錦安里,0,6,3,892,49.42,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,福住里,0,6,3,879,49.69,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,永康里,0,6,3,586,52.65,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,光明里,0,6,3,632,53.20,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,錦泰里,0,6,3,906,58.60,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,錦華里,0,6,3,979,53.47,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,龍圖里,0,6,3,1063,50.55,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,新龍里,0,6,3,1266,55.45,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,龍陣里,0,6,3,593,48.29,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,龍雲里,0,6,3,713,43.88,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,龍生里,0,6,3,1091,52.40,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,住安里,0,6,3,805,47.80,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,義安里,0,6,3,918,50.75,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,通化里,0,6,3,753,40.07,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,通安里,0,6,3,924,47.07,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,臨江里,0,6,3,766,54.17,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,法治里,0,6,3,763,52.58,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,全安里,0,6,3,723,49.59,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,群賢里,0,6,3,1137,55.84,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,群英里,0,6,3,1693,64.25,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,虎嘯里,0,6,3,669,54.57,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,臥龍里,0,6,3,371,55.46,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,龍淵里,0,6,3,1474,48.71,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,龍門里,0,6,3,596,44.88,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,大學里,0,6,3,1177,45.67,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,芳和里,0,6,3,1039,49.71,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,黎元里,0,6,3,888,50.11,蔣乃辛,中國國民黨,1,N,T
臺北市,大安區,黎孝里,0,6,3,1326,50.69,蔣乃辛,中國國民黨,1,N,T
