CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北市,北投區,建民里,1,0,1,1,0.08,吳炎成,無,1,N,
臺北市,北投區,建民里,1,0,2,427,36.43,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,建民里,1,0,3,4,0.34,蕭淑華,無,2,N,
臺北市,北投區,建民里,1,0,4,2,0.17,吳武明,無,1,N,
臺北市,北投區,建民里,1,0,5,738,62.96,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,建民里,2,0,1,1,0.08,吳炎成,無,1,N,
臺北市,北投區,建民里,2,0,2,543,45.93,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,建民里,2,0,3,2,0.16,蕭淑華,無,2,N,
臺北市,北投區,建民里,2,0,4,3,0.25,吳武明,無,1,N,
臺北市,北投區,建民里,2,0,5,633,53.55,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,文林里,3,0,1,0,0,吳炎成,無,1,N,
臺北市,北投區,文林里,3,0,2,362,43.93,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,文林里,3,0,3,0,0,蕭淑華,無,2,N,
臺北市,北投區,文林里,3,0,4,0,0,吳武明,無,1,N,
臺北市,北投區,文林里,3,0,5,462,56.06,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,文林里,4,0,1,1,0.1,吳炎成,無,1,N,
臺北市,北投區,文林里,4,0,2,461,49.14,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,文林里,4,0,3,2,0.21,蕭淑華,無,2,N,
臺北市,北投區,文林里,4,0,4,1,0.1,吳武明,無,1,N,
臺北市,北投區,文林里,4,0,5,473,50.42,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,文林里,5,0,1,1,0.11,吳炎成,無,1,N,
臺北市,北投區,文林里,5,0,2,397,46.98,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,文林里,5,0,3,0,0,蕭淑華,無,2,N,
臺北市,北投區,文林里,5,0,4,3,0.35,吳武明,無,1,N,
臺北市,北投區,文林里,5,0,5,444,52.54,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,石牌里,6,0,1,3,0.27,吳炎成,無,1,N,
臺北市,北投區,石牌里,6,0,2,540,49.31,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,石牌里,6,0,3,1,0.09,蕭淑華,無,2,N,
臺北市,北投區,石牌里,6,0,4,1,0.09,吳武明,無,1,N,
臺北市,北投區,石牌里,6,0,5,550,50.22,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,石牌里,7,0,1,2,0.18,吳炎成,無,1,N,
臺北市,北投區,石牌里,7,0,2,493,45.81,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,石牌里,7,0,3,2,0.18,蕭淑華,無,2,N,
臺北市,北投區,石牌里,7,0,4,5,0.46,吳武明,無,1,N,
臺北市,北投區,石牌里,7,0,5,574,53.34,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,石牌里,8,0,1,0,0,吳炎成,無,1,N,
臺北市,北投區,石牌里,8,0,2,477,45.17,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,石牌里,8,0,3,1,0.09,蕭淑華,無,2,N,
臺北市,北投區,石牌里,8,0,4,2,0.18,吳武明,無,1,N,
臺北市,北投區,石牌里,8,0,5,576,54.54,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,福興里,9,0,1,1,0.1,吳炎成,無,1,N,
臺北市,北投區,福興里,9,0,2,473,48.31,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,福興里,9,0,3,0,0,蕭淑華,無,2,N,
臺北市,北投區,福興里,9,0,4,2,0.2,吳武明,無,1,N,
臺北市,北投區,福興里,9,0,5,503,51.37,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,福興里,10,0,1,1,0.1,吳炎成,無,1,N,
臺北市,北投區,福興里,10,0,2,442,44.69,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,福興里,10,0,3,0,0,蕭淑華,無,2,N,
臺北市,北投區,福興里,10,0,4,3,0.3,吳武明,無,1,N,
臺北市,北投區,福興里,10,0,5,543,54.9,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,福興里,11,0,1,1,0.1,吳炎成,無,1,N,
臺北市,北投區,福興里,11,0,2,498,50.86,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,福興里,11,0,3,0,0,蕭淑華,無,2,N,
臺北市,北投區,福興里,11,0,4,4,0.4,吳武明,無,1,N,
臺北市,北投區,福興里,11,0,5,476,48.62,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,福興里,12,0,1,2,0.18,吳炎成,無,1,N,
臺北市,北投區,福興里,12,0,2,600,55.76,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,福興里,12,0,3,1,0.09,蕭淑華,無,2,N,
臺北市,北投區,福興里,12,0,4,1,0.09,吳武明,無,1,N,
臺北市,北投區,福興里,12,0,5,472,43.86,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,榮光里,13,0,1,0,0,吳炎成,無,1,N,
臺北市,北投區,榮光里,13,0,2,432,45.28,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,榮光里,13,0,3,0,0,蕭淑華,無,2,N,
臺北市,北投區,榮光里,13,0,4,4,0.41,吳武明,無,1,N,
臺北市,北投區,榮光里,13,0,5,518,54.29,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,榮光里,14,0,1,2,0.2,吳炎成,無,1,N,
臺北市,北投區,榮光里,14,0,2,501,51.22,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,榮光里,14,0,3,1,0.1,蕭淑華,無,2,N,
臺北市,北投區,榮光里,14,0,4,1,0.1,吳武明,無,1,N,
臺北市,北投區,榮光里,14,0,5,473,48.36,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,榮光里,15,0,1,2,0.18,吳炎成,無,1,N,
臺北市,北投區,榮光里,15,0,2,593,53.95,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,榮光里,15,0,3,0,0,蕭淑華,無,2,N,
臺北市,北投區,榮光里,15,0,4,0,0,吳武明,無,1,N,
臺北市,北投區,榮光里,15,0,5,504,45.85,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,榮光里,16,0,1,0,0,吳炎成,無,1,N,
臺北市,北投區,榮光里,16,0,2,606,60.6,郝龍斌,中國國民黨,1,Y,T
臺北市,北投區,榮光里,16,0,3,0,0,蕭淑華,無,2,N,
臺北市,北投區,榮光里,16,0,4,2,0.2,吳武明,無,1,N,
臺北市,北投區,榮光里,16,0,5,392,39.2,蘇貞昌,民主進步黨,1,N,
臺北市,北投區,榮華里,17,0,1,1,0.09,吳炎成,無,1,N,
