CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
全國,,,0,0,3485328,102609,3587937,6257549,3819,2322,3013,806,1795,527,57.34
宜蘭縣,,,0,0,204024,5430,209454,351390,220,131,192,28,115,16,59.61
桃園縣,,,0,0,627086,14850,641936,1442469,334,225,249,85,164,61,44.50
新竹縣,,,0,0,198415,6966,205381,371319,247,144,205,42,115,29,55.31
苗栗縣,,,0,0,265734,7130,272864,426331,320,193,245,75,152,41,64.00
彰化縣,,,0,0,595660,21734,617394,991443,507,317,395,112,238,79,62.27
南投縣,,,0,0,235353,8140,243493,407863,258,163,199,59,120,43,59.70
雲林縣,,,0,0,353774,10131,363905,559625,369,228,308,61,189,39,65.03
嘉義縣,,,0,0,277476,10900,288376,428932,275,193,201,74,141,52,67.23
屏東縣,,,0,0,414803,9124,423927,681325,587,334,485,102,272,62,62.22
臺東縣,,,0,0,104121,3082,107203,178371,247,136,196,51,101,35,60.10
花蓮縣,,,0,0,127557,3157,130714,259947,273,142,202,71,102,40,50.28
澎湖縣,,,0,0,44591,1265,45856,75876,85,51,65,20,36,15,60.44
金門縣,,,0,0,31549,605,32154,74843,65,43,46,19,33,10,42.96
連江縣,,,0,0,5185,95,5280,7815,32,22,25,7,17,5,67.56
宜蘭縣,宜蘭市,,0,0,33154,1144,34298,70525,26,16,22,4,14,2,48.63
宜蘭縣,羅東鎮,,0,0,22768,601,23369,52526,24,13,18,6,11,2,44.49
宜蘭縣,蘇澳鎮,,0,0,22398,357,22755,34201,19,11,14,5,7,4,66.53
宜蘭縣,頭城鎮,,0,0,17807,323,18130,24175,18,11,16,2,10,1,74.99
宜蘭縣,礁溪鄉,,0,0,19337,384,19721,28020,16,11,13,3,9,2,70.38
宜蘭縣,壯圍鄉,,0,0,13789,958,14747,19675,16,11,16,0,11,0,74.95
宜蘭縣,員山鄉,,0,0,15278,315,15593,25260,19,11,18,1,11,0,61.73
宜蘭縣,冬山鄉,,0,0,22502,609,23111,40435,17,11,15,2,10,1,57.16
宜蘭縣,五結鄉,,0,0,18904,339,19243,30636,21,11,19,2,9,2,62.81
宜蘭縣,三星鄉,,0,0,10812,339,11151,17297,15,11,14,1,10,1,64.47
宜蘭縣,大同鄉,,0,0,3707,39,3746,4407,13,7,13,0,7,0,85.00
宜蘭縣,南澳鄉,,0,0,3568,22,3590,4233,16,7,14,2,6,1,84.81
桃園縣,桃園市,,0,0,94370,1799,96169,288428,40,27,26,14,18,9,33.34
桃園縣,龜山鄉,,0,0,39866,999,40865,101053,22,18,16,6,13,5,40.44
桃園縣,八德市,,0,0,60683,1712,62395,130750,26,19,15,11,9,10,47.72
桃園縣,蘆竹鄉,,0,0,42604,607,43211,96898,28,18,20,8,14,4,44.59
桃園縣,大園鄉,,0,0,35109,656,35765,58953,22,13,19,3,11,2,60.67
桃園縣,大溪鎮,,0,0,36169,644,36813,67674,24,16,18,6,11,5,54.40
桃園縣,復興鄉,,0,0,5968,98,6066,8057,21,11,18,3,9,2,75.29
桃園縣,中壢市,,0,0,112784,2158,114942,269127,39,27,28,11,20,7,42.71
桃園縣,平鎮市,,0,0,63287,1524,64811,149779,29,20,22,7,15,5,43.27
桃園縣,楊梅鎮,,0,0,51704,1203,52907,106671,30,18,22,8,13,5,49.60
