CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
嘉義縣,,,0,2,1,57451,67.92,陳明文,民主進步黨,1,N,T
嘉義縣,,,0,2,2,27138,32.08,林德瑞,中國國民黨,1,N,
嘉義縣,溪口鄉,,0,2,1,4441,79.57,陳明文,民主進步黨,1,N,T
嘉義縣,大林鎮,,0,2,1,7157,65.18,陳明文,民主進步黨,1,N,T
嘉義縣,梅山鄉,,0,2,1,4530,65.28,陳明文,民主進步黨,1,N,T
嘉義縣,新港鄉,,0,2,1,7933,78.20,陳明文,民主進步黨,1,N,T
嘉義縣,民雄鄉,,0,2,1,13537,62.31,陳明文,民主進步黨,1,N,T
嘉義縣,竹崎鄉,,0,2,1,8078,70.50,陳明文,民主進步黨,1,N,T
嘉義縣,中埔鄉,,0,2,1,8465,66.87,陳明文,民主進步黨,1,N,T
嘉義縣,番路鄉,,0,2,1,2362,67.95,陳明文,民主進步黨,1,N,T
嘉義縣,阿里山鄉,,0,2,1,376,61.74,陳明文,民主進步黨,1,N,T
嘉義縣,大埔鄉,,0,2,1,572,56.13,陳明文,民主進步黨,1,N,T
嘉義縣,溪口鄉,,0,2,2,1140,20.43,林德瑞,中國國民黨,1,N,
嘉義縣,大林鎮,,0,2,2,3823,34.82,林德瑞,中國國民黨,1,N,
嘉義縣,梅山鄉,,0,2,2,2409,34.72,林德瑞,中國國民黨,1,N,
嘉義縣,新港鄉,,0,2,2,2211,21.80,林德瑞,中國國民黨,1,N,
嘉義縣,民雄鄉,,0,2,2,8187,37.69,林德瑞,中國國民黨,1,N,
嘉義縣,竹崎鄉,,0,2,2,3380,29.50,林德瑞,中國國民黨,1,N,
嘉義縣,中埔鄉,,0,2,2,4194,33.13,林德瑞,中國國民黨,1,N,
嘉義縣,番路鄉,,0,2,2,1114,32.05,林德瑞,中國國民黨,1,N,
嘉義縣,阿里山鄉,,0,2,2,233,38.26,林德瑞,中國國民黨,1,N,
嘉義縣,大埔鄉,,0,2,2,447,43.87,林德瑞,中國國民黨,1,N,
嘉義縣,溪口鄉,溪東村,0,2,1,432,72.48,陳明文,民主進步黨,1,N,T
嘉義縣,溪口鄉,溪西村,0,2,1,226,71.29,陳明文,民主進步黨,1,N,T
嘉義縣,溪口鄉,溪北村,0,2,1,233,82.62,陳明文,民主進步黨,1,N,T
嘉義縣,溪口鄉,柴林村,0,2,1,278,83.23,陳明文,民主進步黨,1,N,T
嘉義縣,溪口鄉,林腳村,0,2,1,313,89.68,陳明文,民主進步黨,1,N,T
嘉義縣,溪口鄉,美南村,0,2,1,375,85.03,陳明文,民主進步黨,1,N,T
嘉義縣,溪口鄉,美北村,0,2,1,314,77.15,陳明文,民主進步黨,1,N,T
嘉義縣,溪口鄉,本厝村,0,2,1,296,76.09,陳明文,民主進步黨,1,N,T
嘉義縣,溪口鄉,游東村,0,2,1,355,86.37,陳明文,民主進步黨,1,N,T
