CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
桃園縣,,,0,3,1,42600,44.37,陳學聖,中國國民黨,1,N,
桃園縣,,,0,3,2,4424,4.61,吳餘東,無,1,N,
桃園縣,,,0,3,3,45363,47.25,黃仁杼,民主進步黨,1,N,T
桃園縣,,,0,3,4,3617,3.77,林香美,無,2,N,
桃園縣,中壢市,,0,3,1,42600,44.37,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,,0,3,2,4424,4.61,吳餘東,無,1,N,
桃園縣,中壢市,,0,3,3,45363,47.25,黃仁杼,民主進步黨,1,N,T
桃園縣,中壢市,,0,3,4,3617,3.77,林香美,無,2,N,
桃園縣,中壢市,石頭里,0,3,1,233,33.48,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,青埔里,0,3,1,186,29.67,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,華愛里,0,3,1,609,60.96,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,龍昌里,0,3,1,1091,56.65,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,三民里,0,3,1,260,21.36,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,光明里,0,3,1,868,45.52,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,信義里,0,3,1,652,42.09,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,新明里,0,3,1,509,34.72,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,龍東里,0,3,1,1390,78.00,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,山東里,0,3,1,232,14.86,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,仁義里,0,3,1,394,34.77,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,成功里,0,3,1,682,50.33,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,後寮里,0,3,1,526,40.31,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,新街里,0,3,1,304,40.81,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,龍德里,0,3,1,704,54.15,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,仁福里,0,3,1,844,58.73,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,自立里,0,3,1,2044,92.07,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,自信里,0,3,1,756,63.32,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,洽溪里,0,3,1,131,18.50,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,新興里,0,3,1,561,43.79,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,林森里,0,3,1,544,43.98,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,龍興里,0,3,1,597,41.69,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,中央里,0,3,1,604,41.80,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,自治里,0,3,1,1139,82.90,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,振興里,0,3,1,713,42.16,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,過嶺里,0,3,1,314,25.78,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,舊明里,0,3,1,227,31.05,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,內定里,0,3,1,517,25.44,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,健行里,0,3,1,689,43.25,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,福德里,0,3,1,485,45.67,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,中建里,0,3,1,143,31.85,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,內厝里,0,3,1,379,22.35,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,龍慈里,0,3,1,570,54.86,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,至善里,0,3,1,555,61.74,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,莊敬里,0,3,1,1132,83.24,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,德義里,0,3,1,401,38.52,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,中原里,0,3,1,653,42.29,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,內壢里,0,3,1,518,57.81,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,和平里,0,3,1,543,50.70,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,復華里,0,3,1,800,49.41,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,文化里,0,3,1,1084,41.34,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,幸福里,0,3,1,677,36.61,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,復興里,0,3,1,1009,47.00,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,中榮里,0,3,1,136,35.79,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,月眉里,0,3,1,227,12.24,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,忠孝里,0,3,1,632,51.34,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,普仁里,0,3,1,548,40.68,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,興和里,0,3,1,330,27.07,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,中壢里,0,3,1,140,38.25,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,水尾里,0,3,1,422,30.45,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,金華里,0,3,1,640,63.30,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,忠義里,0,3,1,321,38.63,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,普忠里,0,3,1,508,44.52,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,興南里,0,3,1,411,43.17,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,五福里,0,3,1,441,34.03,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,正義里,0,3,1,664,41.09,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,忠福里,0,3,1,952,39.52,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,普強里,0,3,1,605,45.94,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,興國里,0,3,1,270,34.35,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,五權里,0,3,1,588,32.03,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,永光里,0,3,1,631,40.66,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,明德里,0,3,1,638,40.23,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,普義里,0,3,1,522,49.71,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,龍平里,0,3,1,988,77.49,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,永福里,0,3,1,676,33.82,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,東興里,0,3,1,363,33.00,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,普慶里,0,3,1,491,44.84,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,仁美里,0,3,1,908,54.08,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,永興里,0,3,1,167,39.39,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,芝芭里,0,3,1,172,16.29,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,龍岡里,0,3,1,1100,61.45,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,中興里,0,3,1,526,60.11,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,興平里,0,3,1,314,28.83,陳學聖,中國國民黨,1,N,
桃園縣,中壢市,石頭里,0,3,2,23,3.30,吳餘東,無,1,N,
桃園縣,中壢市,青埔里,0,3,2,25,3.99,吳餘東,無,1,N,
桃園縣,中壢市,華愛里,0,3,2,92,9.21,吳餘東,無,1,N,
桃園縣,中壢市,龍昌里,0,3,2,77,4.00,吳餘東,無,1,N,
桃園縣,中壢市,三民里,0,3,2,87,7.15,吳餘東,無,1,N,
桃園縣,中壢市,光明里,0,3,2,66,3.46,吳餘東,無,1,N,
桃園縣,中壢市,信義里,0,3,2,65,4.20,吳餘東,無,1,N,
桃園縣,中壢市,新明里,0,3,2,44,3.00,吳餘東,無,1,N,
桃園縣,中壢市,龍東里,0,3,2,48,2.69,吳餘東,無,1,N,
桃園縣,中壢市,山東里,0,3,2,192,12.30,吳餘東,無,1,N,
桃園縣,中壢市,仁義里,0,3,2,32,2.82,吳餘東,無,1,N,
桃園縣,中壢市,成功里,0,3,2,27,1.99,吳餘東,無,1,N,
桃園縣,中壢市,後寮里,0,3,2,186,14.25,吳餘東,無,1,N,
桃園縣,中壢市,新街里,0,3,2,32,4.30,吳餘東,無,1,N,
桃園縣,中壢市,龍德里,0,3,2,40,3.08,吳餘東,無,1,N,
桃園縣,中壢市,仁福里,0,3,2,72,5.01,吳餘東,無,1,N,
桃園縣,中壢市,自立里,0,3,2,36,1.62,吳餘東,無,1,N,
桃園縣,中壢市,自信里,0,3,2,58,4.86,吳餘東,無,1,N,
桃園縣,中壢市,洽溪里,0,3,2,24,3.39,吳餘東,無,1,N,
桃園縣,中壢市,新興里,0,3,2,40,3.12,吳餘東,無,1,N,
桃園縣,中壢市,林森里,0,3,2,38,3.07,吳餘東,無,1,N,
桃園縣,中壢市,龍興里,0,3,2,99,6.91,吳餘東,無,1,N,
桃園縣,中壢市,中央里,0,3,2,50,3.46,吳餘東,無,1,N,
桃園縣,中壢市,自治里,0,3,2,29,2.11,吳餘東,無,1,N,
桃園縣,中壢市,振興里,0,3,2,76,4.49,吳餘東,無,1,N,
桃園縣,中壢市,過嶺里,0,3,2,23,1.89,吳餘東,無,1,N,
桃園縣,中壢市,舊明里,0,3,2,26,3.56,吳餘東,無,1,N,
桃園縣,中壢市,內定里,0,3,2,90,4.43,吳餘東,無,1,N,
桃園縣,中壢市,健行里,0,3,2,45,2.82,吳餘東,無,1,N,
桃園縣,中壢市,福德里,0,3,2,55,5.18,吳餘東,無,1,N,
桃園縣,中壢市,中建里,0,3,2,12,2.67,吳餘東,無,1,N,
桃園縣,中壢市,內厝里,0,3,2,128,7.55,吳餘東,無,1,N,
桃園縣,中壢市,龍慈里,0,3,2,41,3.95,吳餘東,無,1,N,
桃園縣,中壢市,至善里,0,3,2,32,3.56,吳餘東,無,1,N,
桃園縣,中壢市,莊敬里,0,3,2,29,2.13,吳餘東,無,1,N,
