CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
桃園縣,,,0,0,96004,445,96449,233116,4,1,3,1,1,0,41.37
桃園縣,中壢市,,0,3,96004,445,96449,233116,4,1,3,1,1,0,41.37
桃園縣,中壢市,石頭里,0,3,696,2,698,1664,4,1,3,1,1,0,41.95
桃園縣,中壢市,青埔里,0,3,627,2,629,1355,4,1,3,1,1,0,46.42
桃園縣,中壢市,華愛里,0,3,999,3,1002,2704,4,1,3,1,1,0,37.06
桃園縣,中壢市,龍昌里,0,3,1926,12,1938,4720,4,1,3,1,1,0,41.06
桃園縣,中壢市,三民里,0,3,1217,7,1224,2812,4,1,3,1,1,0,43.53
桃園縣,中壢市,光明里,0,3,1907,10,1917,4672,4,1,3,1,1,0,41.03
桃園縣,中壢市,信義里,0,3,1549,6,1555,3629,4,1,3,1,1,0,42.85
桃園縣,中壢市,新明里,0,3,1466,5,1471,3530,4,1,3,1,1,0,41.67
桃園縣,中壢市,龍東里,0,3,1782,16,1798,4058,4,1,3,1,1,0,44.31
桃園縣,中壢市,山東里,0,3,1561,15,1576,3106,4,1,3,1,1,0,50.74
桃園縣,中壢市,仁義里,0,3,1133,2,1135,2690,4,1,3,1,1,0,42.19
桃園縣,中壢市,成功里,0,3,1355,6,1361,3443,4,1,3,1,1,0,39.53
桃園縣,中壢市,後寮里,0,3,1305,3,1308,3689,4,1,3,1,1,0,35.46
桃園縣,中壢市,新街里,0,3,745,3,748,1930,4,1,3,1,1,0,38.76
桃園縣,中壢市,龍德里,0,3,1300,3,1303,3158,4,1,3,1,1,0,41.26
桃園縣,中壢市,仁福里,0,3,1437,9,1446,3940,4,1,3,1,1,0,36.70
桃園縣,中壢市,自立里,0,3,2220,10,2230,4577,4,1,3,1,1,0,48.72
桃園縣,中壢市,自信里,0,3,1194,6,1200,3787,4,1,3,1,1,0,31.69
桃園縣,中壢市,洽溪里,0,3,708,5,713,1512,4,1,3,1,1,0,47.16
桃園縣,中壢市,新興里,0,3,1281,6,1287,3294,4,1,3,1,1,0,39.07
桃園縣,中壢市,林森里,0,3,1237,3,1240,3151,4,1,3,1,1,0,39.35
桃園縣,中壢市,龍興里,0,3,1432,8,1440,3374,4,1,3,1,1,0,42.68
桃園縣,中壢市,中央里,0,3,1445,3,1448,3158,4,1,3,1,1,0,45.85
桃園縣,中壢市,自治里,0,3,1374,12,1386,2910,4,1,3,1,1,0,47.63
桃園縣,中壢市,振興里,0,3,1691,6,1697,4127,4,1,3,1,1,0,41.12
桃園縣,中壢市,過嶺里,0,3,1218,5,1223,2816,4,1,3,1,1,0,43.43
桃園縣,中壢市,舊明里,0,3,731,4,735,1521,4,1,3,1,1,0,48.32
桃園縣,中壢市,內定里,0,3,2032,5,2037,4985,4,1,3,1,1,0,40.86
桃園縣,中壢市,健行里,0,3,1593,10,1603,4002,4,1,3,1,1,0,40.05
桃園縣,中壢市,福德里,0,3,1062,8,1070,2372,4,1,3,1,1,0,45.11
桃園縣,中壢市,中建里,0,3,449,1,450,1042,4,1,3,1,1,0,43.19
桃園縣,中壢市,內厝里,0,3,1696,7,1703,3781,4,1,3,1,1,0,45.04
桃園縣,中壢市,龍慈里,0,3,1039,3,1042,3264,4,1,3,1,1,0,31.92
桃園縣,中壢市,至善里,0,3,899,4,903,2929,4,1,3,1,1,0,30.83
桃園縣,中壢市,莊敬里,0,3,1360,4,1364,2871,4,1,3,1,1,0,47.51
桃園縣,中壢市,德義里,0,3,1041,7,1048,2515,4,1,3,1,1,0,41.67
桃園縣,中壢市,中原里,0,3,1544,10,1554,3469,4,1,3,1,1,0,44.80
桃園縣,中壢市,內壢里,0,3,896,6,902,2085,4,1,3,1,1,0,43.26
桃園縣,中壢市,和平里,0,3,1071,3,1074,2323,4,1,3,1,1,0,46.23
