CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
臺中縣,,,0,0,115111,984,116095,257460,2,1,2,0,1,0,45.09
臺中縣,大里市,,0,3,56240,429,56669,130800,2,1,2,0,1,0,43.32
臺中縣,太平市,,0,3,58871,555,59426,126660,2,1,2,0,1,0,46.92
臺中縣,大里市,大里里,0,3,1550,12,1562,3209,2,1,2,0,1,0,48.68
臺中縣,大里市,新里里,0,3,3134,20,3154,7636,2,1,2,0,1,0,41.30
臺中縣,大里市,國光里,0,3,1929,16,1945,4567,2,1,2,0,1,0,42.59
臺中縣,大里市,樹王里,0,3,1488,19,1507,2942,2,1,2,0,1,0,51.22
臺中縣,大里市,祥興里,0,3,2256,12,2268,5763,2,1,2,0,1,0,39.35
臺中縣,大里市,內新里,0,3,2495,22,2517,6466,2,1,2,0,1,0,38.93
臺中縣,大里市,中新里,0,3,1597,14,1611,3836,2,1,2,0,1,0,42.00
臺中縣,大里市,東昇里,0,3,1270,8,1278,2861,2,1,2,0,1,0,44.67
臺中縣,大里市,大元里,0,3,1806,10,1816,3646,2,1,2,0,1,0,49.81
臺中縣,大里市,夏田里,0,3,528,10,538,945,2,1,2,0,1,0,56.93
臺中縣,大里市,仁化里,0,3,2853,15,2868,7051,2,1,2,0,1,0,40.68
臺中縣,大里市,仁德里,0,3,2253,11,2264,5146,2,1,2,0,1,0,44.00
臺中縣,大里市,健民里,0,3,1919,13,1932,3967,2,1,2,0,1,0,48.70
臺中縣,大里市,塗城里,0,3,3110,26,3136,7253,2,1,2,0,1,0,43.24
臺中縣,大里市,東興里,0,3,2805,29,2834,6149,2,1,2,0,1,0,46.09
臺中縣,大里市,大明里,0,3,1531,13,1544,3653,2,1,2,0,1,0,42.27
臺中縣,大里市,永隆里,0,3,2550,12,2562,6046,2,1,2,0,1,0,42.38
臺中縣,大里市,日新里,0,3,1666,12,1678,3480,2,1,2,0,1,0,48.22
臺中縣,大里市,西榮里,0,3,1916,23,1939,4738,2,1,2,0,1,0,40.92
臺中縣,大里市,長榮里,0,3,2769,10,2779,6906,2,1,2,0,1,0,40.24
臺中縣,大里市,金城里,0,3,3440,24,3464,8421,2,1,2,0,1,0,41.14
臺中縣,大里市,立仁里,0,3,1764,12,1776,4174,2,1,2,0,1,0,42.55
臺中縣,大里市,立德里,0,3,2432,20,2452,5626,2,1,2,0,1,0,43.58
臺中縣,大里市,新仁里,0,3,3070,27,3097,6443,2,1,2,0,1,0,48.07
臺中縣,大里市,瑞城里,0,3,4109,39,4148,9876,2,1,2,0,1,0,42.00
臺中縣,太平市,太平里,0,3,2926,22,2948,5289,2,1,2,0,1,0,55.74
臺中縣,太平市,長億里,0,3,2071,18,2089,4444,2,1,2,0,1,0,47.01
臺中縣,太平市,永成里,0,3,2366,28,2394,4918,2,1,2,0,1,0,48.68
臺中縣,太平市,中平里,0,3,1618,20,1638,3380,2,1,2,0,1,0,48.46
臺中縣,太平市,中政里,0,3,1466,20,1486,3209,2,1,2,0,1,0,46.31
臺中縣,太平市,平安里,0,3,1035,16,1051,2045,2,1,2,0,1,0,51.39
臺中縣,太平市,中興里,0,3,1582,15,1597,3016,2,1,2,0,1,0,52.95
臺中縣,太平市,永平里,0,3,1598,14,1612,3335,2,1,2,0,1,0,48.34
臺中縣,太平市,東平里,0,3,1603,16,1619,3281,2,1,2,0,1,0,49.34
臺中縣,太平市,成功里,0,3,1472,9,1481,3042,2,1,2,0,1,0,48.69
臺中縣,太平市,東和里,0,3,978,11,989,2061,2,1,2,0,1,0,47.99
臺中縣,太平市,建國里,0,3,1340,12,1352,2675,2,1,2,0,1,0,50.54
臺中縣,太平市,建興里,0,3,1116,9,1125,2597,2,1,2,0,1,0,43.32
臺中縣,太平市,坪林里,0,3,1501,15,1516,3017,2,1,2,0,1,0,50.25
臺中縣,太平市,大興里,0,3,1011,6,1017,2090,2,1,2,0,1,0,48.66
臺中縣,太平市,勤益里,0,3,979,9,988,2039,2,1,2,0,1,0,48.46
臺中縣,太平市,光華里,0,3,2070,17,2087,4268,2,1,2,0,1,0,48.90
臺中縣,太平市,光明里,0,3,1367,13,1380,3160,2,1,2,0,1,0,43.67
臺中縣,太平市,中山里,0,3,1300,21,1321,3195,2,1,2,0,1,0,41.35
臺中縣,太平市,豐年里,0,3,1876,18,1894,3848,2,1,2,0,1,0,49.22
臺中縣,太平市,宜欣里,0,3,2342,20,2362,5274,2,1,2,0,1,0,44.79
臺中縣,太平市,宜佳里,0,3,1859,16,1875,4911,2,1,2,0,1,0,38.18
臺中縣,太平市,宜昌里,0,3,1377,5,1382,3195,2,1,2,0,1,0,43.26
臺中縣,太平市,新坪里,0,3,1962,22,1984,5064,2,1,2,0,1,0,39.18
臺中縣,太平市,新吉里,0,3,1942,19,1961,4284,2,1,2,0,1,0,45.77
臺中縣,太平市,新城里,0,3,1407,5,1412,3899,2,1,2,0,1,0,36.21
臺中縣,太平市,新光里,0,3,2638,26,2664,5872,2,1,2,0,1,0,45.37
臺中縣,太平市,新興里,0,3,861,5,866,1835,2,1,2,0,1,0,47.19
臺中縣,太平市,新高里,0,3,1365,16,1381,3040,2,1,2,0,1,0,45.43
臺中縣,太平市,新福里,0,3,1814,19,1833,4347,2,1,2,0,1,0,42.17
臺中縣,太平市,頭汴里,0,3,974,10,984,1827,2,1,2,0,1,0,53.86
臺中縣,太平市,聖和里,0,3,730,5,735,1460,2,1,2,0,1,0,50.34
臺中縣,太平市,東汴里,0,3,623,9,632,1153,2,1,2,0,1,0,54.81
臺中縣,太平市,興隆里,0,3,1459,20,1479,2976,2,1,2,0,1,0,49.70
臺中縣,太平市,福隆里,0,3,1393,11,1404,2847,2,1,2,0,1,0,49.32
臺中縣,太平市,黃竹里,0,3,471,2,473,730,2,1,2,0,1,0,64.79
臺中縣,太平市,光隆里,0,3,1441,10,1451,2759,2,1,2,0,1,0,52.59
臺中縣,太平市,永隆里,0,3,1103,12,1115,2246,2,1,2,0,1,0,49.64
臺中縣,太平市,德隆里,0,3,1835,14,1849,4032,2,1,2,0,1,0,45.86
臺中縣,大里市,大里里,1,3,443,5,448,1339,2,1,2,0,1,0,49.47
臺中縣,大里市,大里里,2,3,369,1,370,1410,2,1,2,0,1,0,47.95
臺中縣,大里市,新里里,3,3,345,1,346,1096,2,1,2,0,1,0,36.15
臺中縣,大里市,新里里,4,3,389,3,392,1127,2,1,2,0,1,0,45.01
臺中縣,大里市,新里里,5,3,318,1,319,978,2,1,2,0,1,0,42.12
臺中縣,大里市,新里里,6,3,318,2,320,1307,2,1,2,0,1,0,42.22
臺中縣,大里市,國光里,7,3,459,1,460,1239,2,1,2,0,1,0,44.50
臺中縣,大里市,國光里,8,3,439,1,440,1141,2,1,2,0,1,0,42.97
臺中縣,大里市,國光里,9,3,333,1,334,1098,2,1,2,0,1,0,40.27
臺中縣,大里市,樹王里,10,3,395,4,399,1118,2,1,2,0,1,0,53.01
臺中縣,大里市,樹王里,11,3,370,2,372,1177,2,1,2,0,1,0,49.54
臺中縣,大里市,祥興里,12,3,239,1,240,750,2,1,2,0,1,0,40.99
臺中縣,大里市,祥興里,13,3,512,2,514,1605,2,1,2,0,1,0,41.64
臺中縣,大里市,祥興里,14,3,503,4,507,1431,2,1,2,0,1,0,34.82
臺中縣,大里市,祥興里,15,3,552,4,556,1639,2,1,2,0,1,0,35.67
