CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺東縣,,,0,0,1,2482,5.29,洪銘堅,無,1,N,
臺東縣,,,0,0,2,23190,49.46,賴坤成,民主進步黨,1,N,
臺東縣,,,0,0,3,21215,45.25,鄺麗貞,中國國民黨,2,N,T
臺東縣,臺東市,,0,0,1,1678,6.18,洪銘堅,無,1,N,
臺東縣,成功鎮,,0,0,1,81,3.23,洪銘堅,無,1,N,
臺東縣,關山鎮,,0,0,1,91,3.92,洪銘堅,無,1,N,
臺東縣,卑南鄉,,0,0,1,184,4.59,洪銘堅,無,1,N,
臺東縣,鹿野鄉,,0,0,1,79,3.65,洪銘堅,無,1,N,
臺東縣,池上鄉,,0,0,1,81,4.05,洪銘堅,無,1,N,
臺東縣,東河鄉,,0,0,1,56,3.87,洪銘堅,無,1,N,
臺東縣,長濱鄉,,0,0,1,38,3.90,洪銘堅,無,1,N,
臺東縣,太麻里鄉,,0,0,1,120,5.17,洪銘堅,無,1,N,
臺東縣,大武鄉,,0,0,1,26,2.79,洪銘堅,無,1,N,
臺東縣,綠島鄉,,0,0,1,20,3.01,洪銘堅,無,1,N,
臺東縣,海端鄉,,0,0,1,2,2.99,洪銘堅,無,1,N,
臺東縣,延平鄉,,0,0,1,3,3.85,洪銘堅,無,1,N,
臺東縣,金峰鄉,,0,0,1,5,11.90,洪銘堅,無,1,N,
臺東縣,達仁鄉,,0,0,1,4,4.08,洪銘堅,無,1,N,
臺東縣,蘭嶼鄉,,0,0,1,14,14.74,洪銘堅,無,1,N,
臺東縣,臺東市,,0,0,2,14151,52.09,賴坤成,民主進步黨,1,N,
臺東縣,成功鎮,,0,0,2,886,35.33,賴坤成,民主進步黨,1,N,
臺東縣,關山鎮,,0,0,2,1025,44.18,賴坤成,民主進步黨,1,N,
臺東縣,卑南鄉,,0,0,2,2179,54.39,賴坤成,民主進步黨,1,N,
臺東縣,鹿野鄉,,0,0,2,1137,52.49,賴坤成,民主進步黨,1,N,
臺東縣,池上鄉,,0,0,2,981,49.07,賴坤成,民主進步黨,1,N,
臺東縣,東河鄉,,0,0,2,626,43.23,賴坤成,民主進步黨,1,N,
臺東縣,長濱鄉,,0,0,2,347,35.63,賴坤成,民主進步黨,1,N,
臺東縣,太麻里鄉,,0,0,2,1205,51.89,賴坤成,民主進步黨,1,N,
臺東縣,大武鄉,,0,0,2,360,38.59,賴坤成,民主進步黨,1,N,
臺東縣,綠島鄉,,0,0,2,189,28.42,賴坤成,民主進步黨,1,N,
臺東縣,海端鄉,,0,0,2,16,23.88,賴坤成,民主進步黨,1,N,
臺東縣,延平鄉,,0,0,2,27,34.62,賴坤成,民主進步黨,1,N,
臺東縣,金峰鄉,,0,0,2,3,7.14,賴坤成,民主進步黨,1,N,
臺東縣,達仁鄉,,0,0,2,19,19.39,賴坤成,民主進步黨,1,N,
臺東縣,蘭嶼鄉,,0,0,2,39,41.05,賴坤成,民主進步黨,1,N,
臺東縣,臺東市,,0,0,3,11337,41.73,鄺麗貞,中國國民黨,2,N,T
臺東縣,成功鎮,,0,0,3,1541,61.44,鄺麗貞,中國國民黨,2,N,T
臺東縣,關山鎮,,0,0,3,1204,51.90,鄺麗貞,中國國民黨,2,N,T
臺東縣,卑南鄉,,0,0,3,1643,41.01,鄺麗貞,中國國民黨,2,N,T
臺東縣,鹿野鄉,,0,0,3,950,43.86,鄺麗貞,中國國民黨,2,N,T
臺東縣,池上鄉,,0,0,3,937,46.87,鄺麗貞,中國國民黨,2,N,T
臺東縣,東河鄉,,0,0,3,766,52.90,鄺麗貞,中國國民黨,2,N,T
臺東縣,長濱鄉,,0,0,3,589,60.47,鄺麗貞,中國國民黨,2,N,T
臺東縣,太麻里鄉,,0,0,3,997,42.94,鄺麗貞,中國國民黨,2,N,T
臺東縣,大武鄉,,0,0,3,547,58.63,鄺麗貞,中國國民黨,2,N,T
臺東縣,綠島鄉,,0,0,3,456,68.57,鄺麗貞,中國國民黨,2,N,T
臺東縣,海端鄉,,0,0,3,49,73.13,鄺麗貞,中國國民黨,2,N,T
臺東縣,延平鄉,,0,0,3,48,61.54,鄺麗貞,中國國民黨,2,N,T
臺東縣,金峰鄉,,0,0,3,34,80.95,鄺麗貞,中國國民黨,2,N,T
臺東縣,達仁鄉,,0,0,3,75,76.53,鄺麗貞,中國國民黨,2,N,T
臺東縣,蘭嶼鄉,,0,0,3,42,44.21,鄺麗貞,中國國民黨,2,N,T
臺東縣,臺東市,文化里,0,0,1,33,10.96,洪銘堅,無,1,N,
臺東縣,臺東市,民族里,0,0,1,40,6.13,洪銘堅,無,1,N,
臺東縣,臺東市,自強里,0,0,1,100,6.69,洪銘堅,無,1,N,
臺東縣,臺東市,民生里,0,0,1,67,5.66,洪銘堅,無,1,N,
臺東縣,臺東市,寶桑里,0,0,1,16,5.23,洪銘堅,無,1,N,
臺東縣,臺東市,民權里,0,0,1,28,7.91,洪銘堅,無,1,N,
臺東縣,臺東市,四維里,0,0,1,9,6.57,洪銘堅,無,1,N,
臺東縣,臺東市,中華里,0,0,1,29,4.76,洪銘堅,無,1,N,
臺東縣,臺東市,仁愛里,0,0,1,28,8.33,洪銘堅,無,1,N,
臺東縣,臺東市,強國里,0,0,1,25,9.06,洪銘堅,無,1,N,
