CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
臺東縣,,,0,0,46887,347,47234,119762,3,1,2,1,1,0,39.44
臺東縣,臺東市,,0,0,27166,205,27371,67634,3,1,2,1,1,0,40.47
臺東縣,成功鎮,,0,0,2508,18,2526,6061,3,1,2,1,1,0,41.68
臺東縣,關山鎮,,0,0,2320,18,2338,5868,3,1,2,1,1,0,39.84
臺東縣,卑南鄉,,0,0,4006,37,4043,10189,3,1,2,1,1,0,39.68
臺東縣,鹿野鄉,,0,0,2166,14,2180,5189,3,1,2,1,1,0,42.01
臺東縣,池上鄉,,0,0,1999,11,2010,5738,3,1,2,1,1,0,35.03
臺東縣,東河鄉,,0,0,1448,10,1458,3827,3,1,2,1,1,0,38.10
臺東縣,長濱鄉,,0,0,974,5,979,2769,3,1,2,1,1,0,35.36
臺東縣,太麻里鄉,,0,0,2322,15,2337,5716,3,1,2,1,1,0,40.89
臺東縣,大武鄉,,0,0,933,3,936,2777,3,1,2,1,1,0,33.71
臺東縣,綠島鄉,,0,0,665,10,675,2539,3,1,2,1,1,0,26.59
臺東縣,海端鄉,,0,0,67,0,67,234,3,1,2,1,1,0,28.63
臺東縣,延平鄉,,0,0,78,0,78,276,3,1,2,1,1,0,28.26
臺東縣,金峰鄉,,0,0,42,0,42,128,3,1,2,1,1,0,32.81
臺東縣,達仁鄉,,0,0,98,0,98,364,3,1,2,1,1,0,26.92
臺東縣,蘭嶼鄉,,0,0,95,1,96,453,3,1,2,1,1,0,21.19
臺東縣,臺東市,文化里,0,0,301,2,303,783,3,1,2,1,1,0,38.70
臺東縣,臺東市,民族里,0,0,652,7,659,1353,3,1,2,1,1,0,48.71
臺東縣,臺東市,自強里,0,0,1494,10,1504,3615,3,1,2,1,1,0,41.60
臺東縣,臺東市,民生里,0,0,1184,7,1191,2947,3,1,2,1,1,0,40.41
臺東縣,臺東市,寶桑里,0,0,306,5,311,650,3,1,2,1,1,0,47.85
臺東縣,臺東市,民權里,0,0,354,1,355,866,3,1,2,1,1,0,40.99
臺東縣,臺東市,四維里,0,0,137,0,137,333,3,1,2,1,1,0,41.14
臺東縣,臺東市,中華里,0,0,609,5,614,1534,3,1,2,1,1,0,40.03
臺東縣,臺東市,仁愛里,0,0,336,5,341,712,3,1,2,1,1,0,47.89
臺東縣,臺東市,強國里,0,0,276,3,279,603,3,1,2,1,1,0,46.27
臺東縣,臺東市,大同里,0,0,326,2,328,737,3,1,2,1,1,0,44.50
臺東縣,臺東市,成功里,0,0,350,2,352,794,3,1,2,1,1,0,44.33
臺東縣,臺東市,建國里,0,0,525,4,529,1287,3,1,2,1,1,0,41.10
臺東縣,臺東市,中正里,0,0,377,0,377,846,3,1,2,1,1,0,44.56
臺東縣,臺東市,中山里,0,0,380,1,381,856,3,1,2,1,1,0,44.51
臺東縣,臺東市,興國里,0,0,349,0,349,745,3,1,2,1,1,0,46.85
臺東縣,臺東市,鐵花里,0,0,191,0,191,392,3,1,2,1,1,0,48.72
臺東縣,臺東市,東海里,0,0,1076,4,1080,2704,3,1,2,1,1,0,39.94
臺東縣,臺東市,復國里,0,0,293,5,298,659,3,1,2,1,1,0,45.22
臺東縣,臺東市,復興里,0,0,169,2,171,412,3,1,2,1,1,0,41.50
臺東縣,臺東市,新興里,0,0,404,2,406,998,3,1,2,1,1,0,40.68
臺東縣,臺東市,新生里,0,0,1875,10,1885,5118,3,1,2,1,1,0,36.83
臺東縣,臺東市,中心里,0,0,944,4,948,2388,3,1,2,1,1,0,39.70
臺東縣,臺東市,馬蘭里,0,0,1038,9,1047,2488,3,1,2,1,1,0,42.08
臺東縣,臺東市,光明里,0,0,715,8,723,1788,3,1,2,1,1,0,40.44
臺東縣,臺東市,豐年里,0,0,648,3,651,1658,3,1,2,1,1,0,39.26
臺東縣,臺東市,豐樂里,0,0,386,5,391,1025,3,1,2,1,1,0,38.15
臺東縣,臺東市,永樂里,0,0,542,5,547,1338,3,1,2,1,1,0,40.88
臺東縣,臺東市,康樂里,0,0,470,3,473,1159,3,1,2,1,1,0,40.81
臺東縣,臺東市,豐榮里,0,0,2152,20,2172,6073,3,1,2,1,1,0,35.76
臺東縣,臺東市,豐谷里,0,0,1125,8,1133,3170,3,1,2,1,1,0,35.74
臺東縣,臺東市,豐里里,0,0,680,5,685,1664,3,1,2,1,1,0,41.17
臺東縣,臺東市,豐原里,0,0,428,1,429,1000,3,1,2,1,1,0,42.90
臺東縣,臺東市,富岡里,0,0,432,4,436,1149,3,1,2,1,1,0,37.95
臺東縣,臺東市,富豐里,0,0,141,2,143,456,3,1,2,1,1,0,31.36
臺東縣,臺東市,南榮里,0,0,591,9,600,1429,3,1,2,1,1,0,41.99
臺東縣,臺東市,岩灣里,0,0,525,4,529,1331,3,1,2,1,1,0,39.74
臺東縣,臺東市,卑南里,0,0,1071,16,1087,2283,3,1,2,1,1,0,47.61
臺東縣,臺東市,南王里,0,0,637,4,641,1509,3,1,2,1,1,0,42.48
臺東縣,臺東市,豐田里,0,0,636,3,639,1647,3,1,2,1,1,0,38.80
臺東縣,臺東市,新園里,0,0,356,3,359,845,3,1,2,1,1,0,42.49
臺東縣,臺東市,建和里,0,0,289,4,293,736,3,1,2,1,1,0,39.81
臺東縣,臺東市,建興里,0,0,389,1,390,854,3,1,2,1,1,0,45.67
臺東縣,臺東市,建業里,0,0,308,1,309,728,3,1,2,1,1,0,42.45
臺東縣,臺東市,知本里,0,0,353,0,353,899,3,1,2,1,1,0,39.27
臺東縣,臺東市,建農里,0,0,346,6,352,1073,3,1,2,1,1,0,32.81
臺東縣,成功鎮,信義里,0,0,122,3,125,374,3,1,2,1,1,0,33.42
臺東縣,成功鎮,和平里、忠仁里,0,0,72,0,72,227,3,1,2,1,1,0,31.72
臺東縣,成功鎮,忠仁里,0,0,456,1,457,993,3,1,2,1,1,0,46.02
臺東縣,成功鎮,忠仁里、忠智里,0,0,602,4,606,1355,3,1,2,1,1,0,44.72
臺東縣,成功鎮,忠智里,0,0,463,4,467,1029,3,1,2,1,1,0,45.38
臺東縣,成功鎮,三民里,0,0,466,4,470,1083,3,1,2,1,1,0,43.40
臺東縣,成功鎮,三仙里,0,0,158,1,159,491,3,1,2,1,1,0,32.38
臺東縣,成功鎮,忠孝里,0,0,139,1,140,430,3,1,2,1,1,0,32.56
臺東縣,成功鎮,博愛里,0,0,30,0,30,79,3,1,2,1,1,0,37.97
臺東縣,關山鎮,里壠里,0,0,579,3,582,1503,3,1,2,1,1,0,38.72
臺東縣,關山鎮,中福里,0,0,370,5,375,833,3,1,2,1,1,0,45.02
