CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
花蓮縣,,,0,0,81491,609,82100,197426,3,1,2,1,1,0,41.59
花蓮縣,花蓮市,,0,0,31936,224,32160,74062,3,1,2,1,1,0,43.42
花蓮縣,新城鄉,,0,0,4654,34,4688,11866,3,1,2,1,1,0,39.51
花蓮縣,秀林鄉,,0,0,585,3,588,1537,3,1,2,1,1,0,38.26
花蓮縣,吉安鄉,,0,0,21259,175,21434,52843,3,1,2,1,1,0,40.56
花蓮縣,壽豐鄉,,0,0,4452,32,4484,10847,3,1,2,1,1,0,41.34
花蓮縣,鳳林鎮,,0,0,3743,27,3770,8491,3,1,2,1,1,0,44.40
花蓮縣,光復鄉,,0,0,2627,20,2647,5880,3,1,2,1,1,0,45.02
花蓮縣,豐濱鄉,,0,0,316,1,317,851,3,1,2,1,1,0,37.25
花蓮縣,萬榮鄉,,0,0,95,2,97,279,3,1,2,1,1,0,34.77
花蓮縣,瑞穗鄉,,0,0,2906,22,2928,6665,3,1,2,1,1,0,43.93
花蓮縣,玉里鎮,,0,0,5652,45,5697,15578,3,1,2,1,1,0,36.57
花蓮縣,富里鄉,,0,0,3163,23,3186,8236,3,1,2,1,1,0,38.68
花蓮縣,卓溪鄉,,0,0,103,1,104,291,3,1,2,1,1,0,35.74
花蓮縣,花蓮市,民德里,0,0,583,4,587,1236,3,1,2,1,1,0,47.49
花蓮縣,花蓮市,民勤里,0,0,1154,10,1164,2607,3,1,2,1,1,0,44.65
花蓮縣,花蓮市,民意里,0,0,853,15,868,1933,3,1,2,1,1,0,44.90
花蓮縣,花蓮市,民心里,0,0,294,4,298,749,3,1,2,1,1,0,39.79
花蓮縣,花蓮市,民享里,0,0,824,4,828,2153,3,1,2,1,1,0,38.46
花蓮縣,花蓮市,民孝里,0,0,1103,5,1108,2645,3,1,2,1,1,0,41.89
花蓮縣,花蓮市,民運里,0,0,790,8,798,1774,3,1,2,1,1,0,44.98
花蓮縣,花蓮市,民政里,0,0,1317,8,1325,2971,3,1,2,1,1,0,44.60
花蓮縣,花蓮市,民立里,0,0,571,7,578,1268,3,1,2,1,1,0,45.58
花蓮縣,花蓮市,民樂里,0,0,223,2,225,462,3,1,2,1,1,0,48.70
花蓮縣,花蓮市,民有里,0,0,300,1,301,638,3,1,2,1,1,0,47.18
花蓮縣,花蓮市,民主里、民治里,0,0,267,1,268,601,3,1,2,1,1,0,44.59
花蓮縣,花蓮市,民族里、民權里,0,0,419,2,421,853,3,1,2,1,1,0,49.36
花蓮縣,花蓮市,民生里,0,0,576,4,580,1243,3,1,2,1,1,0,46.66
花蓮縣,花蓮市,主商里,0,0,322,3,325,656,3,1,2,1,1,0,49.54
花蓮縣,花蓮市,主勤里,0,0,492,1,493,988,3,1,2,1,1,0,49.90
花蓮縣,花蓮市,主工里,0,0,297,0,297,628,3,1,2,1,1,0,47.29
花蓮縣,花蓮市,主信里,0,0,292,0,292,615,3,1,2,1,1,0,47.48
花蓮縣,花蓮市,主義里、主睦里,0,0,489,3,492,1031,3,1,2,1,1,0,47.72
花蓮縣,花蓮市,主計里,0,0,336,2,338,785,3,1,2,1,1,0,43.06
花蓮縣,花蓮市,主和里,0,0,1302,14,1316,2875,3,1,2,1,1,0,45.77
花蓮縣,花蓮市,主學里,0,0,767,6,773,1753,3,1,2,1,1,0,44.10
花蓮縣,花蓮市,主農里,0,0,1294,6,1300,2974,3,1,2,1,1,0,43.71
花蓮縣,花蓮市,主安里,0,0,973,2,975,2269,3,1,2,1,1,0,42.97
花蓮縣,花蓮市,主權里,0,0,1828,15,1843,4311,3,1,2,1,1,0,42.75
花蓮縣,花蓮市,主力里,0,0,1106,7,1113,2432,3,1,2,1,1,0,45.76
花蓮縣,花蓮市,國風里,0,0,1336,8,1344,3035,3,1,2,1,1,0,44.28
花蓮縣,花蓮市,國威里,0,0,723,5,728,1813,3,1,2,1,1,0,40.15
花蓮縣,花蓮市,國治里,0,0,417,4,421,976,3,1,2,1,1,0,43.14
花蓮縣,花蓮市,國安里,0,0,223,2,225,467,3,1,2,1,1,0,48.18
花蓮縣,花蓮市,國光里,0,0,527,4,531,1212,3,1,2,1,1,0,43.81
花蓮縣,花蓮市,國防里,0,0,330,2,332,801,3,1,2,1,1,0,41.45
花蓮縣,花蓮市,國華里,0,0,962,2,964,2063,3,1,2,1,1,0,46.73
花蓮縣,花蓮市,國魂里,0,0,806,10,816,1908,3,1,2,1,1,0,42.77
花蓮縣,花蓮市,國聯里,0,0,979,6,985,2289,3,1,2,1,1,0,43.03
花蓮縣,花蓮市,國盛里,0,0,996,4,1000,2735,3,1,2,1,1,0,36.56
花蓮縣,花蓮市,國強里,0,0,585,6,591,1384,3,1,2,1,1,0,42.70
花蓮縣,花蓮市,國富里,0,0,1912,13,1925,4525,3,1,2,1,1,0,42.54
花蓮縣,花蓮市,國裕里,0,0,1442,15,1457,3562,3,1,2,1,1,0,40.90
花蓮縣,花蓮市,國慶里,0,0,354,2,356,817,3,1,2,1,1,0,43.57
花蓮縣,花蓮市,國興里,0,0,1295,5,1300,3152,3,1,2,1,1,0,41.24
花蓮縣,花蓮市,國福里,0,0,277,2,279,873,3,1,2,1,1,0,31.96
花蓮縣,新城鄉,新城村,0,0,520,3,523,1201,3,1,2,1,1,0,43.55
花蓮縣,新城鄉,順安村,0,0,329,2,331,756,3,1,2,1,1,0,43.78
花蓮縣,新城鄉,康樂村,0,0,691,6,697,1845,3,1,2,1,1,0,37.78
花蓮縣,新城鄉,大漢村,0,0,550,3,553,1461,3,1,2,1,1,0,37.85
花蓮縣,新城鄉,北埔村,0,0,906,5,911,2417,3,1,2,1,1,0,37.69
花蓮縣,新城鄉,佳林村,0,0,279,2,281,659,3,1,2,1,1,0,42.64
花蓮縣,新城鄉,嘉里村,0,0,1011,7,1018,2638,3,1,2,1,1,0,38.59
花蓮縣,新城鄉,嘉新村,0,0,368,6,374,889,3,1,2,1,1,0,42.07
花蓮縣,秀林鄉,和平村,0,0,131,1,132,321,3,1,2,1,1,0,41.12
花蓮縣,秀林鄉,崇德村,0,0,125,0,125,309,3,1,2,1,1,0,40.45
花蓮縣,秀林鄉,富世村,0,0,98,1,99,299,3,1,2,1,1,0,33.11
花蓮縣,秀林鄉,秀林村,0,0,31,1,32,97,3,1,2,1,1,0,32.99
花蓮縣,秀林鄉,景美村,0,0,53,0,53,135,3,1,2,1,1,0,39.26
花蓮縣,秀林鄉,佳民村,0,0,44,0,44,125,3,1,2,1,1,0,35.20
花蓮縣,秀林鄉,水源村,0,0,60,0,60,122,3,1,2,1,1,0,49.18
花蓮縣,秀林鄉,銅門村,0,0,23,0,23,70,3,1,2,1,1,0,32.86
花蓮縣,秀林鄉,文蘭村,0,0,20,0,20,59,3,1,2,1,1,0,33.90
花蓮縣,吉安鄉,永安村,0,0,1348,7,1355,3359,3,1,2,1,1,0,40.34
花蓮縣,吉安鄉,太昌村,0,0,994,4,998,2490,3,1,2,1,1,0,40.08
花蓮縣,吉安鄉,慶豐村,0,0,2080,14,2094,5119,3,1,2,1,1,0,40.91
花蓮縣,吉安鄉,吉安村,0,0,1566,12,1578,4045,3,1,2,1,1,0,39.01
花蓮縣,吉安鄉,福興村,0,0,860,6,866,2002,3,1,2,1,1,0,43.26
花蓮縣,吉安鄉,南華村,0,0,514,3,517,1038,3,1,2,1,1,0,49.81
花蓮縣,吉安鄉,干城村,0,0,316,0,316,785,3,1,2,1,1,0,40.25
花蓮縣,吉安鄉,永興村,0,0,758,3,761,2005,3,1,2,1,1,0,37.96
花蓮縣,吉安鄉,稻香村,0,0,1069,14,1083,2594,3,1,2,1,1,0,41.75
花蓮縣,吉安鄉,南昌村,0,0,950,8,958,2433,3,1,2,1,1,0,39.38
花蓮縣,吉安鄉,宜昌村,0,0,1203,9,1212,2853,3,1,2,1,1,0,42.48
