CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
臺南市,,,0,0,80009,375,80384,291588,3,1,2,1,1,0,27.57
臺南市,安平區,,0,4,10732,44,10776,46186,3,1,2,1,1,0,23.33
臺南市,南區,,0,4,30278,155,30433,102221,3,1,2,1,1,0,29.77
臺南市,東區,,0,4,38999,176,39175,143181,3,1,2,1,1,0,27.36
臺南市,安平區,文平里,0,4,1053,5,1058,4098,3,1,2,1,1,0,38.76
臺南市,安平區,平安里,0,4,910,3,913,3206,3,1,2,1,1,0,38.93
臺南市,安平區,平通里,0,4,1157,6,1163,5835,3,1,2,1,1,0,34.91
臺南市,安平區,石門里,0,4,555,2,557,1996,3,1,2,1,1,0,41.20
臺南市,安平區,西門里,0,4,383,1,384,1354,3,1,2,1,1,0,38.05
臺南市,安平區,育平里,0,4,1232,1,1233,6126,3,1,2,1,1,0,41.01
臺南市,安平區,怡平里,0,4,646,2,648,3333,3,1,2,1,1,0,43.11
臺南市,安平區,金城里,0,4,476,4,480,1737,3,1,2,1,1,0,35.69
臺南市,安平區,建平里,0,4,796,6,802,3737,3,1,2,1,1,0,40.19
臺南市,安平區,海頭里,0,4,427,2,429,1468,3,1,2,1,1,0,41.14
臺南市,安平區,國平里,0,4,1116,3,1119,5277,3,1,2,1,1,0,38.35
臺南市,南區,港仔里,0,4,357,4,361,1298,3,1,2,1,1,0,37.28
臺南市,南區,華平里,0,4,955,4,959,4145,3,1,2,1,1,0,32.47
臺南市,南區,漁光里,0,4,135,1,136,482,3,1,2,1,1,0,42.06
臺南市,南區,億載里,0,4,534,0,534,2094,3,1,2,1,1,0,38.28
臺南市,南區,大恩里,0,4,1033,3,1036,3267,3,1,2,1,1,0,40.37
臺南市,南區,大林里,0,4,629,1,630,2025,3,1,2,1,1,0,40.55
臺南市,南區,大忠里,0,4,1410,6,1416,4404,3,1,2,1,1,0,40.56
臺南市,南區,新生里,0,4,1134,16,1150,2839,3,1,2,1,1,0,43.61
臺南市,南區,竹溪里,0,4,471,4,475,1590,3,1,2,1,1,0,38.93
臺南市,南區,明德里,0,4,155,0,155,472,3,1,2,1,1,0,42.90
臺南市,南區,荔宅里,0,4,109,2,111,210,3,1,2,1,1,0,42.01
臺南市,南區,大成里,0,4,259,2,261,844,3,1,2,1,1,0,40.29
臺南市,南區,田寮里,0,4,1053,3,1056,3242,3,1,2,1,1,0,41.03
臺南市,南區,新興里,0,4,784,9,793,2643,3,1,2,1,1,0,38.89
臺南市,南區,再興里,0,4,653,2,655,2236,3,1,2,1,1,0,40.01
臺南市,南區,廣州里,0,4,810,4,814,2300,3,1,2,1,1,0,37.63
臺南市,南區,新昌里,0,4,718,2,720,2282,3,1,2,1,1,0,42.03
臺南市,南區,文華里,0,4,987,2,989,3202,3,1,2,1,1,0,40.86
臺南市,南區,文南里,0,4,1262,8,1270,4516,3,1,2,1,1,0,39.62
臺南市,南區,金華里,0,4,1339,7,1346,4813,3,1,2,1,1,0,39.83
臺南市,南區,國宅里,0,4,902,1,903,2906,3,1,2,1,1,0,40.37
臺南市,南區,日新里,0,4,640,2,642,1967,3,1,2,1,1,0,45.03
臺南市,南區,光明里,0,4,1245,8,1253,4114,3,1,2,1,1,0,40.83
臺南市,南區,白雪里,0,4,624,5,629,1789,3,1,2,1,1,0,39.56
臺南市,南區,明亮里,0,4,1084,7,1091,3474,3,1,2,1,1,0,43.26
臺南市,南區,府南里,0,4,1305,10,1315,4421,3,1,2,1,1,0,39.61
臺南市,南區,明興里,0,4,950,4,954,3213,3,1,2,1,1,0,39.08
臺南市,南區,郡南里,0,4,902,4,906,3353,3,1,2,1,1,0,40.11
臺南市,南區,建南里,0,4,1311,8,1319,4458,3,1,2,1,1,0,39.49
臺南市,南區,南都里,0,4,646,4,650,2472,3,1,2,1,1,0,41.34
臺南市,南區,南華里,0,4,613,1,614,2453,3,1,2,1,1,0,41.45
臺南市,南區,開南里,0,4,1323,7,1330,5356,3,1,2,1,1,0,35.85
臺南市,南區,彰南里,0,4,491,4,495,1746,3,1,2,1,1,0,33.17
臺南市,南區,鯤鯓里,0,4,548,4,552,1780,3,1,2,1,1,0,34.14
臺南市,南區,喜北里,0,4,653,3,656,2133,3,1,2,1,1,0,34.18
