CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
高雄市,,,0,0,77242,488,77730,228805,2,1,1,1,0,1,33.97
高雄市,仁武區,,0,4,17270,94,17364,55694,2,1,1,1,0,1,31.18
高雄市,鳥松區,,0,4,11327,75,11402,34556,2,1,1,1,0,1,32.60
高雄市,大寮區,,0,4,30048,203,30251,85034,2,1,1,1,0,1,35.58
高雄市,林園區,,0,4,18597,116,18713,53521,2,1,1,1,0,1,34.96
高雄市,仁武區,大灣里,0,4,812,6,818,2749,2,1,1,1,0,1,29.76
高雄市,仁武區,灣內里,0,4,1370,7,1377,4508,2,1,1,1,0,1,30.55
高雄市,仁武區,考潭里,0,4,898,2,900,2380,2,1,1,1,0,1,37.82
高雄市,仁武區,烏林里,0,4,1098,7,1105,3393,2,1,1,1,0,1,32.57
高雄市,仁武區,仁福里,0,4,239,1,240,750,2,1,1,1,0,1,32.00
高雄市,仁武區,仁武里,0,4,1567,10,1577,4675,2,1,1,1,0,1,33.73
高雄市,仁武區,文武里,0,4,2140,20,2160,7157,2,1,1,1,0,1,30.18
高雄市,仁武區,竹後里,0,4,896,4,900,2065,2,1,1,1,0,1,43.58
高雄市,仁武區,八卦里,0,4,2848,7,2855,11049,2,1,1,1,0,1,25.84
高雄市,仁武區,高楠里,0,4,618,5,623,1619,2,1,1,1,0,1,38.48
高雄市,仁武區,後安里,0,4,779,3,782,2248,2,1,1,1,0,1,34.79
高雄市,仁武區,中華里,0,4,534,9,543,1396,2,1,1,1,0,1,38.90
高雄市,仁武區,五和里,0,4,853,7,860,3067,2,1,1,1,0,1,28.04
高雄市,仁武區,仁和里,0,4,878,0,878,2950,2,1,1,1,0,1,29.76
高雄市,仁武區,赤山里,0,4,1172,2,1174,4025,2,1,1,1,0,1,29.17
高雄市,仁武區,仁慈里,0,4,568,4,572,1663,2,1,1,1,0,1,34.40
高雄市,鳥松區,鳥松里,0,4,2611,17,2628,8923,2,1,1,1,0,1,29.45
高雄市,鳥松區,夢裡里,0,4,1197,13,1210,3843,2,1,1,1,0,1,31.49
高雄市,鳥松區,大華里,0,4,2661,16,2677,8513,2,1,1,1,0,1,31.45
高雄市,鳥松區,埔里,0,4,1166,9,1175,3238,2,1,1,1,0,1,36.29
高雄市,鳥松區,仁美里,0,4,2095,11,2106,5871,2,1,1,1,0,1,35.87
高雄市,鳥松區,大竹里,0,4,300,5,305,642,2,1,1,1,0,1,47.51
高雄市,鳥松區,華美里,0,4,1297,4,1301,3526,2,1,1,1,0,1,36.90
高雄市,大寮區,拷潭里,0,4,545,4,549,1363,2,1,1,1,0,1,40.28
高雄市,大寮區,內坑里,0,4,1421,8,1429,4594,2,1,1,1,0,1,31.11
高雄市,大寮區,大寮里,0,4,2074,14,2088,5878,2,1,1,1,0,1,35.52
高雄市,大寮區,上寮里,0,4,844,3,847,2056,2,1,1,1,0,1,41.20
高雄市,大寮區,三隆里,0,4,1590,12,1602,4167,2,1,1,1,0,1,38.44
高雄市,大寮區,琉球里,0,4,1409,10,1419,3794,2,1,1,1,0,1,37.40
高雄市,大寮區,翁園里,0,4,1259,6,1265,3241,2,1,1,1,0,1,39.03
高雄市,大寮區,前庄里,0,4,777,2,779,2091,2,1,1,1,0,1,37.25
高雄市,大寮區,中庄里,0,4,2825,20,2845,9115,2,1,1,1,0,1,31.21
高雄市,大寮區,後庄里,0,4,1929,14,1943,6389,2,1,1,1,0,1,30.41
高雄市,大寮區,義仁里,0,4,664,9,673,1784,2,1,1,1,0,1,37.72
高雄市,大寮區,新厝里,0,4,478,1,479,1448,2,1,1,1,0,1,33.08
高雄市,大寮區,過溪里,0,4,756,11,767,2086,2,1,1,1,0,1,36.77
高雄市,大寮區,潮寮里,0,4,1082,5,1087,2817,2,1,1,1,0,1,38.59
高雄市,大寮區,會結里,0,4,490,2,492,1333,2,1,1,1,0,1,36.91
高雄市,大寮區,會社里,0,4,1817,16,1833,5185,2,1,1,1,0,1,35.35
高雄市,大寮區,山頂里,0,4,2235,18,2253,6267,2,1,1,1,0,1,35.95
高雄市,大寮區,忠義里,0,4,265,3,268,642,2,1,1,1,0,1,41.74
高雄市,大寮區,永芳里,0,4,2080,12,2092,6089,2,1,1,1,0,1,34.36
高雄市,大寮區,義和里,0,4,807,2,809,1963,2,1,1,1,0,1,41.21
高雄市,大寮區,溪寮里,0,4,532,5,537,1425,2,1,1,1,0,1,37.68
高雄市,大寮區,江山里,0,4,595,1,596,1638,2,1,1,1,0,1,36.39
高雄市,大寮區,昭明里,0,4,1154,6,1160,3322,2,1,1,1,0,1,34.92
高雄市,大寮區,光武里,0,4,131,0,131,325,2,1,1,1,0,1,40.31
高雄市,大寮區,中興里,0,4,2289,19,2308,6022,2,1,1,1,0,1,38.33
高雄市,林園區,東林里,0,4,802,6,808,2640,2,1,1,1,0,1,30.61
高雄市,林園區,林園里,0,4,1028,4,1032,3034,2,1,1,1,0,1,34.01
高雄市,林園區,溪州里,0,4,1272,7,1279,3511,2,1,1,1,0,1,36.43
高雄市,林園區,潭頭里,0,4,833,3,836,2448,2,1,1,1,0,1,34.15
高雄市,林園區,中厝里,0,4,992,9,1001,2609,2,1,1,1,0,1,38.37
高雄市,林園區,中門里,0,4,761,8,769,2223,2,1,1,1,0,1,34.59
高雄市,林園區,頂厝里,0,4,1364,12,1376,3763,2,1,1,1,0,1,36.57
高雄市,林園區,港埔里,0,4,610,1,611,1653,2,1,1,1,0,1,36.96
高雄市,林園區,西溪里,0,4,1047,7,1054,3047,2,1,1,1,0,1,34.59
高雄市,林園區,港嘴里,0,4,582,1,583,1483,2,1,1,1,0,1,39.31
高雄市,林園區,北汕里,0,4,485,5,490,1582,2,1,1,1,0,1,30.97
高雄市,林園區,林內里,0,4,621,4,625,1698,2,1,1,1,0,1,36.81
高雄市,林園區,王公里,0,4,1056,5,1061,3370,2,1,1,1,0,1,31.48
高雄市,林園區,林家里,0,4,467,4,471,1207,2,1,1,1,0,1,39.02
高雄市,林園區,龔厝里,0,4,657,4,661,1669,2,1,1,1,0,1,39.60
高雄市,林園區,鳳芸里,0,4,652,3,655,1790,2,1,1,1,0,1,36.59
高雄市,林園區,中芸里,0,4,659,4,663,1788,2,1,1,1,0,1,37.08
高雄市,林園區,東汕里,0,4,310,1,311,894,2,1,1,1,0,1,34.79
高雄市,林園區,西汕里,0,4,236,2,238,720,2,1,1,1,0,1,33.06
高雄市,林園區,仁愛里,0,4,934,3,937,2740,2,1,1,1,0,1,34.20
高雄市,林園區,文賢里,0,4,738,3,741,2167,2,1,1,1,0,1,34.19
高雄市,林園區,廣應里,0,4,1108,7,1115,3121,2,1,1,1,0,1,35.73
高雄市,林園區,五福里,0,4,676,9,685,2149,2,1,1,1,0,1,31.88
高雄市,林園區,中汕里,0,4,707,4,711,2215,2,1,1,1,0,1,32.10
高雄市,仁武區,大灣里,1,4,443,5,448,1339,2,1,1,1,0,1,33.46
高雄市,仁武區,大灣里,2,4,369,1,370,1410,2,1,1,1,0,1,26.24
高雄市,仁武區,灣內里,3,4,345,1,346,1096,2,1,1,1,0,1,31.57
高雄市,仁武區,灣內里,4,4,389,3,392,1127,2,1,1,1,0,1,34.78
高雄市,仁武區,灣內里,5,4,318,1,319,978,2,1,1,1,0,1,32.62
高雄市,仁武區,灣內里,6,4,318,2,320,1307,2,1,1,1,0,1,24.48
高雄市,仁武區,考潭里,7,4,459,1,460,1239,2,1,1,1,0,1,37.13
高雄市,仁武區,考潭里,8,4,439,1,440,1141,2,1,1,1,0,1,38.56
高雄市,仁武區,烏林里,9,4,333,1,334,1098,2,1,1,1,0,1,30.42
高雄市,仁武區,烏林里,10,4,395,4,399,1118,2,1,1,1,0,1,35.69
高雄市,仁武區,烏林里,11,4,370,2,372,1177,2,1,1,1,0,1,31.61
高雄市,仁武區,仁福里,12,4,239,1,240,750,2,1,1,1,0,1,32.00
高雄市,仁武區,仁武里,13,4,512,2,514,1605,2,1,1,1,0,1,32.02
高雄市,仁武區,仁武里,14,4,503,4,507,1431,2,1,1,1,0,1,35.43
高雄市,仁武區,仁武里,15,4,552,4,556,1639,2,1,1,1,0,1,33.92
高雄市,仁武區,文武里,16,4,468,9,477,1341,2,1,1,1,0,1,35.57
高雄市,仁武區,文武里,17,4,414,3,417,1319,2,1,1,1,0,1,31.61
高雄市,仁武區,文武里,18,4,399,1,400,1147,2,1,1,1,0,1,34.87
高雄市,仁武區,文武里,19,4,293,2,295,1181,2,1,1,1,0,1,24.98
高雄市,仁武區,文武里,20,4,256,4,260,1026,2,1,1,1,0,1,25.34
高雄市,仁武區,文武里,21,4,310,1,311,1143,2,1,1,1,0,1,27.21
高雄市,仁武區,竹後里,22,4,468,3,471,978,2,1,1,1,0,1,48.16
高雄市,仁武區,竹後里,23,4,428,1,429,1087,2,1,1,1,0,1,39.47
高雄市,仁武區,八卦里,24,4,476,2,478,1379,2,1,1,1,0,1,34.66
高雄市,仁武區,八卦里,25,4,390,1,391,1321,2,1,1,1,0,1,29.60
高雄市,仁武區,八卦里,26,4,289,0,289,1151,2,1,1,1,0,1,25.11
高雄市,仁武區,八卦里,27,4,345,0,345,1447,2,1,1,1,0,1,23.84
高雄市,仁武區,八卦里,28,4,363,0,363,1478,2,1,1,1,0,1,24.56
高雄市,仁武區,八卦里,29,4,297,0,297,1408,2,1,1,1,0,1,21.09
高雄市,仁武區,八卦里,30,4,354,4,358,1577,2,1,1,1,0,1,22.70
高雄市,仁武區,八卦里,31,4,334,0,334,1288,2,1,1,1,0,1,25.93
高雄市,仁武區,高楠里,32,4,296,4,300,877,2,1,1,1,0,1,34.21
高雄市,仁武區,高楠里,33,4,322,1,323,742,2,1,1,1,0,1,43.53
高雄市,仁武區,後安里,34,4,359,1,360,985,2,1,1,1,0,1,36.55
高雄市,仁武區,後安里,35,4,420,2,422,1263,2,1,1,1,0,1,33.41
高雄市,仁武區,中華里,36,4,534,9,543,1396,2,1,1,1,0,1,38.90
高雄市,仁武區,五和里,37,4,428,6,434,1477,2,1,1,1,0,1,29.38
高雄市,仁武區,五和里,38,4,425,1,426,1590,2,1,1,1,0,1,26.79
高雄市,仁武區,仁和里,39,4,446,0,446,1325,2,1,1,1,0,1,33.66
高雄市,仁武區,仁和里,40,4,432,0,432,1625,2,1,1,1,0,1,26.58
高雄市,仁武區,赤山里,41,4,386,0,386,1246,2,1,1,1,0,1,30.98
高雄市,仁武區,赤山里,42,4,366,1,367,1294,2,1,1,1,0,1,28.36
高雄市,仁武區,赤山里,43,4,420,1,421,1485,2,1,1,1,0,1,28.35
高雄市,仁武區,仁慈里,44,4,568,4,572,1663,2,1,1,1,0,1,34.40
高雄市,鳥松區,鳥松里,45,4,484,6,490,1482,2,1,1,1,0,1,33.06
高雄市,鳥松區,鳥松里,46,4,389,2,391,1501,2,1,1,1,0,1,26.05
高雄市,鳥松區,鳥松里,47,4,393,2,395,1071,2,1,1,1,0,1,36.88
高雄市,鳥松區,鳥松里,48,4,295,2,297,1154,2,1,1,1,0,1,25.74
高雄市,鳥松區,鳥松里,49,4,230,1,231,978,2,1,1,1,0,1,23.62
高雄市,鳥松區,鳥松里,50,4,543,0,543,1548,2,1,1,1,0,1,35.08
高雄市,鳥松區,鳥松里,51,4,277,4,281,1189,2,1,1,1,0,1,23.63
高雄市,鳥松區,夢裡里,52,4,475,5,480,1162,2,1,1,1,0,1,41.31
高雄市,鳥松區,夢裡里,53,4,396,5,401,967,2,1,1,1,0,1,41.47
高雄市,鳥松區,夢裡里,54,4,326,3,329,1714,2,1,1,1,0,1,19.19
