CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
臺中市,,,0,0,133059,1441,134500,275086,3,1,2,1,1,0,48.89
臺中市,沙鹿區,,0,2,31267,385,31652,62662,3,1,2,1,1,0,50.51
臺中市,龍井區,,0,2,26984,283,27267,55867,3,1,2,1,1,0,48.81
臺中市,大肚區,,0,2,22202,303,22505,42250,3,1,2,1,1,0,53.27
臺中市,烏日區,,0,2,25618,227,25845,52957,3,1,2,1,1,0,48.80
臺中市,霧峰區,,0,2,22879,209,23088,50208,3,1,2,1,1,0,45.98
臺中市,大里市,,0,2,4109,34,4143,11142,3,1,2,1,1,0,37.18
臺中市,沙鹿區,居仁里,0,2,695,10,705,1316,3,1,2,1,1,0,53.57
臺中市,沙鹿區,洛泉里,0,2,1136,15,1151,1999,3,1,2,1,1,0,57.58
臺中市,沙鹿區,沙鹿里,0,2,553,5,558,982,3,1,2,1,1,0,56.82
臺中市,沙鹿區,美仁里,0,2,360,11,371,544,3,1,2,1,1,0,68.20
臺中市,沙鹿區,興仁里,0,2,1143,18,1161,2278,3,1,2,1,1,0,50.97
臺中市,沙鹿區,興安里,0,2,1505,21,1526,3025,3,1,2,1,1,0,50.45
臺中市,沙鹿區,斗抵里,0,2,2099,23,2122,3912,3,1,2,1,1,0,54.24
臺中市,沙鹿區,鹿峰里,0,2,2069,18,2087,4485,3,1,2,1,1,0,46.53
臺中市,沙鹿區,鹿寮里,0,2,3039,23,3062,5918,3,1,2,1,1,0,51.74
臺中市,沙鹿區,竹林里,0,2,3085,31,3116,6528,3,1,2,1,1,0,47.73
臺中市,沙鹿區,犁分里,0,2,513,3,516,978,3,1,2,1,1,0,52.76
臺中市,沙鹿區,福興里,0,2,1606,18,1624,3032,3,1,2,1,1,0,53.56
臺中市,沙鹿區,北勢里,0,2,2066,26,2092,4095,3,1,2,1,1,0,51.09
臺中市,沙鹿區,晉江里,0,2,756,11,767,1401,3,1,2,1,1,0,54.75
臺中市,沙鹿區,六路里,0,2,1744,20,1764,3772,3,1,2,1,1,0,46.77
臺中市,沙鹿區,南勢里,0,2,1351,22,1373,2675,3,1,2,1,1,0,51.33
臺中市,沙鹿區,埔子里,0,2,1909,28,1937,3754,3,1,2,1,1,0,51.60
臺中市,沙鹿區,三鹿里,0,2,2192,35,2227,4355,3,1,2,1,1,0,51.14
臺中市,沙鹿區,公明里,0,2,1644,30,1674,3594,3,1,2,1,1,0,46.58
臺中市,沙鹿區,清泉里,0,2,828,7,835,2000,3,1,2,1,1,0,41.75
臺中市,沙鹿區,西勢里,0,2,974,10,984,2019,3,1,2,1,1,0,48.74
臺中市,龍井區,竹坑里,0,2,1378,17,1395,2666,3,1,2,1,1,0,52.33
臺中市,龍井區,龍東里,0,2,1343,8,1351,2573,3,1,2,1,1,0,52.51
臺中市,龍井區,龍西里,0,2,902,12,914,1691,3,1,2,1,1,0,54.05
臺中市,龍井區,田中里,0,2,1541,16,1557,3013,3,1,2,1,1,0,51.68
臺中市,龍井區,福田里,0,2,513,10,523,973,3,1,2,1,1,0,53.75
臺中市,龍井區,麗水里,0,2,1094,11,1105,2061,3,1,2,1,1,0,53.61
臺中市,龍井區,龍津里,0,2,2434,28,2462,4646,3,1,2,1,1,0,52.99
臺中市,龍井區,三德里,0,2,1498,21,1519,2796,3,1,2,1,1,0,54.33
臺中市,龍井區,忠和里,0,2,2414,21,2435,4337,3,1,2,1,1,0,56.14
臺中市,龍井區,山腳里,0,2,2391,26,2417,4818,3,1,2,1,1,0,50.17
臺中市,龍井區,龍泉里,0,2,2578,30,2608,5981,3,1,2,1,1,0,43.60
臺中市,龍井區,龍崗里,0,2,1209,15,1224,2280,3,1,2,1,1,0,53.68
臺中市,龍井區,新庄里,0,2,2479,17,2496,5566,3,1,2,1,1,0,44.84
臺中市,龍井區,南寮里,0,2,885,4,889,1450,3,1,2,1,1,0,61.31
臺中市,龍井區,東海里,0,2,2580,21,2601,6847,3,1,2,1,1,0,37.99
臺中市,龍井區,新東里,0,2,1745,26,1771,4169,3,1,2,1,1,0,42.48
臺中市,大肚區,王田里,0,2,1953,17,1970,3984,3,1,2,1,1,0,49.45
臺中市,大肚區,中和里,0,2,428,3,431,819,3,1,2,1,1,0,52.63
