CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
新竹縣,竹北市,鹿場里,1,1,1,254,33.07,林燕聰,無,2,N,T
新竹縣,竹北市,鹿場里,1,1,2,38,4.94,陳榮燦,無,1,Y,T
新竹縣,竹北市,鹿場里,1,1,3,46,5.98,羅源旺,中國國民黨,1,Y,
新竹縣,竹北市,鹿場里,1,1,4,32,4.16,范光禮,無,1,N,
新竹縣,竹北市,鹿場里,1,1,5,72,9.37,田耕豪,無,1,N,T
新竹縣,竹北市,鹿場里,1,1,6,91,11.84,林祺烜,無,1,Y,T
新竹縣,竹北市,鹿場里,1,1,7,46,5.98,張美珠,中華統一促進黨,2,N,T
新竹縣,竹北市,鹿場里,1,1,8,72,9.37,余政達,無,1,N,T
新竹縣,竹北市,鹿場里,1,1,9,48,6.25,林維洲,中國國民黨,1,Y,T
新竹縣,竹北市,鹿場里,1,1,10,23,2.99,徐鼎昌,中國國民黨,1,N,
新竹縣,竹北市,鹿場里,1,1,11,46,5.98,高民晟,樹黨,1,N,
新竹縣,竹北市,鹿場里,2,1,1,253,35.88,林燕聰,無,2,N,T
新竹縣,竹北市,鹿場里,2,1,2,29,4.11,陳榮燦,無,1,Y,T
新竹縣,竹北市,鹿場里,2,1,3,27,3.82,羅源旺,中國國民黨,1,Y,
新竹縣,竹北市,鹿場里,2,1,4,34,4.82,范光禮,無,1,N,
新竹縣,竹北市,鹿場里,2,1,5,96,13.61,田耕豪,無,1,N,T
新竹縣,竹北市,鹿場里,2,1,6,22,3.12,林祺烜,無,1,Y,T
新竹縣,竹北市,鹿場里,2,1,7,33,4.68,張美珠,中華統一促進黨,2,N,T
新竹縣,竹北市,鹿場里,2,1,8,84,11.91,余政達,無,1,N,T
新竹縣,竹北市,鹿場里,2,1,9,52,7.37,林維洲,中國國民黨,1,Y,T
新竹縣,竹北市,鹿場里,2,1,10,27,3.82,徐鼎昌,中國國民黨,1,N,
新竹縣,竹北市,鹿場里,2,1,11,48,6.8,高民晟,樹黨,1,N,
新竹縣,竹北市,鹿場里,3,1,1,199,27.98,林燕聰,無,2,N,T
新竹縣,竹北市,鹿場里,3,1,2,45,6.32,陳榮燦,無,1,Y,T
新竹縣,竹北市,鹿場里,3,1,3,54,7.59,羅源旺,中國國民黨,1,Y,
新竹縣,竹北市,鹿場里,3,1,4,27,3.79,范光禮,無,1,N,
新竹縣,竹北市,鹿場里,3,1,5,89,12.51,田耕豪,無,1,N,T
新竹縣,竹北市,鹿場里,3,1,6,69,9.7,林祺烜,無,1,Y,T
新竹縣,竹北市,鹿場里,3,1,7,19,2.67,張美珠,中華統一促進黨,2,N,T
新竹縣,竹北市,鹿場里,3,1,8,68,9.56,余政達,無,1,N,T
新竹縣,竹北市,鹿場里,3,1,9,75,10.54,林維洲,中國國民黨,1,Y,T
新竹縣,竹北市,鹿場里,3,1,10,25,3.51,徐鼎昌,中國國民黨,1,N,
新竹縣,竹北市,鹿場里,3,1,11,41,5.76,高民晟,樹黨,1,N,
新竹縣,竹北市,鹿場里,4,1,1,172,19.43,林燕聰,無,2,N,T
新竹縣,竹北市,鹿場里,4,1,2,84,9.49,陳榮燦,無,1,Y,T
新竹縣,竹北市,鹿場里,4,1,3,135,15.25,羅源旺,中國國民黨,1,Y,
新竹縣,竹北市,鹿場里,4,1,4,34,3.84,范光禮,無,1,N,
新竹縣,竹北市,鹿場里,4,1,5,79,8.92,田耕豪,無,1,N,T
新竹縣,竹北市,鹿場里,4,1,6,188,21.24,林祺烜,無,1,Y,T
新竹縣,竹北市,鹿場里,4,1,7,34,3.84,張美珠,中華統一促進黨,2,N,T
新竹縣,竹北市,鹿場里,4,1,8,47,5.31,余政達,無,1,N,T
新竹縣,竹北市,鹿場里,4,1,9,53,5.98,林維洲,中國國民黨,1,Y,T
新竹縣,竹北市,鹿場里,4,1,10,20,2.25,徐鼎昌,中國國民黨,1,N,
新竹縣,竹北市,鹿場里,4,1,11,39,4.4,高民晟,樹黨,1,N,
新竹縣,竹北市,鹿場里,5,1,1,301,40.13,林燕聰,無,2,N,T
新竹縣,竹北市,鹿場里,5,1,2,19,2.53,陳榮燦,無,1,Y,T
新竹縣,竹北市,鹿場里,5,1,3,20,2.66,羅源旺,中國國民黨,1,Y,
新竹縣,竹北市,鹿場里,5,1,4,37,4.93,范光禮,無,1,N,
新竹縣,竹北市,鹿場里,5,1,5,105,14,田耕豪,無,1,N,T
