CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北市,北投區,建民里,1,8,1,2,25,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,建民里,1,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,建民里,1,8,3,6,75,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,建民里,2,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,建民里,2,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,建民里,2,8,3,0,0,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,建民里,3,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,建民里,3,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,建民里,3,8,3,0,0,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,文林里,4,8,1,1,25,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,文林里,4,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,文林里,4,8,3,3,75,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,文林里,5,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,文林里,5,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,文林里,5,8,3,0,0,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,文林里,6,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,文林里,6,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,文林里,6,8,3,0,0,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,石牌里,7,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,石牌里,7,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,石牌里,7,8,3,1,100,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,石牌里,8,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,石牌里,8,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,石牌里,8,8,3,0,0,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,石牌里,9,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,石牌里,9,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,石牌里,9,8,3,0,0,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,福興里,10,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,福興里,10,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,福興里,10,8,3,0,0,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,福興里,11,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,福興里,11,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,福興里,11,8,3,0,0,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,福興里,12,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,福興里,12,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,福興里,12,8,3,3,100,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,福興里,13,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,福興里,13,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,福興里,13,8,3,0,0,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,榮光里,14,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,榮光里,14,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,榮光里,14,8,3,4,100,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,榮光里,15,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,榮光里,15,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,榮光里,15,8,3,0,0,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,榮光里,16,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,榮光里,16,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,榮光里,16,8,3,0,0,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,榮光里,17,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,榮光里,17,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,榮光里,17,8,3,0,0,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,榮華里,18,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,榮華里,18,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,榮華里,18,8,3,0,0,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,榮華里,19,8,1,0,0,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,榮華里,19,8,2,0,0,高李茂俊,親民黨,1,N,
臺北市,北投區,榮華里,19,8,3,0,0,李傅中武,中國國民黨,1,Y,T
臺北市,北投區,榮華里,20,8,1,1,11.11,伊凡諾幹 Iban Nokan,民主進步黨,1,N,
臺北市,北投區,榮華里,20,8,2,0,0,高李茂俊,親民黨,1,N,
