CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
苗栗縣,南庄鄉,東村,408,4,1,6,15.38,謝建宇,無,1,N,
苗栗縣,南庄鄉,東村,408,4,2,5,12.82,風英雄,中國國民黨,1,N,T
苗栗縣,南庄鄉,東村,408,4,3,13,33.33,風勝華,無,1,N,T
苗栗縣,南庄鄉,東村,408,4,4,15,38.46,劉金鳳,中國國民黨,2,Y,
苗栗縣,南庄鄉,西村,409,4,1,4,10.81,謝建宇,無,1,N,
苗栗縣,南庄鄉,西村,409,4,2,26,70.27,風英雄,中國國民黨,1,N,T
苗栗縣,南庄鄉,西村,409,4,3,1,2.7,風勝華,無,1,N,T
苗栗縣,南庄鄉,西村,409,4,4,6,16.21,劉金鳳,中國國民黨,2,Y,
苗栗縣,南庄鄉,南江村,410,4,1,57,28.07,謝建宇,無,1,N,
苗栗縣,南庄鄉,南江村,410,4,2,51,25.12,風英雄,中國國民黨,1,N,T
苗栗縣,南庄鄉,南江村,410,4,3,66,32.51,風勝華,無,1,N,T
苗栗縣,南庄鄉,南江村,410,4,4,29,14.28,劉金鳳,中國國民黨,2,Y,
苗栗縣,南庄鄉,蓬萊村,411,4,1,46,18.18,謝建宇,無,1,N,
苗栗縣,南庄鄉,蓬萊村,411,4,2,44,17.39,風英雄,中國國民黨,1,N,T
苗栗縣,南庄鄉,蓬萊村,411,4,3,62,24.5,風勝華,無,1,N,T
苗栗縣,南庄鄉,蓬萊村,411,4,4,101,39.92,劉金鳳,中國國民黨,2,Y,
苗栗縣,南庄鄉,東河村,412,4,1,99,21.19,謝建宇,無,1,N,
苗栗縣,南庄鄉,東河村,412,4,2,185,39.61,風英雄,中國國民黨,1,N,T
苗栗縣,南庄鄉,東河村,412,4,3,126,26.98,風勝華,無,1,N,T
苗栗縣,南庄鄉,東河村,412,4,4,57,12.2,劉金鳳,中國國民黨,2,Y,
苗栗縣,南庄鄉,田美村,413,4,1,2,28.57,謝建宇,無,1,N,
苗栗縣,南庄鄉,田美村,413,4,2,1,14.28,風英雄,中國國民黨,1,N,T
苗栗縣,南庄鄉,田美村,413,4,3,3,42.85,風勝華,無,1,N,T
苗栗縣,南庄鄉,田美村,413,4,4,1,14.28,劉金鳳,中國國民黨,2,Y,
苗栗縣,南庄鄉,獅山村,414,4,1,3,23.07,謝建宇,無,1,N,
苗栗縣,南庄鄉,獅山村,414,4,2,3,23.07,風英雄,中國國民黨,1,N,T
苗栗縣,南庄鄉,獅山村,414,4,3,6,46.15,風勝華,無,1,N,T
苗栗縣,南庄鄉,獅山村,414,4,4,1,7.69,劉金鳳,中國國民黨,2,Y,
苗栗縣,南庄鄉,南富村,415,4,1,0,0,謝建宇,無,1,N,
苗栗縣,南庄鄉,南富村,415,4,2,1,25,風英雄,中國國民黨,1,N,T
