CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
新北市,烏來區,忠治里,2161,1,1170,29,1199,1412,5,2,4,1,1,1,84.92
新北市,烏來區,烏來里,2162,2,885,14,899,1118,9,3,9,0,3,0,80.41
新北市,烏來區,烏來里,2163,2,782,13,795,987,9,3,9,0,3,0,80.55
新北市,烏來區,孝義里,2164,2,196,8,204,231,9,3,9,0,3,0,88.31
新北市,烏來區,信賢里,2165,3,309,31,340,484,1,1,1,0,1,0,70.25
新北市,烏來區,福山里,2166,4,456,8,464,520,2,1,2,0,1,0,89.23
桃園市,復興區,三民里,551,1,1381,28,1409,1784,9,5,7,2,4,1,78.98
桃園市,復興區,澤仁里,552,1,917,27,944,1227,9,5,7,2,4,1,76.94
桃園市,復興區,霞雲里,553,1,358,7,365,485,9,5,7,2,4,1,75.26
桃園市,復興區,義盛里,554,1,442,14,456,600,9,5,7,2,4,1,76
桃園市,復興區,羅浮里,555,2,646,14,660,871,6,3,5,1,2,1,75.77
桃園市,復興區,長興里,556,2,420,8,428,556,6,3,5,1,2,1,76.98
桃園市,復興區,奎輝里,557,2,434,3,437,570,6,3,5,1,2,1,76.67
桃園市,復興區,高義里,558,3,477,18,495,635,5,3,5,0,3,0,77.95
桃園市,復興區,三光里,559,3,434,11,445,535,5,3,5,0,3,0,83.18
桃園市,復興區,華陵里,560,3,729,23,752,1062,5,3,5,0,3,0,70.81
臺中市,和平區,南勢里,1521,1,721,21,742,909,6,5,4,2,4,1,81.63
臺中市,和平區,南勢里,1522,1,703,13,716,872,6,5,4,2,4,1,82.11
臺中市,和平區,天輪里,1523,1,295,13,308,429,6,5,4,2,4,1,71.79
臺中市,和平區,博愛里,1524,1,752,16,768,951,6,5,4,2,4,1,80.76
臺中市,和平區,博愛里,1525,1,451,5,456,586,6,5,4,2,4,1,77.82
臺中市,和平區,自由里,1526,2,212,4,216,241,6,3,5,1,2,1,89.63
臺中市,和平區,自由里,1527,2,346,1,347,412,6,3,5,1,2,1,84.22
臺中市,和平區,自由里,1528,2,258,3,261,316,6,3,5,1,2,1,82.59
臺中市,和平區,達觀里,1529,2,586,15,601,700,6,3,5,1,2,1,85.86
臺中市,和平區,達觀里,1530,2,267,3,270,316,6,3,5,1,2,1,85.44
